Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Wesley Matthews,Sean Kilpatrick,Rondae Hollis-Jefferson,Omri Casspi,John Wall,Kyle Lowry,Emmanuel Mudiay,DeMarcus Cousins,276.838,287.75,16,Dec122016,5,7
Jusuf Nurkic,Sean Kilpatrick,Nicolas Batum,John Wall,Deron Williams,Blake Griffin,Ryan Anderson,Nikola Jokic,278.858,287.5,35,Dec122016,3,7
Harrison Barnes,Wesley Matthews,Eric Gordon,John Wall,Deron Williams,Matthew Dellavedova,Hassan Whiteside,Nikola Jokic,282.688,287.0,6,Dec122016,3,7
Luol Deng,Wesley Matthews,Sean Kilpatrick,Giannis Antetokounmpo,Deron Williams,Patrick Beverley,Hassan Whiteside,Brook Lopez,280.838,286.75,14,Dec122016,3,7
DeMarre Carroll,Wesley Matthews,Nicolas Batum,Omri Casspi,Giannis Antetokounmpo,John Wall,Malcolm Brogdon,Hassan Whiteside,277.238,285.75,29,Dec122016,4,7
DeMar DeRozan,Bradley Beal,Rondae Hollis-Jefferson,John Wall,Goran Dragic,Deron Williams,Marvin Williams,Marcin Gortat,276.878,284.75,12,Dec122016,5,7
Luol Deng,Bradley Beal,Giannis Antetokounmpo,John Wall,Darren Collison,Marvin Williams,Brook Lopez,Clint Capela,277.648,284.5,10,Dec122016,4,7
DeMarre Carroll,Bradley Beal,Giannis Antetokounmpo,Kyle Lowry,Patrick Beverley,Patrick Patterson,Brook Lopez,Nikola Jokic,276.648,284.25,45,Dec122016,5,7
Paul George,Wesley Matthews,Dorian Finney-Smith,Giannis Antetokounmpo,John Wall,Malcolm Brogdon,Marvin Williams,Brook Lopez,276.898,284.25,6,Dec122016,5,7
Lou Williams,Eric Gordon,Dorian Finney-Smith,Giannis Antetokounmpo,Matthew Dellavedova,Blake Griffin,Marcin Gortat,Nikola Jokic,277.408,283.75,19,Dec122016,4,7
Markieff Morris,DeMar DeRozan,Bradley Beal,John Wall,Deron Williams,Emmanuel Mudiay,Nikola Jokic,Clint Capela,277.198,283.75,31,Dec122016,4,7
Harrison Barnes,Luol Deng,DeMar DeRozan,Bradley Beal,Glenn Robinson III,John Wall,Darren Collison,Hassan Whiteside,276.808,283.25,22,Dec122016,5,7
Markieff Morris,DeMar DeRozan,Wesley Matthews,Eric Gordon,Deron Williams,Patrick Beverley,Emmanuel Mudiay,DeMarcus Cousins,276.968,283.25,46,Dec122016,4,7
Bradley Beal,Eric Gordon,Nicolas Batum,Glenn Robinson III,Deron Williams,Patrick Beverley,Blake Griffin,Hassan Whiteside,281.488,283.25,11,Dec122016,3,7
Nicolas Batum,Bojan Bogdanovic,Glenn Robinson III,Goran Dragic,Deron Williams,Darren Collison,DeMarcus Cousins,Brook Lopez,276.698,282.0,35,Dec122016,5,7
John Henson,Lou Williams,Eric Gordon,Dorian Finney-Smith,John Wall,Patrick Beverley,Darren Collison,DeMarcus Cousins,277.868,282.0,4,Dec122016,4,7
Wesley Matthews,Rodney McGruder,Nicolas Batum,Deron Williams,Ryan Anderson,Marvin Williams,DeMarcus Cousins,Hassan Whiteside,277.848,281.75,5,Dec122016,4,7
Jusuf Nurkic,Bradley Beal,Wesley Matthews,Glenn Robinson III,Giannis Antetokounmpo,Patrick Beverley,Matthew Dellavedova,DeMarcus Cousins,277.568,281.75,17,Dec122016,4,7
DeMar DeRozan,Bradley Beal,Nicolas Batum,Rondae Hollis-Jefferson,John Wall,Patrick Patterson,Brook Lopez,Nikola Jokic,276.468,281.5,39,Dec122016,6,7
Jabari Parker,DeMar DeRozan,Wesley Matthews,Sean Kilpatrick,John Wall,Patrick Beverley,Nikola Jokic,Clint Capela,276.898,281.25,5,Dec122016,5,7
Luol Deng,Bradley Beal,Eric Gordon,Sean Kilpatrick,John Wall,Kyle Lowry,Marcin Gortat,Nikola Jokic,282.118,281.25,8,Dec122016,3,7
Jusuf Nurkic,Michael Kidd-Gilchrist,John Wall,Patrick Beverley,Matthew Dellavedova,Blake Griffin,Marvin Williams,DeMarcus Cousins,276.438,281.25,47,Dec122016,6,7
Wesley Matthews,Eric Gordon,Ed Davis,Nicolas Batum,Dorian Finney-Smith,John Wall,Damian Lillard,Kyle Lowry,276.568,281.0,10,Dec122016,6,7
Wesley Matthews,Sean Kilpatrick,Glenn Robinson III,Rondae Hollis-Jefferson,Matthew Dellavedova,Blake Griffin,DeMarcus Cousins,Hassan Whiteside,277.078,281.0,40,Dec122016,4,7
Harrison Barnes,Bradley Beal,Nicolas Batum,Giannis Antetokounmpo,Emmanuel Mudiay,Matthew Dellavedova,Brook Lopez,Nikola Jokic,276.498,280.25,28,Dec122016,6,7
John Henson,Wesley Matthews,Nicolas Batum,John Wall,Patrick Beverley,Emmanuel Mudiay,Blake Griffin,Brook Lopez,282.078,280.0,9,Dec122016,3,7
Eric Gordon,Nicolas Batum,Bojan Bogdanovic,Giannis Antetokounmpo,John Wall,Patrick Beverley,Marvin Williams,Nikola Jokic,284.758,279.75,2,Dec122016,3,7
Paul George,Lou Williams,Dorian Finney-Smith,John Wall,Deron Williams,Patrick Patterson,Brook Lopez,Nikola Jokic,276.508,279.75,25,Dec122016,6,7
Jusuf Nurkic,Bojan Bogdanovic,Glenn Robinson III,Omri Casspi,Giannis Antetokounmpo,John Wall,Darren Collison,DeMarcus Cousins,276.818,279.0,18,Dec122016,5,7
Nicolas Batum,Kyle Lowry,Emmanuel Mudiay,Blake Griffin,Marvin Williams,Patrick Patterson,Hassan Whiteside,Nikola Jokic,278.978,277.5,34,Dec122016,3,7
DeMar DeRozan,Wesley Matthews,Glenn Robinson III,John Wall,Deron Williams,Malcolm Brogdon,Patrick Patterson,DeMarcus Cousins,277.888,277.25,3,Dec122016,4,7
Jamal Crawford,Rondae Hollis-Jefferson,John Wall,Deron Williams,Marvin Williams,Patrick Patterson,DeMarcus Cousins,Hassan Whiteside,276.818,277.25,20,Dec122016,5,7
Wesley Matthews,Bojan Bogdanovic,Giannis Antetokounmpo,Kyle Lowry,Deron Williams,Ryan Anderson,Marcin Gortat,Nikola Jokic,281.648,276.75,10,Dec122016,3,7
Paul George,Marco Belinelli,Trevor Ariza,John Wall,Kyle Lowry,Deron Williams,Marvin Williams,Nikola Jokic,276.808,276.0,24,Dec122016,5,7
Paul George,Wesley Matthews,Eric Gordon,Kyle Lowry,Patrick Beverley,Blake Griffin,Malcolm Brogdon,Nikola Jokic,278.688,275.5,38,Dec122016,3,7
