Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
DeMar DeRozan,Dwyane Wade,Ersan Ilyasova,Rajon Rondo,Cory Joseph,Marc Gasol,Rudy Gobert,Andrew Wiggins,280.578,311.5,47,Dec82016,4,0
Dwyane Wade,Kyle Lowry,Ersan Ilyasova,Sergio Rodriguez,Jameer Nelson,Markieff Morris,Marc Gasol,Joel Embiid,287.298,304.0,16,Dec82016,3,0
DeMar DeRozan,Bradley Beal,Jimmy Butler,Ersan Ilyasova,Sergio Rodriguez,Jameer Nelson,Rudy Gobert,Pau Gasol,287.408,300.75,14,Dec82016,3,0
John Wall,Dwyane Wade,Evan Turner,Kyle Lowry,Ersan Ilyasova,Patty Mills,Rudy Gobert,Pau Gasol,284.628,299.75,27,Dec82016,3,0
Draymond Green,Dwyane Wade,Jimmy Butler,Langston Galloway,Ersan Ilyasova,Rajon Rondo,Jameer Nelson,Karl-Anthony Towns,294.548,297.25,2,Dec82016,3,0
DeMar DeRozan,Dwyane Wade,Rajon Rondo,Shelvin Mack,Wilson Chandler,Rudy Gobert,Pau Gasol,Kawhi Leonard,280.378,297.0,7,Dec82016,5,0
Evan Turner,Kyle Lowry,Jameer Nelson,Shelvin Mack,Kevin Durant,Marc Gasol,Mason Plumlee,Andrew Wiggins,279.768,296.5,12,Dec82016,6,0
Draymond Green,Kyle Lowry,Langston Galloway,Richaun Holmes,Jameer Nelson,Wilson Chandler,Marc Gasol,Kawhi Leonard,280.388,293.0,5,Dec82016,5,0
Draymond Green,Bradley Beal,Dwyane Wade,Kyle Lowry,Jamal Murray,Jameer Nelson,Rudy Gobert,Andrew Wiggins,284.908,292.25,26,Dec82016,3,0
DeMar DeRozan,Kyle Lowry,JaMychal Green,Jameer Nelson,Shelvin Mack,Joel Embiid,Pau Gasol,Andrew Wiggins,280.458,292.25,1,Dec82016,5,0
DeMar DeRozan,Jimmy Butler,Kyle Lowry,Langston Galloway,JaMychal Green,Shelvin Mack,Rudy Gobert,Mason Plumlee,280.008,290.5,34,Dec82016,5,0
Dwyane Wade,Stephen Curry,Will Barton,Langston Galloway,JaMychal Green,Jameer Nelson,Marc Gasol,Rudy Gobert,281.278,287.5,16,Dec82016,4,0
Klay Thompson,Stephen Curry,Evan Turner,Ersan Ilyasova,Rajon Rondo,Jameer Nelson,Joel Embiid,Rudy Gobert,279.578,285.25,49,Dec82016,6,0
Jimmy Butler,Evan Turner,Kyle Lowry,Langston Galloway,Rajon Rondo,Gorgui Dieng,Kevin Durant,Mason Plumlee,279.858,280.75,1,Dec82016,6,0
John Wall,Dwyane Wade,Joe Johnson,Langston Galloway,Ersan Ilyasova,Cory Joseph,Kevin Durant,Marc Gasol,281.518,280.5,11,Dec82016,4,0
Anthony Davis,Dwyane Wade,Joe Johnson,C.J. McCollum,Ersan Ilyasova,Jameer Nelson,Shelvin Mack,Rudy Gobert,291.578,280.5,4,Dec82016,3,0
