Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
C.J. McCollum,Joe Johnson,Kevin Durant,Kawhi Leonard,Tony Parker,Draymond Green,LaMarcus Aldridge,Jonathon Simmons,250.118,341.5,14,Oct252016,4,3
Evan Turner,Shelvin Mack,Kyrie Irving,Kevin Durant,Kawhi Leonard,LaMarcus Aldridge,Kevin Love,Jonathon Simmons,246.238,321.25,15,Oct252016,6,3
Damian Lillard,Evan Turner,Joe Johnson,Shelvin Mack,Kevin Durant,Derrick Rose,Draymond Green,LaMarcus Aldridge,246.388,321.0,9,Oct252016,6,3
C.J. McCollum,Allen Crabbe,Shelvin Mack,Kyrie Irving,LeBron James,Draymond Green,Kevin Love,Rodney Hood,246.118,319.25,25,Oct252016,6,3
Joe Johnson,LeBron James,Kawhi Leonard,Derrick Rose,George Hill,LaMarcus Aldridge,Kevin Love,Courtney Lee,261.988,317.5,14,Oct252016,3,3
Damian Lillard,Joe Johnson,Kyrie Irving,Kawhi Leonard,Kyle Anderson,Meyers Leonard,Draymond Green,Kevin Love,250.958,315.75,5,Oct252016,4,3
Damian Lillard,Joe Johnson,Kyrie Irving,Kevin Durant,Andre Iguodala,George Hill,LaMarcus Aldridge,Ed Davis,245.748,315.5,46,Oct252016,6,3
LeBron James,Kawhi Leonard,George Hill,Kristaps Porzingis,Draymond Green,Rudy Gobert,Iman Shumpert,Jonathon Simmons,246.658,314.75,44,Oct252016,5,3
Damian Lillard,LeBron James,Derrick Rose,Kristaps Porzingis,LaMarcus Aldridge,Dewayne Dedmon,Rodney Hood,Jonathon Simmons,249.478,307.5,23,Oct252016,4,3
Damian Lillard,LeBron James,Kawhi Leonard,Andre Iguodala,George Hill,Draymond Green,Trey Lyles,Manu Ginobili,245.758,306.5,45,Oct252016,6,3
Damian Lillard,C.J. McCollum,LeBron James,Lance Thomas,George Hill,Draymond Green,Rodney Hood,J.R. Smith,247.978,306.5,50,Oct252016,4,3
Stephen Curry,Joe Johnson,Shelvin Mack,Kevin Durant,George Hill,Draymond Green,Kevin Love,J.R. Smith,248.418,305.25,37,Oct252016,4,3
Damian Lillard,Joe Johnson,Kawhi Leonard,Carmelo Anthony,Kristaps Porzingis,LaMarcus Aldridge,Zaza Pachulia,Jonathon Simmons,246.898,305.25,35,Oct252016,5,3
Damian Lillard,Evan Turner,Allen Crabbe,Kawhi Leonard,Kristaps Porzingis,Draymond Green,LaMarcus Aldridge,Courtney Lee,247.818,304.5,7,Oct252016,5,3
Damian Lillard,Joe Johnson,LeBron James,Carmelo Anthony,Kevin Love,Rodney Hood,J.R. Smith,Dante Exum,246.668,300.0,43,Oct252016,5,3
C.J. McCollum,Evan Turner,Joe Johnson,Carmelo Anthony,George Hill,Kristaps Porzingis,Draymond Green,LaMarcus Aldridge,249.618,299.75,19,Oct252016,4,3
Damian Lillard,Joe Johnson,Kawhi Leonard,Carmelo Anthony,Al-Farouq Aminu,Kevin Love,Trey Lyles,Rodney Hood,245.738,298.75,48,Oct252016,6,3
C.J. McCollum,Evan Turner,Joe Johnson,Kyrie Irving,LeBron James,Draymond Green,Rudy Gobert,Dante Exum,248.068,296.5,46,Oct252016,4,3
Stephen Curry,Shelvin Mack,Kevin Durant,LeBron James,Kawhi Leonard,Ed Davis,Manu Ginobili,Jonathon Simmons,246.308,291.5,14,Oct252016,6,3
C.J. McCollum,Joe Johnson,Kawhi Leonard,Maurice Harkless,Kristaps Porzingis,LaMarcus Aldridge,Rudy Gobert,Rodney Hood,250.288,291.25,11,Oct252016,4,3
Stephen Curry,Joe Johnson,LeBron James,Kawhi Leonard,Draymond Green,Boris Diaw,Rodney Hood,Sasha Vujacic,253.298,289.5,42,Oct252016,3,3
