Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Stephen Curry,Jeff Teague,Jonas Valanciunas,Tyson Chandler,Tim Frazier,Sean Kilpatrick,Joe Johnson,LeBron James,285.818,243.5,31,Oct282016,4,8
Tyson Chandler,Deron Williams,Monta Ellis,Ish Smith,Joe Johnson,Bojan Bogdanovic,Anthony Davis,LeBron James,287.198,243.5,1,Oct282016,4,8
Russell Westbrook,Lance Stephenson,Roy Hibbert,Evan Fournier,Bojan Bogdanovic,Tyler Johnson,Draymond Green,LeBron James,284.448,243.0,14,Oct282016,6,8
Stephen Curry,Jonas Valanciunas,Monta Ellis,Ish Smith,Joe Johnson,J.J. Barea,LeBron James,Tobias Harris,285.338,242.75,49,Oct282016,4,8
Stephen Curry,Nikola Vucevic,Tim Frazier,J.R. Smith,J.J. Barea,Clint Capela,LeBron James,Tobias Harris,284.278,241.75,32,Oct282016,6,8
Russell Westbrook,Stephen Curry,Roy Hibbert,Monta Ellis,Luke Babbitt,J.J. Barea,Draymond Green,Michael Kidd-Gilchrist,292.938,241.25,12,Oct282016,3,8
Russell Westbrook,Nikola Vucevic,Roy Hibbert,Ish Smith,Joe Johnson,Bojan Bogdanovic,Tyler Johnson,LeBron James,284.688,241.25,38,Oct282016,5,8
Russell Westbrook,Jeff Teague,Alex Len,George Hill,Bojan Bogdanovic,Draymond Green,Michael Kidd-Gilchrist,Marcus Morris,289.058,240.5,33,Oct282016,3,8
Jeff Teague,Tim Frazier,Kentavious Caldwell-Pope,James Harden,Kevin Love,Michael Kidd-Gilchrist,Justise Winslow,Marcus Morris,284.388,240.0,18,Oct282016,6,8
Jeff Teague,Enes Kanter,Elfrid Payton,Tim Frazier,Thaddeus Young,Devin Booker,LeBron James,Marcus Morris,284.308,240.0,25,Oct282016,6,8
Jeff Teague,Lance Stephenson,Jonas Valanciunas,Justin Hamilton,Thaddeus Young,Bojan Bogdanovic,James Harden,LeBron James,284.948,239.75,20,Oct282016,5,8
Lance Stephenson,Alex Len,Ish Smith,James Harden,J.J. Barea,Draymond Green,LeBron James,Michael Kidd-Gilchrist,287.578,239.5,47,Oct282016,3,8
Stephen Curry,Jeff Teague,Richard Jefferson,Sean Kilpatrick,J.J. Barea,Draymond Green,Kevin Love,LeBron James,285.698,237.25,35,Oct282016,4,8
Stephen Curry,Lance Stephenson,Deron Williams,Monta Ellis,Marvin Williams,Joe Johnson,Draymond Green,LeBron James,285.078,237.25,10,Oct282016,5,8
Russell Westbrook,Jeff Teague,Willie Reed,Monta Ellis,Marvin Williams,Joe Johnson,Bojan Bogdanovic,LeBron James,285.028,236.75,15,Oct282016,5,8
Justin Hamilton,Tim Frazier,Bojan Bogdanovic,James Harden,Tyler Johnson,Draymond Green,Paul George,Michael Kidd-Gilchrist,287.788,236.5,43,Oct282016,3,8
Russell Westbrook,Roy Hibbert,Kentavious Caldwell-Pope,Joe Harris,Thaddeus Young,Bojan Bogdanovic,Draymond Green,LeBron James,284.828,236.5,28,Oct282016,5,8
Stephen Curry,Jeff Teague,Nikola Vucevic,Elfrid Payton,Roy Hibbert,Sean Kilpatrick,Kevin Durant,Michael Kidd-Gilchrist,287.778,236.25,44,Oct282016,3,8
Russell Westbrook,Jeff Teague,Alex Len,Roy Hibbert,J.J. Barea,LeBron James,Tobias Harris,Justise Winslow,290.478,235.5,24,Oct282016,3,8
Nikola Vucevic,Elfrid Payton,Deron Williams,George Hill,Monta Ellis,Draymond Green,Paul George,Michael Kidd-Gilchrist,284.548,234.25,49,Oct282016,5,8
Jeff Teague,Enes Kanter,Deron Williams,Thaddeus Young,J.J. Barea,Draymond Green,Kevin Durant,Michael Kidd-Gilchrist,288.438,234.25,37,Oct282016,3,8
Jeff Teague,Enes Kanter,Elfrid Payton,Justin Hamilton,Marvin Williams,Wesley Matthews,Kevin Durant,LeBron James,285.058,234.25,13,Oct282016,5,8
Stephen Curry,Jeff Teague,Monta Ellis,Ish Smith,J.R. Smith,Bojan Bogdanovic,Anthony Davis,Justise Winslow,285.398,234.0,48,Oct282016,4,8
