Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Dennis Schroder,Andre Drummond,Enes Kanter,Kristaps Porzingis,Trevor Booker,Klay Thompson,Seth Curry,Kevin Durant,286.758,257.5,2,Nov92016,6,0
P.J. Tucker,Dwight Howard,Paul Millsap,Stephen Curry,Noah Vonleh,Klay Thompson,Courtney Lee,Kevin Durant,289.128,257.5,45,Nov92016,3,0
DeAndre Jordan,Trevor Booker,Ish Smith,Noah Vonleh,C.J. Miles,John Wall,Kevin Durant,Carmelo Anthony,286.688,257.25,13,Nov92016,6,0
Dwight Howard,Trevor Booker,Domantas Sabonis,C.J. Miles,John Wall,Isaiah Thomas,Gordon Hayward,Marcus Morris,286.758,257.0,1,Nov92016,6,0
Dwight Howard,Marvin Williams,Noah Vonleh,Klay Thompson,Chris Paul,John Wall,Kemba Walker,Maurice Harkless,291.888,256.25,17,Nov92016,3,0
Enes Kanter,Stephen Curry,Noah Vonleh,Seth Curry,Kent Bazemore,John Wall,Kevin Durant,Gordon Hayward,294.788,255.0,6,Nov92016,3,0
Mason Plumlee,Paul Millsap,Kristaps Porzingis,Noah Vonleh,Klay Thompson,Chris Paul,Marcus Smart,Carmelo Anthony,286.878,254.0,34,Nov92016,5,0
DeAndre Jordan,Noah Vonleh,Spencer Hawes,Chris Paul,Devin Booker,John Wall,Tyus Jones,Kevin Durant,287.018,253.0,15,Nov92016,5,0
Andre Drummond,Trevor Booker,Marvin Williams,Stephen Curry,Kent Bazemore,Marcus Smart,Kevin Durant,Maurice Harkless,287.658,252.25,27,Nov92016,4,0
Dwight Howard,Stephen Curry,Jon Leuer,Avery Bradley,Klay Thompson,Kent Bazemore,Gordon Hayward,Maurice Harkless,287.608,250.75,30,Nov92016,4,0
Andre Drummond,Enes Kanter,Noah Vonleh,Courtney Lee,Chris Paul,Kyle Lowry,Kevin Durant,Maurice Harkless,290.668,249.25,29,Nov92016,3,0
Joakim Noah,Klay Thompson,Courtney Lee,Chris Paul,C.J. Miles,Kevin Durant,Eric Bledsoe,Marcus Morris,288.588,249.0,50,Nov92016,3,0
Brook Lopez,Blake Griffin,Trevor Booker,Stephen Curry,Noah Vonleh,Courtney Lee,Chris Paul,Marcus Morris,291.058,248.75,25,Nov92016,3,0
Trevor Booker,Stephen Curry,Spencer Hawes,Tyus Jones,C.J. McCollum,Kevin Durant,Gordon Hayward,Marcus Morris,287.408,248.5,40,Nov92016,4,0
Rajon Rondo,Paul Millsap,Jon Leuer,Avery Bradley,Klay Thompson,Taj Gibson,Chris Paul,C.J. Miles,286.548,247.5,43,Nov92016,6,0
Mason Plumlee,Paul Millsap,Domantas Sabonis,DeMar DeRozan,Avery Bradley,Klay Thompson,Chris Paul,DeMarre Carroll,286.578,247.25,36,Nov92016,6,0
Enes Kanter,Domantas Sabonis,DeMar DeRozan,Klay Thompson,Spencer Hawes,Chris Paul,Marcus Smart,Kevin Durant,287.338,246.75,44,Nov92016,4,0
Andre Drummond,Stephen Curry,Marquese Chriss,Avery Bradley,Klay Thompson,Brandon Jennings,Kevin Durant,Maurice Harkless,287.188,246.5,4,Nov92016,5,0
Dennis Schroder,Mason Plumlee,Blake Griffin,Klay Thompson,Chris Paul,C.J. Miles,Gordon Hayward,Maurice Harkless,289.148,246.25,44,Nov92016,3,0
Mason Plumlee,Paul Millsap,Trevor Booker,Noah Vonleh,Isaiah Thomas,C.J. McCollum,Carmelo Anthony,Gordon Hayward,287.078,246.0,10,Nov92016,5,0
Enes Kanter,Noah Vonleh,Klay Thompson,Chris Paul,Devin Booker,Eric Bledsoe,Carmelo Anthony,Andrew Wiggins,286.928,245.75,26,Nov92016,5,0
Andre Drummond,Jon Leuer,Avery Bradley,Klay Thompson,Chris Paul,Kent Bazemore,DeMarre Carroll,Carmelo Anthony,286.748,245.0,6,Nov92016,6,0
Mason Plumlee,Paul Millsap,Trevor Booker,Avery Bradley,John Wall,Tyus Jones,Kevin Durant,Maurice Harkless,289.568,244.75,40,Nov92016,3,0
Enes Kanter,Marquese Chriss,DeMar DeRozan,Avery Bradley,Klay Thompson,Kemba Walker,Kevin Durant,Maurice Harkless,286.828,243.75,42,Nov92016,5,0
Enes Kanter,Trevor Booker,Stephen Curry,Avery Bradley,Klay Thompson,Kentavious Caldwell-Pope,Isaiah Thomas,Marcus Morris,290.898,242.25,28,Nov92016,3,0
Dennis Schroder,Brook Lopez,Trevor Booker,Avery Bradley,Kent Bazemore,John Wall,Gordon Hayward,Marcus Morris,288.248,242.0,8,Nov92016,4,0
P.J. Tucker,Dennis Schroder,Enes Kanter,Paul Millsap,Trevor Booker,Kentavious Caldwell-Pope,Chris Paul,Kevin Durant,286.648,240.5,20,Nov92016,6,0
Enes Kanter,Mason Plumlee,Jon Leuer,Noah Vonleh,Klay Thompson,Chris Paul,James Harden,Andrew Wiggins,286.738,240.0,8,Nov92016,6,0
Alex Len,Marvin Williams,Stephen Curry,Klay Thompson,Chris Paul,Kent Bazemore,C.J. McCollum,Marcus Morris,290.608,239.75,30,Nov92016,3,0
Enes Kanter,Noah Vonleh,DeMar DeRozan,Avery Bradley,Chris Paul,C.J. Miles,John Wall,Marcus Morris,296.758,239.0,3,Nov92016,3,0
Mason Plumlee,Stephen Curry,Jon Leuer,Domantas Sabonis,Klay Thompson,Chris Paul,Tyus Jones,Kevin Durant,287.548,238.75,34,Nov92016,4,0
P.J. Tucker,Mason Plumlee,Klay Thompson,Seth Curry,Chris Paul,C.J. McCollum,Kevin Durant,Carmelo Anthony,286.568,238.5,40,Nov92016,6,0
Andre Drummond,Alex Len,Trevor Booker,Courtney Lee,Chris Paul,C.J. Miles,John Wall,C.J. McCollum,288.618,238.0,49,Nov92016,3,0
DeAndre Jordan,Paul Millsap,Noah Vonleh,Kent Bazemore,C.J. Miles,John Wall,Isaiah Thomas,C.J. McCollum,287.598,235.75,32,Nov92016,4,0
Andre Drummond,Domantas Sabonis,Rodney Hood,Chris Paul,Kent Bazemore,John Wall,Marcus Morris,Maurice Harkless,286.668,234.0,18,Nov92016,6,0
Mason Plumlee,Noah Vonleh,Marquese Chriss,Chris Paul,John Wall,Marcus Smart,Kevin Durant,Carmelo Anthony,286.608,232.25,30,Nov92016,6,0
Dennis Schroder,Andre Drummond,Enes Kanter,Paul Millsap,Klay Thompson,Kent Bazemore,Isaiah Thomas,Maurice Harkless,286.638,232.25,23,Nov92016,6,0
Mason Plumlee,Trevor Booker,Stephen Curry,Avery Bradley,Chris Paul,Kent Bazemore,C.J. Miles,Andrew Wiggins,292.578,230.75,14,Nov92016,3,0
Dennis Schroder,Mason Plumlee,Paul Millsap,Stephen Curry,Noah Vonleh,C.J. McCollum,Gordon Hayward,Marcus Morris,286.608,230.0,28,Nov92016,6,0
Enes Kanter,Blake Griffin,Trevor Booker,Klay Thompson,Chris Paul,Kent Bazemore,John Wall,Tyus Jones,293.168,228.75,11,Nov92016,3,0
Mason Plumlee,Stephen Curry,Domantas Sabonis,Noah Vonleh,Avery Bradley,Klay Thompson,John Wall,Carmelo Anthony,288.358,227.5,3,Nov92016,4,0
Mason Plumlee,Paul Millsap,Trevor Booker,Klay Thompson,Bradley Beal,Chris Paul,Isaiah Thomas,DeMarre Carroll,286.608,219.25,27,Nov92016,6,0
Damian Lillard,Dennis Schroder,Enes Kanter,Noah Vonleh,Klay Thompson,Rodney Hood,Chris Paul,Andrew Wiggins,286.518,206.25,50,Nov92016,6,0
P.J. Tucker,Dennis Schroder,Enes Kanter,Trevor Booker,Chris Paul,C.J. McCollum,Kevin Durant,Marcus Morris,286.598,197.0,32,Nov92016,6,0
