Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Rodney Hood,Rudy Gay,Brook Lopez,C.J. McCollum,Kyle O'Quinn,Jeff Teague,Rajon Rondo,Jimmy Butler,275.288,326.25,43,Nov202016,6,6
Lou Williams,Danilo Gallinari,Thaddeus Young,Brook Lopez,Kent Bazemore,Kyle O'Quinn,Russell Westbrook,Jeff Teague,275.638,326.0,40,Nov202016,5,6
Paul Millsap,Danilo Gallinari,Thaddeus Young,Nikola Mirotic,Robin Lopez,Brook Lopez,Jeff Teague,DeMar DeRozan,275.578,317.75,48,Nov202016,5,6
Thaddeus Young,Nikola Mirotic,Patrick Patterson,Derrick Rose,Brook Lopez,Russell Westbrook,Ty Lawson,Jimmy Butler,282.098,316.75,12,Nov202016,3,6
Nikola Mirotic,Maurice Harkless,Brook Lopez,Kent Bazemore,Kyle Lowry,Jeff Teague,Rajon Rondo,Jimmy Butler,275.348,316.75,36,Nov202016,6,6
Monta Ellis,Lou Williams,Glenn Robinson III,Pascal Siakam,Brook Lopez,Mason Plumlee,Russell Westbrook,Jimmy Butler,275.608,315.25,44,Nov202016,5,6
Paul Millsap,Thaddeus Young,Robin Lopez,Rondae Hollis-Jefferson,C.J. McCollum,Kyle O'Quinn,Russell Westbrook,Rajon Rondo,276.348,313.5,41,Nov202016,4,6
Rodney Hood,Monta Ellis,Rudy Gay,Glenn Robinson III,Nikola Mirotic,Brook Lopez,Russell Westbrook,Emmanuel Mudiay,275.698,312.75,34,Nov202016,5,6
Glenn Robinson III,Victor Oladipo,Rudy Gobert,DeMarre Carroll,Brook Lopez,Kent Bazemore,Russell Westbrook,Jeff Teague,275.618,312.5,42,Nov202016,5,6
Monta Ellis,Paul Millsap,Nikola Mirotic,Carmelo Anthony,Brook Lopez,C.J. McCollum,Kyle O'Quinn,Kyle Lowry,284.658,309.75,4,Nov202016,3,6
Lou Williams,Trevor Booker,Nikola Mirotic,Rudy Gobert,Kyle O'Quinn,Russell Westbrook,Rajon Rondo,Jimmy Butler,278.588,308.5,38,Nov202016,3,6
Glenn Robinson III,Carmelo Anthony,Brook Lopez,Russell Westbrook,Kyle Lowry,Ty Lawson,Taj Gibson,Joe Johnson,281.158,307.5,16,Nov202016,3,6
Danilo Gallinari,Trevor Booker,Julius Randle,Carmelo Anthony,Brook Lopez,Kyle O'Quinn,Jeff Teague,Jimmy Butler,275.538,307.25,4,Nov202016,6,6
Monta Ellis,Wilson Chandler,Glenn Robinson III,Nikola Mirotic,Mason Plumlee,Russell Westbrook,Kyle Lowry,Rajon Rondo,277.418,307.0,2,Nov202016,4,6
Glenn Robinson III,Trevor Booker,Nikola Mirotic,Rondae Hollis-Jefferson,Brook Lopez,Evan Turner,Russell Westbrook,DeMarcus Cousins,276.758,305.0,26,Nov202016,4,6
