Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Andre Iguodala,Dwyane Wade,Evan Fournier,Kevin Love,Paul Millsap,Kristaps Porzingis,Jrue Holiday,Tyson Chandler,271.568,335.75,19,Dec132016,5,6
Elfrid Payton,Eric Bledsoe,Karl-Anthony Towns,Andre Roberson,Kristaps Porzingis,Dennis Schroder,Jared Dudley,Dwight Howard,273.708,335.0,45,Dec132016,3,6
Stephen Curry,Elfrid Payton,P.J. Tucker,Troy Williams,Klay Thompson,Karl-Anthony Towns,Kevin Love,Dennis Schroder,271.588,327.25,17,Dec132016,5,6
Elfrid Payton,Andre Iguodala,Evan Fournier,Damian Lillard,Eric Bledsoe,Zach Randolph,Paul Millsap,Dwight Howard,272.668,321.5,15,Dec132016,4,6
Robin Lopez,P.J. Tucker,Zach LaVine,Damian Lillard,Eric Bledsoe,Kyle O'Quinn,Paul Millsap,Dennis Schroder,271.498,320.5,25,Dec132016,5,6
Stephen Curry,Andre Iguodala,Andrew Harrison,Dwyane Wade,Evan Fournier,Eric Bledsoe,Karl-Anthony Towns,Tyson Chandler,272.868,319.0,3,Dec132016,4,6
P.J. Tucker,Courtney Lee,Damian Lillard,Eric Bledsoe,Serge Ibaka,Kristaps Porzingis,Dennis Schroder,Mason Plumlee,272.458,319.0,20,Dec132016,4,6
Stephen Curry,Elfrid Payton,Carmelo Anthony,Andrew Harrison,Evan Fournier,Kevin Love,Paul Millsap,Jared Dudley,272.468,318.5,18,Dec132016,4,6
Elfrid Payton,Dwyane Wade,Tony Allen,Eric Bledsoe,Kevin Love,Nikola Mirotic,Paul Millsap,Dennis Schroder,281.778,314.75,2,Dec132016,3,6
Andre Iguodala,Andrew Harrison,Klay Thompson,Evan Fournier,Eric Bledsoe,Kevin Love,Serge Ibaka,Paul Millsap,272.038,312.5,34,Dec132016,4,6
Stephen Curry,Andre Iguodala,Tim Hardaway Jr.,Dwyane Wade,Eric Bledsoe,Kyle O'Quinn,Paul Millsap,Dwight Howard,271.178,310.5,10,Dec132016,6,6
P.J. Tucker,C.J. McCollum,Jerian Grant,Kevin Love,Paul Millsap,Kristaps Porzingis,Dennis Schroder,Mason Plumlee,272.778,309.0,7,Dec132016,4,6
Elfrid Payton,C.J. McCollum,Dwyane Wade,Serge Ibaka,Evan Turner,Paul Millsap,Jrue Holiday,Dwight Howard,272.678,307.75,14,Dec132016,4,6
Andre Iguodala,Andrew Harrison,Klay Thompson,Eric Bledsoe,Karl-Anthony Towns,Kristaps Porzingis,Jrue Holiday,Mason Plumlee,271.148,307.5,15,Dec132016,6,6
Elfrid Payton,Andre Iguodala,Andrew Harrison,Buddy Hield,Eric Bledsoe,Karl-Anthony Towns,LeBron James,Paul Millsap,271.528,306.25,24,Dec132016,5,6
Troy Williams,Dwyane Wade,Klay Thompson,Evan Fournier,Eric Bledsoe,Serge Ibaka,Dennis Schroder,Dwight Howard,272.768,306.0,9,Dec132016,4,6
Stephen Curry,Troy Williams,Andrew Harrison,Dwyane Wade,Paul Millsap,Kristaps Porzingis,Dennis Schroder,Steven Adams,274.868,306.0,28,Dec132016,3,6
Elfrid Payton,C.J. McCollum,Dwyane Wade,Jerian Grant,Karl-Anthony Towns,Kevin Love,Kyle Korver,Kristaps Porzingis,271.188,305.75,8,Dec132016,6,6
Elfrid Payton,Andrew Harrison,Dwyane Wade,Courtney Lee,Damian Lillard,Kevin Durant,Paul Millsap,Tyson Chandler,275.088,305.5,26,Dec132016,3,6
Damian Lillard,Eric Bledsoe,Ed Davis,Anthony Morrow,Paul Millsap,Kristaps Porzingis,Dennis Schroder,Tyson Chandler,272.788,305.0,6,Dec132016,4,6
Andre Iguodala,C.J. McCollum,Buddy Hield,Eric Bledsoe,Serge Ibaka,Paul Millsap,Kristaps Porzingis,Dennis Schroder,271.018,304.25,44,Dec132016,6,6
Stephen Curry,Elfrid Payton,Carmelo Anthony,Andre Iguodala,Dwyane Wade,Klay Thompson,Serge Ibaka,Dennis Schroder,272.008,304.0,35,Dec132016,4,6
Stephen Curry,Joakim Noah,Dwyane Wade,Eric Bledsoe,Nikola Mirotic,Kristaps Porzingis,Jrue Holiday,Mason Plumlee,271.128,303.75,20,Dec132016,6,6
Andre Iguodala,C.J. McCollum,Klay Thompson,Evan Fournier,Damian Lillard,Kevin Love,Dennis Schroder,Tyson Chandler,271.598,300.25,16,Dec132016,5,6
