Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
John Wall,C.J. Miles,Klay Thompson,Langston Galloway,Kemba Walker,Anthony Davis,Spencer Hawes,Markieff Morris,280.808,291.0,35,Nov72016,3,0
Blake Griffin,Trevor Ariza,C.J. Miles,Klay Thompson,Shelvin Mack,James Harden,Kemba Walker,Cody Zeller,276.248,291.0,33,Nov72016,6,0
Gordon Hayward,C.J. Miles,Klay Thompson,Chris Paul,Shelvin Mack,Tyler Johnson,Anthony Davis,Joel Embiid,286.638,279.25,7,Nov72016,3,0
Nicolas Batum,Klay Thompson,Langston Galloway,Shelvin Mack,James Harden,Spencer Hawes,Kevin Durant,Marcin Gortat,284.638,278.5,12,Nov72016,3,0
Blake Griffin,C.J. Miles,Bradley Beal,Langston Galloway,Shelvin Mack,James Harden,Draymond Green,DeAndre Jordan,276.458,277.5,6,Nov72016,6,0
Doug McDermott,C.J. Miles,Chris Paul,Beno Udrih,James Harden,Spencer Hawes,Kevin Durant,Joel Embiid,277.088,275.25,49,Nov72016,4,0
Paul George,C.J. Miles,Klay Thompson,Shelvin Mack,James Harden,Kemba Walker,Trey Lyles,Nikola Vucevic,277.028,275.0,3,Nov72016,5,0
Jon Leuer,E'Twaun Moore,Shelvin Mack,James Harden,Tyler Johnson,Anthony Davis,James Johnson,Andre Drummond,281.498,273.5,29,Nov72016,3,0
John Wall,Blake Griffin,Nicolas Batum,Rodney Hood,Chris Paul,Shelvin Mack,Spencer Hawes,Joel Embiid,286.098,271.75,9,Nov72016,3,0
Paul George,C.J. Miles,Chris Paul,James Harden,Tyler Johnson,James Johnson,Marcin Gortat,Zaza Pachulia,276.268,271.0,30,Nov72016,6,0
John Wall,Jon Leuer,Sergio Rodriguez,C.J. Miles,Rodney Hood,James Harden,Spencer Hawes,Nikola Vucevic,276.488,270.0,2,Nov72016,6,0
Blake Griffin,Jon Leuer,Justise Winslow,Marco Belinelli,Chris Paul,Shelvin Mack,Anthony Davis,Marcin Gortat,276.538,269.75,47,Nov72016,5,0
Blake Griffin,E'Twaun Moore,Chris Paul,Shelvin Mack,James Harden,Dario Saric,Marcin Gortat,Robin Lopez,277.818,264.0,22,Nov72016,4,0
John Wall,Ersan Ilyasova,Trevor Ariza,Jimmy Butler,Chris Paul,Shelvin Mack,DeAndre Jordan,Marcin Gortat,277.388,264.0,36,Nov72016,4,0
John Wall,Monta Ellis,E'Twaun Moore,Shelvin Mack,James Harden,Draymond Green,Spencer Hawes,Aaron Gordon,281.508,263.75,28,Nov72016,3,0
John Wall,Sergio Rodriguez,E'Twaun Moore,Chris Paul,Spencer Hawes,Kevin Durant,Jeff Green,Marcin Gortat,279.738,261.5,43,Nov72016,3,0
