Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Rudy Gobert,Nikola Jokic,Ryan Anderson,Bojan Bogdanovic,Dwyane Wade,Wesley Matthews,Chris Paul,Damian Lillard,284.488,320.75,39,Dec102016,6,10
Rudy Gobert,Nikola Jokic,Marvin Williams,Jimmy Butler,Bojan Bogdanovic,Eric Gordon,Jeff Teague,LeBron James,285.398,313.75,29,Dec102016,4,10
Rudy Gobert,Nikola Jokic,C.J. McCollum,Marvin Williams,Nicolas Batum,Evan Fournier,Chris Paul,Rajon Rondo,286.468,306.25,43,Dec102016,3,10
Hassan Whiteside,Robin Lopez,Frank Kaminsky,Jimmy Butler,Bojan Bogdanovic,Wesley Matthews,Rajon Rondo,LeBron James,287.008,305.5,38,Dec102016,3,10
Nikola Jokic,Robin Lopez,JaMychal Green,Nicolas Batum,Wesley Matthews,Damian Lillard,Elfrid Payton,LeBron James,287.658,302.25,25,Dec102016,3,10
Rudy Gobert,Robin Lopez,Frank Kaminsky,Nicolas Batum,Bojan Bogdanovic,Dwyane Wade,Chris Paul,Damian Lillard,284.608,301.75,10,Dec102016,6,10
Hassan Whiteside,Nikola Jokic,Marvin Williams,Bojan Bogdanovic,Klay Thompson,Malcolm Brogdon,Chris Paul,LeBron James,284.568,298.0,18,Dec102016,6,10
Brook Lopez,Robin Lopez,Marvin Williams,Dwyane Wade,Rodney Stuckey,Chris Paul,Jeff Teague,LeBron James,284.498,294.75,36,Dec102016,6,10
Brook Lopez,Robin Lopez,Darrell Arthur,Nicolas Batum,Bojan Bogdanovic,Bradley Beal,Chris Paul,LeBron James,284.898,291.25,14,Dec102016,5,10
Rudy Gobert,Brook Lopez,Trevor Booker,Nicolas Batum,Bojan Bogdanovic,Evan Fournier,Tyler Johnson,LeBron James,284.818,290.25,23,Dec102016,5,10
Pau Gasol,Nikola Jokic,Evan Fournier,Rodney McGruder,Damian Lillard,Jeff Teague,Rajon Rondo,LeBron James,286.808,289.75,40,Dec102016,3,10
Nikola Jokic,Greg Monroe,Nicolas Batum,Sean Kilpatrick,Tony Allen,Chris Paul,LeBron James,Trevor Ariza,288.418,288.25,18,Dec102016,3,10
Rudy Gobert,Nikola Jokic,Trevor Booker,Nicolas Batum,Evan Turner,Dwyane Wade,Patty Mills,LeBron James,285.648,287.25,11,Dec102016,4,10
Nikola Jokic,John Henson,Frank Kaminsky,Jimmy Butler,Evan Turner,Sean Kilpatrick,Damian Lillard,LeBron James,286.378,285.25,45,Dec102016,3,10
Rudy Gobert,Brook Lopez,Trevor Booker,Marvin Williams,Dwyane Wade,Jamal Crawford,Jeff Teague,LeBron James,284.658,284.25,2,Dec102016,6,10
Nikola Jokic,Alexis Ajinca,Jimmy Butler,Nicolas Batum,Bradley Beal,Rajon Rondo,Patrick Beverley,LeBron James,285.588,284.0,16,Dec102016,4,10
Rudy Gobert,Nikola Jokic,Trevor Booker,Jimmy Butler,C.J. Miles,Rajon Rondo,Elfrid Payton,LeBron James,285.318,279.75,36,Dec102016,4,10
Brook Lopez,Greg Monroe,Bojan Bogdanovic,Sean Kilpatrick,Wesley Matthews,Damian Lillard,Jeff Teague,LeBron James,291.488,279.75,6,Dec102016,3,10
Rudy Gobert,Brook Lopez,Frank Kaminsky,Nicolas Batum,Klay Thompson,Wesley Matthews,Patrick Beverley,LeBron James,284.718,279.25,37,Dec102016,5,10
Rudy Gobert,Nikola Jokic,Bojan Bogdanovic,Sean Kilpatrick,Jamal Crawford,Jameer Nelson,LeBron James,Kevin Durant,284.508,278.25,35,Dec102016,6,10
Brook Lopez,Nikola Jokic,Jimmy Butler,Nicolas Batum,Jamal Crawford,Damian Lillard,Patrick Beverley,Harrison Barnes,284.468,278.0,44,Dec102016,6,10
Nikola Jokic,Marvin Williams,Kevin Love,Dwyane Wade,Sean Kilpatrick,Wesley Matthews,Rajon Rondo,LeBron James,289.858,277.0,11,Dec102016,3,10
Brook Lopez,John Henson,Marvin Williams,Nicolas Batum,Tony Allen,Damian Lillard,Rajon Rondo,LeBron James,287.128,276.75,35,Dec102016,3,10
Pau Gasol,Nikola Jokic,Trevor Booker,Ryan Anderson,Darren Collison,Jimmy Butler,Nicolas Batum,LeBron James,284.598,274.0,14,Dec102016,6,10
Marcin Gortat,Robin Lopez,Trevor Booker,Marvin Williams,Nicolas Batum,Evan Turner,Chris Paul,LeBron James,285.368,273.0,32,Dec102016,4,10
Michael Kidd-Gilchrist,Hassan Whiteside,Nikola Jokic,Marvin Williams,Rodney Stuckey,Damian Lillard,LeBron James,Harrison Barnes,284.618,272.5,7,Dec102016,6,10
Nikola Jokic,Robin Lopez,Evan Turner,Bojan Bogdanovic,Klay Thompson,John Wall,Jeff Teague,LeBron James,284.528,271.5,26,Dec102016,6,10
Nikola Jokic,Robin Lopez,Trevor Booker,Evan Turner,Eric Gordon,John Wall,Rajon Rondo,LeBron James,284.558,270.0,20,Dec102016,6,10
Hassan Whiteside,Robin Lopez,C.J. McCollum,Trevor Booker,Marvin Williams,Wesley Matthews,Damian Lillard,Harrison Barnes,284.898,269.75,12,Dec102016,5,10
Nikola Jokic,Robin Lopez,Jimmy Butler,Bradley Beal,Eric Gordon,Damian Lillard,Rajon Rondo,Trevor Ariza,284.878,268.75,16,Dec102016,5,10
Michael Kidd-Gilchrist,Hassan Whiteside,Nikola Jokic,Bradley Beal,Jamal Crawford,Rajon Rondo,LeBron James,Trevor Ariza,285.358,268.25,33,Dec102016,4,10
Rudy Gobert,Greg Monroe,Trevor Booker,Nicolas Batum,Bojan Bogdanovic,Bradley Beal,Deron Williams,LeBron James,284.488,267.25,40,Dec102016,6,10
Rudy Gobert,Brook Lopez,C.J. McCollum,JaMychal Green,Trevor Booker,Nicolas Batum,Wesley Matthews,Harrison Barnes,284.608,267.0,12,Dec102016,6,10
Hassan Whiteside,Nikola Jokic,JaMychal Green,Matthew Dellavedova,Sean Kilpatrick,Jeff Teague,Patrick Beverley,LeBron James,287.528,265.5,28,Dec102016,3,10
Rudy Gobert,Greg Monroe,Trevor Booker,Evan Turner,Sean Kilpatrick,Evan Fournier,Chris Paul,Damian Lillard,286.618,263.75,41,Dec102016,3,10
DeMarcus Cousins,Nikola Jokic,Frank Kaminsky,Nicolas Batum,Eric Gordon,Malcolm Brogdon,Rajon Rondo,LeBron James,284.518,263.25,31,Dec102016,6,10
DeMarcus Cousins,Pau Gasol,Bojan Bogdanovic,Sean Kilpatrick,Tony Allen,Rajon Rondo,Patty Mills,LeBron James,284.518,263.25,29,Dec102016,6,10
Mason Plumlee,John Henson,Trevor Booker,Sean Kilpatrick,Chris Paul,Rajon Rondo,Patrick Beverley,LeBron James,285.338,262.5,34,Dec102016,4,10
Rudy Gobert,Brook Lopez,C.J. McCollum,Frank Kaminsky,Jimmy Butler,Sean Kilpatrick,Jeff Teague,Trevor Ariza,284.828,262.25,20,Dec102016,5,10
