Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
DeMar DeRozan,Ish Smith,Evan Fournier,Lucas Nogueira,Isaiah Thomas,Markieff Morris,Kemba Walker,Gordon Hayward,278.468,318.5,23,Nov112016,3,8
Marvin Williams,Avery Bradley,Evan Fournier,Al Jefferson,C.J. McCollum,Isaiah Thomas,Kyle Lowry,Gordon Hayward,275.298,310.5,42,Nov112016,5,8
Marvin Williams,Ish Smith,Mason Plumlee,C.J. McCollum,Iman Shumpert,DeMarcus Cousins,Paul George,Gordon Hayward,275.298,307.75,41,Nov112016,5,8
Derrick Favors,Rodney Hood,Ish Smith,Mason Plumlee,Enes Kanter,Isaiah Thomas,Kemba Walker,Paul George,275.488,303.75,15,Nov112016,5,8
Channing Frye,Noah Vonleh,DeMar DeRozan,Mason Plumlee,C.J. McCollum,Isaiah Thomas,Kemba Walker,Paul George,275.148,296.75,24,Nov112016,6,8
Marvin Williams,Courtney Lee,Andre Drummond,Dante Exum,Isaiah Thomas,Kemba Walker,Paul George,Gordon Hayward,276.148,295.25,17,Nov112016,4,8
Marvin Williams,Evan Fournier,Marcus Thornton,Joel Embiid,Chris Paul,DeMarre Carroll,DeMarcus Cousins,Kemba Walker,275.798,294.0,36,Nov112016,4,8
Marvin Williams,Richaun Holmes,Evan Fournier,Joel Embiid,C.J. Miles,Isaiah Thomas,Kyrie Irving,DeMarcus Cousins,275.728,292.5,43,Nov112016,4,8
Kentavious Caldwell-Pope,Marcus Thornton,Enes Kanter,Iman Shumpert,Isaiah Thomas,LeBron James,Kemba Walker,Gordon Hayward,278.968,290.5,18,Nov112016,3,8
Derrick Favors,Derrick Rose,DeMar DeRozan,Ish Smith,Mason Plumlee,Enes Kanter,Paul George,Gordon Hayward,275.088,290.25,50,Nov112016,6,8
John Wall,Marvin Williams,DeMar DeRozan,Rodney Hood,Joel Embiid,Lucas Nogueira,C.J. Miles,Kemba Walker,275.548,289.0,10,Nov112016,5,8
Kentavious Caldwell-Pope,Marcus Thornton,Joel Embiid,C.J. McCollum,Markieff Morris,Kemba Walker,Paul George,Jeff Teague,275.228,288.25,6,Nov112016,6,8
Ish Smith,Marcus Thornton,Joel Embiid,Mason Plumlee,C.J. Miles,LeBron James,Kyle Lowry,Kemba Walker,278.088,287.75,31,Nov112016,3,8
Frank Kaminsky,DeMar DeRozan,Nikola Vucevic,Mason Plumlee,Iman Shumpert,Isaiah Thomas,Kemba Walker,Paul George,275.088,287.25,49,Nov112016,6,8
Marvin Williams,Enes Kanter,C.J. McCollum,C.J. Miles,Damian Lillard,Isaiah Thomas,Gordon Hayward,Marcus Morris,275.648,286.25,50,Nov112016,4,8
Jon Leuer,Marcus Thornton,Joel Embiid,C.J. McCollum,Dante Exum,DeMarcus Cousins,Kemba Walker,Paul George,275.208,285.0,12,Nov112016,6,8
DeMar DeRozan,Kentavious Caldwell-Pope,Mason Plumlee,Isaiah Thomas,Kyrie Irving,Spencer Hawes,Kemba Walker,Maurice Harkless,275.138,284.75,32,Nov112016,6,8
Jon Leuer,DeMar DeRozan,Rodney Hood,Mason Plumlee,Chris Paul,Dante Exum,Kemba Walker,Gordon Hayward,278.358,284.75,25,Nov112016,3,8
Derrick Favors,DeMar DeRozan,Marcus Thornton,Bismack Biyombo,Isaiah Thomas,Kyle Lowry,Kemba Walker,Maurice Harkless,275.788,284.0,37,Nov112016,4,8
Richaun Holmes,DeMar DeRozan,Kentavious Caldwell-Pope,Joel Embiid,Al Jefferson,Isaiah Thomas,Kyle Lowry,Paul George,278.308,284.0,27,Nov112016,3,8
Marvin Williams,DeMar DeRozan,Avery Bradley,Ish Smith,Mason Plumlee,Chris Paul,Iman Shumpert,Paul George,275.128,283.5,34,Nov112016,6,8
John Wall,Frank Kaminsky,Evan Fournier,Joel Embiid,Isaiah Thomas,DeMarre Carroll,Kyle Lowry,Gordon Hayward,275.178,281.5,19,Nov112016,6,8
Marvin Williams,DeMar DeRozan,Dante Exum,Isaiah Thomas,LeBron James,Marreese Speights,Kemba Walker,Maurice Harkless,275.778,281.25,38,Nov112016,4,8
Marvin Williams,Noah Vonleh,Evan Fournier,Iman Shumpert,Damian Lillard,Isaiah Thomas,DeMarcus Cousins,Gordon Hayward,276.378,280.0,8,Nov112016,4,8
Marvin Williams,DeMar DeRozan,Ish Smith,Kentavious Caldwell-Pope,Al Jefferson,Damian Lillard,Kyrie Irving,Gordon Hayward,277.118,279.75,43,Nov112016,3,8
Channing Frye,DeMar DeRozan,Kentavious Caldwell-Pope,Mason Plumlee,Brandon Jennings,C.J. McCollum,Isaiah Thomas,LeBron James,275.438,279.25,18,Nov112016,5,8
Marvin Williams,Evan Fournier,Joel Embiid,Brandon Jennings,Damian Lillard,Kyle Lowry,Carmelo Anthony,Gordon Hayward,275.708,279.25,44,Nov112016,4,8
Marvin Williams,Courtney Lee,Joel Embiid,C.J. Miles,Kyrie Irving,Kyle Lowry,Paul George,Gordon Hayward,275.148,278.5,25,Nov112016,6,8
Courtney Lee,Joel Embiid,Dante Exum,Markieff Morris,DeMarcus Cousins,Kemba Walker,Gordon Hayward,Jeff Teague,275.978,278.25,27,Nov112016,4,8
Frank Kaminsky,DeMar DeRozan,Joel Embiid,Chris Paul,Iman Shumpert,C.J. Miles,Kyle Lowry,Gordon Hayward,275.958,277.5,28,Nov112016,4,8
Rodney Hood,Marcus Thornton,Lucas Nogueira,Dante Exum,DeMarcus Cousins,Kyle Lowry,Kemba Walker,Paul George,275.298,277.5,45,Nov112016,5,8
Derrick Rose,Channing Frye,Ish Smith,Evan Fournier,Mason Plumlee,Chris Paul,DeMarcus Cousins,Gordon Hayward,276.238,275.5,14,Nov112016,4,8
Ish Smith,Evan Fournier,Iman Shumpert,C.J. Miles,DeMarcus Cousins,Paul George,Gordon Hayward,Jeff Teague,275.168,275.25,21,Nov112016,6,8
Marvin Williams,Richaun Holmes,DeMar DeRozan,Courtney Lee,Chris Paul,Iman Shumpert,DeMarcus Cousins,Gordon Hayward,275.388,275.0,25,Nov112016,5,8
Ish Smith,Mason Plumlee,Iman Shumpert,DeMarcus Cousins,Kemba Walker,Carmelo Anthony,Gordon Hayward,Marcus Morris,275.568,274.0,8,Nov112016,5,8
Jon Leuer,Mason Plumlee,Iman Shumpert,Isaiah Thomas,Kyrie Irving,DeMarcus Cousins,Gordon Hayward,Maurice Harkless,275.678,274.0,48,Nov112016,4,8
