Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
C.J. McCollum,DeAndre Jordan,Greg Monroe,Sean Kilpatrick,Evan Turner,Wilson Chandler,Giannis Antetokounmpo,Jeff Teague,294.728,304.25,36,Dec72016,3,0
Jared Dudley,Sean Kilpatrick,Josh McRoberts,LeBron James,Giannis Antetokounmpo,Jeff Teague,Patrick Beverley,Al Horford,292.798,298.75,46,Dec72016,4,0
C.J. McCollum,DeMarcus Cousins,Jared Dudley,Wesley Matthews,Wilson Chandler,Jeff Teague,Brandon Jennings,Al Horford,292.668,298.5,7,Dec72016,5,0
James Harden,Greg Monroe,Dwight Powell,Courtney Lee,Marcus Smart,Tobias Harris,Giannis Antetokounmpo,Jeff Teague,292.168,294.5,24,Dec72016,6,0
Eric Gordon,Wesley Matthews,Josh McRoberts,Wilson Chandler,Giannis Antetokounmpo,Goran Dragic,Dennis Schroder,Al Horford,296.428,289.75,20,Dec72016,3,0
C.J. McCollum,Brook Lopez,Nikola Vucevic,Julius Randle,Sean Kilpatrick,Marcus Smart,Giannis Antetokounmpo,Elfrid Payton,295.998,289.0,26,Dec72016,3,0
Brook Lopez,Kevin Love,Avery Bradley,Courtney Lee,Marcus Smart,Giannis Antetokounmpo,Goran Dragic,Brandon Jennings,292.068,288.75,48,Dec72016,6,0
James Harden,DeAndre Jordan,Greg Monroe,Trevor Booker,Courtney Lee,Marcus Smart,Giannis Antetokounmpo,Elfrid Payton,292.178,286.75,22,Dec72016,6,0
C.J. McCollum,Nikola Vucevic,Maurice Harkless,Eric Gordon,Jeff Green,Giannis Antetokounmpo,Jeff Teague,Al Horford,292.218,283.0,15,Dec72016,6,0
DeMarcus Cousins,Sean Kilpatrick,Courtney Lee,Marcus Smart,Eric Bledsoe,Jeff Teague,Elfrid Payton,Al Horford,295.058,282.75,34,Dec72016,3,0
Clint Capela,Kevin Love,Wesley Matthews,Courtney Lee,Nicolas Batum,Giannis Antetokounmpo,Goran Dragic,Brandon Jennings,292.538,282.5,22,Dec72016,5,0
Greg Monroe,Avery Bradley,Nicolas Batum,Rudy Gay,Giannis Antetokounmpo,Dennis Schroder,Tim Hardaway Jr.,Al Horford,292.488,282.0,28,Dec72016,5,0
DeAndre Jordan,Nikola Vucevic,Maurice Harkless,Eric Gordon,Wilson Chandler,Giannis Antetokounmpo,Eric Bledsoe,Tim Hardaway Jr.,292.318,282.0,45,Dec72016,5,0
C.J. McCollum,Kevin Love,Wesley Matthews,Josh McRoberts,Courtney Lee,Rudy Gay,Giannis Antetokounmpo,Jeff Teague,293.758,280.75,2,Dec72016,4,0
Brook Lopez,Klay Thompson,Eric Gordon,Rudy Gay,Giannis Antetokounmpo,Elfrid Payton,Tim Hardaway Jr.,Al Horford,292.348,280.25,43,Dec72016,5,0
C.J. McCollum,Kevin Love,Dwight Powell,Sean Kilpatrick,Eric Gordon,Tobias Harris,Giannis Antetokounmpo,Brandon Jennings,296.798,280.25,18,Dec72016,3,0
James Harden,Brook Lopez,Julius Randle,Courtney Lee,Tobias Harris,Jeff Teague,Tim Hardaway Jr.,Al Horford,292.828,279.5,43,Dec72016,4,0
Greg Monroe,Julius Randle,Maurice Harkless,Courtney Lee,Giannis Antetokounmpo,Eric Bledsoe,Goran Dragic,Al Horford,297.008,278.75,16,Dec72016,3,0
DeMarcus Cousins,Jared Dudley,Eric Gordon,Josh McRoberts,Nicolas Batum,Giannis Antetokounmpo,Kemba Walker,Tim Hardaway Jr.,292.318,277.75,46,Dec72016,5,0
C.J. McCollum,Greg Monroe,Dwight Powell,Kentavious Caldwell-Pope,Courtney Lee,Kevin Durant,Giannis Antetokounmpo,Dennis Schroder,293.078,277.5,31,Dec72016,4,0
DeMarcus Cousins,Dwight Powell,Maurice Harkless,Lou Williams,Sean Kilpatrick,Giannis Antetokounmpo,Elfrid Payton,Tim Hardaway Jr.,295.448,276.0,30,Dec72016,3,0
C.J. McCollum,Nikola Vucevic,Greg Monroe,Sean Kilpatrick,Courtney Lee,LeBron James,Goran Dragic,Dennis Schroder,293.558,275.25,7,Dec72016,4,0
DeAndre Jordan,DeMarcus Cousins,Maurice Harkless,Eric Gordon,Wesley Matthews,Goran Dragic,Jeff Teague,Tim Hardaway Jr.,293.678,273.75,4,Dec72016,4,0
C.J. McCollum,Brook Lopez,Eric Gordon,Courtney Lee,Kevin Durant,Eric Bledsoe,Brandon Jennings,Al Horford,293.698,273.5,3,Dec72016,4,0
Greg Monroe,Jared Dudley,Avery Bradley,Kevin Durant,Goran Dragic,Jeff Teague,Dennis Schroder,Al Horford,292.068,272.5,47,Dec72016,6,0
DeMarcus Cousins,Jared Dudley,Sean Kilpatrick,Kentavious Caldwell-Pope,Josh McRoberts,Marcus Smart,Giannis Antetokounmpo,Dennis Schroder,293.098,272.0,30,Dec72016,4,0
Brook Lopez,Jared Dudley,Lou Williams,Kevin Durant,Goran Dragic,Jeff Teague,Brandon Jennings,Al Horford,292.108,271.75,36,Dec72016,6,0
Kevin Love,Maurice Harkless,Sean Kilpatrick,Wesley Matthews,Nicolas Batum,Tobias Harris,Jeff Teague,Al Horford,292.308,271.75,48,Dec72016,5,0
Jared Dudley,Dwight Powell,Eric Gordon,Marcus Smart,Giannis Antetokounmpo,Goran Dragic,Jeff Teague,Hassan Whiteside,292.488,271.5,29,Dec72016,5,0
Greg Monroe,Sean Kilpatrick,Wesley Matthews,Kevin Durant,Giannis Antetokounmpo,Elfrid Payton,Brandon Jennings,Al Horford,301.928,271.5,2,Dec72016,3,0
DeMarcus Cousins,Maurice Harkless,Lou Williams,Eric Gordon,Marcus Smart,Goran Dragic,Brandon Jennings,Al Horford,292.288,271.5,5,Dec72016,6,0
