Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Blake Griffin,Kenneth Faried,Jared Dudley,Cody Zeller,Jordan Clarkson,Nicolas Batum,Chris Paul,Kyle Lowry,280.428,323.25,9,Nov182016,5,10
P.J. Tucker,Lou Williams,J.J. Redick,Blake Griffin,Jordan Clarkson,DeMarcus Cousins,Kyle Lowry,Mike Conley,281.868,319.75,45,Nov182016,3,10
DeMar DeRozan,Seth Curry,Blake Griffin,Marvin Williams,Tony Parker,Alex Len,Kent Bazemore,DeMarcus Cousins,279.998,310.5,31,Nov182016,6,10
Monta Ellis,Lou Williams,Zach Randolph,Tony Parker,Pau Gasol,Nicolas Batum,Chris Paul,DeMarcus Cousins,282.688,310.25,38,Nov182016,3,10
Emmanuel Mudiay,Zach Randolph,Jared Dudley,Brook Lopez,C.J. McCollum,Evan Turner,Chris Paul,DeMarcus Cousins,280.148,308.75,47,Nov182016,5,10
Stephen Curry,J.J. Redick,Jared Dudley,Brook Lopez,Alex Len,Jordan Clarkson,Kyle Lowry,Kawhi Leonard,280.008,306.25,27,Nov182016,6,10
P.J. Tucker,Taurean Prince,DeMar DeRozan,Monta Ellis,Blake Griffin,Jared Dudley,Chris Paul,DeMarcus Cousins,283.578,306.0,24,Nov182016,3,10
Blake Griffin,Ish Smith,Jared Dudley,Brook Lopez,Jordan Clarkson,Kemba Walker,DeMarcus Cousins,Justin Anderson,283.198,306.0,30,Nov182016,3,10
J.J. Redick,Thaddeus Young,Jared Dudley,DeAndre Jordan,Kemba Walker,DeMarcus Cousins,Kyle Lowry,Marcus Morris,280.348,305.0,18,Nov182016,5,10
Taurean Prince,Avery Bradley,Marvin Williams,Alex Len,Jordan Clarkson,Chris Paul,Kemba Walker,DeMarcus Cousins,283.018,302.75,31,Nov182016,3,10
Blake Griffin,Jared Dudley,DeAndre Jordan,Alex Len,Jordan Clarkson,Kyle Lowry,Kevin Durant,Marcus Morris,280.408,302.75,12,Nov182016,5,10
Avery Bradley,Lou Williams,Zach Randolph,Marvin Williams,Brook Lopez,Bojan Bogdanovic,DeMarcus Cousins,Kyle Lowry,282.578,301.25,40,Nov182016,3,10
Lou Williams,Blake Griffin,Jared Dudley,Jordan Clarkson,Evan Turner,Chris Paul,Anthony Davis,Marcus Morris,280.178,299.25,39,Nov182016,5,10
Monta Ellis,J.J. Redick,Kenneth Faried,Brook Lopez,Jordan Clarkson,Chris Paul,DeMarcus Cousins,Marcus Morris,288.708,298.5,2,Nov182016,3,10
E'Twaun Moore,Kenneth Faried,Jared Dudley,Pau Gasol,Andre Roberson,Chris Paul,Kemba Walker,DeMarcus Cousins,280.558,297.75,42,Nov182016,4,10
Monta Ellis,Lou Williams,Blake Griffin,Alex Len,Bojan Bogdanovic,Kemba Walker,DeMarcus Cousins,Marcus Morris,285.148,296.75,13,Nov182016,3,10
P.J. Tucker,DeMar DeRozan,Monta Ellis,Lou Williams,Emmanuel Mudiay,Brook Lopez,Pau Gasol,Kevin Durant,280.848,294.0,27,Nov182016,4,10
Jeff Teague,Taurean Prince,Lou Williams,Patrick Patterson,Brook Lopez,C.J. McCollum,Chris Paul,DeMarcus Cousins,280.598,292.75,41,Nov182016,4,10
DeMar DeRozan,Seth Curry,Blake Griffin,Ish Smith,Marvin Williams,Alex Len,Andre Roberson,DeMarcus Cousins,279.998,292.75,30,Nov182016,6,10
DeMar DeRozan,J.J. Redick,Ish Smith,Jared Dudley,Brook Lopez,Pau Gasol,Nicolas Batum,Chris Paul,282.818,292.25,36,Nov182016,3,10
Lou Williams,Kenneth Faried,Tony Parker,Brook Lopez,Andre Roberson,Kemba Walker,DeMarcus Cousins,Rudy Gay,281.518,291.75,1,Nov182016,4,10
Jeff Teague,P.J. Tucker,Monta Ellis,Seth Curry,J.J. Redick,Brook Lopez,Anthony Davis,Kyle Lowry,280.368,291.75,14,Nov182016,5,10
Jeff Teague,Avery Bradley,Monta Ellis,Pascal Siakam,Brook Lopez,Andre Roberson,Kemba Walker,DeMarcus Cousins,280.328,291.75,20,Nov182016,5,10
