Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
LeBron James,Kevin Love,Evan Turner,Jameer Nelson,Gerald Henderson,Eric Bledsoe,DeMarcus Cousins,Isaiah Whitehead,284.928,336.25,44,Nov272016,6,8
LeBron James,Sergio Rodriguez,Trevor Booker,Mason Plumlee,Evan Fournier,Eric Bledsoe,DeMarcus Cousins,Langston Galloway,289.928,332.75,19,Nov272016,3,8
LeBron James,Andrew Bogut,Evan Turner,Tony Snell,Joel Embiid,Eric Bledsoe,James Harden,Ty Lawson,285.238,330.25,44,Nov272016,5,8
LeBron James,Wilson Chandler,Kevin Love,Joel Embiid,Gerald Henderson,Eric Bledsoe,Darren Collison,Jose Calderon,286.718,329.0,1,Nov272016,4,8
Sergio Rodriguez,Wilson Chandler,Dwight Howard,Rudy Gay,Evan Turner,Eric Bledsoe,DeMarcus Cousins,Patrick Beverley,285.008,328.75,22,Nov272016,6,8
LeBron James,Trevor Booker,Andrew Bogut,Evan Fournier,Joel Embiid,Jameer Nelson,James Harden,Jose Calderon,284.948,324.0,41,Nov272016,6,8
LeBron James,Dwight Howard,Robert Covington,Wesley Matthews,Joel Embiid,Eric Bledsoe,C.J. McCollum,Jose Calderon,285.678,322.75,46,Nov272016,4,8
Wilson Chandler,Brook Lopez,Evan Fournier,Nik Stauskas,Eric Bledsoe,DeMarcus Cousins,Jeff Teague,Jose Calderon,290.478,321.0,16,Nov272016,3,8
LeBron James,Rudy Gay,Joel Embiid,Gerald Henderson,Darren Collison,DeMarcus Cousins,Jamal Murray,Ty Lawson,285.898,320.25,36,Nov272016,4,8
Ryan Anderson,Maurice Harkless,Kevin Love,Evan Turner,Eric Bledsoe,C.J. McCollum,DeMarcus Cousins,Jose Calderon,285.658,319.25,48,Nov272016,4,8
LeBron James,Sergio Rodriguez,Wilson Chandler,Clint Capela,Evan Fournier,Anthony Davis,Patrick Beverley,Jose Calderon,285.818,319.0,40,Nov272016,4,8
Sergio Rodriguez,Maurice Harkless,Brook Lopez,Evan Turner,Evan Fournier,James Harden,DeMarcus Cousins,Ty Lawson,292.638,318.25,9,Nov272016,3,8
Sergio Rodriguez,Dwight Howard,Jabari Parker,Evan Turner,Joel Embiid,Gerald Henderson,Eric Bledsoe,James Harden,285.188,315.0,49,Nov272016,5,8
LeBron James,Kevin Love,Evan Fournier,Wesley Matthews,DeMarcus Cousins,Tim Frazier,Ty Lawson,Jose Calderon,294.688,315.0,4,Nov272016,3,8
Sergio Rodriguez,Wilson Chandler,Evan Fournier,Joel Embiid,Ersan Ilyasova,DeMarcus Cousins,Damian Lillard,Jamal Murray,287.778,314.75,40,Nov272016,3,8
Kevin Love,Tony Snell,Evan Fournier,Ersan Ilyasova,Eric Bledsoe,James Harden,Serge Ibaka,Ty Lawson,285.248,314.75,41,Nov272016,5,8
Wilson Chandler,Clint Capela,Mason Plumlee,Jabari Parker,Evan Fournier,Eric Bledsoe,Giannis Antetokounmpo,Ty Lawson,285.588,312.75,4,Nov272016,5,8
Maurice Harkless,Jabari Parker,Wesley Matthews,Joel Embiid,Eric Bledsoe,DeMarcus Cousins,Jeff Teague,Ty Lawson,289.328,311.75,25,Nov272016,3,8
LeBron James,Sergio Rodriguez,Evan Turner,Joel Embiid,Nik Stauskas,DeMarcus Cousins,Giannis Antetokounmpo,Jose Calderon,299.698,309.75,1,Nov272016,3,8
LeBron James,Sergio Rodriguez,Wilson Chandler,Kevin Love,Tony Snell,Darren Collison,DeMarcus Cousins,Isaiah Whitehead,286.108,309.5,27,Nov272016,4,8
LeBron James,Trevor Booker,Maurice Harkless,Wilson Chandler,Andrew Bogut,Darren Collison,DeMarcus Cousins,Ty Lawson,285.478,309.5,15,Nov272016,5,8
LeBron James,Sergio Rodriguez,Jabari Parker,Joel Embiid,Gerald Henderson,Anthony Davis,Dennis Schroder,Ty Lawson,284.998,309.5,28,Nov272016,6,8
Maurice Harkless,Kevin Love,Joel Embiid,Nik Stauskas,Gerald Henderson,Eric Bledsoe,James Harden,Jamal Murray,286.348,308.25,20,Nov272016,4,8
LeBron James,Sergio Rodriguez,Andrew Bogut,Jabari Parker,Wesley Matthews,C.J. McCollum,DeMarcus Cousins,Jamal Murray,288.148,307.0,36,Nov272016,3,8
Dwight Howard,Michael Beasley,Evan Fournier,Joel Embiid,Gerald Henderson,James Harden,Giannis Antetokounmpo,Jose Calderon,285.078,306.75,14,Nov272016,6,8
Sergio Rodriguez,Wilson Chandler,Clint Capela,Tony Snell,Wesley Matthews,James Harden,DeMarcus Cousins,Patrick Beverley,285.158,305.5,3,Nov272016,6,8
LeBron James,Sergio Rodriguez,Dwight Howard,Andrew Bogut,Robert Covington,Evan Fournier,James Harden,Patrick Beverley,285.848,305.5,38,Nov272016,4,8
