Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Emmanuel Mudiay,Kent Bazemore,Jonas Valanciunas,Jusuf Nurkic,Paul Millsap,DeMar DeRozan,Nikola Mirotic,Rudy Gay,266.338,300.25,44,Oct312016,6,4
Taj Gibson,Eric Bledsoe,Blake Griffin,Jusuf Nurkic,DeMar DeRozan,Rudy Gay,T.J. Warren,Matt Barnes,273.588,282.75,32,Oct312016,3,4
Chris Paul,Kent Bazemore,Blake Griffin,DeAndre Jordan,Alex Len,Trevor Booker,DeMar DeRozan,Nikola Mirotic,272.188,281.75,40,Oct312016,3,4
Chris Paul,Austin Rivers,Will Barton,DeAndre Jordan,Paul Millsap,DeMar DeRozan,Rudy Gay,Matt Barnes,274.528,281.75,25,Oct312016,3,4
Chris Paul,Jimmy Butler,Blake Griffin,Jusuf Nurkic,Kosta Koufos,Dwyane Wade,Joe Harris,Rudy Gay,268.228,277.0,35,Oct312016,4,4
Chris Paul,Blake Griffin,Jonas Valanciunas,Jusuf Nurkic,Paul Millsap,Trevor Booker,Sean Kilpatrick,Thabo Sefolosha,273.888,276.25,29,Oct312016,3,4
Dennis Schroder,Jimmy Butler,DeAndre Jordan,Jusuf Nurkic,Trevor Booker,DeMar DeRozan,Kyle Korver,Rudy Gay,268.408,274.5,27,Oct312016,4,4
Taj Gibson,Chris Paul,Dennis Schroder,Emmanuel Mudiay,Jusuf Nurkic,Trevor Booker,Dwyane Wade,Rudy Gay,267.818,273.25,49,Oct312016,4,4
Taj Gibson,Chris Paul,Dennis Schroder,Will Barton,Jusuf Nurkic,Paul Millsap,Kenneth Faried,T.J. Warren,267.878,273.0,46,Oct312016,4,4
DeMarcus Cousins,Jeremy Lin,Jusuf Nurkic,Paul Millsap,Trevor Booker,Jamal Crawford,Rudy Gay,Matt Barnes,266.448,270.5,31,Oct312016,6,4
DeMarcus Cousins,Chris Paul,Blake Griffin,Kosta Koufos,Nikola Mirotic,Jamal Crawford,Kyle Korver,Rudy Gay,266.548,269.75,25,Oct312016,6,4
DeMarre Carroll,Jeremy Lin,Jimmy Butler,Jusuf Nurkic,Paul Millsap,Justin Hamilton,DeMar DeRozan,Rudy Gay,267.028,269.75,35,Oct312016,5,4
Taj Gibson,Rajon Rondo,Jusuf Nurkic,Paul Millsap,Trevor Booker,DeMar DeRozan,Dwyane Wade,Danilo Gallinari,268.358,269.25,29,Oct312016,4,4
Jeremy Lin,Kent Bazemore,Bojan Bogdanovic,Blake Griffin,Jusuf Nurkic,Paul Millsap,Kenneth Faried,Rudy Gay,266.568,268.5,22,Oct312016,6,4
Rajon Rondo,Jeremy Lin,Emmanuel Mudiay,Will Barton,DeAndre Jordan,DeMar DeRozan,Dwyane Wade,Nikola Mirotic,269.028,268.25,15,Oct312016,4,4
Doug McDermott,Chris Paul,Eric Bledsoe,Emmanuel Mudiay,Jonas Valanciunas,Paul Millsap,Kosta Koufos,DeMar DeRozan,269.368,267.5,5,Oct312016,4,4
Nikola Jokic,Chris Paul,Emmanuel Mudiay,Robin Lopez,Paul Millsap,DeMar DeRozan,Nikola Mirotic,Thabo Sefolosha,266.918,267.25,43,Oct312016,5,4
Chris Paul,Emmanuel Mudiay,Jimmy Butler,DeAndre Jordan,Justin Hamilton,Nikola Mirotic,Rudy Gay,T.J. Warren,268.158,266.5,39,Oct312016,4,4
