Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Kawhi Leonard,Terrence Jones,Rodney Hood,Sean Kilpatrick,Chris Paul,John Wall,Brook Lopez,Joakim Noah,281.448,341.75,43,Nov42016,3,0
T.J. Warren,Al-Farouq Aminu,Terrence Jones,DeMar DeRozan,Chris Paul,George Hill,Hassan Whiteside,Joakim Noah,279.528,339.75,32,Nov42016,5,0
Paul Millsap,Al-Farouq Aminu,Terrence Jones,Chris Paul,James Ennis,John Wall,Kyle Lowry,Mason Plumlee,280.248,337.25,27,Nov42016,4,0
T.J. Warren,Terrence Jones,Sean Kilpatrick,Damian Lillard,John Wall,Patty Mills,Dwight Howard,Marc Gasol,279.888,330.25,44,Nov42016,4,0
T.J. Warren,Kevin Durant,Markieff Morris,Terrence Jones,Lou Williams,John Wall,Kyle Lowry,Joakim Noah,282.148,328.5,32,Nov42016,3,0
Anthony Davis,Al-Farouq Aminu,Terrence Jones,DeMar DeRozan,Sean Kilpatrick,Damian Lillard,Bojan Bogdanovic,Mason Plumlee,284.158,323.5,15,Nov42016,3,0
Anthony Davis,Kawhi Leonard,Kevin Durant,Terrence Jones,Sean Kilpatrick,Lou Williams,J.J. Barea,Mike Muscala,282.668,318.25,28,Nov42016,3,0
Kawhi Leonard,Terrence Jones,DeMar DeRozan,Lou Williams,Kyle Lowry,Eric Bledsoe,Brook Lopez,Mason Plumlee,281.958,316.0,37,Nov42016,3,0
Anthony Davis,Thabo Sefolosha,Markieff Morris,Terrence Jones,Lou Williams,Damian Lillard,Chris Paul,Zaza Pachulia,279.468,316.0,39,Nov42016,5,0
Michael Kidd-Gilchrist,Markieff Morris,Paul Millsap,Al-Farouq Aminu,Lou Williams,Damian Lillard,John Wall,Mason Plumlee,279.208,312.0,36,Nov42016,6,0
Kevin Durant,DeMar DeRozan,Sean Kilpatrick,Lou Williams,John Wall,Deron Williams,Mason Plumlee,Tyson Chandler,281.288,312.0,48,Nov42016,3,0
Markieff Morris,Paul Millsap,Terrence Jones,DeMar DeRozan,Sean Kilpatrick,John Wall,Hassan Whiteside,Alex Len,284.918,311.25,11,Nov42016,3,0
Maurice Harkless,Blake Griffin,Paul Millsap,Terrence Jones,DeMar DeRozan,Chris Paul,J.J. Barea,Mason Plumlee,279.608,309.75,23,Nov42016,5,0
T.J. Warren,Al-Farouq Aminu,DeMar DeRozan,Sean Kilpatrick,Chris Paul,Goran Dragic,Brook Lopez,Tyson Chandler,279.378,308.0,1,Nov42016,6,0
Justin Anderson,Markieff Morris,Lou Williams,Chris Paul,John Wall,J.J. Barea,Hassan Whiteside,Brook Lopez,279.348,307.5,7,Nov42016,6,0
T.J. Warren,Thabo Sefolosha,Trevor Booker,DeMar DeRozan,Damian Lillard,John Wall,J.J. Barea,Joakim Noah,279.718,306.5,10,Nov42016,5,0
Anthony Davis,Justin Anderson,Trevor Booker,Al-Farouq Aminu,Lou Williams,Damian Lillard,John Wall,J.J. Barea,280.028,304.5,36,Nov42016,4,0
Kawhi Leonard,T.J. Warren,Terrence Jones,DeMar DeRozan,Bojan Bogdanovic,John Wall,Tim Frazier,Tyson Chandler,282.918,304.0,26,Nov42016,3,0
Kawhi Leonard,T.J. Warren,Blake Griffin,Terrence Jones,J.J. Barea,Patty Mills,Hassan Whiteside,Brook Lopez,284.468,303.0,14,Nov42016,3,0
Anthony Davis,Markieff Morris,Terrence Jones,Rodney Hood,John Wall,J.J. Barea,Tim Frazier,Mason Plumlee,284.938,303.0,10,Nov42016,3,0
Anthony Davis,Michael Kidd-Gilchrist,Trevor Booker,Terrence Jones,DeMar DeRozan,John Wall,Deron Williams,Mike Muscala,279.938,302.25,40,Nov42016,4,0
Kawhi Leonard,Kevin Durant,Thabo Sefolosha,Paul Millsap,Terrence Jones,DeMar DeRozan,Patty Mills,Joakim Noah,283.958,302.0,19,Nov42016,3,0
Anthony Davis,Blake Griffin,Terrence Jones,DeMar DeRozan,James Ennis,J.J. Barea,Deron Williams,Tyson Chandler,280.558,301.5,10,Nov42016,4,0
T.J. Warren,Thabo Sefolosha,Al-Farouq Aminu,DeMar DeRozan,Lou Williams,John Wall,Hassan Whiteside,Marcin Gortat,279.988,301.25,38,Nov42016,4,0
Michael Kidd-Gilchrist,Paul Millsap,Al-Farouq Aminu,Terrence Jones,Damian Lillard,John Wall,C.J. McCollum,Tyson Chandler,279.648,300.75,18,Nov42016,5,0
Kevin Durant,Paul Millsap,Lou Williams,Damian Lillard,Bojan Bogdanovic,J.J. Barea,Mason Plumlee,Joakim Noah,279.358,299.75,4,Nov42016,6,0
