Id,Name,Position,Team,Salary,Projected,Scored,Override,last_5,last_3,last_1,std,bucket5,bucket10,bucket15,bucket20,bucket25,bucket30,bucket35,bucket40,Home
163993,Raymond Felton,PG,LAC,4300,21.75,32.5,0,8.5,8.5,7.75,9.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163994,Michael Carter-Williams,PG,CHI,4000,20.52,27.25,0,3.5,17.5,3.5,5.91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163995,Tim Frazier,PG,NO,4000,2.56,0.0,0,37.0,43.25,20.0,15.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163996,Shaun Livingston,PG,GS,3500,9.86,17.75,0,6.25,6.25,6.25,4.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163997,Ramon Sessions,PG,CHA,3500,12.14,12.75,0,14.0,14.0,15.75,5.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163998,Tomas Satoransky,PG,WAS,3400,2.78,0.0,0,8.25,4.75,0.0,7.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163999,D.J. Augustin,PG,ORL,3400,14.46,12.0,0,10.0,9.5,22.5,6.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164000,Jameer Nelson,PG,DEN,3300,14.27,8.5,0,16.5,16.5,20.5,9.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164001,Isaiah Whitehead,PG,BKN,3300,14.55,22.0,0,2.75,5.5,11.5,8.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164002,Kay Felder,PG,CLE,3200,11.78,16.25,0,0.0,0.0,4.75,7.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164003,Randy Foye,PG,BKN,3100,9.88,7.75,0,0.0,0.0,0.0,7.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164004,Jason Terry,PG,MIL,3000,7.85,7.5,0,0.0,0.0,0.0,5.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164005,Semaj Christon,PG,OKC,3000,9.8,15.25,0,11.25,11.25,12.0,4.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164006,Cameron Payne,PG,OKC,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164007,Malik Beasley,PG,DEN,3000,0.0,0.0,0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164008,Spencer Dinwiddie,PG,BKN,3000,5.26,15.75,0,6.5,6.5,6.5,8.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164009,Raul Neto,PG,UTA,3000,7.23,8.25,0,0.0,0.0,2.25,4.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164010,Dante Exum,PG,UTA,3000,0.0,0.0,0,14.75,7.5,17.5,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164011,Brian Roberts,PG,CHA,3000,2.21,0.0,0,0.0,0.0,0.0,2.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164012,Isaiah Canaan,PG,CHI,3000,0.0,0.0,0,17.25,17.5,31.25,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164013,Jerian Grant,PG,CHI,3000,8.35,29.75,0,0.0,0.0,0.0,8.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164014,Aaron Harrison,PG,CHA,3000,1.86,0.0,0,0.0,0.0,0.0,0.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164015,Bobby Brown,PG,HOU,3000,0.31,0.0,0,0.0,0.0,0.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164016,Trey Burke,PG,WAS,3000,5.52,4.5,0,7.75,12.0,7.75,7.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164017,Tyler Ennis,PG,HOU,3000,3.66,3.5,0,6.75,6.75,3.0,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164018,Mo Williams,PG,CLE,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164019,Langston Galloway,PG,NO,3000,15.25,9.5,0,12.5,11.0,14.0,9.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164020,C.J. Watson,PG,ORL,3000,11.3,9.25,0,0.0,0.0,0.0,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164021,Tyler Ulis,PG,PHO,3000,6.98,2.75,0,3.5,3.5,18.5,6.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164022,LeBron James,SF,CLE,10500,56.56,47.75,0,48.25,48.0,48.0,19.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164023,Kevin Durant,SF,GS,9900,50.52,31.25,0,55.5,57.0,57.0,10.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164024,Gordon Hayward,SF,UTA,8100,41.69,46.0,0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164025,Carmelo Anthony,SF,NY,7200,30.48,39.75,0,38.75,34.0,34.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
164026,Danilo Gallinari,SF,DEN,6000,29.72,39.5,0,26.75,25.25,21.0,10.81,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164027,Trevor Ariza,SF,HOU,5500,29.54,36.0,0,26.75,24.75,24.75,7.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
164028,T.J. Warren,SF,PHO,5000,18.32,40.0,0,25.75,40.0,23.0,15.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164029,Michael Kidd-Gilchrist,SF,CHA,4600,25.4,15.75,0,20.25,20.25,14.0,9.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164030,Kelly Oubre Jr.,SF,WAS,3900,8.8,12.75,0,8.0,8.0,8.0,9.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164031,Rondae Hollis-Jefferson,SF,BKN,3700,19.3,13.25,0,11.25,11.25,11.25,10.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
164032,P.J. Tucker,SF,PHO,3700,13.77,25.0,0,3.25,3.25,18.0,9.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164033,Andre Roberson,SF,OKC,3400,16.05,6.5,0,20.25,22.75,22.75,7.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164034,Andre Iguodala,SF,GS,3400,12.78,15.75,0,17.75,17.75,17.75,6.37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164035,Doug McDermott,SF,CHI,3300,21.21,13.25,0,17.5,19.75,19.75,9.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164036,Caris LeVert,SF,BKN,3100,12.53,0.0,0,0.0,0.0,0.0,6.96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164037,Solomon Hill,SF,NO,3100,14.45,11.5,0,13.75,13.75,14.0,7.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164038,Steve Novak,SF,MIL,3000,2.24,0.0,0,0.0,0.0,0.0,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164039,Kyle Singler,SF,OKC,3000,2.45,0.0,0,6.25,7.5,7.5,3.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164040,Josh Huestis,SF,OKC,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164041,Alonzo Gee,SF,DEN,3000,0.0,0.0,0,4.75,4.75,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164042,Anthony Bennett,SF,BKN,3000,2.47,0.0,0,8.0,10.75,10.75,7.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164043,Treveon Graham,SF,CHA,3000,2.92,0.0,0,0.0,0.0,0.0,2.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164044,Paul Zipser,SF,CHI,3000,0.0,0.0,0,1.25,1.25,6.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164045,K.J. McDaniels,SF,HOU,3000,2.36,0.0,0,8.25,12.75,8.0,5.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164046,Mike Dunleavy,SF,CLE,3000,0.0,0.0,0,8.25,11.0,11.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164047,Quincy Pondexter,SF,NO,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164048,Mindaugas Kuzminskas,SF,NY,3000,8.34,13.25,0,8.0,8.75,0.0,6.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164049,Damjan Rudez,SF,ORL,3000,2.53,0.0,0,0.0,0.0,0.0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164050,Paul Pierce,SF,LAC,3000,11.35,0.0,0,0.0,0.0,0.0,3.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164051,Alan Anderson,SF,LAC,3000,8.23,0.0,0,0.0,0.0,0.0,4.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164052,Wesley Johnson,SF,LAC,3000,10.82,10.0,0,16.75,9.75,9.75,7.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164053,Derrick Jones Jr.,SF,PHO,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164054,Anthony Davis,PF/C,NO,10300,53.43,52.25,0,56.0,80.25,29.75,21.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164055,Kevin Love,PF/C,CLE,8800,46.05,33.25,0,42.0,42.0,25.25,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164056,Blake Griffin,PF/C,LAC,7700,0.0,0.0,0,43.75,43.75,43.75,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164057,Draymond Green,PF/C,GS,7500,35.54,49.5,0,41.5,39.75,39.75,12.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164058,Serge Ibaka,PF/C,ORL,6700,37.8,30.0,0,25.75,25.75,28.75,10.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164059,Montrezl Harrell,PF/C,HOU,5100,26.5,29.75,0,0.0,0.0,0.0,11.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
164060,Derrick Favors,PF/C,UTA,4900,24.09,9.75,0,33.25,20.75,20.75,12.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164061,Taj Gibson,PF/C,CHI,4700,19.29,18.25,0,32.25,32.25,32.25,7.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
164062,Kenneth Faried,PF/C,DEN,4500,0.0,0.0,0,28.25,28.25,14.25,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164063,Terrence Jones,PF/C,NO,4400,19.01,14.25,0,12.5,12.5,10.5,11.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164064,Marreese Speights,PF/C,LAC,4200,21.12,20.5,0,15.25,15.25,15.25,8.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164065,Kyle O'Quinn,PF/C,NY,3600,6.94,16.25,0,13.25,13.25,21.0,12.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164066,Justin Hamilton,PF/C,BKN,3500,12.77,14.0,0,21.75,20.25,12.75,9.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164067,Channing Frye,PF/C,CLE,3400,11.92,26.5,0,15.5,0.0,0.0,9.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164068,Jason Smith,PF/C,WAS,3100,12.94,6.0,0,9.25,9.25,1.5,6.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164069,Joffrey Lauvergne,PF/C,OKC,3000,8.79,7.75,0,4.0,4.0,10.0,8.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164070,Luis Scola,PF/C,BKN,3000,2.92,0.0,0,13.25,20.5,20.5,8.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164071,Boris Diaw,PF/C,UTA,3000,7.49,8.0,0,0.0,5.25,-0.75,8.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164072,Spencer Hawes,PF/C,CHA,3000,19.1,19.25,0,23.75,23.75,23.75,10.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164073,Jimmy Butler,SG/SF,CHI,8700,44.11,85.0,0,43.25,33.0,33.0,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164074,Nicolas Batum,SG/SF,CHA,8000,44.04,35.5,0,29.0,30.0,30.0,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
