Id,Name,Position,Team,Salary,Projected,Scored,Override,last_5,last_3,last_1,std,bucket5,bucket10,bucket15,bucket20,bucket25,bucket30,bucket35,bucket40,Home
164112,Jeff Withey,C,UTA,3000,2.14,0.0,0,0.0,0.0,0.0,5.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164113,Roy Hibbert,C,CHA,3000,12.98,5.5,0,0.0,1.25,0.0,8.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164114,Cristiano Felicio,C,CHI,3000,13.73,16.25,0,5.75,13.75,13.75,6.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164115,Ian Mahinmi,C,WAS,3000,0.0,0.0,0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164116,Andrew Nicholson,C,WAS,3000,5.03,0.0,0,15.25,15.25,15.25,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164117,Daniel Ochefu,C,WAS,3000,4.85,0.0,0,0.0,1.25,0.0,1.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164118,Chinanu Onuaku,C,HOU,3000,0.0,0.0,0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164119,Chris Andersen,C,CLE,3000,0.0,0.0,0,0.0,4.0,12.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164120,Alexis Ajinca,C,NO,3000,2.73,0.0,0,1.25,1.25,10.5,8.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164121,Omer Asik,C,NO,3000,0.0,0.0,0,10.25,7.25,10.25,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164122,Marshall Plumlee,C,NY,3000,0.0,0.0,0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164123,Alan Williams,C,PHO,3000,2.31,0.0,0,0.0,0.0,2.25,9.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164124,Diamond Stone,C,LAC,3000,0.0,0.0,0,0.0,0.0,-0.5,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164125,Jabari Parker,SF/PF,MIL,7300,40.06,30.5,0,26.25,24.0,22.0,10.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164126,Otto Porter,SF/PF,WAS,6100,31.21,17.25,0,28.75,23.0,20.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164127,Wilson Chandler,SF/PF,DEN,5700,26.18,35.0,0,20.25,20.25,16.75,14.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164128,Markieff Morris,SF/PF,WAS,5100,22.44,27.5,0,25.75,25.75,25.75,10.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164129,Aaron Gordon,SF/PF,ORL,4800,23.16,41.0,0,29.75,29.75,24.25,8.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164130,Dante Cunningham,SF/PF,NO,4600,20.53,11.75,0,15.5,15.75,15.75,9.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164131,Nikola Mirotic,SF/PF,CHI,4200,21.96,23.0,0,17.25,26.75,41.0,10.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164132,Luc Richard Mbah a Moute,SF/PF,LAC,3500,13.87,17.75,0,9.0,6.75,6.75,6.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
