Id,Name,Position,Team,Salary,Projected,Scored,Override
148181,Russell Westbrook,PG,OKC,12800,70.08,61,0
148182,Giannis Antetokounmpo,PG,MIL,10000,57.14,22.5,0
148183,Kyle Lowry,PG,TOR,8100,43.87,53.25,0
148184,Goran Dragic,PG,MIA,7500,42.3,25.75,0
148185,Eric Bledsoe,PG,PHO,7400,40.71,57.5,0
148186,Isaiah Thomas,PG,BOS,7300,0,0,0
148187,Kemba Walker,PG,CHA,7200,39.32,23.5,0
148188,Kyrie Irving,PG,CLE,7100,36.11,28.75,0
148189,Jeff Teague,PG,IND,6500,35.54,23.75,0
148190,D'Angelo Russell,PG,LAL,6300,0,0,0
148191,Derrick Rose,PG,NY,6200,0,0,0
148192,Dennis Schroder,PG,ATL,6000,34.71,45.25,0
148193,Deron Williams,PG,DAL,6000,33.27,29.25,0
148194,Tyler Johnson,PG,MIA,5500,30.95,27.75,0
148195,Brandon Jennings,PG,NY,5300,24.74,27.75,0
148196,Reggie Jackson,PG,DET,5200,26.02,24.25,0
148197,J.J. Barea,PG,DAL,5000,0,0,0
148198,Ricky Rubio,PG,MIN,4900,23.32,22.75,0
148199,Patrick Beverley,PG,HOU,4800,25.25,30,0
148200,Elfrid Payton,PG,ORL,4300,25.73,22.5,0
148201,Ish Smith,PG,DET,4000,22.78,23.25,0
148202,Terry Rozier,PG,BOS,3800,22.51,22.25,0
148203,D.J. Augustin,PG,ORL,3700,18.21,17,0
148204,Cory Joseph,PG,TOR,3600,19.13,7.75,0
148205,Ty Lawson,PG,SAC,3500,14.27,16.25,0
148206,Ramon Sessions,PG,CHA,3300,10.57,19.75,0
148207,Marcelo Huertas,PG,LAL,3200,5.92,18.25,0
148208,Fred VanVleet,PG,TOR,3000,2.15,0,0
148209,Delon Wright,PG,TOR,3000,0,0,0
148210,Demetrius Jackson,PG,BOS,3000,4.96,0,0
148211,Jason Terry,PG,MIL,3000,2.99,18,0
148212,Malcolm Delaney,PG,ATL,3000,9.23,14.5,0
148213,John Lucas III,PG,MIN,3000,0,0,0
148214,Beno Udrih,PG,DET,3000,3.69,3.5,0
148215,Kris Dunn,PG,MIN,3000,14.46,16.25,0
148216,Tyus Jones,PG,MIN,3000,3.97,6.5,0
148217,Semaj Christon,PG,OKC,3000,8.57,4.75,0
148218,Tyler Ennis,PG,HOU,3000,0.48,0,0
148219,Cameron Payne,PG,OKC,3000,0,0,0
148220,Brian Roberts,PG,CHA,3000,0,-1,0
148221,Aaron Harrison,PG,CHA,3000,0,0,0
148222,Mo Williams,PG,CLE,3000,0,0,0
148223,Kay Felder,PG,CLE,3000,4.86,9,0
148224,Devin Harris,PG,DAL,3000,11.41,10,0
148225,Aaron Brooks,PG,IND,3000,7.89,12.25,0
148226,Jose Calderon,PG,LAL,3000,0,0,0
148227,Tyler Ulis,PG,PHO,3000,7.25,0,0
148228,James Harden,PG/SG,HOU,11500,58.09,52.75,0
148229,Jordan Clarkson,PG/SG,LAL,5400,22.82,19,0
148230,Darren Collison,PG/SG,SAC,5000,26.75,26.75,0
148231,Brandon Knight,PG/SG,PHO,4600,20.33,26.25,0
148232,Matthew Dellavedova,PG/SG,MIL,4000,22.98,21.5,0
148233,Tim Hardaway Jr.,PG/SG,ATL,4000,18.75,31,0
148234,Iman Shumpert,PG/SG,CLE,3500,14.19,19,0
148235,Rodney Stuckey,PG/SG,IND,3500,17.5,27.25,0
148236,Malcolm Brogdon,PG/SG,MIL,3200,14.12,24.5,0
148237,C.J. Watson,PG/SG,ORL,3000,3.45,1.5,0
148238,Garrett Temple,PG/SG,SAC,3000,14.39,13,0
148239,DeMarcus Cousins,PF/C,SAC,10900,63.87,60,0
148240,Karl-Anthony Towns,PF/C,MIN,8300,42.71,31.5,0
148241,Kevin Love,PF/C,CLE,7600,29.59,56.75,0
148242,Serge Ibaka,PF/C,ORL,6000,28.91,27.75,0
148243,Gorgui Dieng,PF/C,MIN,5400,23.14,28.25,0
148244,Dwight Powell,PF/C,DAL,4700,26.47,21.25,0
148245,Mike Muscala,PF/C,ATL,4000,17.37,22.25,0
148246,Kyle O'Quinn,PF/C,NY,4000,21.13,32.75,0
148247,Josh McRoberts,PF/C,MIA,3900,19.59,16.5,0
148248,Kelly Olynyk,PF/C,BOS,3600,14.43,25.75,0
148249,Joffrey Lauvergne,PF/C,OKC,3000,12.41,0,0
148250,Spencer Hawes,PF/C,CHA,3000,9.3,4.25,0
148251,LeBron James,SF/PF,CLE,9600,48.64,54,0
148252,Paul George,SF/PF,IND,8000,43.89,34.75,0
148253,Rudy Gay,SF/PF,SAC,6700,36.51,22.75,0
148254,Jabari Parker,SF/PF,MIL,6400,34.72,44.5,0
148255,Harrison Barnes,SF/PF,DAL,6100,31.69,39.5,0
148256,Tobias Harris,SF/PF,DET,5800,31.8,20,0
148257,Trevor Ariza,SF/PF,HOU,5500,29.24,24,0
148258,Marcus Morris,SF/PF,DET,5100,23.66,26.25,0
148259,Larry Nance Jr.,SF/PF,LAL,4300,13.07,22.25,0
148260,DeMarre Carroll,SF/PF,TOR,4100,0,0,0
148261,Matt Barnes,SF/PF,SAC,4100,0,0,0
148262,Aaron Gordon,SF/PF,ORL,4000,20.61,19.75,0
148263,Jeff Green,SF/PF,ORL,3700,19.28,10.5,0
148264,Luol Deng,SF/PF,LAL,3600,16.6,21.25,0
148265,Michael Beasley,SF/PF,MIL,3400,15.21,31,0
148266,Jerami Grant,SF/PF,OKC,3100,11.91,14.5,0
148267,Nemanja Bjelica,SF/PF,MIN,3000,0,0,0
148268,Lance Thomas,SF/PF,NY,3000,10.18,12.25,0
148269,Luke Babbitt,SF/PF,MIA,3000,0,0,0
148270,Hassan Whiteside,C,MIA,8800,46.46,21,0
148271,Andre Drummond,C,DET,7600,43.38,52.5,0
148272,Dwight Howard,C,ATL,7200,39.78,26.75,0
148273,Al Horford,C,BOS,6900,39.35,40.25,0
148274,Nikola Vucevic,C,ORL,5900,35.23,17,0
148275,Myles Turner,C,IND,5900,31.71,29.5,0
148276,Clint Capela,C,HOU,5600,31.49,19.5,0
148277,Steven Adams,C,OKC,5000,25,41.5,0
148278,Jonas Valanciunas,C,TOR,4900,27.09,17.5,0
148279,Tristan Thompson,C,CLE,4900,27.38,13.5,0
148280,John Henson,C,MIL,4500,25.63,23.5,0
148281,Greg Monroe,C,MIL,4400,24.62,32.5,0
148282,Enes Kanter,C,OKC,4400,23.24,15.25,0
148283,Tyson Chandler,C,PHO,4400,22.63,21.5,0
148284,Bismack Biyombo,C,ORL,4300,23.08,11.75,0
148285,Andrew Bogut,C,DAL,4100,0,0,0
148286,Cody Zeller,C,CHA,4000,21.42,20.75,0
148287,Lucas Nogueira,C,TOR,3900,20.81,12.5,0
148288,Cole Aldrich,C,MIN,3900,16.62,11.75,0
148289,Aron Baynes,C,DET,3800,11,6,0
148290,Alex Len,C,PHO,3800,17.19,44.25,0
148291,Joakim Noah,C,NY,3600,16.87,21.75,0
148292,Willie Reed,C,MIA,3600,9.26,27.25,0
148293,Salah Mejri,C,DAL,3600,17.44,22.25,0
148294,Montrezl Harrell,C,HOU,3300,13.3,11,0
148295,Al Jefferson,C,IND,3300,14.15,14.75,0
148296,Guillermo Hernangomez,C,NY,3200,13.05,0,0
148297,Timofey Mozgov,C,LAL,3200,15.37,16,0
148298,Tyler Zeller,C,BOS,3000,2.37,5.25,0
148299,Jared Sullinger,C,TOR,3000,0,0,0
148300,Jakob Poeltl,C,TOR,3000,3.2,0,0
148301,Kris Humphries,C,ATL,3000,8.89,0,0
148302,Tiago Splitter,C,ATL,3000,0,0,0
148303,Miles Plumlee,C,MIL,3000,1.41,0,0
148304,Nikola Pekovic,C,MIN,3000,0,0,0
148305,Boban Marjanovic,C,DET,3000,1.35,0,0
148306,Nick Collison,C,OKC,3000,0,0,0
148307,Nene Hilario,C,HOU,3000,13.41,15.75,0
148308,Chinanu Onuaku,C,HOU,3000,0,0,0
148309,Roy Hibbert,C,CHA,3000,14.39,15.25,0
148310,Kosta Koufos,C,SAC,3000,12.63,8.75,0
148311,Marshall Plumlee,C,NY,3000,0,0,0
148312,Willie Cauley-Stein,C,SAC,3000,11.83,2.75,0
148313,Georgios Papagiannis,C,SAC,3000,0,0,0
148314,Chris Andersen,C,CLE,3000,5.24,15,0
148315,Kevin Seraphin,C,IND,3000,2.63,0,0
148316,A.J. Hammons,C,DAL,3000,4.46,0,0
148317,Tarik Black,C,LAL,3000,0,0,0
148318,Alan Williams,C,PHO,3000,3.41,0,0
148319,Ivica Zubac,C,LAL,3000,2.6,0,0
148320,DeMar DeRozan,SG,TOR,7900,41.83,30.75,0
148321,Lou Williams,SG,LAL,6600,34.84,48.25,0
148322,Avery Bradley,SG,BOS,6500,34.09,28.75,0
148323,Victor Oladipo,SG,OKC,6500,35.44,21.75,0
148324,Zach LaVine,SG,MIN,6000,32.4,25.75,0
