Id,Name,Position,Team,Salary,Projected,Scored,Override
151501,James Harden,PG/SG,HOU,12000,58.37,55.25,0
151502,George Hill,PG/SG,UTA,6800,0,0,0
151503,Jordan Clarkson,PG/SG,LAL,5000,23.3,19,0
151504,Rodney Stuckey,PG/SG,IND,3900,20.23,20.75,0
151505,Iman Shumpert,PG/SG,CLE,3700,19.02,13.25,0
151506,Garrett Temple,PG/SG,SAC,3200,20.13,31,0
151507,Randy Foye,PG/SG,BKN,3000,6.88,0,0
151508,C.J. Watson,PG/SG,ORL,3000,2.09,0,0
151509,Russell Westbrook,PG,OKC,11800,60.66,42.5,0
151510,Chris Paul,PG,LAC,8700,44.71,36.75,0
151511,John Wall,PG,WAS,8600,52.89,59,0
151512,Kyle Lowry,PG,TOR,8200,44.84,38,0
151513,Kyrie Irving,PG,CLE,7500,0,0,0
151514,Goran Dragic,PG,MIA,7300,39.93,27.75,0
151515,Kemba Walker,PG,CHA,7200,35.51,38,0
151516,Isaiah Thomas,PG,BOS,7000,0,0,0
151517,Mike Conley,PG,MEM,6800,0,0,0
151518,Jeff Teague,PG,IND,6400,34.06,25.25,0
151519,Deron Williams,PG,DAL,5900,33.04,28.75,0
151520,D'Angelo Russell,PG,LAL,5700,26.3,19.75,0
151521,Jeremy Lin,PG,BKN,5600,0,0,0
151522,Patrick Beverley,PG,HOU,5400,30.95,27.5,0
151523,Darren Collison,PG,SAC,5300,31.27,23.5,0
151524,Tyler Johnson,PG,MIA,5200,27.71,34.25,0
151525,Reggie Jackson,PG,DET,5100,25.18,30.5,0
151526,Sergio Rodriguez,PG,PHI,5000,27.85,25.25,0
151527,Elfrid Payton,PG,ORL,4800,22.96,32.25,0
151528,Shelvin Mack,PG,UTA,4800,22.21,29.75,0
151529,Patty Mills,PG,SA,4600,23.68,15,0
151530,J.J. Barea,PG,DAL,4500,0,0,0
151531,Andrew Harrison,PG,MEM,4300,24.57,4.75,0
151532,T.J. McConnell,PG,PHI,4100,21.05,21.25,0
151533,Tony Parker,PG,SA,4000,19.09,28,0
151534,Terry Rozier,PG,BOS,4000,19.05,23.75,0
151535,D.J. Augustin,PG,ORL,3900,17.13,11.25,0
151536,Ish Smith,PG,DET,3900,18.47,18,0
151537,Jerryd Bayless,PG,PHI,3800,0,0,0
151538,Ramon Sessions,PG,CHA,3700,13.04,10.75,0
151539,Cory Joseph,PG,TOR,3600,18.03,31.25,0
151540,Tomas Satoransky,PG,WAS,3500,0,0,0
151541,Austin Rivers,PG,LAC,3500,23.42,38,0
151542,Toney Douglas,PG,MEM,3400,13.94,33.5,0
151543,Ty Lawson,PG,SAC,3400,12.61,23,0
151544,Isaiah Whitehead,PG,BKN,3200,15.98,15,0
151545,Dante Exum,PG,UTA,3200,13.15,14.25,0
151546,Jose Calderon,PG,LAL,3000,0,0,0
151547,Marcelo Huertas,PG,LAL,3000,7.15,0,0
151548,Spencer Dinwiddie,PG,BKN,3000,9.86,4.25,0
151549,Brian Roberts,PG,CHA,3000,0.58,0,0
151550,Trey Burke,PG,WAS,3000,8.33,7.5,0
151551,Aaron Harrison,PG,CHA,3000,0,0,0
151552,Mo Williams,PG,CLE,3000,0,0,0
151553,Kay Felder,PG,CLE,3000,5.28,27.75,0
151554,Wade Baldwin IV,PG,MEM,3000,4.88,0.5,0
151555,Tyler Ennis,PG,HOU,3000,0.38,6.75,0
151556,Aaron Brooks,PG,IND,3000,9.47,6,0
151557,Devin Harris,PG,DAL,3000,5.4,11.25,0
151558,Beno Udrih,PG,DET,3000,3.49,0,0
151559,Jonathan Gibson,PG,DAL,3000,4.98,2,0
151560,Semaj Christon,PG,OKC,3000,8.15,13.75,0
151561,Raul Neto,PG,UTA,3000,7.59,0,0
151562,Cameron Payne,PG,OKC,3000,0,0,0
151563,Fred VanVleet,PG,TOR,3000,0,0,0
