Id,Name,Position,Team,Salary,Projected,Scored,Override
157170,Chris Paul,PG,LAC,9400,54.22,40.75,0
157171,Stephen Curry,PG,GS,8100,50.2,38.5,0
157172,Isaiah Thomas,PG,BOS,8000,40.19,43.75,0
157173,Goran Dragic,PG,MIA,7400,40.84,34,0
157174,Jeff Teague,PG,IND,7100,42.08,50.25,0
157175,Derrick Rose,PG,NY,6300,31.03,30.25,0
157176,Jeremy Lin,PG,BKN,5700,29.61,44.5,0
157177,Elfrid Payton,PG,ORL,5600,28.14,27.5,0
157178,Tyler Johnson,PG,MIA,5500,30.04,30.25,0
157179,D'Angelo Russell,PG,LAL,5500,27.42,33,0
157180,Patty Mills,PG,SA,4000,18.18,7.5,0
157181,Tony Parker,PG,SA,3900,20.68,9,0
157182,Austin Rivers,PG,LAC,3900,16.77,10.5,0
157183,Terry Rozier,PG,BOS,3500,10.93,1.5,0
157184,D.J. Augustin,PG,ORL,3400,17.74,9.75,0
157185,Shaun Livingston,PG,GS,3000,10.44,7.5,0
157186,Spencer Dinwiddie,PG,BKN,3000,5.56,2,0
157187,Isaiah Whitehead,PG,BKN,3000,0,0,0
157188,Jose Calderon,PG,LAL,3000,0,0,0
157189,Marcelo Huertas,PG,LAL,3000,0,0,0
157190,Aaron Brooks,PG,IND,3000,7.05,8.5,0
157191,Demetrius Jackson,PG,BOS,3000,0,0,0
157192,Nicolas Laprovittola,PG,SA,3000,1.8,0,0
157193,Bryn Forbes,PG,SA,3000,0,1.25,0
157194,Dejounte Murray,PG,SA,3000,0,7.25,0
157195,Hassan Whiteside,C,MIA,9200,51.74,44.25,0
157196,DeAndre Jordan,C,LAC,6900,35.77,28.25,0
157197,Al Horford,C,BOS,6800,36.13,24.75,0
157198,Brook Lopez,C,BKN,6700,37.89,44,0
157199,Myles Turner,C,IND,6600,38.19,21,0
157200,Nikola Vucevic,C,ORL,6400,38.63,26.75,0
157201,Pau Gasol,C,SA,5700,33.87,35.5,0
157202,Bismack Biyombo,C,ORL,4300,25.1,28.5,0
157203,Joakim Noah,C,NY,4100,20.85,18.75,0
157204,Willie Reed,C,MIA,3600,5.63,10.5,0
157205,Dewayne Dedmon,C,SA,3400,11.3,16.5,0
157206,JaVale McGee,C,GS,3300,15.61,3,0
157207,Justin Hamilton,C,BKN,3300,15.53,6.5,0
157208,Timofey Mozgov,C,LAL,3200,14.46,23,0
157209,Guillermo Hernangomez,C,NY,3200,16.2,21.25,0
157210,Al Jefferson,C,IND,3200,17.32,12.75,0
157211,Zaza Pachulia,C,GS,3000,15.89,41.5,0
157212,Anderson Varejao,C,GS,3000,4.46,1.25,0
157213,Damian Jones,C,GS,3000,0,0,0
157214,Tarik Black,C,LAL,3000,0,0,0
157215,Ivica Zubac,C,LAL,3000,1.85,0,0
157216,Marshall Plumlee,C,NY,3000,0,0,0
157217,Tyler Zeller,C,BOS,3000,1.9,0,0
157218,Kevin Seraphin,C,IND,3000,2.56,0,0
157219,Diamond Stone,C,LAC,3000,2.69,0,0
157220,Kevin Durant,SF,GS,9000,50.53,56.25,0
157221,Kawhi Leonard,SF,SA,7800,35.17,50.25,0
157222,Carmelo Anthony,SF,NY,7700,40.07,31,0
157223,Jae Crowder,SF,BOS,5200,27.39,26.25,0
157224,Justise Winslow,SF,MIA,5100,25.26,51.75,0
157225,Luol Deng,SF,LAL,4600,28.33,29.25,0
157226,Bojan Bogdanovic,SF,BKN,4400,21.62,17.25,0
157227,C.J. Miles,SF,IND,4100,14.51,24,0
157228,Wayne Ellington,SF,MIA,3900,0,0,0
157229,Brandon Ingram,SF,LAL,3900,21.77,15.25,0
157230,Rondae Hollis-Jefferson,SF,BKN,3700,18.36,28,0
157231,Andre Iguodala,SF,GS,3400,17.83,23.5,0
157232,Luc Richard Mbah a Moute,SF,LAC,3300,14.52,10.75,0
157233,Metta World Peace,SF,LAL,3000,0,0,0
157234,Derrick Williams,SF,MIA,3000,3.07,0,0
157235,Mindaugas Kuzminskas,SF,NY,3000,3.25,17.5,0
157236,Damjan Rudez,SF,ORL,3000,2.92,0,0
157237,Mario Hezonja,SF,ORL,3000,1.69,0,0
157238,Jaylen Brown,SF,BOS,3000,5.88,8.5,0
157239,Alan Anderson,SF,LAC,3000,1.85,0,0
157240,Wesley Johnson,SF,LAC,3000,6.95,24.25,0
157241,Blake Griffin,PF/C,LAC,8300,0,0,0
157242,Draymond Green,PF/C,GS,7800,0,0,0
157243,LaMarcus Aldridge,PF/C,SA,6400,31.08,18,0
157244,Serge Ibaka,PF/C,ORL,5900,30.51,40.5,0
157245,Julius Randle,PF/C,LAL,5800,0,0,0
157246,Kyle O'Quinn,PF/C,NY,4000,19.03,45,0
157247,Marreese Speights,PF/C,LAC,4000,16.35,33.75,0
157248,Kelly Olynyk,PF/C,BOS,3500,18.82,22.25,0
157249,Josh McRoberts,PF/C,MIA,3200,17.54,6.5,0
157250,Luis Scola,PF/C,BKN,3100,9.03,2.75,0
157251,Paul George,SF/PF,IND,7900,40.48,38,0
157252,Aaron Gordon,SF/PF,ORL,4500,23.81,9.5,0
157253,Larry Nance Jr.,SF/PF,LAL,3700,0,0,0
157254,Jeff Green,SF/PF,ORL,3500,17.22,16.25,0
157255,Luke Babbitt,SF/PF,MIA,3000,6.24,1.25,0
157256,Lance Thomas,SF/PF,NY,3000,6.28,0,0
157257,Davis Bertans,SF/PF,SA,3000,4.05,0,0
157258,Kristaps Porzingis,PF,NY,7600,37.84,24,0
157259,Trevor Booker,PF,BKN,5600,25.72,17.25,0
157260,Thaddeus Young,PF,IND,5400,27.38,40.5,0
157261,James Johnson,PF,MIA,4200,23.56,40,0
157262,Anthony Bennett,PF,BKN,3100,12.73,0,0
157263,Amir Johnson,PF,BOS,3100,11.73,22,0
157264,David Lee,PF,SA,3100,14.88,14,0
157265,David West,PF,GS,3000,14.24,27,0
157266,James Michael McAdoo,PF,GS,3000,0,0,0
157267,Kevon Looney,PF,GS,3000,12.49,23,0
157268,Chris McCullough,PF,BKN,3000,0,0,0
157269,Chris Bosh,PF,MIA,3000,0,0,0
157270,Udonis Haslem,PF,MIA,3000,2.83,0,0
