Id,Name,Position,Team,Salary,Projected,Scored,Override
136608,Russell Westbrook,PG,OKC,12500,70.39,67,0
136609,Damian Lillard,PG,POR,8900,43.08,39.75,0
136610,Jrue Holiday,PG,NO,6400,37.04,30.5,0
136611,D'Angelo Russell,PG,LAL,6200,0,0,0
136612,Emmanuel Mudiay,PG,DEN,5900,30.2,10.25,0
136613,Derrick Rose,PG,NY,5800,27.94,36,0
136614,Dennis Schroder,PG,ATL,5600,29.53,30,0
136615,Rajon Rondo,PG,CHI,5600,35.75,43.25,0
136616,Tim Frazier,PG,NO,5100,30.06,56.75,0
136617,Langston Galloway,PG,NO,3800,19.11,18.75,0
136618,Brandon Jennings,PG,NY,3800,19.7,28.25,0
136619,Jerian Grant,PG,CHI,3600,8.01,0,0
136620,Jamal Murray,PG,DEN,3500,16.09,36,0
136621,Isaiah Canaan,PG,CHI,3400,15.02,7.25,0
136622,Malcolm Delaney,PG,ATL,3000,13.45,15.5,0
136623,Michael Carter-Williams,PG,CHI,3000,0,0,0
136624,Malik Beasley,PG,DEN,3000,0,0,0
136625,Shabazz Napier,PG,POR,3000,6.54,0,0
136626,Tim Quarterman,PG,POR,3000,3.17,0,0
136627,Jose Calderon,PG,LAL,3000,17.3,30.5,0
136628,Marcelo Huertas,PG,LAL,3000,0,0,0
136629,Semaj Christon,PG,OKC,3000,4.95,0,0
136630,Cameron Payne,PG,OKC,3000,0,0,0
136631,Anthony Davis,PF/C,NO,11000,64.52,25.25,0
136632,Taj Gibson,PF/C,CHI,5400,29.56,32,0
136633,Nikola Jokic,PF/C,DEN,4500,22.16,26.5,0
136634,Kyle O'Quinn,PF/C,NY,3600,22.97,12.75,0
136635,Joffrey Lauvergne,PF/C,OKC,3000,13.45,27.25,0
136636,Jimmy Butler,SG/SF,CHI,9200,43.72,57,0
136637,Tyreke Evans,SG/SF,NO,6300,0,0,0
136638,Kent Bazemore,SG/SF,ATL,5500,27.01,4.75,0
136639,Will Barton,SG/SF,DEN,4700,25.05,16.75,0
136640,Andre Roberson,SG/SF,OKC,4300,20.71,18.75,0
136641,Evan Turner,SG/SF,POR,4100,20.46,17.25,0
136642,Allen Crabbe,SG/SF,POR,3900,16.56,11.25,0
136643,Justin Holiday,SG/SF,NY,3200,15.52,19.25,0
136644,Denzel Valentine,SG/SF,CHI,3100,6.87,5.25,0
136645,Paul Millsap,PF,ATL,7900,42.57,27,0
136646,Kristaps Porzingis,PF,NY,7500,38.08,46.25,0
136647,Julius Randle,PF,LAL,6700,37.28,12.75,0
136648,Kenneth Faried,PF,DEN,5700,29.42,15.5,0
136649,Terrence Jones,PF,NO,5400,24.77,30,0
136650,Nikola Mirotic,PF,CHI,4800,16.51,19.75,0
136651,Al-Farouq Aminu,PF,POR,4600,0,0,0
136652,Domantas Sabonis,PF,OKC,3300,12.91,14.5,0
136653,Meyers Leonard,PF,POR,3200,11.97,12.25,0
136654,Kris Humphries,PF,ATL,3000,7.07,7.75,0
136655,Mike Scott,PF,ATL,3000,0,0,0
136656,Cheick Diallo,PF,NO,3000,0,0,0
136657,Darrell Arthur,PF,DEN,3000,0,0,0
136658,Bobby Portis,PF,CHI,3000,9.54,1.25,0
136659,Jake Layman,PF,POR,3000,4.34,0,0
136660,Noah Vonleh,PF,POR,3000,8.98,5.5,0
136661,Maurice Ndour,PF,NY,3000,4.74,4,0
136662,Thomas Robinson,PF,LAL,3000,0.62,0,0
136663,Carmelo Anthony,SF,NY,7800,40.32,29.5,0
136664,Danilo Gallinari,SF,DEN,5900,31.1,23.75,0
136665,Wilson Chandler,SF,DEN,5700,28.12,35.75,0
136666,Maurice Harkless,SF,POR,4900,24.42,28,0
136667,Thabo Sefolosha,SF,ATL,3700,10,12.75,0
136668,Solomon Hill,SF,NO,3400,12.45,16.25,0
136669,Brandon Ingram,SF,LAL,3400,15.62,17.5,0
136670,Doug McDermott,SF,CHI,3300,0,0,0
136671,Quincy Pondexter,SF,NO,3000,0,0,0
136672,Ryan Kelly,SF,ATL,3000,0.64,6,0
136673,Anthony Brown,SF,NO,3000,0,4.25,0
136674,Taurean Prince,SF,ATL,3000,13.44,11.25,0
136675,DeAndre' Bembry,SF,ATL,3000,0,6.25,0
136676,Alonzo Gee,SF,DEN,3000,2.34,0,0
136677,Paul Zipser,SF,CHI,3000,0,0,0
136678,Pat Connaughton,SF,POR,3000,2.23,0,0
136679,Mindaugas Kuzminskas,SF,NY,3000,5.54,17.75,0
136680,Metta World Peace,SF,LAL,3000,0,0,0
136681,Kyle Singler,SF,OKC,3000,1.26,0,0
136682,Josh Huestis,SF,OKC,3000,0,0,0
136683,Dwight Howard,C,ATL,7700,39.67,22.5,0
136684,Mason Plumlee,C,POR,5600,28.81,26.25,0
136685,Robin Lopez,C,CHI,5300,28.22,37.5,0
136686,Steven Adams,C,OKC,5200,30.11,34,0
136687,Jusuf Nurkic,C,DEN,4600,24.47,42,0
136688,Enes Kanter,C,OKC,4600,22.88,18.25,0
136689,Joakim Noah,C,NY,4400,0,0,0
136690,Mike Muscala,C,ATL,4000,19.28,13.5,0
136691,Guillermo Hernangomez,C,NY,3300,15.57,12,0
136692,Timofey Mozgov,C,LAL,3300,16.73,26.75,0
136693,Ed Davis,C,POR,3200,16.36,31.5,0
136694,Tiago Splitter,C,ATL,3000,0,0,0
136695,Alexis Ajinca,C,NO,3000,5.51,0,0
136696,Omer Asik,C,NO,3000,11.42,15,0
136697,Cristiano Felicio,C,CHI,3000,3.42,0,0
136698,Juancho Hernangomez,C,DEN,3000,8.82,7.75,0
136699,Festus Ezeli,C,POR,3000,0,0,0
136700,Marshall Plumlee,C,NY,3000,1.29,0,0
136701,Nick Collison,C,OKC,3000,0,0,0
136702,Tarik Black,C,LAL,3000,13.88,16,0
136703,Ivica Zubac,C,LAL,3000,0,0,0
136704,C.J. McCollum,PG/SG,POR,7400,38.96,29.75,0
136705,Victor Oladipo,PG/SG,OKC,6600,35.46,30.5,0
136706,Jordan Clarkson,PG/SG,LAL,5000,24.51,35.25,0
136707,Jameer Nelson,PG/SG,DEN,3800,11.64,27,0
136708,Tim Hardaway Jr.,PG/SG,ATL,3600,18.7,15.25,0
136709,Dwyane Wade,SG,CHI,6000,35.89,33.75,0
136710,Lou Williams,SG,LAL,5300,27.45,22.75,0
136711,Nick Young,SG,LAL,4400,24.5,25.5,0
136712,E'Twaun Moore,SG,NO,4200,20.31,25.25,0
136713,Gary Harris,SG,DEN,4000,0,0,0
136714,Kyle Korver,SG,ATL,3900,19.86,24,0
136715,Courtney Lee,SG,NY,3700,18.95,18,0
136716,Buddy Hield,SG,NO,3200,8.48,2.75,0
136717,Mike Miller,SG,DEN,3000,0,0,0
136718,R.J. Hunter,SG,CHI,3000,0,0,0
136719,Sasha Vujacic,SG,NY,3000,2.27,0,0
136720,Ron Baker,SG,NY,3000,1.59,0,0
136721,Anthony Morrow,SG,OKC,3000,4.67,5.5,0
136722,Alex Abrines,SG,OKC,3000,9.47,3.5,0
136723,Larry Nance Jr.,SF/PF,LAL,3900,17.1,22,0
136724,Luol Deng,SF/PF,LAL,3700,17.43,11.75,0
136725,Dante Cunningham,SF/PF,NO,3400,15.72,23.25,0
136726,Jerami Grant,SF/PF,OKC,3100,15.07,16.75,0
136727,Lance Thomas,SF/PF,NY,3000,0,0,0
