Id,Name,Position,Team,Salary,Projected,Scored,Override
121852,DeMarcus Cousins,PF/C,SAC,10800,52.21,32.5,0
121853,Nikola Jokic,PF/C,DEN,7000,38.26,16.5,0
121854,Taj Gibson,PF/C,CHI,5100,29.21,32.25,0
121855,Luis Scola,PF/C,BKN,3400,13.91,20.5,0
121856,Brandon Bass,PF/C,LAC,3000,0,0,0
121857,Blake Griffin,PF,LAC,8800,45.99,43.75,0
121858,Paul Millsap,PF,ATL,7900,39.26,50,0
121859,Trevor Booker,PF,BKN,4700,30.75,20.5,0
121860,Nikola Mirotic,PF,CHI,4700,25.74,41,0
121861,Kenneth Faried,PF,DEN,4700,28.04,14.25,0
121862,Jared Dudley,PF,PHO,3600,15.88,16.25,0
121863,Patrick Patterson,PF,TOR,3500,13.03,28.25,0
121864,Pascal Siakam,PF,TOR,3300,13.98,7,0
121865,Marquese Chriss,PF,PHO,3200,12.82,13.5,0
121866,Kris Humphries,PF,ATL,3000,11.84,9.25,0
121867,Mike Scott,PF,ATL,3000,0,0,0
121868,Omri Casspi,PF,SAC,3000,0,0,0
121869,Skal Labissiere,PF,SAC,3000,0,0,0
121870,Bobby Portis,PF,CHI,3000,7.5,8,0
121871,Chris McCullough,PF,BKN,3000,0,3.75,0
121872,Darrell Arthur,PF,DEN,3000,0,0,0
121873,Jarnell Stokes,PF,DEN,3000,0,0,0
121874,Paul Pierce,PF,LAC,3000,0,0,0
121875,Brice Johnson,PF,LAC,3000,0,0,0
121876,Chris Paul,PG,LAC,8500,46.55,46.25,0
121877,Kyle Lowry,PG,TOR,7400,27.17,50.75,0
121878,Eric Bledsoe,PG,PHO,7100,35.54,28,0
121879,Dennis Schroder,PG,ATL,6600,30.18,28.75,0
121880,Rajon Rondo,PG,CHI,6400,33.43,25.5,0
121881,Jeremy Lin,PG,BKN,6300,34.2,29.5,0
121882,Emmanuel Mudiay,PG,DEN,5800,30.88,31,0
121883,Ty Lawson,PG,SAC,5600,27.12,25.5,0
121884,Darren Collison,PG,SAC,5300,0,0,0
121885,Michael Carter-Williams,PG,CHI,3500,18.74,3.5,0
121886,Austin Rivers,PG,LAC,3300,21.09,8.5,0
121887,Cory Joseph,PG,TOR,3200,12.81,17.25,0
121888,Malcolm Delaney,PG,ATL,3000,12.41,15.5,0
121889,Greivis Vasquez,PG,BKN,3000,0,0,0
121890,Isaiah Canaan,PG,CHI,3000,12.46,31.25,0
121891,Jerian Grant,PG,CHI,3000,0,0,0
121892,Isaiah Whitehead,PG,BKN,3000,4.16,11.5,0
121893,Jameer Nelson,PG,DEN,3000,12.72,20.5,0
121894,Fred VanVleet,PG,TOR,3000,0,0,0
121895,Delon Wright,PG,TOR,3000,0,0,0
121896,Malik Beasley,PG,DEN,3000,0,0,0
121897,Tyler Ulis,PG,PHO,3000,3.69,18.5,0
121898,Jimmy Butler,SG/SF,CHI,7600,40.88,33,0
121899,Will Barton,SG/SF,DEN,5700,31.67,28.5,0
121900,Kent Bazemore,SG/SF,ATL,4900,23.6,23.5,0
121901,Bojan Bogdanovic,SG/SF,BKN,4600,29.92,20.75,0
