Id,Name,Position,Team,Salary,Projected,Scored,Override
122980,Russell Westbrook,PG,OKC,12900,69.47,51,0
122981,Damian Lillard,PG,POR,9600,49.16,42.25,0
122982,Chris Paul,PG,LAC,8400,49.19,54.25,0
122983,John Wall,PG,WAS,8200,42.93,60.75,0
122984,Kyle Lowry,PG,TOR,7600,42.06,30.25,0
122985,Kemba Walker,PG,CHA,7500,41.65,36.5,0
122986,Isaiah Thomas,PG,BOS,7300,40.98,50.5,0
122987,Eric Bledsoe,PG,PHO,6900,39.12,35.75,0
122988,D'Angelo Russell,PG,LAL,6700,28.8,46.5,0
122989,Jeremy Lin,PG,BKN,6700,32.9,18,0
122990,Dennis Schroder,PG,ATL,6600,33.83,24,0
122991,Mike Conley,PG,MEM,6600,35.09,26.75,0
122992,Jrue Holiday,PG,NO,6500,0,0,0
122993,Reggie Jackson,PG,DET,6400,0,0,0
122994,Rajon Rondo,PG,CHI,6300,30.36,35.5,0
122995,Tim Frazier,PG,NO,6200,38.89,7.75,0
122996,George Hill,PG,UTA,5900,31.07,39,0
122997,Derrick Rose,PG,NY,5700,26.73,30,0
122998,Ish Smith,PG,DET,5500,29.39,23,0
122999,Deron Williams,PG,DAL,5200,34.01,28.5,0
123000,Sergio Rodriguez,PG,PHI,4900,30.16,22.75,0
123001,Jerryd Bayless,PG,PHI,4500,0,0,0
123002,Patrick Beverley,PG,HOU,4400,0,0,0
123003,Brandon Jennings,PG,NY,3900,17.88,19.75,0
123004,T.J. McConnell,PG,PHI,3600,17.41,18.75,0
123005,Terry Rozier,PG,BOS,3500,16.13,10,0
123006,Michael Carter-Williams,PG,CHI,3400,0,0,0
123007,Wade Baldwin IV,PG,MEM,3300,16.16,15.25,0
123008,Austin Rivers,PG,LAC,3300,16.4,8.5,0
123009,Cory Joseph,PG,TOR,3200,13.98,14.75,0
123010,Beno Udrih,PG,DET,3200,14.37,19.25,0
123011,Isaiah Canaan,PG,CHI,3100,17.4,10.5,0
123012,Jose Calderon,PG,LAL,3000,7.31,0,0
123013,Malcolm Delaney,PG,ATL,3000,15.63,14.25,0
123014,Marcelo Huertas,PG,LAL,3000,0,0,0
123015,Jerian Grant,PG,CHI,3000,0,12.5,0
123016,Demetrius Jackson,PG,BOS,3000,0,0,0
123017,Trey Burke,PG,WAS,3000,9.17,-0.25,0
123018,Tomas Satoransky,PG,WAS,3000,2.3,9,0
123019,Fred VanVleet,PG,TOR,3000,0,0,0
123020,Delon Wright,PG,TOR,3000,0,0,0
123021,Greivis Vasquez,PG,BKN,3000,0,0,0
123022,Isaiah Whitehead,PG,BKN,3000,6.6,14,0
123023,Brian Roberts,PG,CHA,3000,0,0,0
123024,Ramon Sessions,PG,CHA,3000,11.53,19.75,0
123025,Aaron Harrison,PG,CHA,3000,0,0,0
123026,Langston Galloway,PG,NO,3000,7.44,31.5,0
123027,Devin Harris,PG,DAL,3000,0,0,0
123028,Shelvin Mack,PG,UTA,3000,13.4,13,0
123029,Raul Neto,PG,UTA,3000,0.56,0,0
123030,Dante Exum,PG,UTA,3000,12.09,13,0
123031,Bobby Brown,PG,HOU,3000,0,0,0
123032,Tyler Ennis,PG,HOU,3000,5.36,4.75,0
123033,Semaj Christon,PG,OKC,3000,8.37,7.5,0
123034,Cameron Payne,PG,OKC,3000,0,0,0
123035,Shabazz Napier,PG,POR,3000,0.88,0,0
123036,Tim Quarterman,PG,POR,3000,0,0,0
123037,Tyler Ulis,PG,PHO,3000,7.69,0,0
123038,James Harden,PG/SG,HOU,11200,60.54,66.5,0
123039,C.J. McCollum,PG/SG,POR,7200,35.71,37.5,0
123040,Victor Oladipo,PG/SG,OKC,6500,31.09,17.25,0
123041,Jordan Clarkson,PG/SG,LAL,5400,20.56,26,0
123042,Brandon Knight,PG/SG,PHO,5300,20.18,25.5,0
123043,J.J. Barea,PG/SG,DAL,4800,26.92,22.75,0
123044,Marcus Smart,PG/SG,BOS,4400,0,22.25,0
123045,Tim Hardaway Jr.,PG/SG,ATL,3400,15.84,30.5,0
123046,Andrew Harrison,PG/SG,MEM,3000,14.94,0,0
123047,Raymond Felton,PG/SG,LAC,3000,8.54,13,0
123048,Anthony Davis,PF/C,NO,10900,68.24,28.25,0
123049,Taj Gibson,PF/C,CHI,5600,29.33,28.5,0
123050,Clint Capela,PF/C,HOU,5500,27.56,18.5,0
123051,Nerlens Noel,PF/C,PHI,5100,0,0,0
123052,Jahlil Okafor,PF/C,PHI,4900,18.06,21.75,0
123053,Amir Johnson,PF/C,BOS,3400,18,47,0
123054,Luis Scola,PF/C,BKN,3400,17.79,8.75,0
123055,Trey Lyles,PF/C,UTA,3400,22.52,6.5,0
123056,Dwight Powell,PF/C,DAL,3200,10.38,12.25,0
123057,Spencer Hawes,PF/C,CHA,3100,19.76,12,0
123058,Kyle O'Quinn,PF/C,NY,3100,14.26,9.25,0
123059,Jason Smith,PF/C,WAS,3000,5.25,0,0
123060,Jarell Martin,PF/C,MEM,3000,8.11,18,0
123061,Boris Diaw,PF/C,UTA,3000,0,0,0
123062,Brandon Bass,PF/C,LAC,3000,0,12,0
123063,Joffrey Lauvergne,PF/C,OKC,3000,6.89,12.5,0
123064,Blake Griffin,PF,LAC,8600,44.32,37.75,0
123065,Paul Millsap,PF,ATL,8000,40.86,24.25,0
123066,Kristaps Porzingis,PF,NY,7200,33.29,20.5,0
123067,Derrick Favors,PF,UTA,6400,23.77,9.25,0
123068,Julius Randle,PF,LAL,6300,34.55,22.5,0
123069,Zach Randolph,PF,MEM,5900,27.06,24.25,0
123070,Ryan Anderson,PF,HOU,5800,24.89,27.75,0
123071,Dirk Nowitzki,PF,DAL,5700,31.49,16.75,0
123072,Nikola Mirotic,PF,CHI,5100,26.36,28.5,0
123073,Trevor Booker,PF,BKN,5000,29.94,19,0
123074,Marvin Williams,PF,CHA,5000,29.11,27.5,0
123075,Al-Farouq Aminu,PF,POR,4400,26.05,26.25,0
123076,Frank Kaminsky,PF,CHA,4000,20.19,23.75,0
123077,Patrick Patterson,PF,TOR,3800,18.73,17.25,0
123078,Jon Leuer,PF,DET,3800,21.08,23.75,0
123079,Ersan Ilyasova,PF,OKC,3800,0,0,0
123080,Richaun Holmes,PF,PHI,3700,22.89,19.25,0
123081,Terrence Jones,PF,NO,3600,10.1,23.75,0
123082,Jared Dudley,PF,PHO,3500,18.46,18.75,0
123083,Kelly Olynyk,PF,BOS,3300,0,0,0
123084,Andrew Nicholson,PF,WAS,3300,17.76,5.25,0
123085,Domantas Sabonis,PF,OKC,3300,8.8,13,0
123086,Pascal Siakam,PF,TOR,3200,9.95,9.25,0
123087,Marquese Chriss,PF,PHO,3200,14.64,11.5,0
123088,Kris Humphries,PF,ATL,3000,11.07,13.25,0
123089,Mike Scott,PF,ATL,3000,0,0,0
123090,Thomas Robinson,PF,LAL,3000,0,0,0
123091,Jonas Jerebko,PF,BOS,3000,8.81,18.5,0
123092,Jordan Mickey,PF,BOS,3000,6.95,-0.5,0
123093,Bobby Portis,PF,CHI,3000,7.77,14.25,0
123094,Chris McCullough,PF,BKN,3000,4.05,0,0
123095,Henry Ellenson,PF,DET,3000,2.09,0,0
123096,Christian Wood,PF,CHA,3000,0,0,0
123097,Troy Williams,PF,MEM,3000,4.08,0,0
123098,Cheick Diallo,PF,NO,3000,0.94,0,0
123099,Deyonta Davis,PF,MEM,3000,8.82,0,0
123100,Quincy Acy,PF,DAL,3000,1.52,1.25,0
123101,Dorian Finney-Smith,PF,DAL,3000,0.39,0,0
123102,Joel Bolomboy,PF,UTA,3000,2.42,0,0
123103,Kyle Wiltjer,PF,HOU,3000,0,2,0
123104,Montrezl Harrell,PF,HOU,3000,0.81,37,0
123105,Maurice Ndour,PF,NY,3000,7.63,9.25,0
123106,Paul Pierce,PF,LAC,3000,0,0,0
123107,Brice Johnson,PF,LAC,3000,0,0,0
123108,Meyers Leonard,PF,POR,3000,5.38,23.75,0
123109,Jake Layman,PF,POR,3000,12.18,0,0
123110,Noah Vonleh,PF,POR,3000,6.26,0,0
123111,Andre Drummond,C,DET,8300,45.49,22.5,0
123112,Dwight Howard,C,ATL,7600,40.03,49.25,0
123113,DeAndre Jordan,C,LAC,7400,36.14,20.5,0
123114,Rudy Gobert,C,UTA,7100,35.42,39.5,0
123115,Jonas Valanciunas,C,TOR,6800,37.38,22.75,0
123116,Al Horford,C,BOS,6500,0,0,0
123117,Brook Lopez,C,BKN,6400,27.95,55.75,0
123118,Marc Gasol,C,MEM,6100,36.2,39.75,0
123119,Steven Adams,C,OKC,6000,29.59,17.75,0
123120,Marcin Gortat,C,WAS,5600,29.35,37.5,0
123121,Joel Embiid,C,PHI,5600,0,0,0
123122,Enes Kanter,C,OKC,5400,22.24,22,0
123123,Joakim Noah,C,NY,4900,26.15,8.5,0
123124,Mason Plumlee,C,POR,4600,27.1,28,0
123125,Robin Lopez,C,CHI,4400,23.35,17.25,0
123126,Cody Zeller,C,CHA,4300,24.43,16.25,0
123127,Tyson Chandler,C,PHO,4200,24.79,31,0
123128,Timofey Mozgov,C,LAL,4100,0,0,0
123129,Justin Hamilton,C,BKN,4000,20.62,15.75,0
123130,Andrew Bogut,C,DAL,4000,21.03,15.75,0
123131,Alex Len,C,PHO,3900,23.39,33,0
123132,Roy Hibbert,C,CHA,3700,0,0,0
123133,Nene Hilario,C,HOU,3700,0,0,0
123134,Mike Muscala,C,ATL,3400,20.2,17.75,0
123135,Ed Davis,C,POR,3300,10.4,15,0
