Id,Name,Position,Team,Salary,Projected,Scored,Override
149978,Kristaps Porzingis,PF,NY,7300,38.56,62.5,0
149979,Ersan Ilyasova,PF,PHI,5900,35.4,28,0
149980,Terrence Jones,PF,NO,4600,19.07,20,0
149981,Jon Leuer,PF,DET,4100,22.37,6,0
149982,Richaun Holmes,PF,PHI,3700,21.4,5.25,0
149983,Jared Dudley,PF,PHO,3500,18.63,18.25,0
149984,Amir Johnson,PF,BOS,3100,12.34,26,0
149985,Domantas Sabonis,PF,OKC,3100,13.96,15.25,0
149986,Henry Ellenson,PF,DET,3000,2.29,0,0
149987,David West,PF,GS,3000,13.38,14,0
149988,Jordan Hill,PF,MIN,3000,4.2,0,0
149989,Adreian Payne,PF,MIN,3000,5.53,6.25,0
149990,James Michael McAdoo,PF,GS,3000,2.84,0,0
149991,Kevon Looney,PF,GS,3000,5.6,8.75,0
149992,Jonas Jerebko,PF,BOS,3000,11.75,1.25,0
149993,Jordan Mickey,PF,BOS,3000,0,0,0
149994,Marquese Chriss,PF,PHO,3000,11.63,12.75,0
149995,Cheick Diallo,PF,NO,3000,12.22,9,0
149996,Dragan Bender,PF,PHO,3000,9.38,1.25,0
149997,Thomas Robinson,PF,LAL,3000,10.47,8.5,0
149998,Maurice Ndour,PF,NY,3000,0,0,0
149999,Lou Williams,SG,LAL,7100,40.38,41.5,0
150000,Klay Thompson,SG,GS,6600,33.68,43.5,0
150001,Avery Bradley,SG,BOS,6400,33.38,31,0
150002,Victor Oladipo,SG,OKC,6200,33.51,2.75,0
150003,Zach LaVine,SG,MIN,6000,32.45,36.75,0
150004,Kentavious Caldwell-Pope,SG,DET,5200,0,0,0
150005,Nick Young,SG,LAL,4300,6.1,20.5,0
150006,Nik Stauskas,SG,PHI,3900,20.61,20,0
150007,Courtney Lee,SG,NY,3800,20.29,21,0
150008,E'Twaun Moore,SG,NO,3700,3.59,13.5,0
150009,Buddy Hield,SG,NO,3500,15.73,11.25,0
150010,Gerald Henderson,SG,PHI,3400,16.84,11,0
150011,Darrun Hilliard,SG,DET,3000,11.26,4.75,0
150012,Timothe Luwawu-Cabarrot,SG,PHI,3000,4.69,8.25,0
150013,Brandon Rush,SG,MIN,3000,4.74,4.5,0
150014,Gerald Green,SG,BOS,3000,2.12,0,0
150015,Alex Abrines,SG,OKC,3000,0,0,0
150016,James Young,SG,BOS,3000,0,0,0
150017,John Jenkins,SG,PHO,3000,0.57,0,0
150018,Sasha Vujacic,SG,NY,3000,8.44,0,0
150019,Ron Baker,SG,NY,3000,2.27,0,0
150020,Tyreke Evans,SG/SF,NO,6000,0,0,0
150021,Devin Booker,SG/SF,PHO,5800,30.09,30.75,0
150022,Marcus Smart,SG/SF,BOS,5600,27.06,33.5,0
150023,Andre Roberson,SG/SF,OKC,4300,21.94,15.75,0
150024,Hollis Thompson,SG/SF,PHI,3000,6.57,12,0
150025,Stanley Johnson,SG/SF,DET,3000,3.19,27,0
150026,Shabazz Muhammad,SG/SF,MIN,3000,9.19,15.75,0
150027,Patrick McCaw,SG/SF,GS,3000,12.08,2,0
150028,Anthony Morrow,SG/SF,OKC,3000,13.59,12.25,0
150029,Jordan Clarkson,PG/SG,LAL,5600,20.18,25,0
150030,Brandon Knight,PG/SG,PHO,4500,23.07,14,0
150031,Langston Galloway,PG/SG,NO,4300,21.38,14,0
150032,Justin Holiday,PG/SG,NY,3300,13.02,14.75,0
150033,Leandro Barbosa,PG/SG,PHO,3100,16.03,21.25,0
150034,Ian Clark,PG/SG,GS,3000,13.5,2.75,0
