Id,Name,Position,Team,Salary,Projected,Scored,Override
139922,LeBron James,SF/PF,CLE,9500,53.04,62.5,0
139923,Dario Saric,SF/PF,PHI,4100,17.14,20.5,0
139924,Kevin Love,PF/C,CLE,8100,47.21,43.25,0
139925,Jahlil Okafor,PF/C,PHI,4700,18.56,25.75,0
139926,Nikola Jokic,PF/C,DEN,4600,23.65,34.75,0
139927,Kyrie Irving,PG,CLE,7600,36.93,49,0
139928,Eric Bledsoe,PG,PHO,7100,40.97,60,0
139929,Emmanuel Mudiay,PG,DEN,5900,30.04,32.5,0
139930,Jamal Murray,PG,DEN,4600,27.23,17,0
139931,Jerryd Bayless,PG,PHI,4200,0,0,0
139932,Sergio Rodriguez,PG,PHI,3600,24.39,29,0
139933,Mo Williams,PG,CLE,3000,0,0,0
139934,T.J. McConnell,PG,PHI,3000,10.7,13,0
139935,Kay Felder,PG,CLE,3000,5.28,0,0
139936,Tyler Ulis,PG,PHO,3000,12.06,0,0
139937,Malik Beasley,PG,DEN,3000,2.53,4.75,0
139938,Wilson Chandler,SF,DEN,6600,35.37,45,0
139939,Danilo Gallinari,SF,DEN,5700,0,0,0
139940,T.J. Warren,SF,PHO,5500,0,0,0
139941,Robert Covington,SF,PHI,4300,24.4,18.5,0
139942,P.J. Tucker,SF,PHO,3500,16.31,36,0
139943,Richard Jefferson,SF,CLE,3000,9.31,12.5,0
139944,Ben Simmons,SF,PHI,3000,0,0,0
139945,Alonzo Gee,SF,DEN,3000,11.95,4.75,0
139946,Derrick Jones Jr.,SF,PHO,3000,0,0,0
139947,Joel Embiid,C,PHI,6400,37.8,45.25,0
139948,Tristan Thompson,C,CLE,5200,27.9,32,0
139949,Nerlens Noel,C,PHI,5000,0,0,0
139950,Alex Len,C,PHO,4900,16.3,23,0
139951,Jusuf Nurkic,C,DEN,4800,25.52,17.5,0
139952,Tyson Chandler,C,PHO,4100,20.14,34.25,0
139953,Alan Williams,C,PHO,3500,8.46,0,0
139954,Chris Andersen,C,CLE,3000,9.47,0,0
139955,Juancho Hernangomez,C,DEN,3000,0,0,0
139956,Devin Booker,SG/SF,PHO,6100,28.36,43.25,0
139957,Will Barton,SG/SF,DEN,4500,0,0,0
139958,Hollis Thompson,SG/SF,PHI,3100,15.3,9,0
139959,Mike Dunleavy,SG/SF,CLE,3000,10.18,3.5,0
139960,Kenneth Faried,PF,DEN,5600,27.11,28.25,0
139961,Ersan Ilyasova,PF,PHI,4600,26.81,21.5,0
139962,Jared Dudley,PF,PHO,3600,0,0,0
139963,Channing Frye,PF,CLE,3400,0,0,0
139964,Richaun Holmes,PF,PHI,3200,17.16,0,0
139965,Darrell Arthur,PF,DEN,3000,6.77,13.25,0
139966,Marquese Chriss,PF,PHO,3000,13.14,3.5,0
139967,Dragan Bender,PF,PHO,3000,7.02,0.25,0
139968,Brandon Knight,PG/SG,PHO,4600,22.44,12,0
139969,Jameer Nelson,PG/SG,DEN,4400,24.18,29,0
