Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk,Date
John Wall,Blake Griffin,Joe Harris,Rudy Gobert,Myles Turner,Lou Williams,Rodney Hood,Omri Casspi,WAS,LAC,BKN,UTA,IND,LAL,UTA,SAC,PG,PF,SF,C,C,SG,SG,SF,285.108,257.0,81,Dec142016,0,89.47,2016-12-14
John Wall,Kyle Lowry,Jon Leuer,Marc Gasol,Brook Lopez,Lou Williams,Jamal Crawford,Kelly Oubre Jr.,WAS,TOR,DET,MEM,BKN,LAL,LAC,WAS,PG,PG,PF,C,C,SG,SG,SG,290.978,256.5,19,Dec142016,0,88.02,2016-12-14
John Wall,Goran Dragic,Deron Williams,Marc Gasol,Joel Embiid,Sergio Rodriguez,J.R. Smith,Bojan Bogdanovic,WAS,MIA,DAL,MEM,PHI,PHI,CLE,BKN,PG,PG,PG,C,C,PG,SG,SG,292.798,255.5,11,Dec142016,0,109.66,2016-12-14
John Wall,Goran Dragic,Jae Crowder,Marc Gasol,Jonas Valanciunas,Patrick Beverley,Wesley Matthews,Glenn Robinson III,WAS,MIA,BOS,MEM,TOR,HOU,DAL,IND,PG,PG,SF,C,C,PG,SG,SG,288.218,255.25,38,Dec142016,0,108.01,2016-12-14
John Wall,Blake Griffin,Kyle Lowry,Joe Harris,Hassan Whiteside,Sergio Rodriguez,J.R. Smith,Andrew Harrison,WAS,LAC,TOR,BKN,MIA,PHI,CLE,MEM,PG,PF,PG,SF,C,PG,SG,PG,286.258,254.75,63,Dec142016,0,89.46,2016-12-14
Blake Griffin,Jon Leuer,Goran Dragic,Jae Crowder,Hassan Whiteside,Rudy Gobert,Wesley Matthews,J.R. Smith,LAC,DET,MIA,BOS,MIA,UTA,DAL,CLE,PF,PF,PG,SF,C,C,SG,SG,284.568,254.75,100,Dec142016,0,94.95,2016-12-14
Kyle Lowry,Andre Drummond,Marc Gasol,J.R. Smith,Kelly Oubre Jr.,Austin Rivers,Garrett Temple,Russell Westbrook,TOR,DET,MEM,CLE,WAS,LAC,SAC,OKC,PG,C,C,SG,SG,PG,PG,PG,291.418,254.5,17,Dec142016,0,87.14,2016-12-14
Blake Griffin,Trevor Booker,Dorian Finney-Smith,Marc Gasol,Jonas Valanciunas,Bradley Beal,J.R. Smith,Paul George,LAC,BKN,DAL,MEM,TOR,WAS,CLE,IND,PF,PF,SF,C,C,SG,SG,SF,289.518,254.0,26,Dec142016,0,103.43,2016-12-14
John Wall,Gordon Hayward,Andre Drummond,Myles Turner,Darren Collison,Lou Williams,Kelly Oubre Jr.,Austin Rivers,WAS,UTA,DET,IND,SAC,LAL,WAS,LAC,PG,SF,C,C,PG,SG,SG,PG,290.118,254.0,25,Dec142016,0,102.64,2016-12-14
John Wall,Blake Griffin,Gordon Hayward,Troy Williams,Brook Lopez,Patrick Beverley,Sergio Rodriguez,Austin Rivers,WAS,LAC,UTA,MEM,BKN,HOU,PHI,LAC,PG,PF,SF,SF,C,PG,PG,PG,285.268,252.75,75,Dec142016,0,107.18,2016-12-14
John Wall,Kyle Lowry,Deron Williams,Andre Drummond,Myles Turner,J.R. Smith,Marcus Smart,Luol Deng,WAS,TOR,DAL,DET,IND,CLE,BOS,LAL,PG,PG,PG,C,C,SG,SG,SF,284.918,252.25,85,Dec142016,0,93.33,2016-12-14
John Wall,Blake Griffin,Goran Dragic,Troy Williams,Marc Gasol,Kosta Koufos,DeAndre Liggins,Paul George,WAS,LAC,MIA,MEM,MEM,SAC,CLE,IND,PG,PF,PG,SF,C,C,SG,SF,286.148,250.0,64,Dec142016,0,104.92,2016-12-14
John Wall,Rudy Gobert,Jonas Valanciunas,Sergio Rodriguez,J.R. Smith,Glenn Robinson III,Russell Westbrook,Omri Casspi,WAS,UTA,TOR,PHI,CLE,IND,OKC,SAC,PG,C,C,PG,SG,SG,PG,SF,289.388,247.75,31,Dec142016,0,91.99,2016-12-14
Blake Griffin,Trevor Booker,Kyle Lowry,Marc Gasol,Al Horford,Tyler Johnson,Glenn Robinson III,Kelly Oubre Jr.,LAC,BKN,TOR,MEM,BOS,MIA,IND,WAS,PF,PF,PG,C,C,PG,SG,SG,284.688,247.25,96,Dec142016,0,96.28,2016-12-14
John Wall,Dorian Finney-Smith,Marc Gasol,Joel Embiid,Tyler Johnson,Glenn Robinson III,Chris Paul,Omri Casspi,WAS,DAL,MEM,PHI,MIA,IND,LAC,SAC,PG,SF,C,C,PG,SG,PG,SF,285.208,246.5,77,Dec142016,0,96.77,2016-12-14
John Wall,Blake Griffin,Dorian Finney-Smith,Andre Drummond,Rudy Gobert,Wesley Matthews,Sean Kilpatrick,DeAndre Liggins,WAS,LAC,DAL,DET,UTA,DAL,BKN,CLE,PG,PF,SF,C,C,SG,SG,SG,290.218,246.5,22,Dec142016,0,92.22,2016-12-14
Blake Griffin,Goran Dragic,Jeff Teague,Marc Gasol,Brook Lopez,Kelly Oubre Jr.,Austin Rivers,Julius Randle,LAC,MIA,IND,MEM,BKN,WAS,LAC,LAL,PF,PG,PG,C,C,SG,PG,PF,286.118,245.75,65,Dec142016,0,102.97,2016-12-14
John Wall,Blake Griffin,Kawhi Leonard,Al Horford,Myles Turner,Jamal Crawford,J.R. Smith,Bojan Bogdanovic,WAS,LAC,SA,BOS,IND,LAC,CLE,BKN,PG,PF,SF,C,C,SG,SG,SG,287.868,245.25,42,Dec142016,0,94.34,2016-12-14
John Wall,David Lee,Gordon Hayward,Marc Gasol,Rudy Gobert,Wesley Matthews,Jamal Crawford,Bojan Bogdanovic,WAS,SA,UTA,MEM,UTA,DAL,LAC,BKN,PG,PF,SF,C,C,SG,SG,SG,292.208,244.0,15,Dec142016,0,91.41,2016-12-14
Marc Gasol,Rudy Gobert,Wesley Matthews,J.R. Smith,Marcus Smart,Garrett Temple,Paul George,Chris Paul,MEM,UTA,DAL,CLE,BOS,SAC,IND,LAC,C,C,SG,SG,SG,PG,SF,PG,284.578,243.75,99,Dec142016,0,91.64,2016-12-14
