Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk,Date
Michael Kidd-Gilchrist,Hassan Whiteside,Robin Lopez,Jimmy Butler,Kelly Oubre Jr.,Wesley Matthews,Jeff Teague,LeBron James,CHA,MIA,CHI,CHI,WAS,DAL,IND,CLE,SF,C,C,SG,SG,SG,PG,SF,285.358,303.75,63,Dec102016,0,90.9,2016-12-10
Pau Gasol,Nikola Jokic,Trevor Booker,Nicolas Batum,Bojan Bogdanovic,Wesley Matthews,Damian Lillard,LeBron James,SA,DEN,BKN,CHA,BKN,DAL,POR,CLE,C,C,PF,SG,SG,SG,PG,SF,290.408,302.25,7,Dec102016,0,97.72,2016-12-10
Michael Kidd-Gilchrist,Robin Lopez,John Henson,Bojan Bogdanovic,Chris Paul,Damian Lillard,Rajon Rondo,LeBron James,CHA,CHI,MIL,BKN,LAC,POR,CHI,CLE,SF,C,C,SG,PG,PG,PG,SF,286.258,300.5,48,Dec102016,0,92.39,2016-12-10
Rudy Gobert,Brook Lopez,Kevin Love,Bojan Bogdanovic,Evan Fournier,Chris Paul,Rajon Rondo,Patrick Beverley,UTA,BKN,CLE,BKN,ORL,LAC,CHI,HOU,C,C,PF,SG,SG,PG,PG,PG,283.958,300.0,98,Dec102016,0,93.36,2016-12-10
Omri Casspi,Rudy Gobert,Greg Monroe,Kevin Love,Nicolas Batum,Wesley Matthews,Jeff Teague,LeBron James,SAC,UTA,MIL,CLE,CHA,DAL,IND,CLE,SF,C,C,PF,SG,SG,PG,SF,287.368,294.75,30,Dec102016,0,93.78,2016-12-10
DeMarcus Cousins,Omri Casspi,Brook Lopez,Nikola Jokic,Bradley Beal,Rodney Stuckey,Wesley Matthews,LeBron James,SAC,SAC,BKN,DEN,WAS,IND,DAL,CLE,PF,SF,C,C,SG,PG,SG,SF,283.998,287.75,97,Dec102016,0,110.24,2016-12-10
Hassan Whiteside,Nikola Jokic,C.J. McCollum,Marvin Williams,Kevin Love,Nicolas Batum,Evan Fournier,Wesley Matthews,MIA,DEN,POR,CHA,CLE,CHA,ORL,DAL,C,C,PG,PF,PF,SG,SG,SG,287.308,286.0,31,Dec102016,0,93.21,2016-12-10
Rudy Gobert,John Henson,Jimmy Butler,Nicolas Batum,Bojan Bogdanovic,Sean Kilpatrick,Wesley Matthews,Chris Paul,UTA,MIL,CHI,CHA,BKN,BKN,DAL,LAC,C,C,SG,SG,SG,SG,SG,PG,288.968,283.0,15,Dec102016,0,83.71,2016-12-10
Nikola Jokic,Robin Lopez,Evan Turner,Sean Kilpatrick,Chris Paul,LeBron James,Harrison Barnes,Trevor Ariza,DEN,CHI,POR,BKN,LAC,CLE,DAL,HOU,C,C,SG,SG,PG,SF,SF,SF,285.968,282.75,51,Dec102016,0,86.77,2016-12-10
Omri Casspi,Hassan Whiteside,Nikola Jokic,Nicolas Batum,Evan Turner,Dwyane Wade,Rajon Rondo,LeBron James,SAC,MIA,DEN,CHA,POR,CHI,CHI,CLE,SF,C,C,SG,SG,SG,PG,SF,287.868,282.75,27,Dec102016,0,102.98,2016-12-10
Nikola Jokic,Kevin Love,Patrick McCaw,Bradley Beal,Evan Fournier,Jeff Teague,Rajon Rondo,LeBron James,DEN,CLE,GS,WAS,ORL,IND,CHI,CLE,C,PF,SG,SG,SG,PG,PG,SF,284.058,279.75,95,Dec102016,0,101.83,2016-12-10
Brook Lopez,Greg Monroe,Nicolas Batum,Evan Turner,Tony Allen,Damian Lillard,LeBron James,Trevor Ariza,BKN,MIL,CHA,POR,MEM,POR,CLE,HOU,C,C,SG,SG,SG,PG,SF,SF,284.328,277.5,86,Dec102016,0,95.23,2016-12-10
Nikola Jokic,C.J. McCollum,Bojan Bogdanovic,Sean Kilpatrick,Rodney Stuckey,Rajon Rondo,LeBron James,Kevin Durant,DEN,POR,BKN,BKN,IND,CHI,CLE,GS,C,PG,SG,SG,PG,PG,SF,SF,285.608,274.25,57,Dec102016,0,98.46,2016-12-10
Rudy Gobert,Pau Gasol,C.J. McCollum,C.J. Miles,Klay Thompson,Sean Kilpatrick,Wesley Matthews,LeBron James,UTA,SA,POR,IND,GS,BKN,DAL,CLE,C,C,PG,SG,SG,SG,SG,SF,285.008,273.5,73,Dec102016,0,95.28,2016-12-10
Nikola Jokic,Greg Monroe,C.J. Miles,Dwyane Wade,Sean Kilpatrick,Damian Lillard,Jeff Teague,LeBron James,DEN,MIL,IND,CHI,BKN,POR,IND,CLE,C,C,SG,SG,SG,PG,PG,SF,288.838,270.0,18,Dec102016,0,103.53,2016-12-10
Hassan Whiteside,Rudy Gobert,C.J. McCollum,Trevor Booker,Bojan Bogdanovic,Wesley Matthews,Jeff Teague,Rajon Rondo,MIA,UTA,POR,BKN,BKN,DAL,IND,CHI,C,C,PG,PF,SG,SG,PG,PG,288.468,269.25,19,Dec102016,0,88.06,2016-12-10
Brook Lopez,Nikola Jokic,Jimmy Butler,Bojan Bogdanovic,Klay Thompson,Rodney McGruder,Jeff Teague,LeBron James,BKN,DEN,CHI,BKN,GS,MIA,IND,CLE,C,C,SG,SG,SG,SG,PG,SF,287.278,268.0,32,Dec102016,0,95.16,2016-12-10
Nikola Jokic,Robin Lopez,Kevin Love,Nicolas Batum,Rodney Stuckey,Rodney McGruder,John Wall,LeBron James,DEN,CHI,CLE,CHA,IND,MIA,WAS,CLE,C,C,PF,SG,PG,SG,PG,SF,284.438,266.75,84,Dec102016,0,99.67,2016-12-10
Joe Ingles,Brook Lopez,John Henson,Kevin Love,Klay Thompson,Wesley Matthews,Rajon Rondo,LeBron James,UTA,BKN,MIL,CLE,GS,DAL,CHI,CLE,SF,C,C,PF,SG,SG,PG,SF,284.968,265.25,75,Dec102016,0,103.63,2016-12-10
Hassan Whiteside,John Henson,Kevin Love,Bojan Bogdanovic,Bradley Beal,Wesley Matthews,Damian Lillard,Elfrid Payton,MIA,MIL,CLE,BKN,WAS,DAL,POR,ORL,C,C,PF,SG,SG,SG,PG,PG,284.008,264.0,96,Dec102016,0,94.49,2016-12-10
Omri Casspi,Nikola Jokic,Robin Lopez,Kevin Love,Klay Thompson,Wesley Matthews,Damian Lillard,Kevin Durant,SAC,DEN,CHI,CLE,GS,DAL,POR,GS,SF,C,C,PF,SG,SG,PG,SF,285.758,259.25,55,Dec102016,0,86.55,2016-12-10
Pau Gasol,Mason Plumlee,Nicolas Batum,Patrick McCaw,Sean Kilpatrick,Chris Paul,Rajon Rondo,LeBron James,SA,POR,CHA,GS,BKN,LAC,CHI,CLE,C,C,SG,SG,SG,PG,PG,SF,286.878,257.25,39,Dec102016,0,95.23,2016-12-10
DeMarcus Cousins,Michael Kidd-Gilchrist,Hassan Whiteside,Nikola Jokic,Wesley Matthews,Tony Allen,Malcolm Brogdon,Damian Lillard,SAC,CHA,MIA,DEN,DAL,MEM,MIL,POR,PF,SF,C,C,SG,SG,PG,PG,285.808,256.0,53,Dec102016,0,97.59,2016-12-10
DeMarcus Cousins,Brook Lopez,Nikola Jokic,Marvin Williams,Bojan Bogdanovic,Damian Lillard,Rajon Rondo,Trevor Ariza,SAC,BKN,DEN,CHA,BKN,POR,CHI,HOU,PF,C,C,PF,SG,PG,PG,SF,286.938,254.75,38,Dec102016,0,100.45,2016-12-10
Marcin Gortat,JaMychal Green,Nicolas Batum,Bojan Bogdanovic,Sean Kilpatrick,Jeff Teague,LeBron James,Harrison Barnes,WAS,MEM,CHA,BKN,BKN,IND,CLE,DAL,C,PF,SG,SG,SG,PG,SF,SF,285.758,254.25,54,Dec102016,0,85.67,2016-12-10
Hassan Whiteside,Brook Lopez,Evan Turner,Matthew Dellavedova,Dwyane Wade,Sean Kilpatrick,Evan Fournier,Chris Paul,MIA,BKN,POR,MIL,CHI,BKN,ORL,LAC,C,C,SG,PG,SG,SG,SG,PG,284.758,253.75,78,Dec102016,0,87.23,2016-12-10
Nikola Jokic,Greg Monroe,Trevor Booker,Evan Turner,Wesley Matthews,Chris Paul,Jeff Teague,Kevin Durant,DEN,MIL,BKN,POR,DAL,LAC,IND,GS,C,C,PF,SG,SG,PG,PG,SF,287.208,253.0,36,Dec102016,0,84.91,2016-12-10
Hassan Whiteside,Robin Lopez,Trevor Booker,Patrick McCaw,Sean Kilpatrick,Wesley Matthews,Chris Paul,Damian Lillard,MIA,CHI,BKN,GS,BKN,DAL,LAC,POR,C,C,PF,SG,SG,SG,PG,PG,289.298,252.5,13,Dec102016,0,83.26,2016-12-10
Hassan Whiteside,Nikola Jokic,Jimmy Butler,Nicolas Batum,Patrick McCaw,Rodney Stuckey,Damian Lillard,Jeff Teague,MIA,DEN,CHI,CHA,GS,IND,POR,IND,C,C,SG,SG,SG,PG,PG,PG,287.568,251.0,29,Dec102016,0,89.95,2016-12-10
Robin Lopez,Trevor Booker,Evan Turner,Klay Thompson,Jamal Crawford,Damian Lillard,Jeff Teague,LeBron James,CHI,BKN,POR,GS,LAC,POR,IND,CLE,C,PF,SG,SG,SG,PG,PG,SF,284.798,249.75,77,Dec102016,0,85.95,2016-12-10
DeMarcus Cousins,Michael Kidd-Gilchrist,Pau Gasol,Nikola Jokic,Dwyane Wade,Rodney Stuckey,Chris Paul,Rajon Rondo,SAC,CHA,SA,DEN,CHI,IND,LAC,CHI,PF,SF,C,C,SG,PG,PG,PG,285.088,249.5,70,Dec102016,0,104.26,2016-12-10
Hassan Whiteside,Rudy Gobert,Jimmy Butler,Matthew Dellavedova,C.J. Miles,Sean Kilpatrick,Jamal Crawford,Damian Lillard,MIA,UTA,CHI,MIL,IND,BKN,LAC,POR,C,C,SG,PG,SG,SG,SG,PG,284.178,249.25,92,Dec102016,0,84.32,2016-12-10
Marcin Gortat,Pau Gasol,Kevin Love,Evan Turner,Wesley Matthews,Damian Lillard,Jeff Teague,Rajon Rondo,WAS,SA,CLE,POR,DAL,POR,IND,CHI,C,C,PF,SG,SG,PG,PG,PG,285.378,246.75,62,Dec102016,0,89.64,2016-12-10
Brook Lopez,Marcin Gortat,JaMychal Green,Trevor Booker,Kevin Love,Nicolas Batum,Dwyane Wade,Wesley Matthews,BKN,WAS,MEM,BKN,CLE,CHA,CHI,DAL,C,C,PF,PF,PF,SG,SG,SG,285.408,246.25,61,Dec102016,0,90.1,2016-12-10
Hassan Whiteside,Robin Lopez,C.J. McCollum,Kevin Love,Bojan Bogdanovic,Sean Kilpatrick,LaMarcus Aldridge,Harrison Barnes,MIA,CHI,POR,CLE,BKN,BKN,SA,DAL,C,C,PG,PF,SG,SG,PF,SF,283.948,246.0,99,Dec102016,0,85.3,2016-12-10
DeMarcus Cousins,Omri Casspi,Pau Gasol,Nikola Jokic,Jimmy Butler,Sean Kilpatrick,Rodney McGruder,Damian Lillard,SAC,SAC,SA,DEN,CHI,BKN,MIA,POR,PF,SF,C,C,SG,SG,SG,PG,286.268,245.75,47,Dec102016,0,97.85,2016-12-10
Marcin Gortat,Greg Monroe,Marvin Williams,Kevin Love,Bojan Bogdanovic,Sean Kilpatrick,Chris Paul,Kevin Durant,WAS,MIL,CHA,CLE,BKN,BKN,LAC,GS,C,C,PF,PF,SG,SG,PG,SF,284.658,244.75,80,Dec102016,0,83.37,2016-12-10
Rudy Gobert,Brook Lopez,Marvin Williams,Evan Turner,Sean Kilpatrick,Jeff Teague,Rajon Rondo,LeBron James,UTA,BKN,CHA,POR,BKN,IND,CHI,CLE,C,C,PF,SG,SG,PG,PG,SF,290.088,243.75,8,Dec102016,0,98.83,2016-12-10
DeMarcus Cousins,Nikola Jokic,Greg Monroe,Kevin Love,Nicolas Batum,Bojan Bogdanovic,Bradley Beal,Patrick Beverley,SAC,DEN,MIL,CLE,CHA,BKN,WAS,HOU,PF,C,C,PF,SG,SG,SG,PG,286.658,243.5,42,Dec102016,0,104.29,2016-12-10
Rudy Gobert,Nikola Jokic,C.J. Miles,Klay Thompson,Chris Paul,Jeff Teague,Rajon Rondo,Harrison Barnes,UTA,DEN,IND,GS,LAC,IND,CHI,DAL,C,C,SG,SG,PG,PG,PG,SF,285.478,243.5,60,Dec102016,0,90.89,2016-12-10
Hassan Whiteside,Robin Lopez,Nicolas Batum,Bojan Bogdanovic,Dwyane Wade,Stephen Curry,Jeff Teague,Patrick Beverley,MIA,CHI,CHA,BKN,CHI,GS,IND,HOU,C,C,SG,SG,SG,PG,PG,PG,285.038,243.25,71,Dec102016,0,85.01,2016-12-10
Omri Casspi,Hassan Whiteside,Brook Lopez,JaMychal Green,Marvin Williams,Kevin Love,Sean Kilpatrick,Damian Lillard,SAC,MIA,BKN,MEM,CHA,CLE,BKN,POR,SF,C,C,PF,PF,PF,SG,PG,286.608,242.25,43,Dec102016,0,94.03,2016-12-10
DeMarcus Cousins,Hassan Whiteside,Pau Gasol,Marvin Williams,Bojan Bogdanovic,Dwyane Wade,Sean Kilpatrick,Wesley Matthews,SAC,MIA,SA,CHA,BKN,CHI,BKN,DAL,PF,C,C,PF,SG,SG,SG,SG,288.078,241.5,24,Dec102016,0,98.16,2016-12-10
Mason Plumlee,Nikola Jokic,Nicolas Batum,C.J. Miles,Evan Fournier,Damian Lillard,Rajon Rondo,Kevin Durant,POR,DEN,CHA,IND,ORL,POR,CHI,GS,C,C,SG,SG,SG,PG,PG,SF,284.928,240.5,76,Dec102016,0,91.73,2016-12-10
Rudy Gobert,Brook Lopez,Nicolas Batum,Patrick McCaw,Bradley Beal,Klay Thompson,Wesley Matthews,Damian Lillard,UTA,BKN,CHA,GS,WAS,GS,DAL,POR,C,C,SG,SG,SG,SG,SG,PG,285.908,240.5,52,Dec102016,0,89.03,2016-12-10
DeMarcus Cousins,Joe Ingles,Brook Lopez,Greg Monroe,Ryan Anderson,Sean Kilpatrick,Wesley Matthews,Chris Paul,SAC,UTA,BKN,MIL,HOU,BKN,DAL,LAC,PF,SF,C,C,PF,SG,SG,PG,285.108,239.0,69,Dec102016,0,95.16,2016-12-10
DeMarcus Cousins,Hassan Whiteside,Greg Monroe,Jimmy Butler,Evan Turner,Bojan Bogdanovic,Malcolm Brogdon,Jeff Teague,SAC,MIA,MIL,CHI,POR,BKN,MIL,IND,PF,C,C,SG,SG,SG,PG,PG,284.518,239.0,83,Dec102016,0,87.05,2016-12-10
Marc Gasol,Alexis Ajinca,Kevin Love,Nicolas Batum,Sean Kilpatrick,Wesley Matthews,Damian Lillard,Trevor Ariza,MEM,NO,CLE,CHA,BKN,DAL,POR,HOU,C,C,PF,SG,SG,SG,PG,SF,285.168,238.5,68,Dec102016,0,88.2,2016-12-10
Hassan Whiteside,Robin Lopez,JaMychal Green,Ryan Anderson,Evan Turner,Chris Paul,Jeff Teague,Rajon Rondo,MIA,CHI,MEM,HOU,POR,LAC,IND,CHI,C,C,PF,PF,SG,PG,PG,PG,284.638,238.25,81,Dec102016,0,81.34,2016-12-10
Rudy Gobert,Robin Lopez,Bojan Bogdanovic,Sean Kilpatrick,Damian Lillard,Jeff Teague,Elfrid Payton,Kevin Durant,UTA,CHI,BKN,BKN,POR,IND,ORL,GS,C,C,SG,SG,PG,PG,PG,SF,288.228,237.5,22,Dec102016,0,80.46,2016-12-10
Michael Kidd-Gilchrist,Hassan Whiteside,Nikola Jokic,Bojan Bogdanovic,Bradley Beal,Sean Kilpatrick,Chris Paul,Jeff Teague,CHA,MIA,DEN,BKN,WAS,BKN,LAC,IND,SF,C,C,SG,SG,SG,PG,PG,291.268,236.75,5,Dec102016,0,92.18,2016-12-10
DeMarcus Cousins,Rudy Gobert,Greg Monroe,Evan Turner,Bradley Beal,Eric Gordon,Wesley Matthews,Rajon Rondo,SAC,UTA,MIL,POR,WAS,HOU,DAL,CHI,PF,C,C,SG,SG,SG,SG,PG,283.928,236.25,100,Dec102016,0,95.26,2016-12-10
Michael Kidd-Gilchrist,Brook Lopez,Robin Lopez,Kevin Love,Nicolas Batum,Evan Fournier,Damian Lillard,Jeff Teague,CHA,BKN,CHI,CLE,CHA,ORL,POR,IND,SF,C,C,PF,SG,SG,PG,PG,289.528,236.25,11,Dec102016,0,87.13,2016-12-10
Joe Ingles,Hassan Whiteside,Kevin Love,Sean Kilpatrick,Rodney Stuckey,Chris Paul,Rajon Rondo,Trevor Ariza,UTA,MIA,CLE,BKN,IND,LAC,CHI,HOU,SF,C,PF,SG,PG,PG,PG,SF,284.128,235.75,93,Dec102016,0,92.99,2016-12-10
Robin Lopez,Greg Monroe,Trevor Booker,Kevin Love,Nicolas Batum,Chris Paul,Rajon Rondo,Harrison Barnes,CHI,MIL,BKN,CLE,CHA,LAC,CHI,DAL,C,C,PF,PF,SG,PG,PG,SF,288.348,235.25,21,Dec102016,0,88.75,2016-12-10
Marcin Gortat,C.J. McCollum,Kevin Love,Darrell Arthur,Jimmy Butler,Nicolas Batum,Sean Kilpatrick,Rajon Rondo,WAS,POR,CLE,DEN,CHI,CHA,BKN,CHI,C,PG,PF,PF,SG,SG,SG,PG,285.318,234.25,66,Dec102016,0,88.59,2016-12-10
Hassan Whiteside,Nikola Jokic,Trevor Booker,Jimmy Butler,C.J. Miles,Bradley Beal,Rajon Rondo,Trevor Ariza,MIA,DEN,BKN,CHI,IND,WAS,CHI,HOU,C,C,PF,SG,SG,SG,PG,SF,285.018,233.25,72,Dec102016,0,98.42,2016-12-10
Michael Kidd-Gilchrist,Hassan Whiteside,Brook Lopez,Nicolas Batum,C.J. Miles,Wesley Matthews,Chris Paul,Rajon Rondo,CHA,MIA,BKN,CHA,IND,DAL,LAC,CHI,SF,C,C,SG,SG,SG,PG,PG,289.538,233.0,10,Dec102016,0,95.45,2016-12-10
DeMarcus Cousins,Rudy Gobert,Robin Lopez,Ryan Anderson,Marvin Williams,Nicolas Batum,Matthew Dellavedova,Damian Lillard,SAC,UTA,CHI,HOU,CHA,CHA,MIL,POR,PF,C,C,PF,PF,SG,PG,PG,284.688,232.75,79,Dec102016,0,85.13,2016-12-10
Michael Kidd-Gilchrist,Marc Gasol,Greg Monroe,Jimmy Butler,Evan Turner,Sean Kilpatrick,Chris Paul,Rajon Rondo,CHA,MEM,MIL,CHI,POR,BKN,LAC,CHI,SF,C,C,SG,SG,SG,PG,PG,285.338,232.0,64,Dec102016,0,92.2,2016-12-10
Hassan Whiteside,Nikola Jokic,JaMychal Green,Jimmy Butler,Evan Turner,Klay Thompson,Sean Kilpatrick,Wesley Matthews,MIA,DEN,MEM,CHI,POR,GS,BKN,DAL,C,C,PF,SG,SG,SG,SG,SG,288.848,231.75,17,Dec102016,0,88.27,2016-12-10
Michael Beasley,Michael Kidd-Gilchrist,Hassan Whiteside,Pau Gasol,Evan Turner,Sean Kilpatrick,Damian Lillard,LeBron James,MIL,CHA,MIA,SA,POR,BKN,POR,CLE,SF,SF,C,C,SG,SG,PG,SF,286.578,231.25,44,Dec102016,0,94.28,2016-12-10
Hassan Whiteside,Robin Lopez,Marvin Williams,Nicolas Batum,C.J. Miles,Bradley Beal,Sean Kilpatrick,LeBron James,MIA,CHI,CHA,CHA,IND,WAS,BKN,CLE,C,C,PF,SG,SG,SG,SG,SF,289.378,231.25,12,Dec102016,0,99.41,2016-12-10
Joe Ingles,Nikola Jokic,Alexis Ajinca,Kevin Love,Jimmy Butler,Sean Kilpatrick,Jeff Teague,Kevin Durant,UTA,DEN,NO,CLE,CHI,BKN,IND,GS,SF,C,C,PF,SG,SG,PG,SF,285.508,231.0,59,Dec102016,0,88.18,2016-12-10
Brook Lopez,Nikola Jokic,Marvin Williams,C.J. Miles,Sean Kilpatrick,Wesley Matthews,Giannis Antetokounmpo,Kevin Durant,BKN,DEN,CHA,IND,BKN,DAL,MIL,GS,C,C,PF,SG,SG,SG,PG,SF,284.188,228.5,91,Dec102016,0,93.11,2016-12-10
DeMarcus Cousins,Brook Lopez,Nikola Jokic,Kevin Love,Evan Turner,Tony Allen,J.J. Redick,Jeff Teague,SAC,BKN,DEN,CLE,POR,MEM,LAC,IND,PF,C,C,PF,SG,SG,SG,PG,284.108,227.0,94,Dec102016,0,99.49,2016-12-10
DeMarcus Cousins,Pau Gasol,Robin Lopez,Nicolas Batum,Bojan Bogdanovic,Klay Thompson,Rodney McGruder,Chris Paul,SAC,SA,CHI,CHA,BKN,GS,MIA,LAC,PF,C,C,SG,SG,SG,SG,PG,286.048,226.25,49,Dec102016,0,86.03,2016-12-10
Michael Kidd-Gilchrist,Brook Lopez,Pau Gasol,Kevin Love,Jimmy Butler,Bradley Beal,Sean Kilpatrick,Wesley Matthews,CHA,BKN,SA,CLE,CHI,WAS,BKN,DAL,SF,C,C,PF,SG,SG,SG,SG,288.218,226.0,23,Dec102016,0,97.08,2016-12-10
Brook Lopez,Nikola Jokic,Kevin Love,Nicolas Batum,Klay Thompson,Sean Kilpatrick,Malcolm Brogdon,Chris Paul,BKN,DEN,CLE,CHA,GS,BKN,MIL,LAC,C,C,PF,SG,SG,SG,PG,PG,290.988,224.5,6,Dec102016,0,93.12,2016-12-10
Pau Gasol,Robin Lopez,Kevin Love,Nicolas Batum,Dwyane Wade,Sean Kilpatrick,Jamal Crawford,Kevin Durant,SA,CHI,CLE,CHA,CHI,BKN,LAC,GS,C,C,PF,SG,SG,SG,SG,SF,287.218,223.75,34,Dec102016,0,85.73,2016-12-10
Rudy Gobert,Nikola Jokic,Nicolas Batum,Evan Turner,Bradley Beal,Sean Kilpatrick,Tony Allen,Kevin Durant,UTA,DEN,CHA,POR,WAS,BKN,MEM,GS,C,C,SG,SG,SG,SG,SG,SF,287.888,222.25,26,Dec102016,0,90.98,2016-12-10
DeMarcus Cousins,John Henson,Trevor Booker,C.J. Miles,Sean Kilpatrick,Evan Fournier,Chris Paul,Rajon Rondo,SAC,MIL,BKN,IND,BKN,ORL,LAC,CHI,PF,C,PF,SG,SG,SG,PG,PG,285.338,221.75,65,Dec102016,0,98.97,2016-12-10
Michael Kidd-Gilchrist,Rudy Gobert,Nikola Jokic,Trevor Booker,Kevin Love,Sean Kilpatrick,Damian Lillard,Rajon Rondo,CHA,UTA,DEN,BKN,CLE,BKN,POR,CHI,SF,C,C,PF,PF,SG,PG,PG,293.138,220.75,2,Dec102016,0,97.21,2016-12-10
DeMarcus Cousins,Michael Kidd-Gilchrist,Nikola Jokic,John Henson,Marvin Williams,Klay Thompson,Sean Kilpatrick,LeBron James,SAC,CHA,DEN,MIL,CHA,GS,BKN,CLE,PF,SF,C,C,PF,SG,SG,SF,288.918,220.5,16,Dec102016,0,105.74,2016-12-10
DeMarcus Cousins,Michael Kidd-Gilchrist,Rudy Gobert,Pau Gasol,Sean Kilpatrick,Eric Gordon,Evan Fournier,Jeff Teague,SAC,CHA,UTA,SA,BKN,HOU,ORL,IND,PF,SF,C,C,SG,SG,SG,PG,285.618,219.25,56,Dec102016,0,89.34,2016-12-10
Brook Lopez,John Henson,Nicolas Batum,Bojan Bogdanovic,Bradley Beal,Jeff Teague,Rajon Rondo,Kevin Durant,BKN,MIL,CHA,BKN,WAS,IND,CHI,GS,C,C,SG,SG,SG,PG,PG,SF,288.458,217.5,20,Dec102016,0,93.22,2016-12-10
Rudy Gobert,Pau Gasol,Trevor Booker,Jimmy Butler,Nicolas Batum,Evan Turner,Klay Thompson,Rajon Rondo,UTA,SA,BKN,CHI,CHA,POR,GS,CHI,C,C,PF,SG,SG,SG,SG,PG,287.868,216.0,28,Dec102016,0,89.14,2016-12-10
DeMarcus Cousins,Mason Plumlee,Greg Monroe,Jimmy Butler,Nicolas Batum,Klay Thompson,Rodney Stuckey,Wesley Matthews,SAC,POR,MIL,CHI,CHA,GS,IND,DAL,PF,C,C,SG,SG,SG,PG,SG,284.238,215.5,90,Dec102016,0,93.02,2016-12-10
DeMarcus Cousins,Brook Lopez,John Henson,Nicolas Batum,Sean Kilpatrick,Rodney Stuckey,Damian Lillard,Patrick Beverley,SAC,BKN,MIL,CHA,BKN,IND,POR,HOU,PF,C,C,SG,SG,PG,PG,PG,287.968,214.25,25,Dec102016,0,103.7,2016-12-10
Hassan Whiteside,Alexis Ajinca,Trevor Booker,Marvin Williams,Evan Turner,Damian Lillard,Rajon Rondo,Kevin Durant,MIA,NO,BKN,CHA,POR,POR,CHI,GS,C,C,PF,PF,SG,PG,PG,SF,284.638,213.75,82,Dec102016,0,87.59,2016-12-10
DeMarcus Cousins,Nikola Jokic,Robin Lopez,Nicolas Batum,Sean Kilpatrick,Wesley Matthews,Jeff Teague,Rajon Rondo,SAC,DEN,CHI,CHA,BKN,DAL,IND,CHI,PF,C,C,SG,SG,SG,PG,PG,296.788,212.0,1,Dec102016,0,98.85,2016-12-10
DeMarcus Cousins,Hassan Whiteside,Brook Lopez,Marvin Williams,Nicolas Batum,Jamal Crawford,Marcus Thornton,Jeff Teague,SAC,MIA,BKN,CHA,CHA,LAC,WAS,IND,PF,C,C,PF,SG,SG,SG,PG,285.538,210.75,58,Dec102016,0,93.54,2016-12-10
Pau Gasol,Mason Plumlee,Kevin Love,Bojan Bogdanovic,Klay Thompson,Sean Kilpatrick,John Wall,Jeff Teague,SA,POR,CLE,BKN,GS,BKN,WAS,IND,C,C,PF,SG,SG,SG,PG,PG,284.308,208.5,88,Dec102016,0,91.32,2016-12-10
DeMarcus Cousins,Michael Kidd-Gilchrist,Robin Lopez,Greg Monroe,Bradley Beal,Sean Kilpatrick,Damian Lillard,Trevor Ariza,SAC,CHA,CHI,MIL,WAS,BKN,POR,HOU,PF,SF,C,C,SG,SG,PG,SF,287.218,205.5,35,Dec102016,0,92.58,2016-12-10
Hassan Whiteside,Greg Monroe,Nicolas Batum,Bojan Bogdanovic,Klay Thompson,Sean Kilpatrick,Damian Lillard,Rajon Rondo,MIA,MIL,CHA,BKN,GS,BKN,POR,CHI,C,C,SG,SG,SG,SG,PG,PG,293.128,204.75,3,Dec102016,0,93.6,2016-12-10
DeMarcus Cousins,Pau Gasol,Alexis Ajinca,Trevor Booker,Nicolas Batum,Malcolm Brogdon,Jeff Teague,Kevin Durant,SAC,SA,NO,BKN,CHA,MIL,IND,GS,PF,C,C,PF,SG,PG,PG,SF,284.318,198.5,87,Dec102016,0,86.82,2016-12-10
DeMarcus Cousins,Rudy Gobert,Greg Monroe,Trevor Booker,Nicolas Batum,Dwyane Wade,Sean Kilpatrick,Rodney McGruder,SAC,UTA,MIL,BKN,CHA,CHI,BKN,MIA,PF,C,C,PF,SG,SG,SG,SG,289.278,198.5,14,Dec102016,0,94.82,2016-12-10
Hassan Whiteside,Pau Gasol,C.J. Miles,Sean Kilpatrick,Tony Allen,Jeff Teague,Rajon Rondo,Kevin Durant,MIA,SA,IND,BKN,MEM,IND,CHI,GS,C,C,SG,SG,SG,PG,PG,SF,286.848,198.0,40,Dec102016,0,95.93,2016-12-10
Marc Gasol,Marvin Williams,Kevin Love,Nicolas Batum,Klay Thompson,Jeff Teague,Rajon Rondo,Elfrid Payton,MEM,CHA,CLE,CHA,GS,IND,CHI,ORL,C,PF,PF,SG,SG,PG,PG,PG,284.258,197.5,89,Dec102016,0,98.62,2016-12-10
DeMarcus Cousins,Michael Kidd-Gilchrist,Hassan Whiteside,Alexis Ajinca,C.J. McCollum,Nicolas Batum,Sean Kilpatrick,Elfrid Payton,SAC,CHA,MIA,NO,POR,CHA,BKN,ORL,PF,SF,C,C,PG,SG,SG,PG,286.738,197.25,41,Dec102016,0,94.45,2016-12-10
DeMarcus Cousins,Hassan Whiteside,Brook Lopez,Patrick McCaw,Bradley Beal,Sean Kilpatrick,Malcolm Brogdon,Rajon Rondo,SAC,MIA,BKN,GS,WAS,BKN,MIL,CHI,PF,C,C,SG,SG,SG,PG,PG,286.428,194.75,45,Dec102016,0,100.71,2016-12-10
