Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
John Wall,Blake Griffin,Trevor Booker,Andre Drummond,Joel Embiid,J.R. Smith,Austin Rivers,Omri Casspi,WAS,LAC,BKN,DET,PHI,CLE,LAC,SAC,PG,PF,PF,C,C,SG,PG,SF,295.168,248.25,5,Dec142016,10,101.61
Jrue Holiday,Pau Gasol,Kyle O'Quinn,Lance Thomas,Damian Lillard,Eric Bledsoe,Dwyane Wade,Klay Thompson,NO,SA,NY,NY,POR,PHO,CHI,GS,PG,C,PF,SF,PG,PG,SG,SG,283.458,265.25,2,Dec152016,5,94.54
Nikola Jokic,Pau Gasol,Tony Parker,Langston Galloway,Jabari Parker,Jimmy Butler,Damian Lillard,Klay Thompson,DEN,SA,SA,NO,MIL,CHI,POR,GS,C,C,PG,PG,SF,SG,PG,SG,283.188,261.75,3,Dec152016,5,91.35
E'Twaun Moore,Nikola Jokic,Pau Gasol,Brandon Jennings,Kevin Durant,Evan Turner,Damian Lillard,Eric Bledsoe,NO,DEN,SA,NY,GS,POR,POR,PHO,SG,C,C,PG,SF,SG,PG,PG,280.108,250.75,5,Dec152016,5,84.29
Jeff Teague,Mason Plumlee,Pau Gasol,Langston Galloway,Kevin Durant,Lance Thomas,Jimmy Butler,Eric Bledsoe,IND,POR,SA,NO,GS,NY,CHI,PHO,PG,C,C,PG,SF,SF,SG,PG,280.508,246.75,4,Dec152016,5,79.79
Pau Gasol,John Henson,Langston Galloway,Glenn Robinson III,Kawhi Leonard,Damian Lillard,Kristaps Porzingis,Eric Bledsoe,SA,MIL,NO,IND,SA,POR,NY,PHO,C,C,PG,SG,SF,PG,PF,PG,287.158,227.5,1,Dec152016,5,86.85
LaMarcus Aldridge,Norman Powell,Kentavious Caldwell-Pope,Jamal Crawford,Karl-Anthony Towns,John Wall,Isaiah Thomas,Rajon Rondo,SA,TOR,DET,LAC,MIN,WAS,BOS,CHI,PF,SG,SG,SG,C,PG,PG,PG,295.988,300.5,2,Dec22016,9,101.22
Patty Mills,Norman Powell,Bradley Beal,Jamal Crawford,Joel Embiid,John Wall,DeMarcus Cousins,Dennis Schroder,SA,TOR,WAS,LAC,PHI,WAS,SAC,ATL,PG,SG,SG,SG,C,PG,PF,PG,299.178,292.0,1,Dec22016,9,102.22
Sergio Rodriguez,Norman Powell,Dwyane Wade,Avery Bradley,Tobias Harris,Karl-Anthony Towns,Joel Embiid,John Wall,PHI,TOR,CHI,BOS,DET,MIN,PHI,WAS,PG,SG,SG,SG,SF,C,C,PG,293.258,290.75,3,Dec22016,9,99.05
Austin Rivers,Norman Powell,Kristaps Porzingis,Kentavious Caldwell-Pope,Nikola Vucevic,Joel Embiid,John Wall,Kyle Lowry,LAC,TOR,NY,DET,ORL,PHI,WAS,TOR,PG,SG,PF,SG,C,C,PG,PG,293.028,276.25,4,Dec22016,9,99.64
LaMarcus Aldridge,Austin Rivers,Bradley Beal,Dwyane Wade,Brandon Ingram,Joel Embiid,John Wall,Isaiah Thomas,SA,LAC,WAS,CHI,LAL,PHI,WAS,BOS,PF,PG,SG,SG,SF,C,PG,PG,290.938,257.75,5,Dec22016,9,106.85
Jimmy Butler,Zach LaVine,Eric Bledsoe,Goran Dragic,Dennis Schroder,James Johnson,Rudy Gobert,Andrew Bogut,CHI,MIN,PHO,MIA,ATL,MIA,UTA,DAL,SG,SG,PG,PG,PG,PF,C,C,292.938,259.0,5,Dec32016,9,94.08
Giannis Antetokounmpo,Eric Bledsoe,Nik Stauskas,Anthony Bennett,Dennis Schroder,Julius Randle,Al Horford,Rudy Gobert,MIL,PHO,PHI,BKN,ATL,LAL,BOS,UTA,PG,PG,SG,SF,PG,PF,C,C,293.438,240.25,4,Dec32016,9,90.14
Giannis Antetokounmpo,Evan Turner,Kyle Lowry,Sean Kilpatrick,Dennis Schroder,James Johnson,Al Horford,Andrew Bogut,MIL,POR,TOR,BKN,ATL,MIA,BOS,DAL,PG,SG,PG,SG,PG,PF,C,C,297.528,235.75,2,Dec32016,9,91.27
Jimmy Butler,Wayne Ellington,Kemba Walker,Dennis Schroder,Julius Randle,C.J. McCollum,Al Horford,Andrew Bogut,CHI,MIA,CHA,ATL,LAL,POR,BOS,DAL,SG,SG,PG,PG,PF,PG,C,C,294.158,226.75,3,Dec32016,9,97.13
Jimmy Butler,Sean Kilpatrick,Kemba Walker,Nik Stauskas,Rajon Rondo,James Johnson,Al Horford,Rudy Gobert,CHI,BKN,CHA,PHI,CHI,MIA,BOS,UTA,SG,SG,PG,SG,PG,PF,C,C,301.688,193.25,1,Dec32016,9,96.16
Anthony Davis,Jeff Teague,Derrick Rose,Omri Casspi,Nikola Vucevic,Victor Oladipo,Kentavious Caldwell-Pope,E'Twaun Moore,NO,IND,NY,SAC,ORL,OKC,DET,NO,PF,PG,PG,SF,C,SG,SG,SG,277.038,252.25,3,Dec42016,4,104.31
Russell Westbrook,Tobias Harris,Austin Rivers,Anthony Davis,Omri Casspi,Guillermo Hernangomez,Elfrid Payton,Kentavious Caldwell-Pope,OKC,DET,LAC,NO,SAC,NY,ORL,DET,PG,SF,PG,PF,SF,C,PG,SG,274.298,242.25,5,Dec42016,4,96.01
Russell Westbrook,Tobias Harris,Jeff Teague,Nikola Vucevic,DeAndre Jordan,Elfrid Payton,E'Twaun Moore,Arron Afflalo,OKC,DET,IND,ORL,LAC,ORL,NO,SAC,PG,SF,PG,C,C,PG,SG,SG,279.428,222.25,1,Dec42016,4,85.28
Russell Westbrook,Matt Barnes,Austin Rivers,Kristaps Porzingis,Nikola Vucevic,Evan Fournier,Kentavious Caldwell-Pope,E'Twaun Moore,OKC,SAC,LAC,NY,ORL,ORL,DET,NO,PG,SF,PG,PF,C,SG,SG,SG,278.048,219.75,2,Dec42016,4,89.85
Russell Westbrook,Tobias Harris,Ty Lawson,Derrick Rose,DeAndre Jordan,Omer Asik,Evan Fournier,Kentavious Caldwell-Pope,OKC,DET,SAC,NY,LAC,NO,ORL,DET,PG,SF,PG,PG,C,C,SG,SG,276.028,206.25,4,Dec42016,4,81.92
