Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Will Barton,Kyle O'Quinn,Carmelo Anthony,Matt Barnes,Al Horford,Chris Paul,John Wall,Rajon Rondo,DEN,NY,NY,SAC,BOS,LAC,WAS,CHI,SG,PF,SF,SF,C,PG,PG,PG,387.008,387.0,2,Dec22016,9,112.13
Taj Gibson,Kentavious Caldwell-Pope,Carmelo Anthony,LeBron James,Matt Barnes,Marcin Gortat,Rajon Rondo,Dennis Schroder,CHI,DET,NY,CLE,SAC,WAS,CHI,ATL,PF,SG,SF,SF,SF,C,PG,PG,380.508,380.5,3,Dec22016,9,95.02
Jimmy Butler,Nemanja Bjelica,Kentavious Caldwell-Pope,Carmelo Anthony,Otto Porter,Joel Embiid,Al Horford,Rajon Rondo,CHI,MIN,DET,NY,WAS,PHI,BOS,CHI,SG,PF,SG,SF,SF,C,C,PG,375.258,375.25,4,Dec22016,9,112.53
Jon Leuer,Manu Ginobili,LeBron James,Otto Porter,Al Horford,Marcin Gortat,Chris Paul,Rajon Rondo,DET,SA,CLE,WAS,BOS,WAS,LAC,CHI,PF,SG,SF,SF,C,C,PG,PG,375.008,375.0,5,Dec22016,9,100.88
Nicolas Batum,Isaiah Thomas,Lou Williams,Troy Daniels,Frank Kaminsky,Dario Saric,Hassan Whiteside,Karl-Anthony Towns,CHA,BOS,LAL,MEM,CHA,PHI,MIA,MIN,SG,PG,SG,SG,PF,SF,C,C,404.008,404.0,1,Dec32016,9,96.12
Will Barton,Isaiah Thomas,Klay Thompson,Eric Bledsoe,Troy Daniels,Andrew Wiggins,JaMychal Green,Hassan Whiteside,DEN,BOS,GS,PHO,MEM,MIN,MEM,MIA,SG,PG,SG,PG,SG,SF,PF,C,377.258,377.25,2,Dec32016,9,100.12
Nicolas Batum,Eric Bledsoe,Lou Williams,Goran Dragic,JaMychal Green,Ricky Rubio,Hassan Whiteside,John Henson,CHA,PHO,LAL,MIA,MEM,MIN,MIA,MIL,SG,PG,SG,PG,PF,PG,C,C,373.258,373.25,3,Dec32016,9,95.35
Giannis Antetokounmpo,Nicolas Batum,Klay Thompson,Eric Bledsoe,Troy Daniels,Ricky Rubio,Dario Saric,Marc Gasol,MIL,CHA,GS,PHO,MEM,MIN,PHI,MEM,PG,SG,SG,PG,SG,PG,SF,C,371.508,371.5,4,Dec32016,9,93.48
Giannis Antetokounmpo,Eric Bledsoe,Lou Williams,Wesley Matthews,Troy Daniels,Sergio Rodriguez,Hassan Whiteside,Luol Deng,MIL,PHO,LAL,DAL,MEM,PHI,MIA,LAL,PG,PG,SG,SG,SG,PG,C,SF,369.008,369.0,5,Dec32016,9,89.64
Russell Westbrook,Rudy Gay,Justin Holiday,Serge Ibaka,Blake Griffin,Marcus Morris,Enes Kanter,Buddy Hield,OKC,SAC,NY,ORL,LAC,DET,OKC,NO,PG,SF,SG,PF,PF,SF,C,SG,342.508,342.5,1,Dec42016,4,87.01
Andre Roberson,Darren Collison,Rodney Stuckey,DeMarcus Cousins,Serge Ibaka,Blake Griffin,Derrick Rose,Marcus Morris,OKC,SAC,IND,SAC,ORL,LAC,NY,DET,SG,PG,PG,PF,PF,PF,PG,SF,325.758,325.75,2,Dec42016,4,94.67
Jeff Green,Darren Collison,Anthony Davis,Blake Griffin,Paul George,Marcus Morris,Enes Kanter,Brandon Jennings,ORL,SAC,NO,LAC,IND,DET,OKC,NY,SF,PG,PF,PF,SF,SF,C,PG,317.008,317.0,3,Dec42016,4,101.38
Chris Paul,D.J. Augustin,Rudy Gay,Andre Roberson,Anthony Davis,Serge Ibaka,Marcus Morris,Brandon Jennings,LAC,ORL,SAC,OKC,NO,ORL,DET,NY,PG,PG,SF,SG,PF,PF,SF,PG,312.758,312.75,4,Dec42016,4,86.5
Rudy Gay,Rodney Stuckey,Anthony Davis,Blake Griffin,Derrick Rose,Luc Richard Mbah a Moute,Enes Kanter,Kentavious Caldwell-Pope,SAC,IND,NO,LAC,NY,LAC,OKC,DET,SF,PG,PF,PF,PG,SF,C,SG,312.008,312.0,5,Dec42016,4,103.73
