Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Giannis Antetokounmpo,Chris Paul,Trevor Booker,BKN,LAC,BKN,BKN,DET,MIL,LAC,BKN,C,C,PG/SG,SG/SF,SG,PG,PG,PF,6400,6300,5300,3100,4900,9200,8900,5700,263.98,412.5,1,Nov292016
Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Tobias Harris,Giannis Antetokounmpo,Chris Paul,BKN,LAC,BKN,BKN,DET,DET,MIL,LAC,C,C,PG/SG,SG/SF,SG,SF/PF,PG,PG,6400,6300,5300,3100,4900,5700,9200,8900,263.67,410.0,2,Nov292016
Anthony Davis,Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Manu Ginobili,Giannis Antetokounmpo,NO,BKN,LAC,BKN,BKN,DET,SA,MIL,PF/C,C,C,PG/SG,SG/SF,SG,SG,PG,11600,6400,6300,5300,3100,4900,3200,9200,256.4,407.25,3,Nov292016
Anthony Davis,Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Manu Ginobili,Chris Paul,NO,BKN,LAC,BKN,BKN,DET,SA,LAC,PF/C,C,C,PG/SG,SG/SF,SG,SG,PG,11600,6400,6300,5300,3100,4900,3200,8900,254.37,406.25,4,Nov292016
Anthony Davis,Sam Dekker,Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Kentavious Caldwell-Pope,Manu Ginobili,Giannis Antetokounmpo,NO,HOU,BKN,LAC,BKN,DET,SA,MIL,PF/C,SF,C,C,PG/SG,SG,SG,PG,11600,3000,6400,6300,5300,4900,3200,9200,257.23,405.5,5,Nov292016
Anthony Davis,Greg Monroe,Omer Asik,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Giannis Antetokounmpo,Chris Paul,NO,MIL,NO,BKN,BKN,DET,MIL,LAC,PF/C,C,C,PG/SG,SG/SF,SG,PG,PG,11600,3800,3000,5300,3100,4900,9200,8900,252.45,405.25,6,Nov292016
Anthony Davis,Anthony Brown,Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Kentavious Caldwell-Pope,Manu Ginobili,Giannis Antetokounmpo,NO,NO,BKN,LAC,BKN,DET,SA,MIL,PF/C,SF,C,C,PG/SG,SG,SG,PG,11600,3000,6400,6300,5300,4900,3200,9200,244.65,405.0,7,Nov292016
Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Giannis Antetokounmpo,Chris Paul,Serge Ibaka,BKN,LAC,BKN,BKN,DET,MIL,LAC,ORL,C,C,PG/SG,SG/SF,SG,PG,PG,PF/C,6400,6300,5300,3100,4900,9200,8900,5900,267.97,404.5,8,Nov292016
Anthony Davis,Sam Dekker,Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Kentavious Caldwell-Pope,Manu Ginobili,Chris Paul,NO,HOU,BKN,LAC,BKN,DET,SA,LAC,PF/C,SF,C,C,PG/SG,SG,SG,PG,11600,3000,6400,6300,5300,4900,3200,8900,255.2,404.5,9,Nov292016
Anthony Davis,DeAndre Jordan,Greg Monroe,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Giannis Antetokounmpo,Trevor Booker,NO,LAC,MIL,BKN,BKN,DET,MIL,BKN,PF/C,C,C,PG/SG,SG/SF,SG,PG,PF,11600,6300,3800,5300,3100,4900,9200,5700,254.36,404.5,10,Nov292016
DeAndre Jordan,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Tobias Harris,Giannis Antetokounmpo,Chris Paul,Trevor Booker,LAC,BKN,BKN,DET,DET,MIL,LAC,BKN,C,PG/SG,SG/SF,SG,SF/PF,PG,PG,PF,6300,5300,3100,4900,5700,9200,8900,5700,257.7,404.25,11,Nov292016
Anthony Davis,DeAndre Jordan,Omer Asik,Sean Kilpatrick,Kentavious Caldwell-Pope,Chris Paul,Trevor Booker,Brandon Ingram,NO,LAC,NO,BKN,DET,LAC,BKN,LAL,PF/C,C,C,PG/SG,SG,PG,PF,SF,11600,6300,3000,5300,4900,8900,5700,4300,252.35,404.25,12,Nov292016
Anthony Davis,Omer Asik,Sean Kilpatrick,Joe Harris,Manu Ginobili,Giannis Antetokounmpo,Chris Paul,Trevor Booker,NO,NO,BKN,BKN,SA,MIL,LAC,BKN,PF/C,C,PG/SG,SG/SF,SG,PG,PG,PF,11600,3000,5300,3100,3200,9200,8900,5700,248.7,404.25,13,Nov292016
Anthony Davis,Greg Monroe,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Manu Ginobili,Giannis Antetokounmpo,Chris Paul,NO,MIL,BKN,BKN,DET,SA,MIL,LAC,PF/C,C,PG/SG,SG/SF,SG,SG,PG,PG,11600,3800,5300,3100,4900,3200,9200,8900,251.4,404.0,14,Nov292016
Anthony Davis,Anthony Brown,Brook Lopez,DeAndre Jordan,Sean Kilpatrick,Kentavious Caldwell-Pope,Manu Ginobili,Chris Paul,NO,NO,BKN,LAC,BKN,DET,SA,LAC,PF/C,SF,C,C,PG/SG,SG,SG,PG,11600,3000,6400,6300,5300,4900,3200,8900,242.62,404.0,15,Nov292016
Anthony Davis,DeAndre Jordan,Greg Monroe,Sean Kilpatrick,Joe Harris,Kentavious Caldwell-Pope,Chris Paul,Trevor Booker,NO,LAC,MIL,BKN,BKN,DET,LAC,BKN,PF/C,C,C,PG/SG,SG/SF,SG,PG,PF,11600,6300,3800,5300,3100,4900,8900,5700,252.33,403.5,16,Nov292016
