Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Lou Williams,Glenn Robinson III,Nikola Mirotic,Jonas Valanciunas,Evan Turner,Russell Westbrook,Jeff Teague,Jimmy Butler,LAL,IND,CHI,TOR,POR,OKC,IND,CHI,SG,SF,PF,C,SG/SF,PG,PG,SG/SF,5200,3400,4300,5600,3900,12000,6800,8700,262.27,384.5,1,Nov202016
Lou Williams,Nikola Mirotic,Meyers Leonard,Jonas Valanciunas,Evan Turner,Russell Westbrook,Jeff Teague,Jimmy Butler,LAL,CHI,POR,TOR,POR,OKC,IND,CHI,SG,PF,PF,C,SG/SF,PG,PG,SG/SF,5200,4300,3000,5600,3900,12000,6800,8700,251.88,383.0,2,Nov202016
Glenn Robinson III,Nikola Mirotic,Jonas Valanciunas,Evan Turner,Russell Westbrook,Jeff Teague,Rajon Rondo,Jimmy Butler,IND,CHI,TOR,POR,OKC,IND,CHI,CHI,SF,PF,C,SG/SF,PG,PG,PG,SG/SF,3400,4300,5600,3900,12000,6800,5300,8700,266.03,382.0,3,Nov202016
Glenn Robinson III,Thaddeus Young,Jonas Valanciunas,Evan Turner,Courtney Lee,Russell Westbrook,Jeff Teague,Jimmy Butler,IND,IND,TOR,POR,NY,OKC,IND,CHI,SF,PF,C,SG/SF,SG,PG,PG,SG/SF,3400,5400,5600,3900,3600,12000,6800,8700,255.2,382.0,4,Nov202016
Thaddeus Young,Jonas Valanciunas,Larry Nance Jr.,Evan Turner,Courtney Lee,Russell Westbrook,Jeff Teague,Jimmy Butler,IND,TOR,LAL,POR,NY,OKC,IND,CHI,PF,C,SF/PF,SG/SF,SG,PG,PG,SG/SF,5400,5600,3700,3900,3600,12000,6800,8700,252.22,381.75,5,Nov202016
Nikola Mirotic,Jonas Valanciunas,Jusuf Nurkic,Evan Turner,Courtney Lee,Russell Westbrook,Jeff Teague,Jimmy Butler,CHI,TOR,DEN,POR,NY,OKC,IND,CHI,PF,C,C,SG/SF,SG,PG,PG,SG/SF,4300,5600,4300,3900,3600,12000,6800,8700,252.36,381.0,6,Nov202016
Glenn Robinson III,Nikola Mirotic,Jonas Valanciunas,Evan Turner,Russell Westbrook,Jeff Teague,Darren Collison,Jimmy Butler,IND,CHI,TOR,POR,OKC,IND,SAC,CHI,SF,PF,C,SG/SF,PG,PG,PG,SG/SF,3400,4300,5600,3900,12000,6800,5100,8700,258.11,380.75,7,Nov202016
Nikola Mirotic,Meyers Leonard,Jonas Valanciunas,Evan Turner,Russell Westbrook,Jeff Teague,Rajon Rondo,Jimmy Butler,CHI,POR,TOR,POR,OKC,IND,CHI,CHI,PF,PF,C,SG/SF,PG,PG,PG,SG/SF,4300,3000,5600,3900,12000,6800,5300,8700,255.64,380.5,8,Nov202016
Lou Williams,Glenn Robinson III,Jonas Valanciunas,Jusuf Nurkic,Evan Turner,Russell Westbrook,Jeff Teague,Jimmy Butler,LAL,IND,TOR,DEN,POR,OKC,IND,CHI,SG,SF,C,C,SG/SF,PG,PG,SG/SF,5200,3400,5600,4300,3900,12000,6800,8700,257.68,380.5,9,Nov202016
Thaddeus Young,Meyers Leonard,Jonas Valanciunas,Evan Turner,Courtney Lee,Russell Westbrook,Jeff Teague,Jimmy Butler,IND,POR,TOR,POR,NY,OKC,IND,CHI,PF,PF,C,SG/SF,SG,PG,PG,SG/SF,5400,3000,5600,3900,3600,12000,6800,8700,244.81,380.5,10,Nov202016
Glenn Robinson III,Thaddeus Young,Jonas Valanciunas,Evan Turner,Russell Westbrook,Jeff Teague,Jamal Murray,Jimmy Butler,IND,IND,TOR,POR,OKC,IND,DEN,CHI,SF,PF,C,SG/SF,PG,PG,PG,SG/SF,3400,5400,5600,3900,12000,6800,3600,8700,255.33,380.25,11,Nov202016
