Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Jimmy Butler,Terrence Ross,Manu Ginobili,Jabari Parker,John Wall,Kyle Lowry,Joakim Noah,Ricky Rubio,CHI,TOR,SA,MIL,WAS,TOR,NY,MIN,SG/SF,SG/SF,SG,SF/PF,PG,PG,C,PG,8400,3600,3500,6900,9500,8200,4000,5900,248.19,413.75,1,Dec282016
Jimmy Butler,Terrence Ross,Manu Ginobili,Jabari Parker,Tobias Harris,John Wall,Kyle Lowry,Joakim Noah,CHI,TOR,SA,MIL,DET,WAS,TOR,NY,SG/SF,SG/SF,SG,SF/PF,SF/PF,PG,PG,C,8400,3600,3500,6900,5500,9500,8200,4000,245.49,411.25,2,Dec282016
Jimmy Butler,Terrence Ross,Manu Ginobili,Jabari Parker,John Wall,Kyle Lowry,Marcin Gortat,Joakim Noah,CHI,TOR,SA,MIL,WAS,TOR,WAS,NY,SG/SF,SG/SF,SG,SF/PF,PG,PG,C,C,8400,3600,3500,6900,9500,8200,5700,4000,251.81,410.25,3,Dec282016
Jimmy Butler,Terrence Ross,Jabari Parker,DeMarre Carroll,John Wall,Dwight Howard,Joakim Noah,Ricky Rubio,CHI,TOR,MIL,TOR,WAS,ATL,NY,MIN,SG/SF,SG/SF,SF/PF,SF/PF,PG,C,C,PG,8400,3600,6900,4000,9500,7300,4000,5900,237.06,409.75,4,Dec282016
Jimmy Butler,Terrence Ross,Buddy Hield,Jabari Parker,John Wall,Kyle Lowry,Joakim Noah,Ricky Rubio,CHI,TOR,NO,MIL,WAS,TOR,NY,MIN,SG/SF,SG/SF,SG,SF/PF,PG,PG,C,PG,8400,3600,3200,6900,9500,8200,4000,5900,244.72,409.5,5,Dec282016
Jimmy Butler,Terrence Ross,Manu Ginobili,Jabari Parker,John Wall,Dwight Howard,Joakim Noah,Ricky Rubio,CHI,TOR,SA,MIL,WAS,ATL,NY,MIN,SG/SF,SG/SF,SG,SF/PF,PG,C,C,PG,8400,3600,3500,6900,9500,7300,4000,5900,241.71,409.25,6,Dec282016
Jimmy Butler,Terrence Ross,Manu Ginobili,Jabari Parker,DeMarre Carroll,John Wall,Joakim Noah,Kevin Durant,CHI,TOR,SA,MIL,TOR,WAS,NY,GS,SG/SF,SG/SF,SG,SF/PF,SF/PF,PG,C,SF,8400,3600,3500,6900,4000,9500,4000,9800,238.35,409.25,7,Dec282016
Jimmy Butler,Terrence Ross,Manu Ginobili,Jabari Parker,John Wall,Greg Monroe,Joakim Noah,Kevin Durant,CHI,TOR,SA,MIL,WAS,MIL,NY,GS,SG/SF,SG/SF,SG,SF/PF,PG,C,C,SF,8400,3600,3500,6900,9500,4300,4000,9800,247.05,409.25,8,Dec282016
Jimmy Butler,Terrence Ross,DeMar DeRozan,Manu Ginobili,Jabari Parker,John Wall,Joakim Noah,Ricky Rubio,CHI,TOR,TOR,SA,MIL,WAS,NY,MIN,SG/SF,SG/SF,SG,SG,SF/PF,PG,C,PG,8400,3600,7800,3500,6900,9500,4000,5900,245.62,408.5,9,Dec282016
Jimmy Butler,Terrence Ross,Jabari Parker,Tobias Harris,Kyle Lowry,Dwight Howard,Joakim Noah,Ricky Rubio,CHI,TOR,MIL,DET,TOR,ATL,NY,MIN,SG/SF,SG/SF,SF/PF,SF/PF,PG,C,C,PG,8400,3600,6900,5500,8200,7300,4000,5900,248.84,408.25,10,Dec282016
