Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
C.J. Miles,Bojan Bogdanovic,Robin Lopez,Trevor Booker,LeBron James,Hassan Whiteside,Damian Lillard,Wesley Matthews,IND,BKN,CHI,BKN,CLE,MIA,POR,DAL,SG/SF,SG/SF,C,PF,SF/PF,C,PG,SG,4000,4000,4600,5700,9400,8600,8400,5300,287.2,287.75,16,Dec102016
Nicolas Batum,Michael Beasley,Michael Kidd-Gilchrist,Hassan Whiteside,Brook Lopez,Chris Paul,Dwyane Wade,Wesley Matthews,CHA,MIL,CHA,MIA,BKN,LAC,CHI,DAL,SG/SF,SF/PF,SF,C,C,PG,SG,SG,6600,3400,4400,8600,6400,8800,6500,5300,286.61,244.75,17,Dec102016
Jamal Crawford,Nikola Jokic,Trevor Booker,Marvin Williams,LeBron James,Rudy Gobert,Chris Paul,Wesley Matthews,LAC,DEN,BKN,CHA,CLE,UTA,LAC,DAL,SG,C,PF,PF,SF/PF,C,PG,SG,4200,5200,5700,4300,9400,7000,8800,5300,284.87,327.5,18,Dec102016
Evan Turner,Robin Lopez,Greg Monroe,Kevin Durant,Michael Kidd-Gilchrist,Chris Paul,Damian Lillard,Wesley Matthews,POR,CHI,MIL,GS,CHA,LAC,POR,DAL,SG/SF,C,C,SF/PF,SF,PG,PG,SG,4800,4600,4400,9300,4400,8800,8400,5300,284.78,258.0,19,Dec102016
Trevor Booker,Marvin Williams,Kevin Durant,Hassan Whiteside,Brook Lopez,Rodney Stuckey,Bradley Beal,Wesley Matthews,BKN,CHA,GS,MIA,BKN,IND,WAS,DAL,PF,PF,SF/PF,C,C,PG/SG,SG,SG,5700,4300,9300,8600,6400,3500,6900,5300,284.7,220.25,20,Dec102016
Bojan Bogdanovic,Nikola Jokic,Kevin Durant,Brook Lopez,Damian Lillard,Patrick Beverley,Dwyane Wade,Wesley Matthews,BKN,DEN,GS,BKN,POR,HOU,CHI,DAL,SG/SF,C,SF/PF,C,PG,PG,SG,SG,4000,5200,9300,6400,8400,4800,6500,5300,284.44,292.0,21,Dec102016
Bojan Bogdanovic,JaMychal Green,Trevor Ariza,Michael Kidd-Gilchrist,Hassan Whiteside,Brook Lopez,Damian Lillard,Bradley Beal,BKN,MEM,HOU,CHA,MIA,BKN,POR,WAS,SG/SF,PF,SF/PF,SF,C,C,PG,SG,4000,5900,5400,4400,8600,6400,8400,6900,283.47,247.25,22,Dec102016
Evan Turner,Bojan Bogdanovic,Pau Gasol,Marvin Williams,LeBron James,Brook Lopez,Chris Paul,Bradley Beal,POR,BKN,SA,CHA,CLE,BKN,LAC,WAS,SG/SF,SG/SF,C,PF,SF/PF,C,PG,SG,4800,4000,5400,4300,9400,6400,8800,6900,282.55,296.75,23,Dec102016
Evan Turner,Jamal Crawford,LeBron James,Michael Kidd-Gilchrist,Hassan Whiteside,Rudy Gobert,Malcolm Brogdon,Damian Lillard,POR,LAC,CLE,CHA,MIA,UTA,MIL,POR,SG/SF,SG,SF/PF,SF,C,C,PG/SG,PG,4800,4200,9400,4400,8600,7000,3200,8400,282.38,284.25,24,Dec102016
Bojan Bogdanovic,Marvin Williams,Harrison Barnes,LeBron James,Hassan Whiteside,Rudy Gobert,Matthew Dellavedova,Dwyane Wade,BKN,CHA,DAL,CLE,MIA,UTA,MIL,CHI,SG/SF,PF,SF/PF,SF/PF,C,C,PG/SG,SG,4000,4300,6200,9400,8600,7000,4000,6500,281.13,299.25,25,Dec102016
