Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Troy Daniels,Kevin Love,Nicolas Batum,Josh Richardson,Isaiah Thomas,Kyrie Irving,Tyson Chandler,George Hill,MEM,CLE,CHA,MIA,BOS,CLE,PHO,UTA,SG,PF/C,SG/SF,SG/SF,PG,PG,C,PG,3000,8200,7800,5000,7700,7600,4500,6200,252.29,367.5,1,Dec292016
Troy Daniels,Kevin Love,Nicolas Batum,Josh Richardson,Kyrie Irving,Eric Bledsoe,Tyson Chandler,George Hill,MEM,CLE,CHA,MIA,CLE,PHO,PHO,UTA,SG,PF/C,SG/SF,SG/SF,PG,PG,C,PG,3000,8200,7800,5000,7600,7500,4500,6200,252.26,367.0,2,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Nicolas Batum,Terrence Ross,Kyrie Irving,Marc Gasol,George Hill,MIA,MEM,CLE,CHA,TOR,CLE,MEM,UTA,PG,SG,PF/C,SG/SF,SG/SF,PG,C,PG,5400,3000,8200,7800,3600,7600,7900,6200,255.47,366.25,3,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Terrence Ross,Isaiah Thomas,Kyrie Irving,Marc Gasol,George Hill,MIA,MEM,CLE,TOR,BOS,CLE,MEM,UTA,PG,SG,PF/C,SG/SF,PG,PG,C,PG,5400,3000,8200,3600,7700,7600,7900,6200,254.87,365.75,4,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Terrence Ross,Kyrie Irving,Eric Bledsoe,Marc Gasol,George Hill,MIA,MEM,CLE,TOR,CLE,PHO,MEM,UTA,PG,SG,PF/C,SG/SF,PG,PG,C,PG,5400,3000,8200,3600,7600,7500,7900,6200,254.84,365.25,5,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Nicolas Batum,Jeremy Lamb,Kyrie Irving,Marc Gasol,George Hill,MIA,MEM,CLE,CHA,CHA,CLE,MEM,UTA,PG,SG,PF/C,SG/SF,SG/SF,PG,C,PG,5400,3000,8200,7800,3800,7600,7900,6200,257.37,364.75,6,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Nicolas Batum,Kyrie Irving,Dorian Finney-Smith,Marc Gasol,George Hill,MIA,MEM,CLE,CHA,CLE,DAL,MEM,UTA,PG,SG,PF/C,SG/SF,PG,SF,C,PG,5400,3000,8200,7800,7600,3200,7900,6200,250.78,364.5,7,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Jeremy Lamb,Isaiah Thomas,Kyrie Irving,Marc Gasol,George Hill,MIA,MEM,CLE,CHA,BOS,CLE,MEM,UTA,PG,SG,PF/C,SG/SF,PG,PG,C,PG,5400,3000,8200,3800,7700,7600,7900,6200,256.77,364.25,8,Dec292016
Troy Daniels,Kevin Love,Nicolas Batum,Josh Richardson,Jonas Jerebko,Kyrie Irving,Eric Bledsoe,Marc Gasol,MEM,CLE,CHA,MIA,BOS,CLE,PHO,MEM,SG,PF/C,SG/SF,SG/SF,PF,PG,PG,C,3000,8200,7800,5000,3000,7600,7500,7900,246.93,364.0,9,Dec292016
Tyler Johnson,Troy Daniels,Kevin Love,Isaiah Thomas,Kyrie Irving,Dorian Finney-Smith,Marc Gasol,George Hill,MIA,MEM,CLE,BOS,CLE,DAL,MEM,UTA,PG,SG,PF/C,PG,PG,SF,C,PG,5400,3000,8200,7700,7600,3200,7900,6200,250.18,364.0,10,Dec292016
