Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Derrick Favors,Otto Porter,Bradley Beal,Stephen Curry,Chris Paul,Draymond Green,Spencer Hawes,Enes Kanter,UTA,WAS,WAS,GS,LAC,GS,CHA,OKC,PF,SF,SG,PG,PG,PF/C,PF/C,C,5600,5300,5600,8700,8500,7800,3500,4900,245.43,364.5,1,Nov72016
Derrick Favors,Otto Porter,Bradley Beal,Stephen Curry,Kemba Walker,Draymond Green,Spencer Hawes,Enes Kanter,UTA,WAS,WAS,GS,CHA,GS,CHA,OKC,PF,SF,SG,PG,PG,PF/C,PF/C,C,5600,5300,5600,8700,7400,7800,3500,4900,236.58,363.5,2,Nov72016
Derrick Favors,Otto Porter,Marco Belinelli,Stephen Curry,Kemba Walker,Anthony Davis,Spencer Hawes,Enes Kanter,UTA,WAS,CHA,GS,CHA,NO,CHA,OKC,PF,SF,SG,PG,PG,PF/C,PF/C,C,5600,5300,3300,8700,7400,11100,3500,4900,247.74,363.5,3,Nov72016
Otto Porter,Marco Belinelli,Stephen Curry,Chris Paul,Kemba Walker,Draymond Green,Spencer Hawes,Enes Kanter,WAS,CHA,GS,LAC,CHA,GS,CHA,OKC,SF,SG,PG,PG,PG,PF/C,PF/C,C,5300,3300,8700,8500,7400,7800,3500,4900,247.7,362.25,4,Nov72016
Derrick Favors,C.J. Miles,Bradley Beal,Stephen Curry,Chris Paul,Kemba Walker,Spencer Hawes,Enes Kanter,UTA,IND,WAS,GS,LAC,CHA,CHA,OKC,PF,SG/SF,SG,PG,PG,PG,PF/C,C,5600,4100,5600,8700,8500,7400,3500,4900,242.83,361.0,5,Nov72016
Ryan Anderson,Otto Porter,C.J. Miles,Bradley Beal,Stephen Curry,Chris Paul,Kemba Walker,Enes Kanter,HOU,WAS,IND,WAS,GS,LAC,CHA,OKC,PF,SF,SG/SF,SG,PG,PG,PG,C,5300,5300,4100,5600,8700,8500,7400,4900,247.59,361.0,6,Nov72016
Derrick Favors,Otto Porter,C.J. Miles,Bradley Beal,Stephen Curry,James Harden,Spencer Hawes,Enes Kanter,UTA,WAS,IND,WAS,GS,HOU,CHA,OKC,PF,SF,SG/SF,SG,PG,PG/SG,PF/C,C,5600,5300,4100,5600,8700,11700,3500,4900,247.41,361.0,7,Nov72016
Otto Porter,Stephen Curry,Chris Paul,Kemba Walker,Raymond Felton,Draymond Green,Spencer Hawes,Enes Kanter,WAS,GS,LAC,CHA,LAC,GS,CHA,OKC,SF,PG,PG,PG,PG/SG,PF/C,PF/C,C,5300,8700,8500,7400,3600,7800,3500,4900,245.02,361.0,8,Nov72016
Otto Porter,Bradley Beal,Stephen Curry,Kemba Walker,Anthony Davis,Spencer Hawes,James Johnson,Enes Kanter,WAS,WAS,GS,CHA,NO,CHA,MIA,OKC,SF,SG,PG,PG,PF/C,PF/C,SF/PF,C,5300,5600,8700,7400,11100,3500,3000,4900,248.05,360.75,9,Nov72016
Derrick Favors,C.J. Miles,Marco Belinelli,Stephen Curry,James Harden,Kemba Walker,Spencer Hawes,Enes Kanter,UTA,IND,CHA,GS,HOU,CHA,CHA,OKC,PF,SG/SF,SG,PG,PG/SG,PG,PF/C,C,5600,4100,3300,8700,11700,7400,3500,4900,249.45,360.75,10,Nov72016
