Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Kevin Love,Nikola Vucevic,Courtney Lee,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,NY,OKC,DEN,DEN,DEN,NY,PF/C,C,SG,PG,PG,PG/SG,SF,SF,7800,5700,3700,12000,3700,3800,5700,7500,282.89,419.25,89,Nov252016
Kevin Love,Nicolas Batum,Nikola Vucevic,Eric Bledsoe,Jameer Nelson,Mason Plumlee,Wilson Chandler,Carmelo Anthony,CLE,CHA,ORL,PHO,DEN,POR,DEN,NY,PF/C,SG/SF,C,PG,PG/SG,C,SF,SF,7800,6600,5700,7000,3800,5400,5700,7500,274.38,419.25,90,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Rodney Stuckey,Joffrey Lauvergne,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,IND,OKC,DEN,NY,PF/C,C,PG,PG/SG,PG/SG,PF/C,SF,SF,7800,5700,12000,3800,3600,3000,5700,7500,265.37,419.0,91,Nov252016
Nikola Vucevic,Russell Westbrook,Giannis Antetokounmpo,Hollis Thompson,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,ORL,OKC,MIL,PHI,DEN,POR,DEN,NY,C,PG,PG,SG/SF,PG/SG,PF,SF,SF,5700,12000,9100,3000,3800,3200,5700,7500,279.68,419.0,92,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Tony Snell,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,MIL,DEN,NY,PF/C,C,PG,PG,PG/SG,SG/SF,SF,SF,7800,5700,12000,3700,3800,3500,5700,7500,281.14,419.0,93,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Greg Monroe,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,MIL,DEN,SA,NY,PF/C,C,PG,PG/SG,C,SF,PF,SF,7800,5700,12000,3800,3500,5700,3800,7500,262.99,419.0,94,Nov252016
Nikola Vucevic,Russell Westbrook,Eric Bledsoe,Hollis Thompson,Jameer Nelson,Wilson Chandler,Maurice Harkless,Carmelo Anthony,ORL,OKC,PHO,PHI,DEN,DEN,POR,NY,C,PG,PG,SG/SF,PG/SG,SF,SF,SF,5700,12000,7000,3000,3800,5700,4900,7500,277.48,419.0,95,Nov252016
Kevin Love,Marco Belinelli,Russell Westbrook,Jameer Nelson,Mason Plumlee,Wilson Chandler,David Lee,Carmelo Anthony,CLE,CHA,OKC,DEN,POR,DEN,SA,NY,PF/C,SG,PG,PG/SG,C,SF,PF,SF,7800,4000,12000,3800,5400,5700,3800,7500,272.09,418.75,96,Nov252016
Kevin Love,Nikola Vucevic,Danny Green,Russell Westbrook,Jameer Nelson,Domantas Sabonis,Wilson Chandler,Carmelo Anthony,CLE,ORL,SA,OKC,DEN,OKC,DEN,NY,PF/C,C,SG,PG,PG/SG,PF,SF,SF,7800,5700,3800,12000,3800,3300,5700,7500,273.97,418.75,97,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Thomas Robinson,Wilson Chandler,Jon Leuer,Carmelo Anthony,CLE,ORL,OKC,DEN,LAL,DEN,DET,NY,PF/C,C,PG,PG/SG,PF,SF,PF,SF,7800,5700,12000,3800,3000,5700,4500,7500,265.95,418.75,98,Nov252016
Serge Ibaka,Nikola Vucevic,Russell Westbrook,Hollis Thompson,Jameer Nelson,Mason Plumlee,Wilson Chandler,Carmelo Anthony,ORL,ORL,OKC,PHI,DEN,POR,DEN,NY,PF/C,C,PG,SG/SF,PG/SG,C,SF,SF,6000,5700,12000,3000,3800,5400,5700,7500,272.22,418.75,99,Nov252016
Kevin Love,Nikola Vucevic,John Wall,Jameer Nelson,Victor Oladipo,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,WAS,DEN,OKC,DEN,SA,NY,PF/C,C,PG,PG/SG,SG,SF,PF,SF,7800,5700,8800,3800,6600,5700,3800,7500,273.0,418.75,100,Nov252016
