Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,DEN,NY,DEN,CHI,CHI,DEN,NO,PG,PG,PF,SF,PG,C,C,PG,12500,3500,7500,5700,5600,5300,4600,5100,271.18,364.5,1,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Steven Adams,Jusuf Nurkic,Tim Frazier,OKC,DEN,NY,DEN,CHI,OKC,DEN,NO,PG,PG,PF,SF,PG,C,C,PG,12500,3500,7500,5700,5600,5200,4600,5100,273.07,361.0,2,Nov222016
Russell Westbrook,Jamal Murray,Jose Calderon,Jimmy Butler,Kristaps Porzingis,Wilson Chandler,Tim Frazier,Ed Davis,OKC,DEN,LAL,CHI,NY,DEN,NO,POR,PG,PG,PG,SG/SF,PF,SF,PG,C,12500,3500,3000,9200,7500,5700,5100,3200,260.12,360.75,3,Nov222016
Russell Westbrook,Jose Calderon,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,LAL,NY,DEN,CHI,CHI,DEN,NO,PG,PG,PF,SF,PG,C,C,PG,12500,3000,7500,5700,5600,5300,4600,5100,272.39,359.0,4,Nov222016
Russell Westbrook,Jose Calderon,Jimmy Butler,Kristaps Porzingis,Maurice Harkless,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,LAL,CHI,NY,POR,DEN,NO,POR,PG,PG,SG/SF,PF,SF,C,PG,C,12500,3000,9200,7500,4900,4600,5100,3200,264.8,359.0,5,Nov222016
Russell Westbrook,Jamal Murray,Taj Gibson,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,OKC,DEN,CHI,NY,DEN,CHI,DEN,NO,PG,PG,PF/C,PF,SF,PG,C,PG,12500,3500,5400,7500,5700,5600,4600,5100,272.52,359.0,6,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Justin Holiday,Rajon Rondo,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,DEN,CHI,NY,CHI,CHI,DEN,NO,PG,PG,SG/SF,SG/SF,PG,C,C,PG,12500,3500,9200,3200,5600,5300,4600,5100,264.22,358.75,7,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,DEN,NY,DEN,CHI,DEN,NO,POR,PG,PG,PF,SF,PG,C,PG,C,12500,3500,7500,5700,5600,4600,5100,3200,259.32,358.5,8,Nov222016
Russell Westbrook,Kristaps Porzingis,Derrick Rose,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,NY,NY,DEN,CHI,DEN,NO,POR,PG,PF,PG,SF,PG,C,PG,C,12500,7500,5800,5700,5600,4600,5100,3200,271.17,358.5,9,Nov222016
Russell Westbrook,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,Ed Davis,Jordan Clarkson,OKC,NY,DEN,CHI,DEN,NO,POR,LAL,PG,PF,SF,PG,C,PG,C,PG/SG,12500,7500,5700,5600,4600,5100,3200,5000,267.74,357.75,10,Nov222016
Russell Westbrook,Jamal Murray,Joffrey Lauvergne,Jimmy Butler,Kristaps Porzingis,Wilson Chandler,Tim Frazier,Ed Davis,OKC,DEN,OKC,CHI,NY,DEN,NO,POR,PG,PG,PF/C,SG/SF,PF,SF,PG,C,12500,3500,3000,9200,7500,5700,5100,3200,256.27,357.5,11,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Derrick Rose,Wilson Chandler,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,DEN,NY,NY,DEN,CHI,DEN,NO,PG,PG,PF,PG,SF,C,C,PG,12500,3500,7500,5800,5700,5300,4600,5100,263.37,357.25,12,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Justin Holiday,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,OKC,DEN,CHI,NY,DEN,CHI,DEN,NO,PG,PG,SG/SF,SG/SF,SF,PG,C,PG,12500,3500,9200,3200,5700,5600,4600,5100,264.12,357.0,13,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Justin Holiday,Kristaps Porzingis,Rajon Rondo,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,NY,CHI,NO,POR,PG,PG,SG/SF,SG/SF,PF,PG,PG,C,12500,3500,9200,3200,7500,5600,5100,3200,265.97,357.0,14,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Kristaps Porzingis,Wilson Chandler,Tim Frazier,Timofey Mozgov,Ed Davis,OKC,DEN,CHI,NY,DEN,NO,LAL,POR,PG,PG,SG/SF,PF,SF,PG,C,C,12500,3500,9200,7500,5700,5100,3300,3200,259.55,357.0,15,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Terrence Jones,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,OKC,DEN,NY,NO,DEN,CHI,DEN,NO,PG,PG,PF,PF,SF,PG,C,PG,12500,3500,7500,5400,5700,5600,4600,5100,267.73,357.0,16,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Maurice Harkless,Rajon Rondo,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,DEN,NY,POR,CHI,CHI,DEN,NO,PG,PG,PF,SF,PG,C,C,PG,12500,3500,7500,4900,5600,5300,4600,5100,267.48,356.75,17,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Evan Turner,Rajon Rondo,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,DEN,CHI,POR,CHI,CHI,DEN,NO,PG,PG,SG/SF,SG/SF,PG,C,C,PG,12500,3500,9200,4100,5600,5300,4600,5100,269.16,356.75,18,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Robin Lopez,Jusuf Nurkic,Tim Frazier,Jordan Clarkson,OKC,DEN,NY,DEN,CHI,DEN,NO,LAL,PG,PG,PF,SF,C,C,PG,PG/SG,12500,3500,7500,5700,5300,4600,5100,5000,259.94,356.5,19,Nov222016
Russell Westbrook,Jamal Murray,Jose Calderon,Jimmy Butler,Kristaps Porzingis,Wilson Chandler,Tim Frazier,Timofey Mozgov,OKC,DEN,LAL,CHI,NY,DEN,NO,LAL,PG,PG,PG,SG/SF,PF,SF,PG,C,12500,3500,3000,9200,7500,5700,5100,3300,260.49,356.0,20,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Justin Holiday,Kristaps Porzingis,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,NY,DEN,NO,POR,PG,PG,SG/SF,SG/SF,PF,C,PG,C,12500,3500,9200,3200,7500,4600,5100,3200,254.69,355.75,21,Nov222016
Russell Westbrook,Joffrey Lauvergne,Jimmy Butler,Kristaps Porzingis,Maurice Harkless,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,OKC,CHI,NY,POR,DEN,NO,POR,PG,PF/C,SG/SF,PF,SF,C,PG,C,12500,3000,9200,7500,4900,4600,5100,3200,260.95,355.75,22,Nov222016
Russell Westbrook,Joffrey Lauvergne,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Robin Lopez,Jusuf Nurkic,Tim Frazier,OKC,OKC,NY,DEN,CHI,CHI,DEN,NO,PG,PF/C,PF,SF,PG,C,C,PG,12500,3000,7500,5700,5600,5300,4600,5100,268.54,355.75,23,Nov222016
Russell Westbrook,Jose Calderon,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Steven Adams,Jusuf Nurkic,Tim Frazier,OKC,LAL,NY,DEN,CHI,OKC,DEN,NO,PG,PG,PF,SF,PG,C,C,PG,12500,3000,7500,5700,5600,5200,4600,5100,274.28,355.5,24,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Kristaps Porzingis,Rajon Rondo,Mindaugas Kuzminskas,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,CHI,NY,NO,POR,PG,PG,SG/SF,PF,PG,SF,PG,C,12500,3500,9200,7500,5600,3000,5100,3200,255.99,355.5,25,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Kristaps Porzingis,Brandon Ingram,Rajon Rondo,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,LAL,CHI,NO,POR,PG,PG,SG/SF,PF,SF,PG,PG,C,12500,3500,9200,7500,3400,5600,5100,3200,266.07,355.25,26,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Justin Holiday,Rajon Rondo,Steven Adams,Jusuf Nurkic,Tim Frazier,OKC,DEN,CHI,NY,CHI,OKC,DEN,NO,PG,PG,SG/SF,SG/SF,PG,C,C,PG,12500,3500,9200,3200,5600,5200,4600,5100,266.11,355.25,27,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Andre Roberson,Kristaps Porzingis,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,DEN,CHI,OKC,NY,DEN,NO,POR,PG,PG,SG/SF,SG/SF,PF,C,PG,C,12500,3500,9200,4300,7500,4600,5100,3200,259.88,355.25,28,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Maurice Harkless,Rajon Rondo,Jusuf Nurkic,Tim Frazier,OKC,DEN,NY,DEN,POR,CHI,DEN,NO,PG,PG,PF,SF,SF,PG,C,PG,12500,3500,7500,5700,4900,5600,4600,5100,267.38,355.0,29,Nov222016
Russell Westbrook,Jamal Murray,Jose Calderon,Jimmy Butler,Justin Holiday,Kristaps Porzingis,Jusuf Nurkic,Tim Frazier,OKC,DEN,LAL,CHI,NY,NY,DEN,NO,PG,PG,PG,SG/SF,SG/SF,PF,C,PG,12500,3500,3000,9200,3200,7500,4600,5100,255.63,354.75,30,Nov222016
Russell Westbrook,Jose Calderon,Joffrey Lauvergne,Jimmy Butler,Kristaps Porzingis,Maurice Harkless,Jusuf Nurkic,Tim Frazier,OKC,LAL,OKC,CHI,NY,POR,DEN,NO,PG,PG,PF/C,SG/SF,PF,SF,C,PG,12500,3000,3000,9200,7500,4900,4600,5100,261.89,354.75,31,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Andre Roberson,Rajon Rondo,Steven Adams,Jusuf Nurkic,Tim Frazier,OKC,DEN,CHI,OKC,CHI,OKC,DEN,NO,PG,PG,SG/SF,SG/SF,PG,C,C,PG,12500,3500,9200,4300,5600,5200,4600,5100,271.3,354.75,32,Nov222016
Russell Westbrook,Taj Gibson,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,CHI,NY,DEN,CHI,DEN,NO,POR,PG,PF/C,PF,SF,PG,C,PG,C,12500,5400,7500,5700,5600,4600,5100,3200,272.79,354.5,33,Nov222016
Russell Westbrook,Jamal Murray,Joffrey Lauvergne,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,OKC,DEN,OKC,NY,DEN,CHI,DEN,NO,PG,PG,PF/C,PF,SF,PG,C,PG,12500,3500,3000,7500,5700,5600,4600,5100,256.41,354.25,34,Nov222016
Russell Westbrook,Joffrey Lauvergne,Kristaps Porzingis,Derrick Rose,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,OKC,OKC,NY,NY,DEN,CHI,DEN,NO,PG,PF/C,PF,PG,SF,PG,C,PG,12500,3000,7500,5800,5700,5600,4600,5100,268.26,354.25,35,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Kristaps Porzingis,Mindaugas Kuzminskas,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,NY,DEN,NO,POR,PG,PG,SG/SF,PF,SF,C,PG,C,12500,3500,9200,7500,3000,4600,5100,3200,244.71,354.25,36,Nov222016
Russell Westbrook,Jamal Murray,Jose Calderon,Jimmy Butler,Andre Roberson,Kristaps Porzingis,Jusuf Nurkic,Tim Frazier,OKC,DEN,LAL,CHI,OKC,NY,DEN,NO,PG,PG,PG,SG/SF,SG/SF,PF,C,PG,12500,3500,3000,9200,4300,7500,4600,5100,260.82,354.25,37,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Robin Lopez,Tim Frazier,Ed Davis,OKC,DEN,NY,DEN,CHI,CHI,NO,POR,PG,PG,PF,SF,PG,C,PG,C,12500,3500,7500,5700,5600,5300,5100,3200,263.07,354.0,38,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Kristaps Porzingis,Solomon Hill,Rajon Rondo,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,NO,CHI,NO,POR,PG,PG,SG/SF,PF,SF,PG,PG,C,12500,3500,9200,7500,3400,5600,5100,3200,262.9,354.0,39,Nov222016
Russell Westbrook,Jamal Murray,Jimmy Butler,Kristaps Porzingis,Brandon Ingram,Jusuf Nurkic,Tim Frazier,Ed Davis,OKC,DEN,CHI,NY,LAL,DEN,NO,POR,PG,PG,SG/SF,PF,SF,C,PG,C,12500,3500,9200,7500,3400,4600,5100,3200,254.79,354.0,40,Nov222016
Russell Westbrook,Jamal Murray,Kristaps Porzingis,Wilson Chandler,Rajon Rondo,Jusuf Nurkic,Tim Frazier,Timofey Mozgov,OKC,DEN,NY,DEN,CHI,DEN,NO,LAL,PG,PG,PF,SF,PG,C,PG,C,12500,3500,7500,5700,5600,4600,5100,3300,259.69,353.75,41,Nov222016
