Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
20161101,3681,SG,"Vujacic, Sasha",,6.0,"$3,000",nyk,A,det,89,102, 4.78,2pt 2rb 1as 1-2fg
20161101,4703,SG,"Stauskas, Nik",,3.5,"$3,000",phi,H,orl,101,103,21.77,2pt 1as 1-6fg
20161101,4735,PG,"Galloway, Langston",,2.75,"$3,000",nor,H,mil,113,117, 8.32,0pt 1rb 1st 1to
20161101,4650,SG,"McGruder, Rodney",,2.75,"$3,000",mia,H,sac,108,96,13.63,0pt 1rb 1as
20161101,4694,PG,"Napier, Shabazz",,2.5,"$3,000",por,H,gsw,104,127,10.12,0pt 1as 1st 2to 0-1fg
20161101,4056,PG,"Watson, C.J.",,2.5,"$3,000",orl,A,phi,103,101, 8.45,1pt 1as 1-2ft
20161101,4685,SG,"Wilcox, C.J.",,1.5,"$3,000",orl,A,phi,103,101, 3.87,0pt 1as 0-1fg
20161101,4658,SG,"Daniels, Troy",,1.5,"$3,000",mem,A,min,80,116,12.00,0pt 1as 0-5fg
20161101,4963,PG,"Murray, Dejounte",,0.0,"$3,000",sas,H,uta,91,106, 0.75,0pt
20161101,4946,PG,"Laprovittola, Nicolas",,0.0,"$3,000",sas,H,uta,91,106, 0.75,0pt
20161101,4918,SG,"Luwawu, Timothe",,0.0,"$3,000",phi,H,orl,101,103, 3.27,0pt
20161101,4995,PG,"Forbes, Bryn",,0.0,"$3,000",sas,H,uta,91,106, 0.75,0pt
20161101,3833,PG,"Lucas, John",,0.0,"$3,000",min,H,mem,116,80,DNP,
20161101,4212,PG,"Holiday, Jrue",,0.0,"$6,500",nor,H,mil,113,117,DNP,
20161101,4969,SG,"Richardson, Malachi",,0.0,"$3,000",sac,A,mia,96,108,DNP,
20161101,3979,PG,"Conley, Mike",,0.0,"$6,600",mem,A,min,80,116,DNP,
20161101,4803,PG,"Huertas, Marcelo",,0.0,"$3,000",lal,A,ind,108,115,DNP,
20161101,4839,SG,"Hilliard, Darrun",,0.0,"$3,000",det,H,nyk,102,89,DNP,
20161101,4807,PG,"Neto, Raul",,0.0,"$3,000",uta,A,sas,106,91,DNP,
