Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Stephen Curry,Lou Williams,Victor Oladipo,Leandro Barbosa,Anthony Davis,Robert Covington,Ersan Ilyasova,Richaun Holmes,GS,LAL,OKC,PHO,NO,PHI,PHI,PHI,PG,SG,SG,PG,PF,SF,PF,PF,522.1605273838195,216.5,1,Dec112016,5,98.57
Russell Westbrook,Nik Stauskas,Andre Roberson,Brandon Knight,Anthony Davis,Enes Kanter,Ersan Ilyasova,Richaun Holmes,OKC,PHI,OKC,PHO,NO,OKC,PHI,PHI,PG,SG,SG,PG,PF,C,PF,PF,518.7848116521591,216.5,2,Dec112016,5,92.8
Gerald Henderson,Ish Smith,Eric Bledsoe,Anthony Davis,Andre Drummond,Andrew Wiggins,Ersan Ilyasova,Richaun Holmes,PHI,DET,PHO,NO,DET,MIN,PHI,PHI,SG,PG,PG,PF,C,SF,PF,PF,515.8154416252045,223.75,3,Dec112016,5,100.09
Russell Westbrook,Courtney Lee,Langston Galloway,Leandro Barbosa,Anthony Davis,Luol Deng,Andre Drummond,Richaun Holmes,OKC,NY,NO,PHO,NO,LAL,DET,PHI,PG,SG,PG,PG,PF,SF,C,PF,515.5031295111412,248.75,4,Dec112016,5,95.32
Russell Westbrook,Lou Williams,Gerald Henderson,Ian Clark,Anthony Davis,Luol Deng,Joakim Noah,Ersan Ilyasova,OKC,LAL,PHI,GS,NO,LAL,NY,PHI,PG,SG,SG,PG,PF,SF,C,PF,515.4088867342149,240.75,5,Dec112016,5,96.29
Russell Westbrook,Victor Oladipo,Zach LaVine,Gerald Henderson,Anthony Davis,Solomon Hill,Richaun Holmes,Jared Dudley,OKC,OKC,MIN,PHI,NO,NO,PHI,PHO,PG,SG,SG,SG,PF,SF,PF,PF,513.1670874698898,191.5,6,Dec112016,5,94.4
Lou Williams,Nik Stauskas,Langston Galloway,Eric Bledsoe,Anthony Davis,Julius Randle,Solomon Hill,Ersan Ilyasova,LAL,PHI,NO,PHO,NO,LAL,NO,PHI,SG,SG,PG,PG,PF,PF,SF,PF,511.7837603633804,244.75,7,Dec112016,5,95.35
Lou Williams,Zach LaVine,Terry Rozier,Devin Booker,Anthony Davis,Andre Drummond,Jon Leuer,Richaun Holmes,LAL,MIN,BOS,PHO,NO,DET,DET,PHI,SG,SG,PG,SG,PF,C,PF,PF,511.29555329726145,221.5,8,Dec112016,5,92.15
Stephen Curry,Lou Williams,Nik Stauskas,Brandon Knight,Anthony Davis,Luol Deng,Andre Drummond,Jared Dudley,GS,LAL,PHI,PHO,NO,LAL,DET,PHO,PG,SG,SG,PG,PF,SF,C,PF,510.98345778725957,260.5,9,Dec112016,5,87.29
Victor Oladipo,Zach LaVine,Nik Stauskas,Kris Dunn,Anthony Davis,Tobias Harris,Andre Drummond,Ersan Ilyasova,OKC,MIN,PHI,MIN,NO,DET,DET,PHI,SG,SG,SG,PG,PF,SF,C,PF,509.8934429168368,203.5,10,Dec112016,5,97.98
Stephen Curry,Courtney Lee,Devin Booker,Eric Bledsoe,Anthony Davis,Joakim Noah,Ersan Ilyasova,Jared Dudley,GS,NY,PHO,PHO,NO,NY,PHI,PHO,PG,SG,SG,PG,PF,C,PF,PF,508.9201322472878,249.0,11,Dec112016,5,93.41
Stephen Curry,Zach LaVine,Terry Rozier,Andre Roberson,Ish Smith,Anthony Davis,Julius Randle,Ersan Ilyasova,GS,MIN,BOS,OKC,DET,NO,LAL,PHI,PG,SG,PG,SG,PG,PF,PF,PF,508.7678558352175,225.75,12,Dec112016,5,91.07
Lou Williams,Victor Oladipo,Eric Bledsoe,Anthony Davis,Enes Kanter,Andrew Wiggins,Jon Leuer,Jared Dudley,LAL,OKC,PHO,NO,OKC,MIN,DET,PHO,SG,SG,PG,PF,C,SF,PF,PF,508.4251995053696,222.5,13,Dec112016,5,96.23
Russell Westbrook,Zach LaVine,Anthony Morrow,Leandro Barbosa,Anthony Davis,Alex Len,Ersan Ilyasova,Jon Leuer,OKC,MIN,OKC,PHO,NO,PHO,PHI,DET,PG,SG,SG,PG,PF,C,PF,PF,508.26948254977856,223.75,14,Dec112016,5,93.43
Russell Westbrook,Nik Stauskas,Devin Booker,Ish Smith,Leandro Barbosa,Anthony Davis,Julius Randle,Jared Dudley,OKC,PHI,PHO,DET,PHO,NO,LAL,PHO,PG,SG,SG,PG,PG,PF,PF,PF,508.0187743307122,240.75,15,Dec112016,5,93.17
Russell Westbrook,Zach LaVine,Eric Bledsoe,Julius Randle,Joakim Noah,Robert Covington,Ersan Ilyasova,Richaun Holmes,OKC,MIN,PHO,LAL,NY,PHI,PHI,PHI,PG,SG,PG,PF,C,SF,PF,PF,507.6174647525056,270.25,16,Dec112016,5,96.91
Stephen Curry,Zach LaVine,Ian Clark,Eric Bledsoe,Anthony Davis,Tobias Harris,Enes Kanter,Richaun Holmes,GS,MIN,GS,PHO,NO,DET,OKC,PHI,PG,SG,PG,PG,PF,SF,C,PF,507.318339451532,230.0,17,Dec112016,5,91.4
Russell Westbrook,Lou Williams,Buddy Hield,Ish Smith,Anthony Davis,Marcus Morris,Timofey Mozgov,Richaun Holmes,OKC,LAL,NO,DET,NO,DET,LAL,PHI,PG,SG,SG,PG,PF,SF,C,PF,506.66649622064506,219.5,18,Dec112016,5,88.7
Victor Oladipo,Gerald Henderson,Langston Galloway,Anthony Davis,Enes Kanter,Carmelo Anthony,Krista
