Name,Team,Position,Dropped,Added,Total,Date
Stanley Johnson,DET ," SG,SF",1586,41,1634,2016-10-28
Patrick Beverley,HOU ," PG,SG",1453,130,1584,2016-10-28
Courtney Lee,NY ," SG,SF",1402,144,1557,2016-10-28
Jamal Crawford,LAC ," SG,SF",658,879,1549,2016-10-28
James Ennis III,MEM ," SG,SF",71,1476,1547,2016-10-28
T.J. Warren,PHO , SF,195,11696,11896,2016-10-29
Lance Stephenson,NO ," SG,SF",707,7504,8211,2016-10-29
Trevor Booker,BKN , PF,220,6673,6893,2016-10-29
Roy Hibbert,CHA , C,6151,487,6641,2016-10-29
Andre Roberson,OKC ," SG,SF",94,4939,5033,2016-10-29
Tim Hardaway Jr.,ATL ," SG,SF",1334,3096,4430,2016-10-29
Terrence Jones,NO ," SF,PF",4298,104,4404,2016-10-29
Marcus Morris,DET ," SF,PF",142,4095,4244,2016-10-29
Rondae Hollis-Jefferson,BKN ," SG,SF",3572,212,3793,2016-10-29
Sergio Rodriguez,PHI , PG,410,3299,3711,2016-10-29
Dewayne Dedmon,SA , C,205,3491,3696,2016-10-29
Michael Kidd-Gilchrist,CHA , SF,2465,1194,3664,2016-10-29
Tim Frazier,NO ," PG,SG",213,3302,3523,2016-10-29
J.J. Barea,DAL ," PG,SG",454,2875,3331,2016-10-29
Joe Johnson,UTA ," SG,SF",904,2342,3250,2016-10-29
James Ennis III,MEM ," SG,SF",94,3152,3246,2016-10-29
Al Jefferson,IND ," PF,C",3022,152,3185,2016-10-29
Buddy Hield,NO , SG,2911,149,3069,2016-10-29
Brandon Ingram,LAL ," SG,SF",2836,157,3014,2016-10-29
Lou Williams,LAL ," PG,SG",270,2588,2859,2016-10-29
Jonathon Simmons,SA ," SG,SF",2226,551,2784,2016-10-29
Justin Hamilton,BKN ," PF,C",1171,1516,2688,2016-10-29
Cody Zeller,CHA ," PF,C",672,1895,2569,2016-10-29
Alex Len,PHO ," PF,C",2414,116,2536,2016-10-29
Ty Lawson,SAC , PG,817,1544,2364,2016-10-29
Dario Saric,PHI ," SF,PF",2093,203,2304,2016-10-29
Mirza Teletovic,MIL ," SF,PF",2011,275,2288,2016-10-29
Tony Parker,SA , PG,1950,312,2272,2016-10-29
Bojan Bogdanovic,BKN ," SG,SF",1442,809,2257,2016-10-29
Sean Kilpatrick,BKN ," PG,SG",171,2038,2209,2016-10-29
Maurice Harkless,POR , SF,803,1386,2190,2016-10-29
Will Barton,DEN ," SG,SF",379,1785,2175,2016-10-29
Thabo Sefolosha,ATL ," SG,SF",476,1676,2152,2016-10-29
Patty Mills,SA , PG,304,1797,2103,2016-10-29
Mike Muscala,ATL ," PF,C",94,1965,2059,2016-10-29
JaMychal Green,MEM , PF,285,1738,2027,2016-10-29
Allen Crabbe,POR ," PG,SG",609,1405,2018,2016-10-29
Bismack Biyombo,ORL ," PF,C",1786,176,1966,2016-10-29
Evan Turner,POR ," SG,SF",1745,198,1954,2016-10-29
Kentavious Caldwell-Pope,DET , SG,1703,229,1951,2016-10-29
Al-Farouq Aminu,POR ," SF,PF",1735,159,1901,2016-10-29
Wade Baldwin IV,MEM , PG,476,1411,1888,2016-10-29
Taj Gibson,CHI ," PF,C",238,1640,1885,2016-10-29
Jamal Crawford,LAC ," SG,SF",344,1521,1872,2016-10-29
Seth Curry,DAL ," PG,SG",1662,201,1865,2016-10-29
Tyler Johnson,MIA ," PG,SG",315,1510,1826,2016-10-29
