Name,Team,Position,Dropped,Added,Total,Date
Amir Johnson,BOS ," PF,C",1912,535,2448,2016-11-04
Trevor Booker,BKN , PF,1355,1070,2436,2016-11-04
DeMarre Carroll,TOR ," SF,PF",2211,146,2368,2016-11-04
Ty Lawson,SAC , PG,1309,1029,2349,2016-11-04
Marcus Morris,DET ," SF,PF",90,2232,2335,2016-11-04
Tony Parker,SA , PG,2187,85,2279,2016-11-04
Jeremy Lin,BKN ," PG,SG",2000,57,2082,2016-11-04
Wilson Chandler,DEN ," SG,SF,PF",310,1757,2075,2016-11-04
Tristan Thompson,CLE ," PF,C",151,1830,2011,2016-11-04
Brandon Ingram,LAL ," SG,SF",1755,217,1983,2016-11-04
Ricky Rubio,MIN , PG,1495,449,1966,2016-11-04
Matthew Dellavedova,MIL ," PG,SG",1282,659,1954,2016-11-04
Marcus Smart,BOS , PG,475,1421,1900,2016-11-04
JaMychal Green,MEM , PF,1101,770,1875,2016-11-04
Michael Kidd-Gilchrist,CHA , SF,962,888,1862,2016-11-04
Joe Johnson,UTA ," SG,SF",816,1026,1859,2016-11-04
Alex Len,PHO ," PF,C",629,1219,1855,2016-11-04
Dion Waiters,MIA ," SG,SF",1180,670,1852,2016-11-04
Jonathon Simmons,SA ," SG,SF",1679,129,1808,2016-11-04
Josh Richardson,MIA ," SG,SF",653,1150,1806,2016-11-04
Tim Hardaway Jr.,ATL ," SG,SF",244,1508,1753,2016-11-04
Mirza Teletovic,MIL ," SF,PF",1690,60,1752,2016-11-04
Cody Zeller,CHA ," PF,C",778,962,1747,2016-11-04
Jon Leuer,DET ," PF,C",134,1559,1693,2016-11-04
Enes Kanter,OKC , C,1521,118,1664,2016-11-04
Tony Snell,MIL ," SG,SF",350,1303,1653,2016-11-04
Sergio Rodriguez,PHI , PG,344,1263,1622,2016-11-04
Mike Muscala,ATL ," PF,C",943,664,1611,2016-11-04
Andrew Bogut,DAL , C,1400,199,1609,2016-11-04
Roy Hibbert,CHA , C,1454,141,1598,2016-11-04
Thabo Sefolosha,ATL ," SG,SF",784,728,1514,2016-11-04
Robert Covington,PHI ," SF,PF",1281,207,1499,2016-11-04
Zaza Pachulia,GS , C,515,937,1453,2016-11-04
Allen Crabbe,POR ," PG,SG",1050,375,1429,2016-11-04
Lou Williams,LAL ," PG,SG",167,6657,6829,2016-11-05
Tyson Chandler,PHO , C,167,6087,6258,2016-11-05
Terrence Jones,NO ," SF,PF",304,5936,6242,2016-11-05
J.J. Barea,DAL ," PG,SG",246,4624,4877,2016-11-05
Larry Nance Jr.,LAL , PF,167,4313,4481,2016-11-05
Will Barton,DEN ," SG,SF",3385,431,3823,2016-11-05
Tyler Johnson,MIA ," PG,SG",332,3182,3521,2016-11-05
C.J. Miles,IND ," SG,SF",669,2657,3327,2016-11-05
Jaylen Brown,BOS , SF,446,2813,3263,2016-11-05
Rondae Hollis-Jefferson,BKN ," SG,SF",588,2597,3190,2016-11-05
Sean Kilpatrick,BKN ," PG,SG",737,2306,3051,2016-11-05
Patty Mills,SA , PG,1008,2026,3046,2016-11-05
DeMarre Carroll,TOR ," SF,PF",2771,117,2905,2016-11-05
Trevor Booker,BKN , PF,478,2324,2811,2016-11-05
James Ennis III,MEM ," SG,SF",1335,1378,2715,2016-11-05
Ty Lawson,SAC , PG,1719,872,2602,2016-11-05
Dirk Nowitzki,DAL ," PF,C",2463,90,2576,2016-11-05
Joe Johnson,UTA ," SG,SF",913,1478,2401,2016-11-05
Wilson Chandler,DEN ," SG,SF,PF",204,2114,2322,2016-11-05
Malcolm Brogdon,MIL ," PG,SG",555,1766,2321,2016-11-05
Terrence Ross,TOR ," SG,SF",79,2094,2174,2016-11-05
Mike Muscala,ATL ," PF,C",1417,736,2156,2016-11-05
Jonathon Simmons,SA ," SG,SF",2065,38,2110,2016-11-05
Courtney Lee,NY ," SG,SF",214,1868,2090,2016-11-05
Matt Barnes,SAC ," SG,SF",1807,258,2071,2016-11-05
Dion Waiters,MIA ," SG,SF",1943,58,2006,2016-11-05
Andrew Bogut,DAL , C,1634,268,1917,2016-11-05
Lance Stephenson,NO ," SG,SF",1587,323,1912,2016-11-05
Tyler Zeller,BOS ," PF,C",84,1817,1901,2016-11-05
Michael Kidd-Gilchrist,CHA , SF,671,1172,1859,2016-11-05
Nick Young,LAL ," SG,SF",246,1512,1762,2016-11-05
Marvin Williams,CHA ," SF,PF",1622,118,1754,2016-11-05
Tony Parker,SA , PG,1669,52,1734,2016-11-05
Robert Covington,PHI ," SF,PF",1494,216,1727,2016-11-05
Cody Zeller,CHA ," PF,C",605,1099,1709,2016-11-05
Joakim Noah,NY ," PF,C",295,1341,1649,2016-11-05
Dario Saric,PHI ," SF,PF",1274,366,1648,2016-11-05
Thabo Sefolosha,ATL ," SG,SF",1220,398,1623,2016-11-05
Ersan Ilyasova,PHI ," SF,PF",273,1315,1589,2016-11-05
Allen Crabbe,POR ," PG,SG",1108,473,1586,2016-11-05
Jamal Crawford,LAC ," SG,SF",1350,229,1586,2016-11-05
K. Korver,CLE ," SG,SF",1420,135,1586,2016-11-05
Amir Johnson,BOS ," PF,C",662,888,1552,2016-11-05
Sergio Rodriguez,PHI , PG,547,985,1546,2016-11-05
Gary Harris,DEN ," SG,SF",427,1098,1533,2016-11-05
Danny Green,SA ," SG,SF",494,1022,1524,2016-11-05
Tim Hardaway Jr.,ATL ," SG,SF",1012,502,1518,2016-11-05
Ricky Rubio,MIN , PG,1239,265,1518,2016-11-05
Marcus Smart,BOS , PG,336,1175,1517,2016-11-05
Kent Bazemore,ATL ," SG,SF",1033,400,1446,2016-11-05
C.J. Miles,IND ," SG,SF",385,9392,9779,2016-11-06
Wilson Chandler,DEN ," SG,SF,PF",432,4913,5346,2016-11-06
Ty Lawson,SAC , PG,4199,209,4420,2016-11-06
J.J. Barea,DAL ," PG,SG",442,3823,4274,2016-11-06
Tyler Johnson,MIA ," PG,SG",227,4023,4258,2016-11-06
Lou Williams,LAL ," PG,SG",376,3652,4032,2016-11-06
Jaylen Brown,BOS , SF,2863,941,3805,2016-11-06
Terrence Jones,NO ," SF,PF",311,3366,3681,2016-11-06
Ersan Ilyasova,PHI ," SF,PF",164,3463,3629,2016-11-06
Lance Stephenson,NO ," SG,SF",3496,35,3533,2016-11-06
Will Barton,DEN ," SG,SF",2853,544,3404,2016-11-06
Tyson Chandler,PHO , C,279,3106,3393,2016-11-06
Larry Nance Jr.,LAL , PF,1108,2034,3142,2016-11-06
Joe Johnson,UTA ," SG,SF",2129,796,2943,2016-11-06
Jon Leuer,DET ," PF,C",193,2733,2929,2016-11-06
Trevor Booker,BKN , PF,498,2348,2856,2016-11-06
James Ennis III,MEM ," SG,SF",2384,466,2853,2016-11-06
Rondae Hollis-Jefferson,BKN ," SG,SF",636,2157,2799,2016-11-06
Matt Barnes,SAC ," SG,SF",2304,204,2517,2016-11-06
Sean Kilpatrick,BKN ," PG,SG",499,1946,2453,2016-11-06
Nick Young,LAL ," SG,SF",318,2031,2351,2016-11-06
Michael Kidd-Gilchrist,CHA , SF,510,1784,2307,2016-11-06
Patty Mills,SA , PG,1655,558,2219,2016-11-06
Cody Zeller,CHA ," PF,C",449,1586,2044,2016-11-06
DeMarre Carroll,TOR ," SF,PF",1870,142,2032,2016-11-06
Matthew Dellavedova,MIL ," PG,SG",1430,487,1931,2016-11-06
Mike Muscala,ATL ," PF,C",1526,312,1840,2016-11-06
Allen Crabbe,POR ," PG,SG",1477,332,1823,2016-11-06
Malcolm Brogdon,MIL ," PG,SG",1570,249,1821,2016-11-06
Sergio Rodriguez,PHI , PG,378,1424,1819,2016-11-06
Emmanuel Mudiay,DEN , PG,1049,729,1801,2016-11-06
Dario Saric,PHI ," SF,PF",1600,162,1768,2016-11-06
Tyler Zeller,BOS ," PF,C",481,1266,1748,2016-11-06
Marvin Williams,CHA ," SF,PF",1569,132,1715,2016-11-06
Joakim Noah,NY ," PF,C",779,904,1694,2016-11-06
Jonathon Simmons,SA ," SG,SF",1570,58,1633,2016-11-06
Kenneth Faried,DEN ," PF,C",1319,261,1600,2016-11-06
Kris Dunn,MIN , PG,1419,157,1596,2016-11-06
E'Twaun Moore,NO ," PG,SG",390,1205,1595,2016-11-06
Robert Covington,PHI ," SF,PF",1233,347,1589,2016-11-06
Evan Turner,POR ," SG,SF",1224,323,1555,2016-11-06
Danny Green,SA ," SG,SF",493,1035,1540,2016-11-06
Thabo Sefolosha,ATL ," SG,SF",877,653,1534,2016-11-06
JaMychal Green,MEM , PF,1329,162,1496,2016-11-06
Amir Johnson,BOS ," PF,C",933,552,1486,2016-11-06
Al-Farouq Aminu,POR ," SF,PF",689,772,1467,2016-11-06
Andrew Bogut,DAL , C,956,488,1458,2016-11-06
Brandon Ingram,LAL ," SG,SF",884,546,1445,2016-11-06
Ricky Rubio,MIN , PG,1169,268,1443,2016-11-06
Brandon Knight,PHO ," PG,SG",1161,239,1426,2016-11-06
Nick Young,LAL ," SG,SF",275,15379,15656,2016-11-07
C.J. Miles,IND ," SG,SF",509,8821,9332,2016-11-07
J.J. Barea,DAL ," PG,SG",394,6475,6876,2016-11-07
Jaylen Brown,BOS , SF,6061,182,6249,2016-11-07
Jon Leuer,DET ," PF,C",387,5303,5693,2016-11-07
Terrence Jones,NO ," SF,PF",1274,4094,5372,2016-11-07
Maurice Harkless,POR , SF,187,4837,5024,2016-11-07
Joe Johnson,UTA ," SG,SF",4239,586,4834,2016-11-07
Tyler Johnson,MIA ," PG,SG",652,4090,4751,2016-11-07
Tyson Chandler,PHO , C,374,4275,4668,2016-11-07
Lou Williams,LAL ," PG,SG",453,3994,4456,2016-11-07
Ty Lawson,SAC , PG,3898,308,4215,2016-11-07
Will Barton,DEN ," SG,SF",3085,1054,4141,2016-11-07
Trevor Booker,BKN , PF,418,3580,4010,2016-11-07
Rondae Hollis-Jefferson,BKN ," SG,SF",695,3210,3913,2016-11-07
Sean Kilpatrick,BKN ," PG,SG",436,3300,3744,2016-11-07
Larry Nance Jr.,LAL , PF,3257,368,3627,2016-11-07
Ersan Ilyasova,PHI ," SF,PF",603,2860,3465,2016-11-07
Archie Goodwin,NO ," PG,SG",121,3320,3441,2016-11-07
Matthew Dellavedova,MIL ," PG,SG",3057,269,3347,2016-11-07
Wilson Chandler,DEN ," SG,SF,PF",939,2397,3341,2016-11-07
Michael Kidd-Gilchrist,CHA , SF,923,2312,3247,2016-11-07
DeMarre Carroll,TOR ," SF,PF",2779,252,3045,2016-11-07
James Ennis III,MEM ," SG,SF",2570,390,2964,2016-11-07
Cody Zeller,CHA ," PF,C",658,2112,2774,2016-11-07
Dario Saric,PHI ," SF,PF",2551,183,2741,2016-11-07
Matt Barnes,SAC ," SG,SF",2284,394,2685,2016-11-07
Thabo Sefolosha,ATL ," SG,SF",653,1884,2539,2016-11-07
Malcolm Brogdon,MIL ," PG,SG",2319,135,2454,2016-11-07
Lance Stephenson,NO ," SG,SF",2430,15,2445,2016-11-07
Allen Crabbe,POR ," PG,SG",1996,363,2364,2016-11-07
Domantas Sabonis,OKC , PF,77,2285,2362,2016-11-07
Sergio Rodriguez,PHI , PG,797,1510,2321,2016-11-07
Darren Collison,SAC , PG,357,1935,2299,2016-11-07
Brandon Knight,PHO ," PG,SG",1967,267,2272,2016-11-07
Danny Green,SA ," SG,SF",603,1649,2259,2016-11-07
Patty Mills,SA , PG,1590,600,2198,2016-11-07
Deron Williams,DAL , PG,2046,127,2185,2016-11-07
Amir Johnson,BOS ," PF,C",1985,186,2174,2016-11-07
K. Korver,CLE ," SG,SF",1769,351,2135,2016-11-07
Ish Smith,DET , PG,1258,830,2105,2016-11-07
Ricky Rubio,MIN , PG,1310,753,2070,2016-11-07
Gary Harris,DEN ," SG,SF",406,1627,2037,2016-11-07
Andrew Bogut,DAL , C,812,1184,2000,2016-11-07
E'Twaun Moore,NO ," PG,SG",430,1556,1989,2016-11-07
Mike Muscala,ATL ," PF,C",1419,553,1975,2016-11-07
JaMychal Green,MEM , PF,1763,189,1957,2016-11-07
Evan Turner,POR ," SG,SF",1631,319,1955,2016-11-07
Emmanuel Mudiay,DEN , PG,331,1589,1941,2016-11-07
Brandon Ingram,LAL ," SG,SF",1232,680,1923,2016-11-07
C.J. Miles,IND ," SG,SF",277,8872,9155,2016-11-08
Domantas Sabonis,OKC , PF,174,5538,5713,2016-11-08
Nick Young,LAL ," SG,SF",418,5251,5670,2016-11-08
Jon Leuer,DET ," PF,C",429,4419,4850,2016-11-08
Marquese Chriss,PHO , PF,367,4421,4792,2016-11-08
Terrence Jones,NO ," SF,PF",4107,123,4238,2016-11-08
J.J. Barea,DAL ," PG,SG",171,3694,3876,2016-11-08
Maurice Harkless,POR , SF,211,3431,3645,2016-11-08
Will Barton,DEN ," SG,SF",2321,730,3064,2016-11-08
Joe Johnson,UTA ," SG,SF",2405,455,2870,2016-11-08
Trevor Booker,BKN , PF,249,2576,2836,2016-11-08
Sean Kilpatrick,BKN ," PG,SG",522,2148,2676,2016-11-08
Tyson Chandler,PHO , C,915,1638,2566,2016-11-08
Rondae Hollis-Jefferson,BKN ," SG,SF",472,1858,2336,2016-11-08
Kris Dunn,MIN , PG,2020,251,2282,2016-11-08
Lou Williams,LAL ," PG,SG",314,1881,2212,2016-11-08
Jaylen Brown,BOS , SF,2111,83,2200,2016-11-08
Ty Lawson,SAC , PG,1910,272,2190,2016-11-08
Kent Bazemore,ATL ," SG,SF",166,1996,2181,2016-11-08
Ish Smith,DET , PG,1915,238,2164,2016-11-08
Tyler Johnson,MIA ," PG,SG",941,1152,2101,2016-11-08
Thabo Sefolosha,ATL ," SG,SF",572,1503,2081,2016-11-08
Dario Saric,PHI ," SF,PF",1997,70,2074,2016-11-08
Wilson Chandler,DEN ," SG,SF,PF",960,988,1954,2016-11-08
Cody Zeller,CHA ," PF,C",665,1234,1905,2016-11-08
Al-Farouq Aminu,POR ," SF,PF",1456,439,1904,2016-11-08
Michael Kidd-Gilchrist,CHA , SF,1377,385,1775,2016-11-08
DeMarre Carroll,TOR ," SF,PF",1425,280,1726,2016-11-08
Danny Green,SA ," SG,SF",302,1412,1720,2016-11-08
Deron Williams,DAL , PG,1559,127,1703,2016-11-08
Seth Curry,DAL ," PG,SG",288,1337,1629,2016-11-08
Taj Gibson,CHI ," PF,C",94,1466,1586,2016-11-08
Emmanuel Mudiay,DEN , PG,193,1328,1552,2016-11-08
JaMychal Green,MEM , PF,1419,124,1545,2016-11-08
Justise Winslow,MIA ," SF,PF",1410,115,1540,2016-11-08
Sergio Rodriguez,PHI , PG,880,638,1530,2016-11-08
Andrew Bogut,DAL , C,508,1011,1523,2016-11-08
Spencer Hawes,CHA ," PF,C",75,1421,1496,2016-11-08
Ersan Ilyasova,PHI ," SF,PF",703,780,1486,2016-11-08
Jamal Crawford,LAC ," SG,SF",1188,284,1484,2016-11-08
Tyus Jones,MIN , PG,33,1440,1473,2016-11-08
James Ennis III,MEM ," SG,SF",1082,358,1450,2016-11-08
Allen Crabbe,POR ," PG,SG",1095,327,1434,2016-11-08
E'Twaun Moore,NO ," PG,SG",417,1013,1433,2016-11-08
Darren Collison,SAC , PG,151,1261,1420,2016-11-08
Courtney Lee,NY ," SG,SF",282,1119,1408,2016-11-08
Dirk Nowitzki,DAL ," PF,C",728,634,1389,2016-11-08
K. Korver,CLE ," SG,SF",1114,237,1367,2016-11-08
Matt Barnes,SAC ," SG,SF",1018,336,1361,2016-11-08
Patty Mills,SA , PG,747,608,1358,2016-11-08
Maurice Harkless,POR , SF,363,8927,9291,2016-11-09
Nick Young,LAL ," SG,SF",298,7364,7667,2016-11-09
Seth Curry,DAL ," PG,SG",300,4805,5106,2016-11-09
J.J. Barea,DAL ," PG,SG",837,3557,4409,2016-11-09
Kris Dunn,MIN , PG,3985,95,4092,2016-11-09
Jaylen Brown,BOS , SF,3693,67,3764,2016-11-09
E'Twaun Moore,NO ," PG,SG",333,3387,3722,2016-11-09
Tyus Jones,MIN , PG,96,3489,3585,2016-11-09
C.J. Miles,IND ," SG,SF",292,3271,3571,2016-11-09
Al-Farouq Aminu,POR ," SF,PF",3139,83,3232,2016-11-09
Joe Johnson,UTA ," SG,SF",2673,413,3095,2016-11-09
Trevor Booker,BKN , PF,422,2353,2786,2016-11-09
Jon Leuer,DET ," PF,C",344,2315,2664,2016-11-09
Lou Williams,LAL ," PG,SG",308,2243,2565,2016-11-09
Robert Covington,PHI ," SF,PF",349,2036,2399,2016-11-09
Tyson Chandler,PHO , C,1831,513,2364,2016-11-09
Sean Kilpatrick,BKN ," PG,SG",1452,797,2260,2016-11-09
Ty Lawson,SAC , PG,1988,248,2239,2016-11-09
Danny Green,SA ," SG,SF",278,1890,2175,2016-11-09
Sergio Rodriguez,PHI , PG,1757,363,2145,2016-11-09
Domantas Sabonis,OKC , PF,513,1583,2098,2016-11-09
Will Barton,DEN ," SG,SF",1375,678,2061,2016-11-09
Tyler Johnson,MIA ," PG,SG",457,1531,2002,2016-11-09
Emmanuel Mudiay,DEN , PG,168,1775,1968,2016-11-09
Terrence Jones,NO ," SF,PF",1508,369,1888,2016-11-09
Allen Crabbe,POR ," PG,SG",1675,169,1852,2016-11-09
Rondae Hollis-Jefferson,BKN ," SG,SF",898,944,1845,2016-11-09
Thabo Sefolosha,ATL ," SG,SF",1026,704,1735,2016-11-09
JaMychal Green,MEM , PF,1683,39,1729,2016-11-09
Kent Bazemore,ATL ," SG,SF",279,1423,1714,2016-11-09
DeMarre Carroll,TOR ," SF,PF",1394,281,1687,2016-11-09
Tyler Johnson,MIA ," SF,PF",51,1623,1674,2016-11-09
Deron Williams,DAL , PG,1455,187,1665,2016-11-09
Marquese Chriss,PHO , PF,1055,596,1651,2016-11-09
Andrew Bogut,DAL , C,1090,540,1635,2016-11-09
Matt Barnes,SAC ," SG,SF",857,732,1593,2016-11-09
Luol Deng,LAL ," SF,PF",1364,225,1593,2016-11-09
Cody Zeller,CHA ," PF,C",480,1108,1589,2016-11-09
Nikola Mirotic,CHI ," SF,PF",1376,182,1574,2016-11-09
Arron Afflalo,SAC ," SG,SF",113,1431,1545,2016-11-09
Ish Smith,DET , PG,1308,200,1527,2016-11-09
Wilson Chandler,DEN ," SG,SF,PF",962,559,1526,2016-11-09
Alex Len,PHO ," PF,C",705,798,1508,2016-11-09
Bojan Bogdanovic,BKN ," SG,SF",1150,302,1462,2016-11-09
Taj Gibson,CHI ," PF,C",51,1382,1455,2016-11-09
Dario Saric,PHI ," SF,PF",1066,337,1412,2016-11-09
Matthew Dellavedova,MIL ," PG,SG",877,479,1370,2016-11-09
James Ennis III,MEM ," SG,SF",908,416,1331,2016-11-09
Marvin Williams,CHA ," SF,PF",477,823,1309,2016-11-09
Ersan Ilyasova,PHI ," SF,PF",994,305,1304,2016-11-09
Nick Young,LAL ," SG,SF",704,4236,4951,2016-11-10
Robert Covington,PHI ," SF,PF",141,4659,4811,2016-11-10
Tyus Jones,MIN , PG,153,3716,3869,2016-11-10
C.J. Miles,IND ," SG,SF",308,3286,3606,2016-11-10
Kris Dunn,MIN , PG,3354,73,3443,2016-11-10
Maurice Harkless,POR , SF,560,2836,3398,2016-11-10
Lucas Nogueira,TOR ," PF,C",53,3308,3361,2016-11-10
Jaylen Brown,BOS , SF,3007,26,3040,2016-11-10
Jon Leuer,DET ," PF,C",233,2762,3000,2016-11-10
Danny Green,SA ," SG,SF",184,2711,2905,2016-11-10
Joe Johnson,UTA ," SG,SF",2169,379,2560,2016-11-10
J.J. Barea,DAL ," PG,SG",1255,1135,2406,2016-11-10
E'Twaun Moore,NO ," PG,SG",756,1591,2351,2016-11-10
Seth Curry,DAL ," PG,SG",421,1907,2329,2016-11-10
Alex Len,PHO ," PF,C",234,2068,2309,2016-11-10
Al-Farouq Aminu,POR ," SF,PF",2196,65,2275,2016-11-10
Nikola Mirotic,CHI ," SF,PF",1972,184,2174,2016-11-10
Tyson Chandler,PHO , C,1749,356,2118,2016-11-10
Tyler Johnson,MIA ," PG,SG",512,1508,2043,2016-11-10
Sergio Rodriguez,PHI , PG,1773,239,2040,2016-11-10
Sean Kilpatrick,BKN ," PG,SG",1609,374,2002,2016-11-10
Will Barton,DEN ," SG,SF",1085,885,1976,2016-11-10
Justin Hamilton,BKN ," PF,C",145,1728,1875,2016-11-10
Lou Williams,LAL ," PG,SG",377,1453,1849,2016-11-10
Thabo Sefolosha,ATL ," SG,SF",373,1383,1759,2016-11-10
Trevor Booker,BKN , PF,579,1120,1714,2016-11-10
Wilson Chandler,DEN ," SG,SF,PF",1249,451,1708,2016-11-10
Josh Richardson,MIA ," SG,SF",288,1316,1612,2016-11-10
Terrence Jones,NO ," SF,PF",1056,521,1587,2016-11-10
Andrew Bogut,DAL , C,1377,151,1537,2016-11-10
Tyler Johnson,MIA ," SF,PF",619,861,1480,2016-11-10
Jamal Crawford,LAC ," SG,SF",1283,164,1455,2016-11-10
Al Jefferson,IND ," PF,C",167,1274,1447,2016-11-10
Patty Mills,SA , PG,484,957,1445,2016-11-10
Marvin Williams,CHA ," SF,PF",187,1232,1436,2016-11-10
Michael Kidd-Gilchrist,CHA , SF,593,798,1412,2016-11-10
Cody Zeller,CHA ," PF,C",478,920,1405,2016-11-10
Allen Crabbe,POR ," PG,SG",1182,194,1392,2016-11-10
Rondae Hollis-Jefferson,BKN ," SG,SF",842,535,1388,2016-11-10
Bojan Bogdanovic,BKN ," SG,SF",1201,172,1388,2016-11-10
Matthew Dellavedova,MIL ," PG,SG",807,555,1380,2016-11-10
DeMarre Carroll,TOR ," SF,PF",1031,322,1369,2016-11-10
Ish Smith,DET , PG,994,349,1364,2016-11-10
Luol Deng,LAL ," SF,PF",1136,218,1360,2016-11-10
Otto Porter,WAS , SF,26,1264,1311,2016-11-10
Taj Gibson,CHI ," PF,C",314,951,1305,2016-11-10
Mirza Teletovic,MIL ," SF,PF",684,598,1286,2016-11-10
Marquese Chriss,PHO , PF,1191,92,1285,2016-11-10
Brandon Knight,PHO ," PG,SG",829,414,1279,2016-11-10
Marcus Smart,BOS , PG,228,1024,1268,2016-11-10
Nick Young,LAL ," SG,SF",472,5032,5512,2016-11-11
Josh Richardson,MIA ," SG,SF",197,4286,4484,2016-11-11
Jrue Holiday,NO , PG,150,4251,4409,2016-11-11
Lucas Nogueira,TOR ," PF,C",205,4000,4205,2016-11-11
E'Twaun Moore,NO ," PG,SG",370,2914,3286,2016-11-11
Ricky Rubio,MIN , PG,280,2894,3187,2016-11-11
Al-Farouq Aminu,POR ," SF,PF",2752,82,2839,2016-11-11
Joe Johnson,UTA ," SG,SF",2284,255,2548,2016-11-11
Tyus Jones,MIN , PG,480,2065,2545,2016-11-11
C.J. Miles,IND ," SG,SF",345,2067,2418,2016-11-11
Jon Leuer,DET ," PF,C",676,1632,2311,2016-11-11
Kris Dunn,MIN , PG,2223,55,2291,2016-11-11
Alex Len,PHO ," PF,C",208,2030,2241,2016-11-11
Lou Williams,LAL ," PG,SG",275,1908,2193,2016-11-11
Maurice Harkless,POR , SF,808,1319,2128,2016-11-11
Kelly Olynyk,BOS , C,122,1968,2090,2016-11-11
Michael Kidd-Gilchrist,CHA , SF,1554,366,1936,2016-11-11
Sergio Rodriguez,PHI , PG,1603,239,1859,2016-11-11
Tyler Johnson,MIA ," PG,SG",451,1358,1827,2016-11-11
Thabo Sefolosha,ATL ," SG,SF",255,1558,1820,2016-11-11
Terrence Jones,NO ," SF,PF",714,1089,1807,2016-11-11
Luol Deng,LAL ," SF,PF",1655,78,1738,2016-11-11
Deron Williams,DAL , PG,1513,183,1703,2016-11-11
J.J. Barea,DAL ," PG,SG",636,1040,1690,2016-11-11
Sean Kilpatrick,BKN ," PG,SG",1229,411,1650,2016-11-11
Robert Covington,PHI ," SF,PF",268,1346,1621,2016-11-11
Jaylen Brown,BOS , SF,1569,14,1583,2016-11-11
Justin Hamilton,BKN ," PF,C",147,1376,1525,2016-11-11
Will Barton,DEN ," SG,SF",790,731,1525,2016-11-11
Marcus Smart,BOS , PG,225,1219,1453,2016-11-11
Roy Hibbert,CHA , C,343,1102,1447,2016-11-11
Tyson Chandler,PHO , C,949,455,1419,2016-11-11
Wilson Chandler,DEN ," SG,SF,PF",963,445,1413,2016-11-11
Nikola Mirotic,CHI ," SF,PF",1263,133,1412,2016-11-11
Ish Smith,DET , PG,1020,332,1370,2016-11-11
Matt Barnes,SAC ," SG,SF",1089,259,1350,2016-11-11
Courtney Lee,NY ," SG,SF",725,614,1344,2016-11-11
Trevor Booker,BKN , PF,355,970,1340,2016-11-11
DeMarre Carroll,TOR ," SF,PF",980,315,1301,2016-11-11
Cody Zeller,CHA ," PF,C",603,665,1271,2016-11-11
Patty Mills,SA , PG,632,629,1264,2016-11-11
Domantas Sabonis,OKC , PF,752,472,1226,2016-11-11
Danny Green,SA ," SG,SF",573,642,1222,2016-11-11
James Ennis III,MEM ," SG,SF",291,927,1219,2016-11-11
Elfrid Payton,ORL , PG,860,330,1217,2016-11-11
Tim Frazier,NO ," PG,SG",543,643,1211,2016-11-11
Seth Curry,DAL ," PG,SG",438,769,1208,2016-11-11
Brandon Ingram,LAL ," SG,SF",827,345,1185,2016-11-11
Ty Lawson,SAC , PG,1033,151,1184,2016-11-11
Rondae Hollis-Jefferson,BKN ," SG,SF",593,560,1159,2016-11-11
Lucas Nogueira,TOR ," PF,C",344,9259,9603,2016-11-12
Kelly Olynyk,BOS , C,187,4036,4224,2016-11-12
Maurice Harkless,POR , SF,624,3541,4169,2016-11-12
Nick Young,LAL ," SG,SF",186,3709,3908,2016-11-12
Ricky Rubio,MIN , PG,176,3646,3833,2016-11-12
Al-Farouq Aminu,POR ," SF,PF",3503,64,3577,2016-11-12
Tyus Jones,MIN , PG,2042,1456,3499,2016-11-12
Allen Crabbe,POR ," PG,SG",326,2692,3020,2016-11-12
Joe Johnson,UTA ," SG,SF",2525,107,2642,2016-11-12
Wilson Chandler,DEN ," SG,SF,PF",316,2163,2483,2016-11-12
Kris Dunn,MIN , PG,2340,113,2468,2016-11-12
Alex Len,PHO ," PF,C",255,2135,2397,2016-11-12
C.J. Miles,IND ," SG,SF",1003,1357,2379,2016-11-12
Terrence Jones,NO ," SF,PF",2073,253,2331,2016-11-12
Lou Williams,LAL ," PG,SG",87,2033,2141,2016-11-12
Domantas Sabonis,OKC , PF,344,1745,2089,2016-11-12
Roy Hibbert,CHA , C,388,1654,2046,2016-11-12
Jon Leuer,DET ," PF,C",1606,384,1994,2016-11-12
Tyler Johnson,MIA ," PG,SG",1194,705,1909,2016-11-12
E'Twaun Moore,NO ," PG,SG",998,902,1903,2016-11-12
J.J. Barea,DAL ," PG,SG",601,1183,1797,2016-11-12
Cody Zeller,CHA ," PF,C",572,1215,1789,2016-11-12
DeMarre Carroll,TOR ," SF,PF",1602,173,1784,2016-11-12
Josh Richardson,MIA ," SG,SF",244,1453,1699,2016-11-12
Rondae Hollis-Jefferson,BKN ," SG,SF",512,1163,1679,2016-11-12
Thabo Sefolosha,ATL ," SG,SF",679,998,1678,2016-11-12
Tyson Chandler,PHO , C,993,555,1557,2016-11-12
Bojan Bogdanovic,BKN ," SG,SF",1392,157,1554,2016-11-12
Will Barton,DEN ," SG,SF",674,856,1536,2016-11-12
Sean Kilpatrick,BKN ," PG,SG",961,528,1502,2016-11-12
Deron Williams,DAL , PG,1331,158,1498,2016-11-12
Iman Shumpert,CLE ," SG,SF",119,1362,1483,2016-11-12
Michael Kidd-Gilchrist,CHA , SF,1241,226,1480,2016-11-12
Jaylen Brown,BOS , SF,1447,26,1478,2016-11-12
JaMychal Green,MEM , PF,1421,44,1468,2016-11-12
Elfrid Payton,ORL , PG,1242,202,1463,2016-11-12
Matthew Dellavedova,MIL ," PG,SG",1165,277,1462,2016-11-12
