Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Bradley Beal,22-275,SG,3/29/2016,WAS,@,GSW,L,1,31,6,16,0.375,5,10,0.5,1,6,0.167,4,4,1,0,2,2,4,1,0,3,2,17,8.8,26.5,24.4,13.5,225.5
Klay Thompson,26-050,SG,3/29/2016,GSW,,WAS,W,1,32,7,19,0.368,5,11,0.455,2,8,0.25,0,0,,0,4,4,1,1,1,2,3,16,5.9,26.5,24.3,-13.5,225.5
Markieff Morris,26-209,PF,3/29/2016,WAS,@,GSW,L,1,24,5,12,0.417,2,5,0.4,3,7,0.429,2,2,1,0,8,8,0,0,1,4,3,15,6.5,26.5,22.6,13.5,225.5
Otto Porter,22-300,SF,3/29/2016,WAS,@,GSW,L,1,34,4,9,0.444,4,8,0.5,0,1,0,3,4,0.75,0,6,6,0,2,2,0,2,11,10.3,26.5,26.2,13.5,225.5
Marcin Gortat,32-041,C,3/29/2016,WAS,@,GSW,L,1,26,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,3,7,10,1,0,0,0,2,9,10.1,23,22.5,13.5,225.5
Shaun Livingston,30-200,PG,3/29/2016,GSW,,WAS,W,0,20,4,7,0.571,4,7,0.571,0,0,,0,2,0,1,3,4,2,0,0,1,2,8,5.1,15.5,14.8,-13.5,225.5
J.J. Hickson,27-207,PF,3/29/2016,WAS,@,GSW,L,0,6,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,2,3,5,0,0,0,0,0,9,8.3,15.25,15,13.5,225.5
Leandro Barbosa,33-122,PG,3/29/2016,GSW,,WAS,W,0,22,2,6,0.333,2,5,0.4,0,1,0,2,2,1,1,2,3,3,0,0,1,2,6,4.2,13.75,13.1,-13.5,225.5
Marreese Speights,28-238,C,3/29/2016,GSW,,WAS,W,0,10,3,7,0.429,3,6,0.5,0,1,0,1,3,0.333,0,2,2,1,0,1,1,4,7,1.9,12.5,11.9,-13.5,225.5
Ramon Sessions,29-353,PG,3/29/2016,WAS,@,GSW,L,0,17,0,3,0,0,3,0,0,0,,1,2,0.5,0,4,4,3,1,0,2,1,1,0.4,11.5,10.3,13.5,225.5
Andrew Bogut,31-122,C,3/29/2016,GSW,,WAS,W,1,19,1,2,0.5,1,2,0.5,0,0,,0,0,,2,4,6,2,0,0,3,1,2,1.6,11,9.2,-13.5,225.5
Jared Dudley,30-263,SF,3/29/2016,WAS,@,GSW,L,0,18,2,4,0.5,2,3,0.667,0,1,0,1,1,1,1,1,2,1,1,0,1,1,5,4.3,10.5,9.9,13.5,225.5
Marcus Thornton,28-298,SF,3/29/2016,WAS,@,GSW,L,0,10,0,3,0,0,0,,0,3,0,0,0,,0,3,3,4,0,0,0,1,0,1.2,9.75,9.6,13.5,225.5
Anderson Varejao,33-183,C,3/29/2016,GSW,,WAS,W,0,9,0,3,0,0,3,0,0,0,,3,4,0.75,1,1,2,0,2,0,0,1,3,3.1,9.5,9.4,-13.5,225.5
Nene Hilario,33-198,PF,3/29/2016,WAS,@,GSW,L,0,18,4,8,0.5,4,8,0.5,0,0,,2,6,0.333,0,1,1,0,0,0,5,1,10,-0.7,8.75,6.2,13.5,225.5
Ian Clark,25-022,SG,3/29/2016,GSW,,WAS,W,0,17,1,4,0.25,1,3,0.333,0,1,0,0,0,,0,2,2,0,1,1,0,1,2,1.5,8.5,8.4,-13.5,225.5
Garrett Temple,29-326,SG,3/29/2016,WAS,@,GSW,L,0,18,1,2,0.5,0,1,0,1,1,1,0,0,,0,1,1,2,0,0,0,3,3,2.5,7.75,7.2,13.5,225.5
Kelly Oubre,20-111,#N/A,3/29/2016,WAS,@,GSW,L,0,5,2,3,0.667,2,2,1,0,1,0,2,2,1,0,1,1,0,0,0,0,1,6,4.6,7.25,7.2,13.5,225.5
James Michael McAdoo,23-085,PF,3/29/2016,GSW,,WAS,W,0,5,1,2,0.5,1,2,0.5,0,0,,1,4,0.25,0,0,0,0,0,1,0,1,3,1.1,5,5,-13.5,225.5
Damian Lillard,25-219,PG,2/19/2016,POR,,GSW,W,1,31,18,28,0.643,9,16,0.563,9,12,0.75,6,7,0.857,0,0,0,7,6,0,0,3,51,47.9,78,73.5,8,225.5
Stephen Curry,27-342,PG,2/19/2016,GSW,@,POR,L,1,26,12,23,0.522,5,10,0.5,7,13,0.538,0,0,,2,1,3,5,2,0,3,4,31,22.3,48.25,43.1,-8,225.5
C.J. McCollum,24-153,SG,2/19/2016,POR,,GSW,W,1,32,9,18,0.5,6,14,0.429,3,4,0.75,0,0,,0,4,4,7,2,0,6,2,21,13.3,39,34.3,8,225.5
Draymond Green,25-352,PF,2/19/2016,GSW,@,POR,L,1,31,5,7,0.714,3,5,0.6,2,2,1,2,2,1,1,11,12,8,0,0,9,3,14,10.5,39,31.4,-8,225.5
Klay Thompson,26-011,SG,2/19/2016,GSW,@,POR,L,1,28,8,16,0.5,6,11,0.545,2,5,0.4,5,6,0.833,0,3,3,1,1,0,1,1,23,15.8,30.75,29.1,-8,225.5
Maurice Harkless,22-284,SF,2/19/2016,POR,,GSW,W,0,25,5,6,0.833,4,5,0.8,1,1,1,0,0,,2,6,8,2,1,1,1,2,11,13.3,28,26.6,8,225.5
Gerald Henderson,28-072,SG,2/19/2016,POR,,GSW,W,0,25,4,11,0.364,4,8,0.5,0,3,0,4,6,0.667,0,4,4,2,2,1,1,0,12,9.4,25.5,24.8,8,225.5
Mason Plumlee,25-351,C,2/19/2016,POR,,GSW,W,1,20,5,7,0.714,5,7,0.714,0,0,,2,4,0.5,1,4,5,5,0,0,1,1,12,12.3,25.25,24.5,8,225.5
Allen Crabbe,23-316,SG,2/19/2016,POR,,GSW,W,0,25,3,8,0.375,1,4,0.25,2,4,0.5,1,1,1,0,5,5,2,1,1,0,2,9,8.4,23.25,22,8,225.5
Marreese Speights,28-199,C,2/19/2016,GSW,@,POR,L,0,13,2,8,0.25,2,7,0.286,0,1,0,6,6,1,4,2,6,1,0,0,0,1,10,8.9,19,18.7,-8,225.5
Noah Vonleh,20-179,PF,2/19/2016,POR,,GSW,W,1,22,3,6,0.5,2,4,0.5,1,2,0.5,2,2,1,0,4,4,0,0,0,0,3,9,6,14.5,13.8,8,225.5
Ed Davis,26-259,PF,2/19/2016,POR,,GSW,W,0,16,1,3,0.333,1,3,0.333,0,0,,0,1,0,3,5,8,1,0,0,0,1,2,3.8,13.5,13.1,8,225.5
Harrison Barnes,23-265,SF,2/19/2016,GSW,@,POR,L,1,29,2,4,0.5,2,4,0.5,0,0,,1,1,1,1,2,3,3,0,0,0,0,5,6.4,13.25,13.1,-8,225.5
Andre Iguodala,32-022,SF,2/19/2016,GSW,@,POR,L,0,23,1,6,0.167,1,3,0.333,0,3,0,0,1,0,0,2,2,4,1,1,4,3,2,-2.3,12.5,10.4,-8,225.5
Al-Farouq Aminu,25-151,SF,2/19/2016,POR,,GSW,W,1,25,1,3,0.333,1,3,0.333,0,0,,1,2,0.5,1,5,6,0,0,1,1,3,3,1.6,12,11.2,8,225.5
Kevon Looney,20-013,PF,2/19/2016,GSW,@,POR,L,0,9,1,2,0.5,1,1,1,0,1,0,0,0,,4,4,8,0,0,0,0,0,2,5,12,11.6,-8,225.5
Andrew Bogut,31-083,C,2/19/2016,GSW,@,POR,L,1,14,1,3,0.333,1,3,0.333,0,0,,0,0,,0,3,3,0,0,3,1,3,2,1.1,11.25,10.6,-8,225.5
Ian Clark,24-349,SG,2/19/2016,GSW,@,POR,L,0,8,3,7,0.429,2,5,0.4,1,2,0.5,1,2,0.5,1,0,1,0,0,0,0,1,8,4.2,9.75,9.2,-8,225.5
Leandro Barbosa,33-083,PG,2/19/2016,GSW,@,POR,L,0,20,1,7,0.143,1,5,0.2,0,2,0,3,4,0.75,0,1,1,1,1,0,0,0,5,2.1,9.75,9.7,-8,225.5
Brian Roberts,30-078,PG,2/19/2016,POR,,GSW,W,0,5,3,4,0.75,2,3,0.667,1,1,1,0,0,,0,0,0,0,0,0,0,0,7,5.4,7.5,7,8,225.5
Brandon Rush,30-227,SG,2/19/2016,GSW,@,POR,L,0,18,0,6,0,0,1,0,0,5,0,1,2,0.5,0,2,2,1,1,0,0,0,1,-1.3,7,6.9,-8,225.5
Jason Thompson,29-213,PF,2/19/2016,GSW,@,POR,L,0,6,0,1,0,0,1,0,0,0,,2,4,0.5,1,1,2,0,1,0,0,0,2,2.5,6.5,6.4,-8,225.5
Meyers Leonard,23-357,C,2/19/2016,POR,,GSW,W,0,5,0,0,,0,0,,0,0,,0,0,,1,1,2,2,0,0,3,2,0,-1.4,4,2.4,8,225.5
Chris Kaman,33-297,C,2/19/2016,POR,,GSW,W,0,5,0,2,0,0,0,,0,2,0,0,0,,0,2,2,0,0,0,0,1,0,-1.2,2.5,2.4,8,225.5
Shaun Livingston,30-161,PG,2/19/2016,GSW,@,POR,L,0,15,0,2,0,0,2,0,0,0,,0,0,,0,1,1,1,0,0,2,1,0,-2.8,1.75,0.7,-8,225.5
Pat Connaughton,23-044,SF,2/19/2016,POR,,GSW,W,0,4,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0,0,8,225.5
Rudy Gay,29-236,SF,4/9/2016,SAC,,OKC,W,1,38,9,19,0.474,8,13,0.615,1,6,0.167,5,7,0.714,4,4,8,3,4,2,1,4,24,22.4,50.5,49.1,8.5,225
Kevin Durant,27-193,SF,4/9/2016,OKC,@,SAC,L,1,40,11,29,0.379,7,17,0.412,4,12,0.333,5,6,0.833,2,4,6,8,0,0,5,1,31,17.5,50,45.2,-8.5,225
Darren Collison,28-230,PG,4/9/2016,SAC,,OKC,W,1,37,10,16,0.625,6,10,0.6,4,6,0.667,3,3,1,0,5,5,8,1,0,4,2,27,23.1,47.25,43,8.5,225
Russell Westbrook,27-149,PG,4/9/2016,OKC,@,SAC,L,1,34,7,15,0.467,6,10,0.6,1,5,0.2,9,10,0.9,1,4,5,10,1,0,8,5,24,15.8,45.25,39,-8.5,225
DeMarcus Cousins,25-240,PF,4/9/2016,SAC,,OKC,W,1,32,7,24,0.292,7,21,0.333,0,3,0,1,4,0.25,3,4,7,3,2,1,2,6,15,3.5,33.25,31.9,8.5,225
Seth Curry,25-230,PG,4/9/2016,SAC,,OKC,W,0,33,7,13,0.538,1,3,0.333,6,10,0.6,0,0,,1,1,2,3,0,0,1,2,20,15,29.5,25.9,8.5,225
Serge Ibaka,26-204,PF,4/9/2016,OKC,@,SAC,L,1,29,5,9,0.556,3,4,0.75,2,5,0.4,2,2,1,2,6,8,0,2,0,1,3,14,12.7,28.5,26.6,-8.5,225
Steven Adams,22-264,C,4/9/2016,OKC,@,SAC,L,1,25,2,4,0.5,2,4,0.5,0,0,,2,4,0.5,3,5,8,1,1,1,1,4,6,6.6,21,20.1,-8.5,225
Enes Kanter,23-325,C,4/9/2016,OKC,@,SAC,L,0,20,4,7,0.571,3,6,0.5,1,1,1,2,4,0.5,2,4,6,0,1,0,2,1,11,8.1,20,18.2,-8.5,225
Andre Roberson,24-127,SG,4/9/2016,OKC,@,SAC,L,1,22,3,3,1,3,3,1,0,0,,0,0,,1,3,4,1,1,2,0,3,6,8.6,18.5,18.3,-8.5,225
Quincy Acy,25-186,PF,4/9/2016,SAC,,OKC,W,0,21,3,5,0.6,3,4,0.75,0,1,0,1,2,0.5,3,5,8,0,1,0,1,1,7,7.5,18.5,17.6,8.5,225
Willie Cauley-Stein,22-235,C,4/9/2016,SAC,,OKC,W,1,21,2,2,1,2,2,1,0,0,,0,2,0,3,1,4,2,3,0,0,1,4,9,18,17.8,8.5,225
Kosta Koufos,27-045,C,4/9/2016,SAC,,OKC,W,0,17,4,5,0.8,4,5,0.8,0,0,,0,0,,2,2,4,1,0,1,1,4,8,6.9,16,15.3,8.5,225
Dion Waiters,24-121,SG,4/9/2016,OKC,@,SAC,L,0,23,1,4,0.25,0,2,0,1,2,0.5,1,2,0.5,1,1,2,4,0,1,0,1,4,5.3,15,14.4,-8.5,225
Kyle Singler,27-341,SF,4/9/2016,OKC,@,SAC,L,0,16,3,5,0.6,1,2,0.5,2,3,0.667,0,0,,1,2,3,0,0,1,2,3,8,4.5,13.75,11.6,-8.5,225
Ben McLemore,23-058,SG,4/9/2016,SAC,,OKC,W,0,17,1,3,0.333,0,1,0,1,2,0.5,1,2,0.5,0,1,1,2,0,0,0,1,4,3.2,8.75,8.2,8.5,225
James Anderson,27-015,SG,4/9/2016,SAC,,OKC,W,1,24,2,7,0.286,1,3,0.333,1,4,0.25,0,0,,0,1,1,0,1,0,1,2,5,0.4,8.25,7.2,8.5,225
Anthony Morrow,30-195,SG,4/9/2016,OKC,@,SAC,L,0,6,1,1,1,0,0,,1,1,1,0,0,,0,1,1,0,0,0,0,0,3,3,4.75,4.2,-8.5,225
Randy Foye,32-198,PG,4/9/2016,OKC,@,SAC,L,0,19,2,3,0.667,1,1,1,1,2,0.5,0,0,,0,0,0,0,0,0,2,3,5,0.5,4.5,3,-8.5,225
Cameron Payne,21-245,PG,4/9/2016,OKC,@,SAC,L,0,5,0,1,0,0,0,,0,1,0,0,0,,0,1,1,0,0,0,0,1,0,-0.8,1.25,1.2,-8.5,225
Stephen Curry,27-359,PG,3/7/2016,GSW,,ORL,W,1,37,14,24,0.583,7,11,0.636,7,13,0.538,6,6,1,1,12,13,3,4,0,5,3,41,34,72.25,64.1,-15.5,225
Aaron Gordon,20-173,SF,3/7/2016,ORL,@,GSW,L,1,36,8,15,0.533,8,14,0.571,0,1,0,4,4,1,6,10,16,0,1,1,3,2,20,17.8,44,40.2,15.5,225
Victor Oladipo,23-308,SG,3/7/2016,ORL,@,GSW,L,1,39,8,16,0.5,8,13,0.615,0,3,0,3,3,1,2,7,9,8,1,0,4,3,19,15.9,42.25,39.8,15.5,225
Klay Thompson,26-028,SG,3/7/2016,GSW,,ORL,W,1,36,11,23,0.478,6,12,0.5,5,11,0.455,0,0,,1,5,6,0,1,0,2,4,27,14.9,38,34.2,-15.5,225
Draymond Green,26-003,PF,3/7/2016,GSW,,ORL,W,1,35,0,3,0,0,3,0,0,0,,1,2,0.5,3,6,9,10,2,3,7,2,1,5.7,33.75,29.8,-15.5,225
Andrew Bogut,31-100,C,3/7/2016,GSW,,ORL,W,1,23,2,2,1,2,2,1,0,0,,0,0,,2,8,10,6,3,2,5,6,4,8.4,33,30,-15.5,225
Evan Fournier,23-130,SF,3/7/2016,ORL,@,GSW,L,1,35,6,13,0.462,4,8,0.5,2,5,0.4,6,7,0.857,0,1,1,3,2,0,0,4,20,15.7,30.75,29.7,15.5,225
Brandon Jennings,26-166,PG,3/7/2016,ORL,@,GSW,L,0,25,5,10,0.5,3,3,1,2,7,0.286,8,9,0.889,0,1,1,3,1,0,3,1,20,14.6,27.25,24.7,15.5,225
Elfrid Payton,22-014,PG,3/7/2016,ORL,@,GSW,L,1,23,2,7,0.286,2,7,0.286,0,0,,2,3,0.667,0,2,2,7,3,0,1,2,6,8.2,24.5,23.9,15.5,225
Jason Smith,30-005,PF,3/7/2016,ORL,@,GSW,L,1,23,6,12,0.5,6,12,0.5,0,0,,1,2,0.5,0,2,2,0,2,1,1,3,13,7.7,21,20.4,15.5,225
Shaun Livingston,30-178,PG,3/7/2016,GSW,,ORL,W,0,21,3,6,0.5,3,6,0.5,0,0,,3,4,0.75,0,2,2,2,1,1,2,0,9,7.3,17.5,16.4,-15.5,225
Brandon Rush,30-244,SG,3/7/2016,GSW,,ORL,W,0,20,4,7,0.571,1,2,0.5,3,5,0.6,0,0,,0,1,1,1,0,0,1,2,11,6.9,14.75,12.7,-15.5,225
Harrison Barnes,23-282,SF,3/7/2016,GSW,,ORL,W,1,31,2,8,0.25,2,5,0.4,0,3,0,4,7,0.571,1,1,2,1,1,0,0,1,8,4.3,14,13.9,-15.5,225
Ersan Ilyasova,28-297,PF,3/7/2016,ORL,@,GSW,L,0,15,2,6,0.333,2,5,0.4,0,1,0,3,4,0.75,1,1,2,0,2,0,0,3,7,5,13.5,13.4,15.5,225
Leandro Barbosa,33-100,PG,3/7/2016,GSW,,ORL,W,0,15,4,6,0.667,3,4,0.75,1,2,0.5,0,0,,0,2,2,1,0,0,0,3,9,6.5,13.5,12.9,-15.5,225
Mario Hezonja,21-011,SG,3/7/2016,ORL,@,GSW,L,0,15,1,7,0.143,0,3,0,1,4,0.25,1,2,0.5,0,3,3,1,0,1,3,1,4,-2,10.25,8.1,15.5,225
C.J. Watson,31-325,PG,3/7/2016,ORL,@,GSW,L,0,21,1,2,0.5,1,2,0.5,0,0,,0,0,,0,2,2,2,1,0,0,1,2,3.6,9.5,9.4,15.5,225
Dewayne Dedmon,26-208,C,3/7/2016,ORL,@,GSW,L,0,9,1,2,0.5,1,2,0.5,0,0,,0,0,,0,4,4,0,1,0,0,1,2,2.8,9,8.8,15.5,225
Ian Clark,25-000,SG,3/7/2016,GSW,,ORL,W,0,5,1,1,1,1,1,1,0,0,,0,0,,1,1,2,2,1,0,1,2,2,3.3,9,8.4,-15.5,225
James Michael McAdoo,23-063,PF,3/7/2016,GSW,,ORL,W,0,6,1,2,0.5,1,2,0.5,0,0,,3,6,0.5,1,0,1,0,0,0,0,1,5,3.1,6.25,6.2,-15.5,225
Marreese Speights,28-216,C,3/7/2016,GSW,,ORL,W,0,6,0,2,0,0,1,0,0,1,0,2,2,1,0,0,0,1,0,1,1,1,2,0.6,5,4.5,-15.5,225
Anderson Varejao,33-161,C,3/7/2016,GSW,,ORL,W,0,4,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,2.5,2.4,-15.5,225
Jared Sullinger,24-007,C,3/11/2016,BOS,,HOU,L,1,32,9,18,0.5,8,17,0.471,1,1,1,5,7,0.714,6,6,12,4,4,2,0,2,24,27.6,59,56.4,-4.5,224.5
James Harden,26-198,SG,3/11/2016,HOU,@,BOS,W,1,36,9,19,0.474,8,13,0.615,1,6,0.167,13,15,0.867,0,3,3,4,1,1,6,4,32,19.3,43.25,39.6,4.5,224.5
Isaiah Thomas,27-033,PG,3/11/2016,BOS,,HOU,L,1,38,10,21,0.476,5,12,0.417,5,9,0.556,5,6,0.833,0,2,2,2,1,0,6,3,30,14.7,37.00,31.4,-4.5,224.5
Evan Turner,27-136,SG,3/11/2016,BOS,,HOU,L,0,30,1,6,0.167,1,5,0.2,0,1,0,3,4,0.75,0,7,7,9,5,0,2,1,5,11.8,36.25,34.9,-4.5,224.5
Dwight Howard,30-094,C,3/11/2016,HOU,@,BOS,W,1,35,6,9,0.667,6,9,0.667,0,0,,0,2,0,2,10,12,2,1,1,3,2,12,11,34,30.4,4.5,224.5
Trevor Ariza,30-255,SF,3/11/2016,HOU,@,BOS,W,1,37,4,11,0.364,2,6,0.333,2,5,0.4,0,0,,1,7,8,4,2,0,0,2,10,10.7,31,29.6,4.5,224.5
Michael Beasley,27-062,SF,3/11/2016,HOU,@,BOS,W,0,15,9,19,0.474,9,19,0.474,0,0,,0,0,,5,3,8,0,1,0,1,3,18,11.5,29.5,28.6,4.5,224.5
Patrick Beverley,27-243,PG,3/11/2016,HOU,@,BOS,W,1,39,2,8,0.25,1,2,0.5,1,6,0.167,3,4,0.75,4,8,12,4,1,0,4,3,8,6.6,29.5,26.4,4.5,224.5
Avery Bradley,25-106,SG,3/11/2016,BOS,,HOU,L,1,38,7,17,0.412,6,9,0.667,1,8,0.125,1,2,0.5,1,2,3,2,2,0,2,5,16,7.2,26.25,24.6,-4.5,224.5
Terry Rozier,21-360,PG,3/11/2016,BOS,,HOU,L,0,10,1,3,0.333,0,1,0,1,2,0.5,0,0,,3,4,7,3,0,0,1,0,3,5.7,16.25,14.9,-4.5,224.5
Corey Brewer,30-006,SF,3/11/2016,HOU,@,BOS,W,0,22,4,7,0.571,3,4,0.75,1,3,0.333,1,2,0.5,0,0,0,1,2,0,1,4,10,6.4,15.5,14.5,4.5,224.5
Jae Crowder,25-249,SF,3/11/2016,BOS,,HOU,L,1,21,1,8,0.125,1,2,0.5,0,6,0,2,2,1,1,3,4,1,1,1,1,1,4,1.4,14,13.3,-4.5,224.5
Marcus Smart,22-005,PG,3/11/2016,BOS,,HOU,L,0,29,2,8,0.25,2,4,0.5,0,4,0,3,4,0.75,1,3,4,0,1,0,1,2,7,2.6,13.5,12.8,-4.5,224.5
Tyler Zeller,26-054,C,3/11/2016,BOS,,HOU,L,0,15,2,6,0.333,2,6,0.333,0,0,,3,3,1,0,0,0,2,0,0,1,3,7,2.8,9.5,9,-4.5,224.5
Clint Capela,21-298,PF,3/11/2016,HOU,@,BOS,W,0,10,3,5,0.6,3,5,0.6,0,0,,0,2,0,1,0,1,0,0,1,0,2,6,3.5,9.25,9.2,4.5,224.5
Donatas Motiejunas,25-173,PF,3/11/2016,HOU,@,BOS,W,1,10,1,3,0.333,1,1,1,0,2,0,0,0,,1,3,4,1,0,0,0,0,2,2.6,8.5,8.3,4.5,224.5
Jonas Jerebko,29-009,PF,3/11/2016,BOS,,HOU,L,0,11,1,2,0.5,1,2,0.5,0,0,,0,0,,1,3,4,0,0,0,0,0,2,2.6,7,6.8,-4.5,224.5
K.J. McDaniels,23-031,SF,3/11/2016,HOU,@,BOS,W,0,14,1,4,0.25,1,2,0.5,0,2,0,0,0,,1,1,2,2,0,0,1,1,2,0.6,7,6.4,4.5,224.5
Amir Johnson,28-315,PF,3/11/2016,BOS,,HOU,L,1,14,0,2,0,0,2,0,0,0,,0,0,,1,1,2,1,0,0,0,0,0,0.3,4,3.9,-4.5,224.5
Jason Terry,38-178,PG,3/11/2016,HOU,@,BOS,W,0,21,1,3,0.333,1,1,1,0,2,0,0,0,,0,0,0,1,0,0,1,0,2,0,3,2.5,4.5,224.5
Jordan Mickey,21-246,PF,3/11/2016,BOS,,HOU,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,224.5
Stephen Curry,27-301,PG,1/9/2016,GSW,@,SAC,W,1,38,12,21,0.571,4,7,0.571,8,14,0.571,6,7,0.857,1,5,6,11,1,1,4,3,38,34.1,69.5,61.7,-8.5,224.5
DeMarcus Cousins,25-149,C,1/9/2016,SAC,,GSW,L,1,30,12,27,0.444,10,21,0.476,2,6,0.333,7,9,0.778,1,9,10,1,3,0,2,4,33,21.6,54.5,50.5,8.5,224.5
Draymond Green,25-311,PF,1/9/2016,GSW,@,SAC,W,1,34,8,12,0.667,3,6,0.5,5,6,0.833,4,6,0.667,0,9,9,4,2,2,4,3,25,22.7,50.75,45.8,-8.5,224.5
Rudy Gay,29-145,SF,1/9/2016,SAC,,GSW,L,1,39,9,16,0.563,7,13,0.538,2,3,0.667,3,5,0.6,2,7,9,1,2,1,0,0,23,21.5,42.75,41.3,8.5,224.5
Klay Thompson,25-335,SG,1/9/2016,GSW,@,SAC,W,1,35,7,17,0.412,6,10,0.6,1,7,0.143,0,0,,0,4,4,6,0,1,2,1,15,9.6,30.5,28.8,-8.5,224.5
Darren Collison,28-139,PG,1/9/2016,SAC,,GSW,L,0,31,5,10,0.5,4,8,0.5,1,2,0.5,5,5,1,0,2,2,6,1,0,1,1,16,15.4,29.5,28.4,8.5,224.5
Rajon Rondo,29-321,PG,1/9/2016,SAC,,GSW,L,1,29,2,8,0.25,2,5,0.4,0,3,0,0,0,,1,2,3,12,0,0,4,5,4,2.9,23.75,21.6,8.5,224.5
Andre Iguodala,31-346,SF,1/9/2016,GSW,@,SAC,W,0,29,6,10,0.6,5,6,0.833,1,4,0.25,0,1,0,0,2,2,4,0,1,2,3,13,8.9,23,21.4,-8.5,224.5
Festus Ezeli,26-080,C,1/9/2016,GSW,@,SAC,W,0,16,4,5,0.8,4,5,0.8,0,0,,0,0,,1,5,6,1,1,1,0,4,8,9.1,21,20.7,-8.5,224.5
Andrew Bogut,31-042,C,1/9/2016,GSW,@,SAC,W,1,23,1,5,0.2,1,5,0.2,0,0,,0,0,,6,5,11,3,0,0,0,5,2,4.7,20.25,19.7,-8.5,224.5
Brandon Rush,30-186,SG,1/9/2016,GSW,@,SAC,W,1,19,4,6,0.667,1,1,1,3,5,0.6,0,0,,0,2,2,1,1,1,1,1,11,10,20,17.9,-8.5,224.5
Marco Belinelli,29-290,SG,1/9/2016,SAC,,GSW,L,0,32,5,14,0.357,2,7,0.286,3,7,0.429,0,0,,0,3,3,1,0,0,0,3,13,5.6,19.75,18.1,8.5,224.5
Shaun Livingston,30-120,PG,1/9/2016,GSW,@,SAC,W,0,16,3,3,1,3,3,1,0,0,,0,0,,0,3,3,4,0,1,1,2,6,7.7,17.25,16.6,-8.5,224.5
Harrison Barnes,23-224,SF,1/9/2016,GSW,@,SAC,W,0,24,4,7,0.571,3,6,0.5,1,1,1,1,1,1,1,3,4,1,0,0,2,2,10,6.2,16,14.3,-8.5,224.5
Ben McLemore,22-332,SG,1/9/2016,SAC,,GSW,L,1,27,2,4,0.5,2,2,1,0,2,0,2,3,0.667,0,2,2,4,1,0,2,3,6,4.8,15.5,14.4,8.5,224.5
Quincy Acy,25-095,PF,1/9/2016,SAC,,GSW,L,1,22,3,4,0.75,3,4,0.75,0,0,,3,3,1,1,2,3,0,0,0,0,3,9,7.5,12.75,12.6,8.5,224.5
Willie Cauley-Stein,22-144,C,1/9/2016,SAC,,GSW,L,0,9,4,6,0.667,4,6,0.667,0,0,,2,4,0.5,1,0,1,0,0,0,0,2,10,6.5,11.25,11.2,8.5,224.5
Kosta Koufos,26-319,C,1/9/2016,SAC,,GSW,L,0,12,1,3,0.333,1,3,0.333,0,0,,0,0,,1,0,1,1,1,2,1,1,2,2.7,10.25,9.7,8.5,224.5
Seth Curry,25-139,PG,1/9/2016,SAC,,GSW,L,0,8,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1.5,1.5,8.5,224.5
Ian Clark,24-308,SG,1/9/2016,GSW,@,SAC,W,0,7,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-2.8,0.25,-0.8,-8.5,224.5
James Harden,26-205,SG,3/18/2016,HOU,,MIN,W,1,38,11,20,0.55,8,12,0.667,3,8,0.375,4,4,1,0,5,5,14,3,0,9,2,29,23.9,60.75,53,-9,224
Karl-Anthony Towns,20-124,C,3/18/2016,MIN,@,HOU,L,1,40,13,22,0.591,13,20,0.65,0,2,0,6,7,0.857,4,7,11,1,2,1,1,2,32,27.9,54.25,51.7,9,224
Patrick Beverley,27-250,PG,3/18/2016,HOU,,MIN,W,1,36,6,10,0.6,1,1,1,5,9,0.556,1,2,0.5,2,3,5,10,1,1,3,5,18,19,45.75,40,-9,224
Gorgui Dieng,26-060,C,3/18/2016,MIN,@,HOU,L,1,36,3,11,0.273,3,11,0.273,0,0,,7,8,0.875,3,6,9,5,2,1,1,4,13,13.6,37.25,36.3,9,224
Donatas Motiejunas,25-180,PF,3/18/2016,HOU,,MIN,W,1,26,8,12,0.667,7,10,0.7,1,2,0.5,0,0,,3,6,9,1,1,2,1,3,17,16.6,35.75,34.3,-9,224
Andrew Wiggins,21-024,SG,3/18/2016,MIN,@,HOU,L,1,36,8,12,0.667,7,10,0.7,1,2,0.5,4,4,1,1,1,2,5,3,0,4,1,21,18.9,35.5,32.9,9,224
Zach LaVine,21-008,PG,3/18/2016,MIN,@,HOU,L,1,35,6,15,0.4,3,10,0.3,3,5,0.6,0,0,,1,1,2,3,4,1,0,3,15,13.5,33.5,31.9,9,224
Dwight Howard,30-101,C,3/18/2016,HOU,,MIN,W,1,29,5,7,0.714,5,7,0.714,0,0,,0,2,0,5,6,11,1,1,1,2,3,10,10.8,29.75,26.7,-9,224
