Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Tim Hardaway,23-343,SG,2/22/2016,ATL,,GSW,L,0,26,5,9,0.556,3,4,0.75,2,5,0.4,0,0,,0,2,2,1,1,0,2,4,12,6.4,18.00,15.9,6,226.5
Andre Iguodala,32-025,SF,2/22/2016,GSW,@,ATL,W,0,25,3,12,0.25,3,6,0.5,0,6,0,1,1,1,0,3,3,2,2,0,0,1,7,3.7,17.75,17.6,-6,226.5
Mike Scott,27-221,PF,2/22/2016,ATL,,GSW,L,0,21,0,4,0,0,2,0,0,2,0,0,0,,2,9,11,1,0,0,0,0,0,2,15.25,14.7,6,226.5
Leandro Barbosa,33-086,PG,2/22/2016,GSW,@,ATL,W,0,11,1,3,0.333,0,0,,1,3,0.333,0,0,,1,0,1,2,2,0,0,1,3,5,11.75,11.2,-6,226.5
Thabo Sefolosha,31-296,SF,2/22/2016,ATL,,GSW,L,0,24,2,5,0.4,0,2,0,2,3,0.667,0,0,,0,4,4,0,0,0,2,0,6,2.5,11,8.8,6,226.5
Shaun Livingston,30-164,PG,2/22/2016,GSW,@,ATL,W,0,20,2,2,1,2,2,1,0,0,,0,0,,0,1,1,1,0,2,2,2,4,3,9.75,8.7,-6,226.5
Kent Bazemore,26-236,SF,2/22/2016,ATL,,GSW,L,1,16,1,7,0.143,1,4,0.25,0,3,0,2,2,1,0,2,2,1,0,0,2,0,4,-1.2,7,5.9,6,226.5
Kyle Korver,34-342,SG,2/22/2016,ATL,,GSW,L,1,30,1,4,0.25,1,2,0.5,0,2,0,0,0,,0,1,1,1,1,0,2,1,2,-0.8,5.75,4.7,6,226.5
Marreese Speights,28-202,C,2/22/2016,GSW,@,ATL,W,0,8,1,4,0.25,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,2,1,2,-2.5,2.25,1.2,-6,226.5
Mike Muscala,24-236,C,2/22/2016,ATL,,GSW,L,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,1.25,1.2,6,226.5
Brandon Rush,30-230,SG,2/22/2016,GSW,@,ATL,W,0,6,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,0,-6,226.5
Stephen Curry,28-022,PG,4/5/2016,GSW,,MIN,L,1,43,7,25,0.28,3,11,0.273,4,14,0.286,3,3,1,2,4,6,15,3,0,3,4,21,17.8,59,53.7,-14,226
Andrew Wiggins,21-042,SG,4/5/2016,MIN,@,GSW,W,1,42,11,19,0.579,9,16,0.563,2,3,0.667,8,9,0.889,1,4,5,4,6,0,5,0,32,28.4,54.75,51,14,226
Karl-Anthony Towns,20-142,C,4/5/2016,MIN,@,GSW,W,1,45,8,18,0.444,8,17,0.471,0,1,0,4,8,0.5,2,10,12,4,0,2,2,5,20,13.6,45.5,42.4,14,226
Andrew Bogut,31-129,C,4/5/2016,GSW,,MIN,L,1,32,5,7,0.714,5,7,0.714,0,0,,0,0,,2,13,15,5,1,2,1,5,10,15.3,43.25,40.5,-14,226
Shabazz Muhammad,23-144,SF,4/5/2016,MIN,@,GSW,W,0,39,9,12,0.75,7,8,0.875,2,4,0.5,15,17,0.882,2,4,6,0,0,0,1,0,35,31,43,41.2,14,226
Draymond Green,26-032,PF,4/5/2016,GSW,,MIN,L,1,39,5,11,0.455,5,8,0.625,0,3,0,2,3,0.667,1,5,6,9,3,2,6,6,12,10.4,40,36.7,-14,226
Klay Thompson,26-057,SG,4/5/2016,GSW,,MIN,L,1,40,12,22,0.545,8,11,0.727,4,11,0.364,0,0,,0,3,3,3,0,1,4,4,28,15.5,38.25,34.1,-14,226
Zach LaVine,21-026,PG,4/5/2016,MIN,@,GSW,W,1,40,6,14,0.429,2,7,0.286,4,7,0.571,0,0,,0,4,4,5,4,0,1,1,16,15.9,38,35.3,14,226
Harrison Barnes,23-311,SF,4/5/2016,GSW,,MIN,L,1,35,8,11,0.727,4,6,0.667,4,5,0.8,0,0,,2,3,5,0,0,0,1,2,20,16,27.75,25,-14,226
Gorgui Dieng,26-078,C,4/5/2016,MIN,@,GSW,W,1,19,5,8,0.625,5,8,0.625,0,0,,0,0,,0,5,5,0,1,2,2,1,10,7.9,21.25,20,14,226
Ricky Rubio,25-167,PG,4/5/2016,MIN,@,GSW,W,1,34,1,6,0.167,1,5,0.2,0,1,0,0,0,,0,4,4,9,1,0,4,5,2,0.7,20.5,18.3,14,226
Shaun Livingston,30-207,PG,4/5/2016,GSW,,MIN,L,0,21,6,6,1,6,6,1,0,0,,2,2,1,0,3,3,1,1,0,2,4,14,11.2,20.25,19.1,-14,226
Tyus Jones,19-331,PG,4/5/2016,MIN,@,GSW,W,0,19,3,4,0.75,3,4,0.75,0,0,,1,2,0.5,0,0,0,5,1,0,0,1,7,9.1,16.5,16.5,14,226
Nemanja Bjelica,27-332,PF,4/5/2016,MIN,@,GSW,W,0,21,1,3,0.333,1,3,0.333,0,0,,0,0,,1,2,3,3,1,2,2,1,2,3.7,15.25,14.1,14,226
Andre Iguodala,32-068,SF,4/5/2016,GSW,,MIN,L,0,19,2,4,0.5,2,3,0.667,0,1,0,0,0,,0,1,1,2,0,0,3,2,4,-0.1,6.75,5.2,-14,226
Marreese Speights,28-245,C,4/5/2016,GSW,,MIN,L,0,9,3,5,0.6,3,5,0.6,0,0,,0,0,,1,0,1,0,0,0,2,0,6,2.4,6.25,5.2,-14,226
Leandro Barbosa,33-129,PG,4/5/2016,GSW,,MIN,L,0,13,1,5,0.2,1,4,0.25,0,1,0,0,0,,1,1,2,0,1,0,1,1,2,-0.5,6,5.4,-14,226
Brandon Rush,30-273,SG,4/5/2016,GSW,,MIN,L,0,10,0,1,0,0,1,0,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,3.75,3.6,-14,226
Festus Ezeli,26-167,C,4/5/2016,GSW,,MIN,L,0,5,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,1.25,1.2,-14,226
Tayshaun Prince,36-037,SF,4/5/2016,MIN,@,GSW,W,0,7,0,2,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,1.25,1.2,14,226
James Harden,26-209,SG,3/22/2016,HOU,@,OKC,L,1,40,7,17,0.412,5,9,0.556,2,8,0.25,8,8,1,0,7,7,16,4,0,5,6,24,24.8,64.75,59.4,9,226
Russell Westbrook,27-131,PG,3/22/2016,OKC,,HOU,W,1,37,7,18,0.389,7,11,0.636,0,7,0,7,8,0.875,3,10,13,15,1,0,4,1,21,23,64.25,57.1,-9,226
Dwight Howard,30-105,C,3/22/2016,HOU,@,OKC,L,1,38,7,8,0.875,7,8,0.875,0,0,,2,3,0.667,2,11,13,2,0,1,1,2,16,17.8,38.25,35.6,9,226
