Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames
Paul George,Luol Deng,Lou Williams,Eric Gordon,Rodney McGruder,John Wall,Marvin Williams,Hassan Whiteside,IND,LAL,LAL,HOU,MIA,WAS,CHA,MIA,SF,SF,SG,SG,SG,PG,PF,C,278.728,247.75,37,Dec122016,7
Rudy Gay,DeMar DeRozan,Nicolas Batum,Kyle Lowry,Patrick Beverley,Matthew Dellavedova,Marcin Gortat,Nikola Jokic,SAC,TOR,CHA,TOR,HOU,MIL,WAS,DEN,SF,SG,SG,PG,PG,PG,C,C,279.828,246.25,27,Dec122016,7
Eric Gordon,Bojan Bogdanovic,Kyle Lowry,Patrick Beverley,Matthew Dellavedova,Patrick Patterson,DeMarcus Cousins,Hassan Whiteside,HOU,BKN,TOR,HOU,MIL,TOR,SAC,MIA,SG,SG,PG,PG,PG,PF,PF,C,280.838,245.75,15,Dec122016,7
Nicolas Batum,Jeremy Lamb,Giannis Antetokounmpo,John Wall,Deron Williams,Patrick Patterson,Marcin Gortat,Clint Capela,CHA,CHA,MIL,WAS,DAL,TOR,WAS,HOU,SG,SG,PG,PG,PG,PF,C,C,279.098,243.25,32,Dec122016,7
Rudy Gay,Bradley Beal,Rodney McGruder,Kyle Lowry,Deron Williams,Emmanuel Mudiay,Hassan Whiteside,Marcin Gortat,SAC,WAS,MIA,TOR,DAL,DEN,MIA,WAS,SF,SG,SG,PG,PG,PG,C,C,278.108,242.75,46,Dec122016,7
Markieff Morris,Lou Williams,Bradley Beal,John Wall,Patrick Beverley,Matthew Dellavedova,Brook Lopez,Marcin Gortat,WAS,LAL,WAS,WAS,HOU,MIL,BKN,WAS,SF,SG,SG,PG,PG,PG,C,C,280.658,241.0,17,Dec122016,7
Sean Kilpatrick,Nicolas Batum,Giannis Antetokounmpo,Tyler Johnson,Matthew Dellavedova,Marvin Williams,Hassan Whiteside,Marcin Gortat,BKN,CHA,MIL,MIA,MIL,CHA,MIA,WAS,SG,SG,PG,PG,PG,PF,C,C,278.408,238.5,42,Dec122016,7
Lou Williams,Eric Gordon,Nicolas Batum,Kyle Lowry,Deron Williams,Marvin Williams,Brook Lopez,Marcin Gortat,LAL,HOU,CHA,TOR,DAL,CHA,BKN,WAS,SG,SG,SG,PG,PG,PF,C,C,281.478,232.75,12,Dec122016,7
John Henson,Lou Williams,Sean Kilpatrick,Glenn Robinson III,John Wall,Tyler Johnson,Blake Griffin,Marcin Gortat,MIL,LAL,BKN,IND,WAS,MIA,LAC,WAS,C,SG,SG,SF,PG,PG,PF,C,278.068,231.75,47,Dec122016,7
Rudy Gay,Eric Gordon,Rodney McGruder,John Wall,Kyle Lowry,Patrick Beverley,Brook Lopez,Clint Capela,SAC,HOU,MIA,WAS,TOR,HOU,BKN,HOU,SF,SG,SG,PG,PG,PG,C,C,280.018,230.25,25,Dec122016,7
Lou Williams,Sean Kilpatrick,Nicolas Batum,John Wall,Kyle Lowry,Patrick Beverley,Patrick Patterson,Greg Monroe,LAL,BKN,CHA,WAS,TOR,HOU,TOR,MIL,SG,SG,SG,PG,PG,PG,PF,C,278.178,219.5,45,Dec122016,7
Elfrid Payton,Eric Bledsoe,Karl-Anthony Towns,Andre Roberson,Kristaps Porzingis,Dennis Schroder,Jared Dudley,Dwight Howard,ORL,PHO,MIN,OKC,NY,ATL,PHO,ATL,PG,PG,PF,SG,PF,PG,PF,C,273.708,335.0,45,Dec132016,6
Elfrid Payton,Dwyane Wade,Tony Allen,Eric Bledsoe,Kevin Love,Nikola Mirotic,Paul Millsap,Dennis Schroder,ORL,CHI,MEM,PHO,CLE,CHI,ATL,ATL,PG,SG,SG,PG,PF,SF,PF,PG,281.778,314.75,2,Dec132016,6
Stephen Curry,Troy Williams,Andrew Harrison,Dwyane Wade,Paul Millsap,Kristaps Porzingis,Dennis Schroder,Steven Adams,GS,MEM,MEM,CHI,ATL,NY,ATL,OKC,PG,SF,PG,SG,PF,PF,PG,C,274.868,306.0,28,Dec132016,6
Elfrid Payton,Andrew Harrison,Dwyane Wade,Courtney Lee,Damian Lillard,Kevin Durant,Paul Millsap,Tyson Chandler,ORL,MEM,CHI,NY,POR,GS,ATL,PHO,PG,PG,SG,SG,PG,SF,PF,C,275.088,305.5,26,Dec132016,6
Evan Fournier,Tony Allen,Eric Bledsoe,LeBron James,Paul Millsap,Jared Dudley,Mason Plumlee,Tyson Chandler,ORL,MEM,PHO,CLE,ATL,PHO,POR,PHO,SG,SG,PG,SF,PF,PF,C,C,274.158,297.0,35,Dec132016,6
Elfrid Payton,JaVale McGee,Dwyane Wade,Klay Thompson,Damian Lillard,Eric Bledsoe,Karl-Anthony Towns,Evan Turner,ORL,GS,CHI,GS,POR,PHO,MIN,POR,PG,C,SG,SG,PG,PG,PF,SG,279.338,291.75,3,Dec132016,6
Stephen Curry,Dwyane Wade,Tony Allen,Kevin Durant,Evan Turner,Dennis Schroder,Mason Plumlee,Tyson Chandler,GS,CHI,MEM,GS,POR,ATL,POR,PHO,PG,SG,SG,SF,SG,PG,C,C,274.098,290.25,36,Dec132016,6
Robin Lopez,Carmelo Anthony,Dwyane Wade,Courtney Lee,Eric Bledsoe,Paul Millsap,Kristaps Porzingis,Jared Dudley,CHI,NY,CHI,NY,PHO,ATL,NY,PHO,C,SF,SG,SG,PG,PF,PF,PF,275.098,289.25,25,Dec132016,6
Russell Westbrook,Robin Lopez,Elfrid Payton,Courtney Lee,Evan Turner,Paul Millsap,Dennis Schroder,Mason Plumlee,OKC,CHI,ORL,NY,POR,ATL,ATL,POR,PG,C,PG,SG,SG,PF,PG,C,276.498,289.0,14,Dec132016,6
Dwyane Wade,Jerian Grant,Evan Fournier,Damian Lillard,Eric Bledsoe,Kevin Love,Andre Roberson,Mason Plumlee,CHI,CHI,ORL,POR,PHO,CLE,OKC,POR,SG,PG,SG,PG,PG,PF,SG,C,276.378,287.5,15,Dec132016,6
Stephen Curry,JaVale McGee,Klay Thompson,Eric Bledsoe,Andre Roberson,Paul Millsap,Dennis Schroder,Mason Plumlee,GS,GS,GS,PHO,OKC,ATL,ATL,POR,PG,C,SG,PG,SG,PF,PG,C,278.218,287.25,6,Dec132016,6
Robin Lopez,C.J. McCollum,Dwyane Wade,Damian Lillard,Zach Randolph,Evan Turner,Kristaps Porzingis,Dennis Schroder,CHI,POR,CHI,POR,MEM,POR,NY,ATL,C,PG,SG,PG,PF,SG,PF,PG,274.088,286.75,37,Dec132016,6
Stephen Curry,Elfrid Payton,Tony Allen,Eric Bledsoe,Karl-Anthony Towns,Aaron Gordon,JaMychal Green,Mason Plumlee,GS,ORL,MEM,PHO,MIN,ORL,MEM,POR,PG,PG,SG,PG,PF,SF,PF,C,273.738,284.0,44,Dec132016,6
Troy Williams,Dwyane Wade,Eric Bledsoe,Karl-Anthony Towns,Kevin Love,Devin Booker,Jared Dudley,Jrue Holiday,MEM,CHI,PHO,MIN,CLE,PHO,PHO,NO,SF,SG,PG,PF,PF,SG,PF,PG,274.008,282.75,39,Dec132016,6
Dwyane Wade,Klay Thompson,Karl-Anthony Towns,Nikola Mirotic,Devin Booker,Kristaps Porzingis,Dennis Schroder,Tyson Chandler,CHI,GS,MIN,CHI,PHO,NY,ATL,PHO,SG,SG,PF,SF,SG,PF,PG,C,274.958,281.5,27,Dec132016,6
Elfrid Payton,C.J. McCollum,Klay Thompson,Evan Fournier,Karl-Anthony Towns,Nikola Mirotic,Paul Millsap,Mason Plumlee,ORL,POR,GS,ORL,MIN,CHI,ATL,POR,PG,PG,SG,SG,PF,SF,PF,C,276.748,280.25,12,Dec132016,6
Jerian Grant,Evan Fournier,Eric Bledsoe,Karl-Anthony Towns,Devin Booker,Evan Turner,Paul Millsap,Dennis Schroder,CHI,ORL,PHO,MIN,PHO,POR,ATL,ATL,PG,SG,PG,PF,SG,SG,PF,PG,278.528,279.25,4,Dec132016,6
Elfrid Payton,D.J. Augustin,Dwyane Wade,Evan Fournier,Karl-Anthony Towns,Kevin Durant,Dennis Schroder,Tristan Thompson,ORL,ORL,CHI,ORL,MIN,GS,ATL,CLE,PG,PG,SG,SG,PF,SF,PG,C,273.998,278.25,40,Dec132016,6
JaVale McGee,Andrew Harrison,Evan Fournier,Damian Lillard,Karl-Anthony Towns,Andre Roberson,Paul Millsap,Kristaps Porzingis,GS,MEM,ORL,POR,MIN,OKC,ATL,NY,C,PG,SG,PG,PF,SG,PF,PF,274.018,277.75,38,Dec132016,6
C.J. McCollum,Tony Allen,Karl-Anthony Towns,Andre Roberson,Paul Millsap,Dennis Schroder,Jrue Holiday,Tyson Chandler,POR,MEM,MIN,OKC,ATL,ATL,NO,PHO,PG,SG,PF,SG,PF,PG,PG,C,275.988,277.0,19,Dec132016,6
Stephen Curry,Robin Lopez,Elfrid Payton,Leandro Barbosa,Dwyane Wade,Karl-Anthony Towns,Devin Booker,Paul Millsap,GS,CHI,ORL,PHO,CHI,MIN,PHO,ATL,PG,C,PG,PG,SG,PF,SG,PF,277.348,277.0,8,Dec132016,6
Elfrid Payton,Carmelo Anthony,Dwyane Wade,Tony Allen,Damian Lillard,Kristaps Porzingis,Mason Plumlee,Tristan Thompson,ORL,NY,CHI,MEM,POR,NY,POR,CLE,PG,SF,SG,SG,PG,PF,C,C,275.228,275.75,21,Dec132016,6
Andre Iguodala,Dwyane Wade,Damian Lillard,Karl-Anthony Towns,Paul Millsap,Dennis Schroder,Jared Dudley,Mason Plumlee,GS,CHI,POR,MIN,ATL,ATL,PHO,POR,SF,SG,PG,PF,PF,PG,PF,C,284.368,275.25,1,Dec132016,6
Stephen Curry,JaVale McGee,Dwyane Wade,Courtney Lee,Damian Lillard,Kevin Love,Devin Booker,Dennis Schroder,GS,GS,CHI,NY,POR,CLE,PHO,ATL,PG,C,SG,SG,PG,PF,SG,PG,276.078,274.25,18,Dec132016,6
C.J. McCollum,Dwyane Wade,Courtney Lee,Eric Bledsoe,Karl-Anthony Towns,Aaron Gordon,Dennis Schroder,Steven Adams,POR,CHI,NY,PHO,MIN,ORL,ATL,OKC,PG,SG,SG,PG,PF,SF,PG,C,276.268,272.75,17,Dec132016,6
Deyonta Davis,C.J. McCollum,Damian Lillard,Eric Bledsoe,Kevin Love,Evan Turner,Paul Millsap,Jared Dudley,MEM,POR,POR,PHO,CLE,POR,ATL,PHO,C,PG,PG,PG,PF,SG,PF,PF,275.168,272.75,23,Dec132016,6
P.J. Tucker,D.J. Augustin,Dwyane Wade,Eric Bledsoe,Karl-Anthony Towns,Serge Ibaka,Andre Roberson,Paul Millsap,PHO,ORL,CHI,PHO,MIN,ORL,OKC,ATL,SF,PG,SG,PG,PF,PF,SG,PF,273.628,271.5,47,Dec132016,6
Robin Lopez,Leandro Barbosa,Dwyane Wade,Eric Bledsoe,LeBron James,JaMychal Green,Dennis Schroder,Mason Plumlee,CHI,PHO,CHI,PHO,CLE,MEM,ATL,POR,C,PG,SG,PG,SF,PF,PG,C,274.688,270.75,31,Dec132016,6
Deyonta Davis,Dwyane Wade,Klay Thompson,Courtney Lee,LeBron James,Paul Millsap,Dennis Schroder,Jrue Holiday,MEM,CHI,GS,NY,CLE,ATL,ATL,NO,C,SG,SG,SG,SF,PF,PG,PG,274.208,270.5,34,Dec132016,6
Andrew Harrison,Tony Allen,Damian Lillard,Karl-Anthony Towns,Kevin Love,Evan Turner,JaMychal Green,Dennis Schroder,MEM,MEM,POR,MIN,CLE,POR,MEM,ATL,PG,SG,PG,PF,PF,SG,PF,PG,276.298,267.25,16,Dec132016,6
Carmelo Anthony,Tim Hardaway Jr.,Leandro Barbosa,Courtney Lee,Karl-Anthony Towns,Kevin Love,Paul Millsap,Dennis Schroder,NY,ATL,PHO,NY,MIN,CLE,ATL,ATL,SF,PG,PG,SG,PF,PF,PF,PG,273.888,266.75,41,Dec132016,6
Robin Lopez,Troy Williams,Tim Hardaway Jr.,Dwyane Wade,Klay Thompson,Damian Lillard,Kevin Love,Paul Millsap,CHI,MEM,ATL,CHI,GS,POR,CLE,ATL,C,SF,PG,SG,SG,PG,PF,PF,275.188,263.5,22,Dec132016,6
Carmelo Anthony,Klay Thompson,Tony Allen,Damian Lillard,Eric Bledsoe,Zach Randolph,Dennis Schroder,Jared Dudley,NY,GS,MEM,POR,PHO,MEM,ATL,PHO,SF,SG,SG,PG,PG,PF,PG,PF,274.718,260.0,29,Dec132016,6
Andrew Harrison,C.J. McCollum,Dwyane Wade,Eric Bledsoe,Devin Booker,Paul Millsap,Mason Plumlee,Tristan Thompson,MEM,POR,CHI,PHO,PHO,ATL,POR,CLE,PG,PG,SG,PG,SG,PF,C,C,278.428,256.5,5,Dec132016,6
Elfrid Payton,Klay Thompson,Damian Lillard,Devin Booker,Paul Millsap,JaMychal Green,Dennis Schroder,Tristan Thompson,ORL,GS,POR,PHO,ATL,MEM,ATL,CLE,PG,SG,PG,SG,PF,PF,PG,C,277.188,254.0,9,Dec132016,6
Stephen Curry,Dwyane Wade,Evan Fournier,Damian Lillard,Nikola Mirotic,Evan Turner,Paul Millsap,Tristan Thompson,GS,CHI,ORL,POR,CHI,POR,ATL,CLE,PG,SG,SG,PG,SF,SG,PF,C,276.738,252.75,13,Dec132016,6
JaVale McGee,Carmelo Anthony,C.J. McCollum,Dwyane Wade,Evan Fournier,Paul Millsap,JaMychal Green,Dennis Schroder,GS,NY,POR,CHI,ORL,ATL,MEM,ATL,C,SF,PG,SG,SG,PF,PF,PG,276.848,251.0,11,Dec132016,6
Troy Williams,Tony Allen,Courtney Lee,Damian Lillard,Eric Bledsoe,Karl-Anthony Towns,Paul Millsap,Tristan Thompson,MEM,MEM,NY,POR,PHO,MIN,ATL,CLE,SF,SG,SG,PG,PG,PF,PF,C,277.768,250.25,7,Dec132016,6
Alexis Ajinca,Dwyane Wade,Damian Lillard,Eric Bledsoe,Aaron Gordon,Paul Millsap,JaMychal Green,Jrue Holiday,NO,CHI,POR,PHO,ORL,ATL,MEM,NO,C,SG,PG,PG,SF,PF,PF,PG,274.348,246.0,33,Dec132016,6
Deyonta Davis,Jerian Grant,Tony Allen,Damian Lillard,Kevin Durant,Paul Millsap,Dennis Schroder,Dwight Howard,MEM,CHI,MEM,POR,GS,ATL,ATL,ATL,C,PG,SG,PG,SF,PF,PG,C,272.918,244.75,50,Dec132016,6
D.J. Augustin,Tony Allen,Damian Lillard,Kevin Love,Devin Booker,Paul Millsap,Jrue Holiday,Mason Plumlee,ORL,MEM,POR,CLE,PHO,ATL,NO,POR,PG,SG,PG,PF,SG,PF,PG,C,273.658,242.75,46,Dec132016,6
Carmelo Anthony,Leandro Barbosa,Damian Lillard,Eric Bledsoe,Nikola Mirotic,Paul Millsap,Mason Plumlee,Steven Adams,NY,PHO,POR,PHO,CHI,ATL,POR,OKC,SF,PG,PG,PG,SF,PF,C,C,274.408,241.0,32,Dec132016,6
Carmelo Anthony,Andrew Harrison,Dwyane Wade,Klay Thompson,Jerian Grant,Tony Allen,Karl-Anthony Towns,Paul Millsap,NY,MEM,CHI,GS,CHI,MEM,MIN,ATL,SF,PG,SG,SG,PG,SG,PF,PF,277.068,239.5,10,Dec132016,6
JaVale McGee,Leandro Barbosa,Dwyane Wade,Tony Allen,Damian Lillard,Serge Ibaka,LeBron James,Paul Millsap,GS,PHO,CHI,MEM,POR,ORL,CLE,ATL,C,PG,SG,SG,PG,PF,SF,PF,275.138,239.5,24,Dec132016,6
Russell Westbrook,JaVale McGee,Evan Fournier,Tony Allen,Damian Lillard,Nikola Mirotic,Dennis Schroder,Mason Plumlee,OKC,GS,ORL,MEM,POR,CHI,ATL,POR,PG,C,SG,SG,PG,SF,PG,C,275.418,229.75,20,Dec132016,6
Russell Westbrook,Leandro Barbosa,Klay Thompson,Karl-Anthony Towns,Evan Turner,Dennis Schroder,Jared Dudley,Tristan Thompson,OKC,PHO,GS,MIN,POR,ATL,PHO,CLE,PG,PG,SG,PF,SG,PG,PF,C,273.058,226.25,49,Dec132016,6
Russell Westbrook,Dwyane Wade,Jerian Grant,Ed Davis,Andre Roberson,Paul Millsap,Dennis Schroder,Tristan Thompson,OKC,CHI,CHI,POR,OKC,ATL,ATL,CLE,PG,SG,PG,PF,SG,PF,PG,C,274.708,223.0,30,Dec132016,6
Russell Westbrook,JaVale McGee,Dwyane Wade,Courtney Lee,Buddy Hield,Karl-Anthony Towns,Nikola Mirotic,Paul Millsap,OKC,GS,CHI,NY,NO,MIN,CHI,ATL,PG,C,SG,SG,SG,PF,SF,PF,273.808,221.25,42,Dec132016,6
C.J. McCollum,D.J. Augustin,Dwyane Wade,Tony Allen,Damian Lillard,Karl-Anthony Towns,Nikola Mirotic,Dwight Howard,POR,ORL,CHI,MEM,POR,MIN,CHI,ATL,PG,PG,SG,SG,PG,PF,SF,C,273.798,218.75,43,Dec132016,6
Russell Westbrook,Deyonta Davis,Troy Williams,Dwyane Wade,Tony Allen,Paul Millsap,JaMychal Green,Mason Plumlee,OKC,MEM,MEM,CHI,MEM,ATL,MEM,POR,PG,C,SF,SG,SG,PF,PF,C,273.398,213.5,48,Dec132016,6
John Wall,Blake Griffin,Robert Covington,Marc Gasol,Jonas Valanciunas,Bradley Beal,Bojan Bogdanovic,Austin Rivers,WAS,LAC,PHI,MEM,TOR,WAS,BKN,LAC,PG,PF,SF,C,C,SG,SG,PG,290.808,325.0,26,Dec142016,10
John Wall,Blake Griffin,David Lee,Goran Dragic,Hassan Whiteside,DeAndre Jordan,Kelly Oubre Jr.,Austin Rivers,WAS,LAC,SA,MIA,MIA,LAC,WAS,LAC,PG,PF,PF,PG,C,C,SG,PG,292.758,320.5,12,Dec142016,10
John Wall,Trevor Booker,Robert Covington,Hassan Whiteside,Brook Lopez,Darren Collison,Bradley Beal,J.R. Smith,WAS,BKN,PHI,MIA,BKN,SAC,WAS,CLE,PG,PF,SF,C,C,PG,SG,SG,288.868,307.25,45,Dec142016,10
John Wall,Trevor Booker,Robert Covington,Marc Gasol,Myles Turner,Sergio Rodriguez,Kelly Oubre Jr.,Paul George,WAS,BKN,PHI,MEM,IND,PHI,WAS,IND,PG,PF,SF,C,C,PG,SG,SF,289.238,302.0,40,Dec142016,10
John Wall,Kyle Lowry,David Lee,Robert Covington,Rudy Gobert,DeAndre Jordan,Darren Collison,Wesley Matthews,WAS,TOR,SA,PHI,UTA,LAC,SAC,DAL,PG,PG,PF,SF,C,C,PG,SG,290.928,300.0,23,Dec142016,10
John Wall,Trevor Booker,David Lee,Kawhi Leonard,Marc Gasol,Jonas Valanciunas,Darren Collison,Sean Kilpatrick,WAS,BKN,SA,SA,MEM,TOR,SAC,BKN,PG,PF,PF,SF,C,C,PG,SG,292.868,300.0,10,Dec142016,10
John Wall,Hassan Whiteside,Marc Gasol,Patrick Beverley,Lou Williams,Sean Kilpatrick,Austin Rivers,Omri Casspi,WAS,MIA,MEM,HOU,LAL,BKN,LAC,SAC,PG,C,C,PG,SG,SG,PG,SF,289.088,299.5,43,Dec142016,10
John Wall,Kyle Lowry,Kawhi Leonard,DeAndre Jordan,Myles Turner,J.R. Smith,Kelly Oubre Jr.,Marcus Morris,WAS,TOR,SA,LAC,IND,CLE,WAS,DET,PG,PG,SF,C,C,SG,SG,SF,288.678,292.0,47,Dec142016,10
John Wall,Trevor Booker,Kyle Lowry,Rudy Gobert,Brook Lopez,Lou Williams,Kelly Oubre Jr.,Garrett Temple,WAS,BKN,TOR,UTA,BKN,LAL,WAS,SAC,PG,PF,PG,C,C,SG,SG,PG,292.398,285.25,14,Dec142016,10
John Wall,Kyle Lowry,David Lee,Marc Gasol,Brook Lopez,J.R. Smith,Austin Rivers,Paul George,WAS,TOR,SA,MEM,BKN,CLE,LAC,IND,PG,PG,PF,C,C,SG,PG,SF,301.118,285.25,2,Dec142016,10
John Wall,Trevor Booker,Gordon Hayward,Deron Williams,Marc Gasol,DeAndre Jordan,J.R. Smith,Garrett Temple,WAS,BKN,UTA,DAL,MEM,LAC,CLE,SAC,PG,PF,SF,PG,C,C,SG,PG,293.608,283.0,8,Dec142016,10
John Wall,Trevor Booker,Goran Dragic,Dorian Finney-Smith,Marc Gasol,Rudy Gobert,Wesley Matthews,Austin Rivers,WAS,BKN,MIA,DAL,MEM,UTA,DAL,LAC,PG,PF,PG,SF,C,C,SG,PG,296.278,274.75,4,Dec142016,10
John Wall,Jon Leuer,Deron Williams,Brook Lopez,Jonas Valanciunas,J.R. Smith,Kelly Oubre Jr.,Russell Westbrook,WAS,DET,DAL,BKN,TOR,CLE,WAS,OKC,PG,PF,PG,C,C,SG,SG,PG,289.828,274.75,34,Dec142016,10
John Wall,Trevor Booker,Kyle Lowry,David Lee,Andre Drummond,Myles Turner,Patrick Beverley,Bojan Bogdanovic,WAS,BKN,TOR,SA,DET,IND,HOU,BKN,PG,PF,PG,PF,C,C,PG,SG,290.428,273.5,29,Dec142016,10
John Wall,Blake Griffin,David Lee,Deron Williams,Rudy Gobert,Brook Lopez,Sean Kilpatrick,Omri Casspi,WAS,LAC,SA,DAL,UTA,BKN,BKN,SAC,PG,PF,PF,PG,C,C,SG,SF,293.348,273.0,9,Dec142016,10
John Wall,Blake Griffin,Brook Lopez,DeAndre Jordan,Lou Williams,Sergio Rodriguez,J.R. Smith,Bojan Bogdanovic,WAS,LAC,BKN,LAC,LAL,PHI,CLE,BKN,PG,PF,C,C,SG,PG,SG,SG,290.858,271.75,25,Dec142016,10
John Wall,Jon Leuer,Goran Dragic,Robert Covington,Marc Gasol,Joel Embiid,Lou Williams,J.R. Smith,WAS,DET,MIA,PHI,MEM,PHI,LAL,CLE,PG,PF,PG,SF,C,C,SG,SG,292.118,270.75,16,Dec142016,10
John Wall,Kyle Lowry,Jeff Teague,Marc Gasol,Rudy Gobert,DeAndre Liggins,Bojan Bogdanovic,Omri Casspi,WAS,TOR,IND,MEM,UTA,CLE,BKN,SAC,PG,PG,PG,C,C,SG,SG,SF,288.588,268.0,49,Dec142016,10
John Wall,Andre Drummond,Rudy Gobert,Bradley Beal,Kelly Oubre Jr.,Andrew Harrison,Austin Rivers,Paul George,WAS,DET,UTA,WAS,WAS,MEM,LAC,IND,PG,C,C,SG,SG,PG,PG,SF,290.378,265.75,31,Dec142016,10
John Wall,Blake Griffin,Marc Gasol,Rudy Gobert,Patrick Beverley,Darren Collison,J.R. Smith,Kelly Oubre Jr.,WAS,LAC,MEM,UTA,HOU,SAC,CLE,WAS,PG,PF,C,C,PG,PG,SG,SG,302.768,265.0,1,Dec142016,10
John Wall,Blake Griffin,Dorian Finney-Smith,Hassan Whiteside,Sean Kilpatrick,J.R. Smith,Andrew Harrison,Paul George,WAS,LAC,DAL,MIA,BKN,CLE,MEM,IND,PG,PF,SF,C,SG,SG,PG,SF,290.178,261.0,33,Dec142016,10
John Wall,Rudy Gobert,Al Horford,Lou Williams,J.R. Smith,Austin Rivers,Chris Paul,Marcus Morris,WAS,UTA,BOS,LAL,CLE,LAC,LAC,DET,PG,C,C,SG,SG,PG,PG,SF,289.228,261.0,41,Dec142016,10
John Wall,Blake Griffin,Kyle Lowry,Rudy Gobert,Myles Turner,Jamal Crawford,Glenn Robinson III,Austin Rivers,WAS,LAC,TOR,UTA,IND,LAC,IND,LAC,PG,PF,PG,C,C,SG,SG,PG,292.688,258.0,13,Dec142016,10
Blake Griffin,Kawhi Leonard,Deron Williams,Marc Gasol,Myles Turner,Lou Williams,J.R. Smith,Austin Rivers,LAC,SA,DAL,MEM,IND,LAL,CLE,LAC,PF,SF,PG,C,C,SG,SG,PG,291.118,256.75,22,Dec142016,10
John Wall,Dorian Finney-Smith,Deron Williams,Marc Gasol,Joel Embiid,Patrick Beverley,DeAndre Liggins,Paul George,WAS,DAL,DAL,MEM,PHI,HOU,CLE,IND,PG,SF,PG,C,C,PG,SG,SF,288.758,255.75,46,Dec142016,10
Blake Griffin,Trevor Booker,Kyle Lowry,David Lee,Jeff Teague,Deron Williams,Marc Gasol,Kelly Oubre Jr.,LAC,BKN,TOR,SA,IND,DAL,MEM,WAS,PF,PF,PG,PF,PG,PG,C,SG,289.468,255.0,37,Dec142016,10
John Wall,Blake Griffin,David Lee,Dorian Finney-Smith,Andre Drummond,Marc Gasol,Lou Williams,Garrett Temple,WAS,LAC,SA,DAL,DET,MEM,LAL,SAC,PG,PF,PF,SF,C,C,SG,PG,297.408,254.5,3,Dec142016,10
Blake Griffin,David Lee,Goran Dragic,Robert Covington,Marc Gasol,Brook Lopez,Patrick Beverley,Wesley Matthews,LAC,SA,MIA,PHI,MEM,BKN,HOU,DAL,PF,PF,PG,SF,C,C,PG,SG,289.528,254.0,36,Dec142016,10
John Wall,Jeff Teague,Joel Embiid,Rudy Gobert,Wesley Matthews,J.R. Smith,Garrett Temple,Paul George,WAS,IND,PHI,UTA,DAL,CLE,SAC,IND,PG,PG,C,C,SG,SG,PG,SF,291.978,252.5,18,Dec142016,10
John Wall,Blake Griffin,David Lee,Gordon Hayward,Myles Turner,Jonas Valanciunas,Wesley Matthews,J.R. Smith,WAS,LAC,SA,UTA,IND,TOR,DAL,CLE,PG,PF,PF,SF,C,C,SG,SG,294.188,251.0,7,Dec142016,10
John Wall,Blake Griffin,Trevor Booker,Jon Leuer,Marc Gasol,Brook Lopez,Glenn Robinson III,Andrew Harrison,WAS,LAC,BKN,DET,MEM,BKN,IND,MEM,PG,PF,PF,PF,C,C,SG,PG,292.078,250.5,17,Dec142016,10
John Wall,Jeff Teague,Andre Drummond,Marc Gasol,Sean Kilpatrick,Sergio Rodriguez,J.R. Smith,Marcus Morris,WAS,IND,DET,MEM,BKN,PHI,CLE,DET,PG,PG,C,C,SG,PG,SG,SF,290.638,248.5,27,Dec142016,10
John Wall,Blake Griffin,Trevor Booker,Andre Drummond,Joel Embiid,J.R. Smith,Austin Rivers,Omri Casspi,WAS,LAC,BKN,DET,PHI,CLE,LAC,SAC,PG,PF,PF,C,C,SG,PG,SF,295.168,248.25,5,Dec142016,10
John Wall,David Lee,Gordon Hayward,Jae Crowder,Marc Gasol,Rudy Gobert,Jamal Crawford,Sergio Rodriguez,WAS,SA,UTA,BOS,MEM,UTA,LAC,PHI,PG,PF,SF,SF,C,C,SG,PG,290.908,247.75,24,Dec142016,10
John Wall,David Lee,Goran Dragic,Kawhi Leonard,Andre Drummond,Rudy Gobert,J.R. Smith,Glenn Robinson III,WAS,SA,MIA,SA,DET,UTA,CLE,IND,PG,PF,PG,SF,C,C,SG,SG,295.118,245.5,6,Dec142016,10
John Wall,David Lee,Marc Gasol,Joel Embiid,Wesley Matthews,Kelly Oubre Jr.,Andrew Harrison,Chris Paul,WAS,SA,MEM,PHI,DAL,WAS,MEM,LAC,PG,PF,C,C,SG,SG,PG,PG,291.808,242.75,19,Dec142016,10
David Lee,Deron Williams,Marc Gasol,Rudy Gobert,Wesley Matthews,J.R. Smith,Bojan Bogdanovic,Russell Westbrook,SA,DAL,MEM,UTA,DAL,CLE,BKN,OKC,PF,PG,C,C,SG,SG,SG,PG,291.328,242.5,21,Dec142016,10
Blake Griffin,Kyle Lowry,Goran Dragic,Marc Gasol,Jonas Valanciunas,Sean Kilpatrick,J.R. Smith,Glenn Robinson III,LAC,TOR,MIA,MEM,TOR,BKN,CLE,IND,PF,PG,PG,C,C,SG,SG,SG,290.208,242.0,32,Dec142016,10
Goran Dragic,Andre Drummond,Marc Gasol,Patrick Beverley,Bradley Beal,J.R. Smith,Garrett Temple,Paul George,MIA,DET,MEM,HOU,WAS,CLE,SAC,IND,PG,C,C,PG,SG,SG,PG,SF,288.598,239.0,48,Dec142016,10
