Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames
Wesley Matthews,Troy Daniels,Wayne Ellington,Giannis Antetokounmpo,Andrew Harrison,Hassan Whiteside,Kevin Durant,Rudy Gobert,DAL,MEM,MIA,MIL,MEM,MIA,GS,UTA,SG,SG,SG,PG,PG,C,SF,C,280.698,274.5,3,Dec12016,6
Salah Mejri,Wesley Matthews,Nicolas Batum,Tyler Johnson,JaMychal Green,Marc Gasol,Kevin Durant,LeBron James,DAL,DAL,CHA,MIA,MEM,MEM,GS,CLE,C,SG,SG,PG,PF,C,SF,SF,274.828,273.5,26,Dec12016,6
Evan Fournier,Troy Daniels,Giannis Antetokounmpo,Deron Williams,JaMychal Green,Marc Gasol,Rudy Gobert,LeBron James,ORL,MEM,MIL,DAL,MEM,MEM,UTA,CLE,SG,SG,PG,PG,PF,C,C,SF,276.998,272.25,13,Dec12016,6
Wesley Matthews,Bojan Bogdanovic,Giannis Antetokounmpo,Sean Kilpatrick,Dante Exum,Marc Gasol,Kevin Durant,Tristan Thompson,DAL,BKN,MIL,BKN,UTA,MEM,GS,CLE,SG,SG,PG,PG,PG,C,SF,C,272.918,268.75,46,Dec12016,6
Harrison Barnes,Salah Mejri,Gordon Hayward,Evan Fournier,Wesley Matthews,Giannis Antetokounmpo,Tyler Johnson,Hassan Whiteside,DAL,DAL,UTA,ORL,DAL,MIL,MIA,MIA,SF,C,SF,SG,SG,PG,PG,C,274.178,268.5,32,Dec12016,6
Harrison Barnes,Jabari Parker,Bojan Bogdanovic,Giannis Antetokounmpo,Goran Dragic,Andrew Harrison,DeAndre Jordan,Rudy Gobert,DAL,MIL,BKN,MIL,MIA,MEM,LAC,UTA,SF,SF,SG,PG,PG,PG,C,C,274.648,267.0,27,Dec12016,6
Gordon Hayward,James Johnson,Wesley Matthews,Stephen Curry,Sean Kilpatrick,Matthew Dellavedova,Hassan Whiteside,Nikola Vucevic,UTA,MIA,DAL,GS,BKN,MIL,MIA,ORL,SF,SF,SG,PG,PG,PG,C,C,273.858,267.0,36,Dec12016,6
Michael Beasley,Wayne Ellington,Giannis Antetokounmpo,Stephen Curry,Tyler Johnson,Trevor Booker,Marc Gasol,Rudy Gobert,MIL,MIA,MIL,GS,MIA,BKN,MEM,UTA,SF,SG,PG,PG,PG,PF,C,C,277.288,262.5,12,Dec12016,6
Serge Ibaka,Gordon Hayward,Sean Kilpatrick,Goran Dragic,Andrew Harrison,JaMychal Green,Rudy Gobert,LeBron James,ORL,UTA,BKN,MIA,MEM,MEM,UTA,CLE,PF,SF,PG,PG,PG,PF,C,SF,274.978,261.25,24,Dec12016,6
Kevin Love,Gordon Hayward,Evan Fournier,Wesley Matthews,Stephen Curry,Andrew Harrison,Deron Williams,Rudy Gobert,CLE,UTA,ORL,DAL,GS,MEM,DAL,UTA,PF,SF,SG,SG,PG,PG,PG,C,277.898,258.0,8,Dec12016,6
Evan Fournier,Giannis Antetokounmpo,Sean Kilpatrick,Dante Exum,Trevor Booker,Nikola Vucevic,John Henson,LeBron James,ORL,MIL,BKN,UTA,BKN,ORL,MIL,CLE,SG,PG,PG,PG,PF,C,C,SF,272.568,258.0,49,Dec12016,6
Serge Ibaka,Jabari Parker,Tony Allen,Giannis Antetokounmpo,Stephen Curry,Andrew Harrison,Trevor Booker,Cody Zeller,ORL,MIL,MEM,MIL,GS,MEM,BKN,CHA,PF,SF,SG,PG,PG,PG,PF,C,272.728,257.75,47,Dec12016,6
Salah Mejri,Klay Thompson,James Johnson,Giannis Antetokounmpo,Andrew Harrison,Trevor Booker,Rudy Gobert,LeBron James,DAL,GS,MIA,MIL,MEM,BKN,UTA,CLE,C,SG,SF,PG,PG,PF,C,SF,276.668,256.5,16,Dec12016,6
James Johnson,Giannis Antetokounmpo,Sean Kilpatrick,Tyler Johnson,Trevor Booker,JaMychal Green,Hassan Whiteside,DeAndre Jordan,MIA,MIL,BKN,MIA,BKN,MEM,MIA,LAC,SF,PG,PG,PG,PF,PF,C,C,274.828,256.5,25,Dec12016,6
Kevin Love,Gordon Hayward,Andre Iguodala,Troy Daniels,Giannis Antetokounmpo,Sean Kilpatrick,Trevor Booker,Rudy Gobert,CLE,UTA,GS,MEM,MIL,BKN,BKN,UTA,PF,SF,SF,SG,PG,PG,PF,C,275.568,256.25,22,Dec12016,6
Jabari Parker,Andre Iguodala,Klay Thompson,Wesley Matthews,Giannis Antetokounmpo,Deron Williams,Hassan Whiteside,Marc Gasol,MIL,GS,GS,DAL,MIL,DAL,MIA,MEM,SF,SF,SG,SG,PG,PG,C,C,275.798,256.25,20,Dec12016,6
Salah Mejri,Jabari Parker,Wesley Matthews,Giannis Antetokounmpo,Stephen Curry,Sean Kilpatrick,JaMychal Green,Rudy Gobert,DAL,MIL,DAL,MIL,GS,BKN,MEM,UTA,C,SF,SG,PG,PG,PG,PF,C,282.618,254.75,2,Dec12016,6
Harrison Barnes,Jabari Parker,Gordon Hayward,Wesley Matthews,Kemba Walker,Matthew Dellavedova,Marc Gasol,Rudy Gobert,DAL,MIL,UTA,DAL,CHA,MIL,MEM,UTA,SF,SF,SF,SG,PG,PG,C,C,273.728,254.25,39,Dec12016,6
Trevor Ariza,Evan Fournier,Michael Beasley,Giannis Antetokounmpo,Sean Kilpatrick,Andrew Harrison,Hassan Whiteside,Marc Gasol,HOU,ORL,MIL,MIL,BKN,MEM,MIA,MEM,SF,SG,SF,PG,PG,PG,C,C,273.058,253.75,45,Dec12016,6
Jabari Parker,Evan Fournier,Stephen Curry,Deron Williams,Trevor Booker,JaMychal Green,Hassan Whiteside,Nikola Vucevic,MIL,ORL,GS,DAL,BKN,MEM,MIA,ORL,SF,SG,PG,PG,PF,PF,C,C,276.118,253.25,18,Dec12016,6
Jabari Parker,Wesley Matthews,Nicolas Batum,Giannis Antetokounmpo,Andrew Harrison,Tristan Thompson,John Henson,LeBron James,MIL,DAL,CHA,MIL,MEM,CLE,MIL,CLE,SF,SG,SG,PG,PG,C,C,SF,274.128,251.5,34,Dec12016,6
Wesley Matthews,Tony Snell,Kemba Walker,Trevor Booker,JaMychal Green,Brook Lopez,Kevin Durant,Rudy Gobert,DAL,MIL,CHA,BKN,MEM,BKN,GS,UTA,SG,SG,PG,PF,PF,C,SF,C,274.098,250.75,35,Dec12016,6
Wesley Matthews,Wayne Ellington,Stephen Curry,Sean Kilpatrick,Andrew Harrison,Marc Gasol,DeAndre Jordan,LeBron James,DAL,MIA,GS,BKN,MEM,MEM,LAC,CLE,SG,SG,PG,PG,PG,C,C,SF,277.518,249.0,9,Dec12016,6
Klay Thompson,Wesley Matthews,Wayne Ellington,Giannis Antetokounmpo,Goran Dragic,JaMychal Green,Clint Capela,LeBron James,GS,DAL,MIA,MIL,MIA,MEM,HOU,CLE,SG,SG,SG,PG,PG,PF,C,SF,272.638,242.25,48,Dec12016,6
