Player,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Kenneth Faried,PF,11/11/2015,DEN,,MIL,W,1,33,8,9,0.889,8,9,0.889,0,0,,3,6,0.5,5,4,9,1,2,3,2,0,19,22.2,40.75,39.3,-3.5,195
Carmelo Anthony,SF,11/11/2015,NYK,@,CHO,L,1,35,12,25,0.48,9,19,0.474,3,6,0.5,2,4,0.5,1,5,6,4,0,0,3,2,29,16.7,42.5,39.2,6.5,200.5
Paul George,SF,11/11/2015,IND,@,BOS,W,1,37,10,22,0.455,8,17,0.471,2,5,0.4,4,5,0.8,1,9,10,3,1,0,6,4,26,13.1,43,38.5,3.5,202.5
Marcus Morris,SF,11/11/2015,DET,@,SAC,L,1,36,5,15,0.333,4,11,0.364,1,4,0.25,5,6,0.833,2,7,9,3,5,0,3,1,16,14.3,40.75,38.3,-1.5,205.5
Ish Smith,PG,11/11/2015,NOP,@,ATL,L,1,39,8,17,0.471,6,13,0.462,2,4,0.5,0,0,,0,5,5,10,1,0,3,0,18,15.8,40.75,38,13,208.5
Wesley Matthews,SG,11/11/2015,DAL,,LAC,W,1,33,9,13,0.692,6,9,0.667,3,4,0.75,4,4,1,0,6,6,3,1,0,1,3,25,22.2,40,37.7,6.5,211
Emmanuel Mudiay,PG,11/11/2015,DEN,,MIL,W,1,35,5,16,0.313,4,10,0.4,1,6,0.167,5,8,0.625,1,2,3,11,1,0,1,1,16,14.2,38.25,37.1,-3.5,195
Rudy Gay,SF,11/11/2015,SAC,,DET,W,1,39,10,14,0.714,9,12,0.75,1,2,0.5,4,5,0.8,0,6,6,3,1,0,2,2,25,20.9,38.5,36.7,1.5,205.5
Bojan Bogdanovic,SF,11/11/2015,BRK,@,HOU,W,0,34,10,20,0.5,8,15,0.533,2,5,0.4,0,0,,3,6,9,3,0,0,1,0,22,17,38.25,36.3,11.5,208
Blake Griffin,PF,11/11/2015,LAC,@,DAL,L,1,34,8,19,0.421,8,19,0.421,0,0,,5,7,0.714,5,4,9,3,1,0,2,3,21,14.7,37.75,36.3,-6.5,211
Eric Gordon,SG,11/11/2015,NOP,@,ATL,L,1,32,10,20,0.5,6,14,0.429,4,6,0.667,2,3,0.667,0,3,3,3,2,0,2,4,26,17,39.25,36.1,13,208.5
Harrison Barnes,SF,11/11/2015,GSW,@,MEM,W,1,32,7,11,0.636,6,10,0.6,1,1,1,4,5,0.8,1,3,4,3,3,1,2,5,19,17.1,36,34.3,-7,200
Jeff Teague,PG,11/11/2015,ATL,,NOP,W,1,30,6,16,0.375,5,14,0.357,1,2,0.5,1,2,0.5,0,0,0,10,2,1,1,4,14,11.9,35,34,-13,208.5
Danilo Gallinari,SF,11/11/2015,DEN,,MIL,W,1,38,7,17,0.412,3,9,0.333,4,8,0.5,7,7,1,3,4,7,1,1,0,3,0,25,17.9,37.75,33.9,-3.5,195
Kawhi Leonard,SF,11/11/2015,SAS,@,POR,W,1,35,7,14,0.5,6,9,0.667,1,5,0.2,5,5,1,0,7,7,3,1,0,1,3,20,16,35.25,33.9,-6.5,205
Andre Drummond,C,11/11/2015,DET,@,SAC,L,1,35,7,13,0.538,7,13,0.538,0,0,,0,2,0,9,8,17,0,2,0,5,5,14,10.6,36.75,33.4,-1.5,205.5
Greg Monroe,PF,11/11/2015,MIL,@,DEN,L,1,33,9,13,0.692,9,13,0.692,0,0,,0,0,,2,8,10,2,1,0,2,2,18,15.9,34.5,33,3.5,195
Evan Turner,SG,11/11/2015,BOS,,IND,L,1,33,9,13,0.692,9,13,0.692,0,0,,2,2,1,0,3,3,3,1,2,2,2,20,17.1,33.25,32.1,-3.5,202.5
Mason Plumlee,C,11/11/2015,POR,,SAS,L,1,30,3,7,0.429,3,7,0.429,0,0,,3,6,0.5,4,5,9,4,2,1,0,2,9,13.1,32.25,31.8,6.5,205
Nicolas Batum,SF,11/11/2015,CHO,,NYK,W,1,36,10,18,0.556,8,13,0.615,2,5,0.4,2,5,0.4,1,4,5,1,1,0,2,0,24,15.8,33.75,31.5,-6.5,200.5
Jerami Grant,SF,11/11/2015,PHI,,TOR,L,1,32,5,10,0.5,5,9,0.556,0,1,0,2,4,0.5,5,5,10,1,1,2,0,3,12,13.1,32,31.5,9.5,196
Luis Scola,PF,11/11/2015,TOR,@,PHI,W,1,19,10,15,0.667,9,13,0.692,1,2,0.5,0,0,,2,3,5,1,1,1,1,4,21,16.6,32.75,31.5,-9.5,196
Jerryd Bayless,PG,11/11/2015,MIL,@,DEN,L,0,28,7,10,0.7,4,7,0.571,3,3,1,5,6,0.833,1,1,2,4,2,0,3,4,22,18.6,34.5,31.4,3.5,195
LaMarcus Aldridge,PF,11/11/2015,SAS,@,POR,W,1,35,9,18,0.5,9,17,0.529,0,1,0,5,6,0.833,2,4,6,2,0,1,4,3,23,13.1,33.5,31.2,-6.5,205
Evan Fournier,SG,11/11/2015,ORL,,LAL,W,1,42,6,16,0.375,4,10,0.4,2,6,0.333,2,3,0.667,1,4,5,6,1,0,2,4,16,10.3,33.25,31,-8,201
Greivis Vasquez,PG,11/11/2015,MIL,@,DEN,L,0,33,6,14,0.429,3,6,0.5,3,8,0.375,0,0,,0,2,2,9,1,0,2,1,15,13.1,33.5,30.9,3.5,195
Austin Rivers,SG,11/11/2015,LAC,@,DAL,L,0,27,7,14,0.5,5,8,0.625,2,6,0.333,0,0,,2,4,6,3,2,0,1,0,16,14.7,32.5,30.7,-6.5,211
Monta Ellis,SG,11/11/2015,IND,@,BOS,W,1,35,4,9,0.444,3,6,0.5,1,3,0.333,4,6,0.667,1,1,2,6,4,0,2,3,13,13.5,32,30.4,3.5,202.5
Roy Hibbert,C,11/11/2015,LAL,@,ORL,L,1,29,5,8,0.625,5,8,0.625,0,0,,5,5,1,1,5,6,1,1,3,2,0,15,15.4,31,29.7,8,201
Julius Randle,PF,11/11/2015,LAL,@,ORL,L,1,28,6,10,0.6,6,9,0.667,0,1,0,0,3,0,0,8,8,4,0,1,0,2,12,11.3,30,29.6,8,201
Kristaps Porzingis,PF,11/11/2015,NYK,@,CHO,L,1,32,5,10,0.5,5,9,0.556,0,1,0,0,0,,2,13,15,0,0,2,3,2,10,7.9,31.25,29,6.5,200.5
Giannis Antetokounmpo,SF,11/11/2015,MIL,@,DEN,L,1,29,6,12,0.5,6,9,0.667,0,3,0,0,0,,1,6,7,5,0,2,3,5,12,8.4,30.75,28.9,3.5,195
Jonas Valanciunas,C,11/11/2015,TOR,@,PHI,W,1,23,4,8,0.5,4,8,0.5,0,0,,3,4,0.75,2,10,12,1,0,1,0,2,11,11.6,29.5,28.9,-9.5,196
Tobias Harris,SF,11/11/2015,ORL,,LAL,W,1,37,5,13,0.385,4,10,0.4,1,3,0.333,0,0,,5,6,11,1,1,1,1,3,11,9.4,30.25,28.7,-8,201
Zaza Pachulia,C,11/11/2015,DAL,,LAC,W,1,31,2,6,0.333,2,6,0.333,0,0,,6,8,0.75,3,7,10,3,0,2,2,4,10,9.9,30,28.5,6.5,211
Johnny O'Bryant,PF,11/11/2015,MIL,@,DEN,L,1,34,4,7,0.571,4,7,0.571,0,0,,3,3,1,4,5,9,3,0,1,0,6,11,12.4,28.75,28.3,3.5,195
Nikola Vucevic,C,11/11/2015,ORL,,LAL,W,0,26,9,16,0.563,9,16,0.563,0,0,,0,0,,1,4,5,2,0,1,1,0,18,13.4,28.75,28,-8,201
Bismack Biyombo,C,11/11/2015,TOR,@,PHI,W,0,21,3,8,0.375,3,8,0.375,0,0,,4,4,1,5,5,10,0,0,3,0,5,10,10.7,28.5,28,-9.5,196
Jeremy Lin,PG,11/11/2015,CHO,,NYK,W,0,21,7,11,0.636,6,10,0.6,1,1,1,2,2,1,0,2,2,3,3,0,2,2,17,15,29.5,27.9,-6.5,200.5
Ed Davis,PF,11/11/2015,POR,,SAS,L,0,18,5,5,1,5,5,1,0,0,,1,2,0.5,3,3,6,3,2,1,1,2,11,15.1,28.5,27.7,6.5,205
Ryan Anderson,PF,11/11/2015,NOP,@,ATL,L,1,35,7,16,0.438,5,11,0.455,2,5,0.4,1,1,1,5,6,11,0,0,0,3,1,17,10.5,30.25,27.2,13,208.5
Tim Duncan,PF,11/11/2015,SAS,@,POR,W,1,21,5,7,0.714,5,7,0.714,0,0,,2,3,0.667,0,6,6,2,1,2,1,3,12,12.1,28,27.2,-6.5,205
Elfrid Payton,PG,11/11/2015,ORL,,LAL,W,1,29,1,13,0.077,1,13,0.077,0,0,,0,2,0,3,7,10,8,1,0,1,1,2,1.9,28,27,-8,201
Chris Paul,PG,11/11/2015,LAC,@,DAL,L,1,35,2,11,0.182,1,8,0.125,1,3,0.333,6,7,0.857,0,1,1,11,0,0,2,2,11,8.9,28.25,26.7,-6.5,211
D'Angelo Russell,PG,11/11/2015,LAL,@,ORL,L,1,31,6,15,0.4,4,10,0.4,2,5,0.4,0,0,,0,6,6,3,1,1,3,1,14,8.1,29.5,26.7,8,201
Shane Larkin,PG,11/11/2015,BRK,@,HOU,W,0,23,6,10,0.6,3,6,0.5,3,4,0.75,0,0,,1,7,8,2,0,0,1,0,15,13.6,29,26.6,11.5,208
Shabazz Napier,PG,11/11/2015,ORL,,LAL,W,0,30,8,16,0.5,3,7,0.429,5,9,0.556,1,1,1,0,0,0,3,1,0,2,3,22,13.9,30,26.5,-8,201
Zach Randolph,PF,11/11/2015,MEM,,GSW,L,1,30,6,13,0.462,6,13,0.462,0,0,,7,7,1,1,6,7,2,1,0,6,5,19,9.2,29.75,26.4,7,200
Jordan Hill,C,11/11/2015,IND,@,BOS,W,0,23,5,10,0.5,5,10,0.5,0,0,,2,4,0.5,3,5,8,3,0,0,0,2,12,11.1,26.5,26.1,3.5,202.5
Deron Williams,PG,11/11/2015,DAL,,LAC,W,1,32,5,11,0.455,5,9,0.556,0,2,0,3,3,1,0,0,0,6,3,0,2,3,13,11.3,27,26,6.5,211
Jared Sullinger,PF,11/11/2015,BOS,,IND,L,1,33,5,10,0.5,4,7,0.571,1,3,0.333,0,0,,3,8,11,2,1,0,4,3,11,7.7,28.25,25.2,-3.5,202.5
Cory Joseph,PG,11/11/2015,TOR,@,PHI,W,0,31,6,9,0.667,6,8,0.75,0,1,0,3,3,1,0,2,2,5,0,0,0,1,15,14.8,25,24.9,-9.5,196
C.J. Miles,SG,11/11/2015,IND,@,BOS,W,1,29,6,10,0.6,5,6,0.833,1,4,0.25,4,4,1,1,4,5,1,2,0,4,4,17,11.4,27.25,24.5,3.5,202.5
Manu Ginobili,SG,11/11/2015,SAS,@,POR,W,0,22,6,12,0.5,5,10,0.5,1,2,0.5,1,1,1,4,1,5,3,0,0,0,3,14,12,25.25,24.5,-6.5,205
Hollis Thompson,SG,11/11/2015,PHI,,TOR,L,0,27,6,8,0.75,1,2,0.5,5,6,0.833,2,2,1,1,3,4,1,0,0,1,5,19,15.1,27.5,24.3,9.5,196
T.J. McConnell,PG,11/11/2015,PHI,,TOR,L,1,31,1,5,0.2,1,3,0.333,0,2,0,0,0,,0,4,4,13,0,0,2,3,2,6,25.5,24.3,9.5,196
Jarrett Jack,PG,11/11/2015,BRK,@,HOU,W,1,28,3,10,0.3,2,7,0.286,1,3,0.333,0,0,,0,6,6,6,1,0,1,3,7,6,25.5,24.2,11.5,208
Channing Frye,PF,11/11/2015,ORL,,LAL,W,0,16,6,7,0.857,4,5,0.8,2,2,1,0,0,,4,1,5,0,1,1,0,1,14,15.9,25.25,24,-8,201
Tony Allen,SF,11/11/2015,MEM,,GSW,L,1,24,5,7,0.714,4,5,0.8,1,2,0.5,4,4,1,3,1,4,0,1,1,0,2,15,15.4,24.5,23.8,7,200
Omri Casspi,SF,11/11/2015,SAC,,DET,W,0,28,3,5,0.6,2,3,0.667,1,2,0.5,2,2,1,0,11,11,1,1,0,2,2,9,8.9,25.75,23.7,1.5,205.5
Thaddeus Young,PF,11/11/2015,BRK,@,HOU,W,1,22,5,8,0.625,5,8,0.625,0,0,,3,5,0.6,2,2,4,1,0,3,2,3,13,10.2,24.5,23.3,11.5,208
Cody Zeller,PF,11/11/2015,CHO,,NYK,W,0,25,2,6,0.333,2,6,0.333,0,0,,8,15,0.533,2,2,4,3,0,1,0,1,12,10.2,23.5,23.3,-6.5,200.5
Reggie Jackson,PG,11/11/2015,DET,@,SAC,L,1,33,5,15,0.333,4,9,0.444,1,6,0.167,5,6,0.833,1,3,4,3,0,0,2,2,16,8,25,23.3,-1.5,205.5
Ty Lawson,PG,11/11/2015,HOU,,BRK,L,1,38,3,11,0.273,3,9,0.333,0,2,0,2,2,1,3,1,4,5,2,0,1,1,8,8,24,23.3,-11.5,208
Khris Middleton,SG,11/11/2015,MIL,@,DEN,L,1,42,5,13,0.385,2,8,0.25,3,5,0.6,0,0,,0,1,1,2,4,0,2,2,13,8.8,25.75,23.2,3.5,195
Jose Calderon,PG,11/11/2015,NYK,@,CHO,L,1,28,6,9,0.667,5,5,1,1,4,0.25,0,0,,0,2,2,5,1,0,2,1,13,11.8,24.5,22.9,6.5,200.5
JaMychal Green,PF,11/11/2015,MEM,,GSW,L,0,25,3,4,0.75,3,4,0.75,0,0,,3,4,0.75,2,7,9,0,1,2,3,4,9,8.3,24.75,22.8,7,200
Al-Farouq Aminu,SF,11/11/2015,POR,,SAS,L,1,33,4,11,0.364,2,5,0.4,2,6,0.333,1,2,0.5,0,3,3,4,0,1,0,2,11,8.1,23.75,22.6,6.5,205
Klay Thompson,SG,11/11/2015,GSW,@,MEM,W,1,35,3,9,0.333,1,4,0.25,2,5,0.4,0,0,,2,5,7,2,1,2,3,3,8,5.4,25.25,22.4,-7,200
DeAndre Jordan,C,11/11/2015,LAC,@,DAL,L,1,27,3,5,0.6,3,5,0.6,0,0,,3,9,0.333,2,9,11,0,0,1,2,5,9,5.1,23.75,22.2,-6.5,211
Nikola Jokic,C,11/11/2015,DEN,,MIL,W,0,14,4,7,0.571,4,7,0.571,0,0,,0,1,0,3,2,5,4,2,0,2,0,8,9.8,23.25,22,-3.5,195
Mike Conley,PG,11/11/2015,MEM,,GSW,L,1,33,1,12,0.083,1,8,0.125,0,4,0,2,2,1,0,2,2,9,3,0,4,5,4,-0.1,24,21.9,7,200
Jeremy Lamb,SG,11/11/2015,CHO,,NYK,W,0,24,6,10,0.6,4,6,0.667,2,4,0.5,0,0,,0,4,4,0,2,0,1,0,14,11.6,23.5,21.8,-6.5,200.5
DeMar DeRozan,SG,11/11/2015,TOR,@,PHI,W,1,27,4,9,0.444,3,8,0.375,1,1,1,5,6,0.833,2,2,4,2,0,0,0,1,14,11.9,22.5,21.8,-9.5,196
Tony Parker,PG,11/11/2015,SAS,@,POR,W,1,30,5,8,0.625,5,8,0.625,0,0,,1,2,0.5,0,1,1,5,1,0,0,3,11,10.6,21.75,21.7,-6.5,205
Isaiah Thomas,PG,11/11/2015,BOS,,IND,L,1,30,4,13,0.308,3,9,0.333,1,4,0.25,5,7,0.714,0,3,3,4,0,0,2,2,14,6.6,23.25,21.6,-3.5,202.5
Paul Pierce,SF,11/11/2015,LAC,@,DAL,L,0,22,3,5,0.6,1,1,1,2,4,0.5,2,2,1,1,6,7,2,0,0,0,2,10,10.8,22.75,21.4,-6.5,211
Draymond Green,PF,11/11/2015,GSW,@,MEM,W,1,28,3,7,0.429,2,3,0.667,1,4,0.25,0,0,,1,5,6,4,0,2,3,6,7,4.3,23.5,21.2,-7,200
C.J. McCollum,PG,11/11/2015,POR,,SAS,L,1,36,9,21,0.429,8,17,0.471,1,4,0.25,2,2,1,1,0,1,2,0,0,4,1,21,7.6,23.75,21.2,6.5,205
Arron Afflalo,SG,11/11/2015,NYK,@,CHO,L,1,28,6,13,0.462,6,10,0.6,0,3,0,0,0,,2,4,6,1,0,0,0,2,12,7.8,21,20.7,6.5,200.5
James Johnson,SF,11/11/2015,TOR,@,PHI,W,1,30,3,6,0.5,3,5,0.6,0,1,0,2,2,1,1,4,5,3,1,1,2,1,8,8.3,21.75,20.5,-9.5,196
Trevor Ariza,SF,11/11/2015,HOU,,BRK,L,1,32,5,14,0.357,4,8,0.5,1,6,0.167,0,1,0,0,2,2,2,2,0,0,2,11,6,21,20.4,-11.5,208
Andre Iguodala,SF,11/11/2015,GSW,@,MEM,W,0,27,6,9,0.667,2,4,0.5,4,5,0.8,4,6,0.667,1,0,1,0,0,0,1,3,20,13.8,22.75,20.2,-7,200
Toney Douglas,PG,11/11/2015,NOP,@,ATL,L,0,24,4,11,0.364,1,4,0.25,3,7,0.429,1,1,1,0,1,1,4,2,0,3,1,12,7.6,23.25,20.2,13,208.5
Lou Williams,PG,11/11/2015,LAL,@,ORL,L,0,29,2,8,0.25,2,5,0.4,0,3,0,9,10,0.9,0,3,3,3,0,0,1,1,13,9.4,20.75,20.1,8,201
Jae Crowder,SF,11/11/2015,BOS,,IND,L,1,26,1,5,0.2,0,2,0,1,3,0.333,2,2,1,0,5,5,2,5,0,4,5,5,3.8,22.75,20,-3.5,202.5
Stanley Johnson,SF,11/11/2015,DET,@,SAC,L,0,27,3,11,0.273,3,8,0.375,0,3,0,2,2,1,2,3,5,2,2,0,1,2,8,5.4,20.75,20,-1.5,205.5
Marvin Williams,PF,11/11/2015,CHO,,NYK,W,1,29,3,6,0.5,2,3,0.667,1,3,0.333,1,2,0.5,1,1,2,1,1,3,0,1,8,9,20.5,19.9,-6.5,200.5
Anthony Tolliver,PF,11/11/2015,DET,@,SAC,L,0,24,3,5,0.6,1,1,1,2,4,0.5,0,0,,0,4,4,4,0,1,1,1,8,9,21.5,19.8,-1.5,205.5
Courtney Lee,SG,11/11/2015,MEM,,GSW,L,1,32,1,7,0.143,1,4,0.25,0,3,0,1,1,1,1,5,6,1,3,2,2,1,3,3.4,21,19.7,7,200
Dennis Schroder,PG,11/11/2015,ATL,,NOP,W,0,22,5,11,0.455,3,7,0.429,2,4,0.5,0,0,,0,2,2,4,1,0,3,1,12,7.3,22,19.4,-13,208.5
Lou Amundson,#N/A,11/11/2015,NYK,@,CHO,L,0,14,4,4,1,4,4,1,0,0,,1,1,1,1,3,4,1,1,1,0,5,9,9.8,19.5,19.3,6.5,200.5
David Lee,PF,11/11/2015,BOS,,IND,L,0,16,4,5,0.8,4,5,0.8,0,0,,5,7,0.714,2,4,6,0,0,0,1,2,13,11.1,20,19.2,-3.5,202.5
Thabo Sefolosha,SF,11/11/2015,ATL,,NOP,W,0,24,2,3,0.667,1,2,0.5,1,1,1,2,4,0.5,2,3,5,2,1,1,1,0,7,9.3,20.25,19,-13,208.5
J.J. Hickson,PF,11/11/2015,DEN,,MIL,W,1,29,5,8,0.625,5,8,0.625,0,0,,2,2,1,0,2,2,1,1,1,1,2,12,9.6,19.5,18.9,-3.5,195
Phil Pressey,PG,11/11/2015,PHI,,TOR,L,0,17,1,3,0.333,1,1,1,0,2,0,3,4,0.75,0,2,2,7,1,0,1,2,5,7.6,19.5,18.9,9.5,196
Patrick Patterson,PF,11/11/2015,TOR,@,PHI,W,0,26,3,8,0.375,2,3,0.667,1,5,0.2,0,0,,2,5,7,1,2,0,2,0,7,6.2,20.75,18.9,-9.5,196
Danny Green,SG,11/11/2015,SAS,@,POR,W,1,31,4,6,0.667,1,2,0.5,3,4,0.75,0,1,0,0,4,4,2,0,0,0,2,11,9.8,20.5,18.8,-6.5,205
Gary Harris,SG,11/11/2015,DEN,,MIL,W,1,28,3,7,0.429,1,3,0.333,2,4,0.5,0,0,,0,1,1,5,2,0,2,0,8,8.1,20.75,18.7,-3.5,195
Chase Budinger,SF,11/11/2015,IND,@,BOS,W,0,22,4,7,0.571,3,5,0.6,1,2,0.5,1,2,0.5,1,2,3,2,0,2,2,2,10,7.6,20.25,18.6,3.5,202.5
Kyle Korver,SG,11/11/2015,ATL,,NOP,W,1,33,3,7,0.429,2,3,0.667,1,4,0.25,0,0,,0,5,5,1,2,0,0,1,7,7.1,19.25,18.5,-13,208.5
Ian Mahinmi,C,11/11/2015,IND,@,BOS,W,1,25,4,7,0.571,4,7,0.571,0,0,,3,8,0.375,1,1,2,0,1,3,3,4,11,5.2,20,18.4,3.5,202.5
George Hill,PG,11/11/2015,IND,@,BOS,W,1,37,3,8,0.375,2,5,0.4,1,3,0.333,0,0,,0,4,4,5,0,0,1,5,7,4.3,19.5,18.3,3.5,202.5
JaKarr Sampson,SF,11/11/2015,PHI,,TOR,L,1,27,4,10,0.4,4,10,0.4,0,0,,1,2,0.5,3,3,6,0,0,1,0,2,9,6.1,18.5,18.2,9.5,196
Larry Nance Jr.,PF,11/11/2015,LAL,@,ORL,L,0,20,6,6,1,5,5,1,1,1,1,0,0,,2,1,3,1,0,0,0,2,13,12.8,18.75,18.1,8,201
Kemba Walker,PG,11/11/2015,CHO,,NYK,W,1,27,2,11,0.182,1,9,0.111,1,2,0.5,4,4,1,0,2,2,3,1,0,0,0,9,5.8,18.5,17.9,-6.5,200.5
Isaiah Canaan,PG,11/11/2015,PHI,,TOR,L,0,29,5,11,0.455,0,1,0,5,10,0.5,3,3,1,0,0,0,1,0,0,2,2,18,10.2,21,17.5,9.5,196
Tiago Splitter,C,11/11/2015,ATL,,NOP,W,0,19,4,5,0.8,4,5,0.8,0,0,,0,0,,1,2,3,1,1,1,0,3,8,8.6,17.25,17.1,-13,208.5
Boris Diaw,PF,11/11/2015,SAS,@,POR,W,0,18,3,6,0.5,3,5,0.6,0,1,0,0,0,,2,3,5,4,0,0,1,2,6,6.3,17.75,17,-6.5,205
Kyle O'Quinn,PF,11/11/2015,NYK,@,CHO,L,0,12,2,3,0.667,2,3,0.667,0,0,,2,2,1,1,5,6,1,0,1,0,3,6,7.1,17,16.7,6.5,200.5
Raymond Felton,PG,11/11/2015,DAL,,LAC,W,1,30,4,9,0.444,3,4,0.75,1,5,0.2,4,4,1,0,3,3,0,1,0,2,3,13,7,18.25,16.6,6.5,211
Thomas Robinson,PF,11/11/2015,BRK,@,HOU,W,0,13,3,3,1,3,3,1,0,0,,0,0,,4,2,6,0,1,1,1,1,6,8.8,17,16.2,11.5,208
Marcelo Huertas,PG,11/11/2015,LAL,@,ORL,L,0,10,2,3,0.667,1,1,1,1,2,0.5,0,0,,0,3,3,5,1,0,2,0,5,7.1,17.75,16.1,8,201
Meyers Leonard,C,11/11/2015,POR,,SAS,L,1,24,3,4,0.75,2,3,0.667,1,1,1,0,0,,0,5,5,2,0,0,0,1,7,7.9,16.75,16,6.5,205
Metta World Peace,SF,11/11/2015,LAL,@,ORL,L,1,27,4,7,0.571,3,4,0.75,1,3,0.333,0,0,,0,2,2,1,1,1,1,0,9,7.7,17,15.9,8,201
Robin Lopez,C,11/11/2015,NYK,@,CHO,L,1,31,0,3,0,0,3,0,0,0,,0,0,,2,7,9,2,1,1,2,1,0,2.1,17.25,15.8,6.5,200.5
Dwight Powell,PF,11/11/2015,DAL,,LAC,W,0,16,4,5,0.8,4,5,0.8,0,0,,0,0,,3,3,6,1,0,0,1,4,8,7.2,16.5,15.7,6.5,211
Dewayne Dedmon,C,11/11/2015,ORL,,LAL,W,1,13,2,6,0.333,2,6,0.333,0,0,,0,0,,5,3,8,0,1,0,0,2,4,5.2,16,15.6,-8,201
Norman Powell,SG,11/11/2015,TOR,@,PHI,W,0,25,4,10,0.4,4,9,0.444,0,1,0,0,0,,2,2,4,1,1,0,1,2,8,4.5,16,15.3,-9.5,196
Kentavious Caldwell-Pope,SG,11/11/2015,DET,@,SAC,L,1,40,5,14,0.357,3,8,0.375,2,6,0.333,3,4,0.75,0,1,1,0,0,1,3,4,15,3.2,17.75,15.2,-1.5,205.5
Jerian Grant,PG,11/11/2015,NYK,@,CHO,L,0,19,4,8,0.5,4,5,0.8,0,3,0,0,0,,0,2,2,5,0,0,3,3,8,3.9,16.5,14.9,6.5,200.5
Gerald Henderson,SG,11/11/2015,POR,,SAS,L,0,18,6,10,0.6,6,10,0.6,0,0,,0,0,,0,2,2,0,0,0,0,1,12,7.6,14.5,14.4,6.5,205
Rasual Butler,SG,11/11/2015,SAS,@,POR,W,0,15,2,3,0.667,1,2,0.5,1,1,1,0,0,,0,3,3,3,1,0,1,0,5,6.7,15.25,14.1,-6.5,205
Steve Blake,PG,11/11/2015,DET,@,SAC,L,0,15,2,7,0.286,1,2,0.5,1,5,0.2,0,0,,0,2,2,3,1,0,0,0,5,4.6,14.5,13.9,-1.5,205.5
Devin Harris,PG,11/11/2015,DAL,,LAC,W,0,26,2,6,0.333,1,2,0.5,1,4,0.25,2,4,0.5,0,1,1,1,2,0,0,3,7,4.6,14.25,13.7,6.5,211
Kent Bazemore,SG,11/11/2015,ATL,,NOP,W,1,32,4,11,0.364,4,7,0.571,0,4,0,2,2,1,0,3,3,2,0,0,3,3,10,2,15.25,13.6,-13,208.5
P.J. Hairston,SF,11/11/2015,CHO,,NYK,W,1,26,2,8,0.25,1,3,0.333,1,5,0.2,0,0,,0,3,3,2,0,1,0,3,5,2,14.25,13.6,-6.5,200.5
Justin Anderson,SF,11/11/2015,DAL,,LAC,W,0,10,3,3,1,2,2,1,1,1,1,0,0,,0,2,2,0,1,1,0,1,7,8,14,13.4,6.5,211
Clint Capela,PF,11/11/2015,HOU,,BRK,L,0,11,4,5,0.8,4,5,0.8,0,0,,0,0,,1,1,2,0,0,2,1,2,8,6.7,14,13.4,-11.5,208
Marcus Smart,PG,11/11/2015,BOS,,IND,L,0,21,1,6,0.167,1,2,0.5,0,4,0,6,8,0.75,1,0,1,2,1,0,1,4,8,3.9,13.75,13.2,-3.5,202.5
Al Jefferson,C,11/11/2015,CHO,,NYK,W,1,23,2,10,0.2,2,10,0.2,0,0,,0,0,,2,3,5,2,0,0,0,1,4,1.1,13.25,13,-6.5,200.5
Brandon Bass,PF,11/11/2015,LAL,@,ORL,L,0,13,2,6,0.333,2,6,0.333,0,0,,0,0,,2,3,5,2,0,0,0,3,4,3.1,13.25,13,8,201
Willie Cauley-Stein,C,11/11/2015,SAC,,DET,W,1,16,2,3,0.667,2,3,0.667,0,0,,0,0,,3,2,5,0,1,1,1,2,4,5.3,13.75,13,1.5,205.5
Amir Johnson,PF,11/11/2015,BOS,,IND,L,1,14,3,5,0.6,3,4,0.75,0,1,0,1,4,0.25,0,2,2,1,1,1,2,1,7,4.1,14,12.9,-3.5,202.5
Andrea Bargnani,C,11/11/2015,BRK,@,HOU,W,0,17,3,7,0.429,3,7,0.429,0,0,,2,2,1,1,1,2,1,0,1,1,2,8,4.9,13.5,12.9,11.5,208
Ersan Ilyasova,PF,11/11/2015,DET,@,SAC,L,1,17,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,0,2,2,1,0,1,1,4,8,4.4,14.5,12.9,-1.5,205.5
Nik Stauskas,SG,11/11/2015,PHI,,TOR,L,1,30,3,11,0.273,1,4,0.25,2,7,0.286,0,0,,0,1,1,3,0,0,1,1,8,2.5,14.25,12.7,9.5,196
Luke Babbitt,SF,11/11/2015,NOP,@,ATL,L,1,30,2,8,0.25,0,3,0,2,5,0.4,1,2,0.5,0,3,3,2,0,0,1,2,7,2.3,14.25,12.6,13,208.5
Nick Young,SG,11/11/2015,LAL,@,ORL,L,0,21,4,7,0.571,2,2,1,2,5,0.4,0,0,,0,2,2,0,1,0,2,1,10,5.9,14.5,12.4,8,201
Spencer Hawes,C,11/11/2015,CHO,,NYK,W,0,19,0,2,0,0,0,,0,2,0,0,0,,1,3,4,5,0,0,0,1,0,3.3,12.5,12.3,-6.5,200.5
J.J. Redick,SG,11/11/2015,LAC,@,DAL,L,1,14,4,6,0.667,2,3,0.667,2,3,0.667,0,0,,0,0,0,0,0,1,0,2,10,7.3,13,12,-6.5,211
