Player,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Elfrid Payton,PG,11/13/2015,ORL,,UTA,W,1,37,3,8,0.375,1,5,0.2,2,3,0.667,8,10,0.8,0,3,3,6,2,1,5,2,16,12.8,33.25,29.6,1.5,188.5
Dwight Powell,PF,11/13/2015,DAL,,LAL,W,0,22,3,6,0.5,3,6,0.5,0,0,,4,4,1,1,11,12,2,1,0,0,0,10,13.4,30,29.4,-7.5,210
Nerlens Noel,C,11/13/2015,PHI,@,OKC,L,1,32,4,12,0.333,4,12,0.333,0,0,,5,6,0.833,2,9,11,2,2,0,4,1,13,8.9,31.75,29.2,13,206.5
Andrew Wiggins,SF,11/13/2015,MIN,@,IND,L,1,42,10,19,0.526,9,15,0.6,1,4,0.25,5,6,0.833,0,2,2,2,0,0,3,3,26,14.1,30.5,28.4,7.5,200
Jared Sullinger,PF,11/13/2015,BOS,,ATL,W,1,24,5,11,0.455,5,10,0.5,0,1,0,0,0,,3,7,10,2,1,1,1,2,10,9.8,29,28,1.5,206.5
Jeremy Lamb,SG,11/13/2015,CHO,@,CHI,L,0,32,5,14,0.357,3,7,0.429,2,7,0.286,3,4,0.75,2,7,9,2,0,0,1,2,15,9.9,29.75,27.8,6.5,199
Gordon Hayward,SF,11/13/2015,UTA,@,ORL,L,1,30,6,14,0.429,5,10,0.5,1,4,0.25,3,4,0.75,1,3,4,5,1,0,3,2,16,10.5,29.5,27.3,-1.5,188.5
Damian Lillard,PG,11/13/2015,POR,@,MEM,L,1,38,5,15,0.333,5,10,0.5,0,5,0,1,2,0.5,0,3,3,7,2,0,2,2,11,7.1,28.25,27.1,6.5,193.5
Jeff Green,SF,11/13/2015,MEM,,POR,W,0,30,4,10,0.4,4,10,0.4,0,0,,6,6,1,3,2,5,2,2,0,0,3,14,13.5,27.25,27,-6.5,193.5
Ian Mahinmi,C,11/13/2015,IND,,MIN,W,1,31,6,11,0.545,6,11,0.545,0,0,,0,4,0,4,5,9,1,1,0,0,1,12,10.7,26.75,26.3,-7.5,200
Karl-Anthony Towns,C,11/13/2015,MIN,@,IND,L,1,27,5,9,0.556,5,9,0.556,0,0,,2,2,1,2,7,9,1,1,0,0,0,12,12.9,26.75,26.3,7.5,200
Marvin Williams,PF,11/13/2015,CHO,@,CHI,L,1,35,5,11,0.455,2,5,0.4,3,6,0.5,1,1,1,1,4,5,2,1,1,1,3,14,11.1,28.25,26,6.5,199
Roy Hibbert,C,11/13/2015,LAL,@,DAL,L,1,30,1,5,0.2,1,4,0.25,0,1,0,6,6,1,3,6,9,2,1,2,2,6,8,8.2,27.25,25.8,7.5,210
Jrue Holiday,PG,11/13/2015,NOP,@,TOR,L,1,21,8,14,0.571,6,10,0.6,2,4,0.5,1,2,0.5,0,0,0,3,2,0,2,1,19,13.7,27.5,25.5,10,205
D'Angelo Russell,PG,11/13/2015,LAL,@,DAL,L,1,24,3,7,0.429,1,3,0.333,2,4,0.5,1,2,0.5,1,5,6,5,1,0,1,3,9,9.4,26.5,24.7,7.5,210
Mike Conley,PG,11/13/2015,MEM,,POR,W,1,33,4,13,0.308,3,9,0.333,1,4,0.25,2,3,0.667,1,0,1,9,0,0,1,2,11,8.3,25.75,24.7,-6.5,193.5
Deron Williams,PG,11/13/2015,DAL,,LAL,W,1,33,5,13,0.385,5,11,0.455,0,2,0,3,3,1,0,0,0,7,3,0,5,1,13,8.4,27,24.5,-7.5,210
Brandon Bass,PF,11/13/2015,LAL,@,DAL,L,0,18,3,6,0.5,3,5,0.6,0,1,0,1,1,1,7,3,10,1,1,3,4,2,7,8.8,27,24.5,7.5,210
Derrick Rose,PG,11/13/2015,CHI,,CHO,W,1,35,4,14,0.286,4,12,0.333,0,2,0,2,2,1,0,1,1,8,1,1,3,2,10,5.6,25.75,24.2,-6.5,199
Kelly Olynyk,C,11/13/2015,BOS,,ATL,W,0,17,6,13,0.462,3,7,0.429,3,6,0.5,0,0,,1,2,3,1,0,2,0,1,15,11.3,25.75,24.1,1.5,206.5
Trevor Ariza,SF,11/13/2015,HOU,@,DEN,L,1,38,4,12,0.333,2,5,0.4,2,7,0.286,3,4,0.75,0,3,3,3,2,0,1,2,13,9,25.75,24.1,-6.5,210
Mo Williams,PG,11/13/2015,CLE,@,NYK,W,1,32,7,13,0.538,5,7,0.714,2,6,0.333,4,4,1,0,2,2,3,0,0,3,2,20,12.6,26.5,23.9,-7,203
Trevor Booker,PF,11/13/2015,UTA,@,ORL,L,0,26,3,9,0.333,3,7,0.429,0,2,0,0,0,,3,4,7,1,4,1,2,3,6,6.4,25.25,23.9,-1.5,188.5
Arron Afflalo,SG,11/13/2015,NYK,,CLE,L,1,30,6,13,0.462,5,9,0.556,1,4,0.25,1,1,1,0,3,3,4,0,0,0,3,14,9.8,24.25,23.6,7,203
Enes Kanter,C,11/13/2015,OKC,,PHI,W,0,19,6,11,0.545,6,11,0.545,0,0,,1,2,0.5,4,4,8,0,0,1,1,1,13,10.6,24.5,23.6,-13,206.5
Dwight Howard,C,11/13/2015,HOU,@,DEN,L,1,28,4,6,0.667,4,6,0.667,0,0,,4,6,0.667,3,7,10,1,1,1,6,5,12,7.2,27,23.5,-6.5,210
Kobe Bryant,SG,11/13/2015,LAL,@,DAL,L,1,32,7,15,0.467,4,7,0.571,3,8,0.375,2,2,1,0,5,5,3,0,0,6,2,19,8.1,28.25,23.5,7.5,210
Marco Belinelli,SG,11/13/2015,SAC,,BRK,W,0,31,5,14,0.357,3,8,0.375,2,6,0.333,2,2,1,0,2,2,4,2,0,3,1,14,8.2,26,23.4,-6.5,204.5
Nik Stauskas,SG,11/13/2015,PHI,@,OKC,L,1,29,4,10,0.4,2,5,0.4,2,5,0.4,1,4,0.25,1,3,4,3,2,0,1,1,11,8.7,25,23.3,13,206.5
Ed Davis,PF,11/13/2015,POR,@,MEM,L,0,18,2,4,0.5,2,4,0.5,0,0,,3,3,1,5,3,8,1,0,3,1,1,7,10.8,24,23.1,6.5,193.5
Devin Harris,PG,11/13/2015,DAL,,LAL,W,0,24,2,9,0.222,1,5,0.2,1,4,0.25,4,6,0.667,0,3,3,4,0,2,0,1,9,7.4,23.25,22.6,-7.5,210
Jameer Nelson,PG,11/13/2015,DEN,,HOU,W,0,28,5,8,0.625,5,7,0.714,0,1,0,3,5,0.6,1,4,5,3,0,0,1,2,13,10.8,23.25,22.5,6.5,210
Jeff Withey,C,11/13/2015,UTA,@,ORL,L,0,24,4,7,0.571,4,7,0.571,0,0,,0,0,,4,3,7,0,1,2,0,2,8,10,22.75,22.4,-1.5,188.5
Emmanuel Mudiay,PG,11/13/2015,DEN,,HOU,W,1,33,1,10,0.1,1,7,0.143,0,3,0,0,0,,1,3,4,11,2,2,9,2,2,-1.7,27,22.3,6.5,210
Kevin Love,PF,11/13/2015,CLE,@,NYK,W,1,34,2,10,0.2,1,5,0.2,1,5,0.2,2,4,0.5,6,5,11,2,1,0,3,3,7,3.9,24.75,22.2,-7,203
Mario Chalmers,PG,11/13/2015,MEM,,POR,W,0,20,4,6,0.667,3,4,0.75,1,2,0.5,2,2,1,0,1,1,2,4,0,1,1,11,12.7,23.25,22.2,-6.5,193.5
Trey Burke,PG,11/13/2015,UTA,@,ORL,L,0,22,7,12,0.583,6,9,0.667,1,3,0.333,1,4,0.25,0,1,1,4,0,0,1,0,16,11.3,23.25,22.2,-1.5,188.5
Alexis Ajinca,C,11/13/2015,NOP,@,TOR,L,0,24,5,9,0.556,5,9,0.556,0,0,,0,0,,2,7,9,0,1,0,1,5,10,7.2,22.75,21.8,10,205
Ben McLemore,SG,11/13/2015,SAC,,BRK,W,0,25,5,8,0.625,2,4,0.5,3,4,0.75,2,2,1,1,0,1,3,1,0,1,2,15,13.4,23.75,21.7,-6.5,204.5
Joe Johnson,SF,11/13/2015,BRK,@,SAC,L,1,35,6,16,0.375,4,8,0.5,2,8,0.25,0,1,0,0,3,3,4,0,0,2,1,14,6.1,23.75,21.6,6.5,204.5
Al Jefferson,C,11/13/2015,CHO,@,CHI,L,1,31,3,9,0.333,3,9,0.333,0,0,,0,0,,0,5,5,5,1,0,0,4,6,5.3,21.75,21.5,6.5,199
Andre Miller,PG,11/13/2015,MIN,@,IND,L,0,23,4,5,0.8,4,5,0.8,0,0,,2,2,1,1,3,4,5,1,0,3,5,10,9.2,23,21.3,7.5,200
J.J. Hickson,PF,11/13/2015,DEN,,HOU,W,1,23,5,9,0.556,5,9,0.556,0,0,,0,2,0,2,4,6,2,1,0,1,4,10,7.3,22,21.2,6.5,210
Julius Randle,PF,11/13/2015,LAL,@,DAL,L,1,30,2,9,0.222,2,9,0.222,0,0,,2,2,1,0,10,10,2,1,1,4,5,6,0.6,23.5,21,7.5,210
Dennis Schroder,PG,11/13/2015,ATL,@,BOS,L,0,24,3,10,0.3,3,7,0.429,0,3,0,4,5,0.8,0,2,2,7,0,0,2,1,10,6.9,22,20.9,-1.5,206.5
Derrick Williams,SF,11/13/2015,NYK,,CLE,L,0,16,1,6,0.167,1,4,0.25,0,2,0,3,6,0.5,1,6,7,1,2,1,0,1,5,5.5,21.25,20.9,7,203
Derrick Favors,PF,11/13/2015,UTA,@,ORL,L,1,19,2,4,0.5,2,4,0.5,0,0,,1,1,1,0,7,7,1,3,1,2,2,5,6.7,22.25,20.9,-1.5,188.5
