Name,Entry Fee,Num of Entries,Top Prize,FPTS to Cash,Winner,FPTS to win,Total Entrees,Date
NBA GIANT $25 Double Up,$25.00,"3,218",$50.00,256.50,pianoclub,322.25,60,Nov-7-2016
NBA GIANT $5 Double Up,$5.00,"16,091",$10.00,251.00,cptnspaulding,325.00,8,Nov-7-2016
NBA $50K Posterizer,$150.00,370,"$5,000.00",258.75,Stillmatic,321.00,1,Nov-7-2016
NBA $35K And-One,$1.00,"41,176","$1,500.00",251.25,Guccimang627,347.50,50,Nov-7-2016
NBA GIANT $10 Double Up,$10.00,"4,022",$20.00,259.25,pianoclub,322.25,76,Nov-7-2016
NBA $25K Sharpshooter,$3.00,"9,803","$1,000.00",263.75,REDCOAT85,344.50,150,Nov-7-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",269.50,REDCOAT85,344.50,75,Nov-7-2016
NBA Single Entry $25 Double Up,$25.00,919,$50.00,247.00,ahammer3,335.00,1,Nov-7-2016
NBA $20K Pump Fake,$27.00,856,"$1,500.00",260.50,amc_101,323.75,2,Nov-7-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,249.75,cptnspaulding,325.00,3,Nov-7-2016
NBA $100 Double Up,$100.00,166,$200.00,250.50,BWitcher1975,321.25,1,Nov-7-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,244.00,Mickspicks,322.50,1,Nov-7-2016
NBA $5K High Five,$5.00,"1,176",$343.33,263.75,dbjblazer,321.00,1,Nov-7-2016
NBA $500K Bald Eagle,$333.00,"1,668","$100,000.00",272.00,SaahilSud,328.50,50,Nov-8-2016
NBA $400K Jefferson,$3.00,"156,862","$25,000.00",263.00,corolla42091,356.75,2,Nov-8-2016
NBA $300K Taft,$27.00,"12,845","$30,000.00",269.00,b7kahuna,338.50,1,Nov-8-2016
NBA $155K All-Star,"$1,000.00",167,"$30,000.00",283.00,jae686,310.00,5,Nov-8-2016
NBA GIANT $25 Double Up,$25.00,"3,678",$50.00,260.25,dpecanac,324.75,1,Nov-8-2016
NBA GIANT $5 Double Up,$5.00,"18,390",$10.00,254.75,niconasty,336.00,1,Nov-8-2016
NBA $65K Sharpshooter,$3.00,"25,490","$4,000.00",263.75,vegasvitsy,325.75,48,Nov-8-2016
NBA $50K Sharpshooter,$3.00,"19,607","$2,500.00",259.75,jakz101,306.75,150,Nov-8-2016
NBA $50K Madison,$4.00,"14,705","$3,000.00",273.25,zuesphil,342.25,1,Nov-8-2016
NBA $10 Double Up,$10.00,"5,172",$20.00,260.25,82Goldtop,334.50,4,Nov-8-2016
NBA $45K Posterizer,$150.00,333,"$6,000.00",270.50,ryan031,332.25,1,Nov-8-2016
NBA $35K Washington,$1.00,"41,176","$1,500.00",265.25,bigboymccoy415,348.75,50,Nov-8-2016
NBA $30K Harrison,$9.00,"3,853","$2,500.00",276.75,corolla42091,356.75,2,Nov-8-2016
NBA $20K Crossover,$27.00,856,"$1,500.00",262.00,damp,323.50,1,Nov-8-2016
NBA $2 Double Up,$2.00,"9,195",$4.00,255.50,texas54,331.50,1,Nov-8-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,251.75,82Goldtop,334.50,1,Nov-8-2016
NBA Single Entry $25 Double Up,$25.00,689,$50.00,255.75,jac3600,339.75,1,Nov-8-2016
NBA $15K Pump Fake,$27.00,642,"$1,500.00",266.50,jac3600,339.75,1,Nov-8-2016
NBA $15K Zone,$5.00,"3,529",$700.00,275.25,corolla42091,356.75,2,Nov-8-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,260.75,DCMATHIS,336.25,3,Nov-8-2016
NBA $100 Double Up,$100.00,166,$200.00,258.50,jac3600,339.75,1,Nov-8-2016
NBA $50 Double Up,$50.00,340,$100.00,263.75,RunHotSports,308.00,2,Nov-8-2016
NBA $5K High Five,$5.00,"1,176",$500.00,270.00,mclarktx,323.25,1,Nov-8-2016
NBA $500K MEGA Bird,$33.00,"16,033","$50,000.00",282.50,TheClone,383.75,150,Nov-9-2016
NBA $400K Sharpshooter,$3.00,"156,301","$20,000.00",275.50,gbarlam,397.25,2,Nov-9-2016
NBA $300K Money Ball,$333.00,"1,001","$50,000.00",290.00,fortheoffice,354.50,5,Nov-9-2016
NBA $155K All-Star,"$1,000.00",157,"$30,000.00",289.75,Kobe4MVP,344.25,5,Nov-9-2016
NBA MASSIVE $25 Double Up,$25.00,"4,597",$50.00,271.75,Cee356,346.25,1,Nov-9-2016
NBA GIANT $5 Double Up,$5.00,"18,390",$10.00,273.50,brianpedrotti23,368.50,2,Nov-9-2016
NBA $10 Double Up,$10.00,"5,172",$20.00,273.00,rebel1971,353.75,1,Nov-9-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",288.75,Kobe4MVP,344.25,3,Nov-9-2016
NBA $35K And-One,$1.00,"41,176","$1,500.00",277.00,sdot87brown,387.75,1,Nov-9-2016
NBA $30K Sky Hook,$9.00,"3,853","$2,500.00",294.00,bensico,388.75,6,Nov-9-2016
NBA $20K Pump Fake,$27.00,856,"$1,500.00",283.50,OrganicGuy,364.50,3,Nov-9-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",273.50,windsordjay,374.50,2,Nov-9-2016
NBA Single Entry $25 Double Up,$25.00,919,$50.00,271.00,HeScoresAgain,380.00,1,Nov-9-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,266.50,pzuke,363.50,1,Nov-9-2016
NBA $100 Double Up,$100.00,166,$200.00,271.75,Notorious,333.50,1,Nov-9-2016
NBA $50 Double Up,$50.00,340,$100.00,271.75,baralufficus,342.50,1,Nov-9-2016
NBA $2 Double Up,$2.00,"8,620",$4.00,274.50,TurboTurtle,350.75,40,Nov-9-2016
Casual NBA $15K Zone,$5.00,"2,556",$700.00,263.50,jlloyd1389,347.25,1,Nov-9-2016
NBA $5K High Five,$5.00,"1,176",$500.00,284.75,trojanlove,385.75,1,Nov-9-2016
NBA $1M Tipoff Special,$4.00,"294,117","$75,000.00",268.25,ycpchamp77,362.50,2,Oct-25-2016
NBA $250K Money Ball,$333.00,834,"$50,000.00",271.50,vassa,340.50,5,Oct-25-2016
NBA $200K Crossover,$27.00,"8,563","$20,000.00",272.50,Gpjw5520,351.50,2,Oct-25-2016
NBA $70K All-Star,"$1,060.00",70,"$20,000.00",281.50,vassa,340.50,2,Oct-25-2016
NBA GIANT $5 Double Up,$5.00,"6,896",$10.00,257.00,SaahilSud,342.00,100,Oct-25-2016
NBA $30K Posterizer,$150.00,222,"$3,000.00",267.50,cory585,334.00,1,Oct-25-2016
NBA GIANT $25 Double Up,$25.00,"1,379",$50.00,256.50,SaahilSud,328.00,40,Oct-25-2016
NBA GIANT $10 Double Up,$10.00,"2,873",$20.00,256.00,BreakThrow,345.00,1,Oct-25-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",265.75,dscroggs4,341.50,3,Oct-25-2016
NBA $20K And One,$1.00,"23,529","$1,000.00",270.25,clapnow,342.00,6,Oct-25-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,000.00",273.50,SaahilSud,342.00,75,Oct-25-2016
NBA $20K And One,$1.00,"23,529",$800.00,269.75,kaproomking,358.00,1,Oct-25-2016
NBA $2 Double Up,$2.00,"8,620",$4.00,257.00,BreakThrow,345.00,3,Oct-25-2016
NBA $15K Pump Fake,$27.00,642,"$2,000.00",273.75,jgolfer33,335.00,1,Oct-25-2016
NBA $15K Layup,$2.00,"8,823",$500.00,271.25,lozingitall,339.25,75,Oct-25-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,257.50,jacob.moran10,342.00,1,Oct-25-2016
NBA $50 Double Up,$50.00,340,$100.00,256.00,SaahilSud,318.25,2,Oct-25-2016
NBA $15K Zone,$5.00,"3,529",$700.00,273.75,stonecold1234567,345.50,1,Oct-25-2016
NBA $3K High Five,$5.00,705,$400.00,277.00,syn6208,332.00,1,Oct-25-2016
NBA $450K Four Point Play,$4.00,"132,352","$50,000.00",270.00,ryazan2000,352.50,30,Oct-26-2016
NBA $300K Money Ball,$333.00,"1,001","$50,000.00",283.25,Kobe4MVP,334.75,30,Oct-26-2016
NBA $250K Crossover,$27.00,"10,704","$25,000.00",279.75,bcalicore,340.00,150,Oct-26-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",290.25,bayonet509,333.75,1,Oct-26-2016
NBA $60K Sharpshooter,$3.00,"23,529","$4,000.00",254.75,Lunacy3,333.25,150,Oct-26-2016
NBA $45K Posterizer,$150.00,333,"$6,000.00",281.50,bric75,334.00,3,Oct-26-2016
NBA $35K Pump Fake,$27.00,"1,498","$3,000.00",277.25,SlowQueen,334.75,3,Oct-26-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",271.75,snakevandelay,341.00,50,Oct-26-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",267.50,JSB31,338.25,2,Oct-26-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,000.00",280.25,bcalicore,340.00,75,Oct-26-2016
NBA $15K Crossover,$27.00,642,"$1,500.00",254.75,Lunacy3,333.25,15,Oct-26-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,263.00,aloeup,333.75,1,Oct-26-2016
NBA $10K Zone,$5.00,"2,352",$500.00,269.75,aloeup,333.75,1,Oct-26-2016
Casual NBA $10K Zone,$5.00,"2,352",$500.00,263.50,leroyez17,326.75,1,Oct-26-2016
NBA $4K High Five,$5.00,941,$400.00,281.00,mlbsyndicate,333.75,1,Oct-26-2016
NBA $300K Sharpshooter,$3.00,"117,647","$30,000.00",264.50,cleanslate,336.50,14,Oct-27-2016
NBA $250K Money Ball,$333.00,834,"$50,000.00",272.00,verbalcoltrane,325.75,3,Oct-27-2016
NBA $225K Crossover,$27.00,"9,633","$25,000.00",269.00,foppertman86,331.00,4,Oct-27-2016
NBA $70K All-Star,"$1,060.00",70,"$20,000.00",273.75,DraftCheat,315.50,2,Oct-27-2016
NBA GIANT $25 Double Up,$25.00,"2,298",$50.00,261.00,maestro8732,308.00,1,Oct-27-2016
NBA GIANT $5 Double Up,$5.00,"11,494",$10.00,259.50,bods72,320.25,2,Oct-27-2016
NBA $35K Posterizer,$150.00,259,"$4,000.00",270.75,rex21023,323.50,1,Oct-27-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",264.00,dslat,331.00,1,Oct-27-2016
NBA GIANT $10 Double Up,$10.00,"2,873",$20.00,262.25,rex21023,323.50,1,Oct-27-2016
NBA $15K Hot Shot,$3.00,"5,882",$425.00,262.75,rex21023,323.50,3,Oct-27-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,257.00,dslat,331.00,1,Oct-27-2016
NBA $15K Sky Hook,$9.00,"1,926","$1,200.00",269.50,flashdelirium,322.75,1,Oct-27-2016
NBA $15K Pump Fake,$27.00,642,"$1,500.00",270.00,DraftCheat,315.50,2,Oct-27-2016
NBA $4K High Five,$5.00,941,$400.00,274.75,dslat,331.00,1,Oct-27-2016
NBA $500K Courtside Special,"$1,500.00",335,"$100,000.00",295.25,Dapokerninja,367.75,1,Oct-28-2016
NBA $400K MEGA Bird Warmup,$33.00,"14,012","$30,000.00",288.00,shawnzhan,384.25,150,Oct-28-2016
NBA $375K Sharpshooter,$3.00,"147,058","$25,000.00",272.75,shawnzhan,384.25,150,Oct-28-2016
NBA $350K Money Ball,$333.00,"1,052","$50,000.00",293.25,Dapokerninja,367.75,6,Oct-28-2016
NBA $100K Posterizer Special,$150.00,683,"$12,000.00",282.25,Kunu88,361.50,3,Oct-28-2016
NBA GIANT $25 Double Up,$25.00,"3,218",$50.00,283.00,BirdWings,345.25,10,Oct-28-2016
NBA GIANT $5 Double Up,$5.00,"16,091",$10.00,275.50,jclare84,363.75,1,Oct-28-2016
NBA $40K And-One,$1.00,"47,058","$1,250.00",273.75,coldon15,383.50,1,Oct-28-2016
NBA GIANT $10 Double Up,$10.00,"3,448",$20.00,280.25,BirdWings,345.25,10,Oct-28-2016
NBA $25K All-Star,"$1,060.00",25,"$10,000.00",306.50,shawnzhan,336.25,1,Oct-28-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,500.00",291.50,Kunu88,361.50,5,Oct-28-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",273.75,playmak3rs,370.50,3,Oct-28-2016
NBA GIANT $5 Double Up,$5.00,"4,705",$10.00,265.75,jordanh415,365.75,1,Oct-28-2016
NBA $20K Pump Fake,$27.00,856,"$1,500.00",286.50,Kunu88,361.50,3,Oct-28-2016
NBA $2 Double Up,$2.00,"9,195",$4.00,275.00,JCR36,352.00,5,Oct-28-2016
NBA $100 Double Up,$100.00,166,$200.00,275.00,3rd_and_schlong,343.00,2,Oct-28-2016
NBA Single Entry $25 Double Up,$25.00,689,$50.00,278.75,BirdWings,345.25,1,Oct-28-2016
NBA $5K High Five,$5.00,"1,176",$500.00,289.00,mobball12,353.00,1,Oct-28-2016
NBA $400K Saturday Spin Move,$40.00,"11,560","$37,500.00",261.75,TheClone,337.50,150,Oct-29-2016
NBA $300K Sharpshooter,$3.00,"117,647","$30,000.00",261.00,JWeill10,349.50,2,Oct-29-2016
NBA $200K Power Dribble,$400.00,555,"$25,000.00",260.75,ehafner,325.50,15,Oct-29-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",268.50,Kobe4MVP,314.00,3,Oct-29-2016
NBA GIANT $25 Double Up,$25.00,"2,298",$50.00,250.75,okcmo2003,324.25,4,Oct-29-2016
NBA GIANT $5 Double Up,$5.00,"11,494",$10.00,253.00,bordes88,328.75,1,Oct-29-2016
NBA $35K Posterizer,$150.00,259,"$4,000.00",266.25,jeremyshow,343.25,2,Oct-29-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",259.50,Chief_91,355.25,3,Oct-29-2016
NBA GIANT $10 Double Up,$10.00,"2,873",$20.00,250.00,TomAce1,327.25,1,Oct-29-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,000.00",262.25,Philuv,334.25,1,Oct-29-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,250.75,daquills,332.00,1,Oct-29-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,259.25,matthewwalsh,343.75,3,Oct-29-2016
NBA $15K Pump Fake,$27.00,642,"$1,500.00",264.50,okcmo2003,324.25,3,Oct-29-2016
NBA $3K High Five,$5.00,705,$400.00,267.25,Eagles82363,320.25,1,Oct-29-2016
NBA $175K Sharpshooter,$3.00,"68,627","$5,000.00",279.75,hishboo,363.75,50,Oct-30-2016
NBA $100K Crossover,$27.00,"4,281","$5,000.00",289.00,TheClone,349.50,125,Oct-30-2016
NBA $75K 3-Ball,$300.00,277,"$10,000.00",292.25,AG1987,333.25,5,Oct-30-2016
NBA $50K All-Star,"$1,060.00",50,"$15,000.00",301.25,CasBrM,333.25,1,Oct-30-2016
NBA GIANT $25 Double Up,$25.00,"1,149",$50.00,279.50,OreoBoy12,340.50,6,Oct-30-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,000.00",291.25,bcalicore,340.00,75,Oct-30-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",258.50,hof0003,322.75,3,Oct-30-2016
NBA GIANT  $5 Double Up,$5.00,"4,597",$10.00,283.75,joshweed,350.25,1,Oct-30-2016
NBA $15K And-One,$1.00,"17,647",$500.00,280.75,TheClone,349.50,50,Oct-30-2016
NBA $15K Posterizer,$150.00,111,"$3,000.00",297.00,AG1987,333.25,2,Oct-30-2016
NBA $5 Single Entry Double Up,$5.00,919,$10.00,274.50,beatycharlie,340.00,1,Oct-30-2016
NBA $2K High Five,$5.00,470,$400.00,295.50,CasBrM,333.25,1,Oct-30-2016
NBA $500K Halloween Special,$4.00,"147,058","$37,500.00",249.75,peky0401,319.75,6,Oct-31-2016
NBA $300K Money Ball,$333.00,"1,001","$50,000.00",256.25,gentlaw2,306.75,1,Oct-31-2016
NBA $250K Crossover,$27.00,"10,704","$25,000.00",255.75,EmileHeskey,319.75,150,Oct-31-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",261.00,SaahilSud,289.50,3,Oct-31-2016
NBA GIANT $5 Double Up,$5.00,"16,091",$10.00,248.00,kurtiejax,313.50,3,Oct-31-2016
NBA GIANT $25 Double Up,$25.00,"2,988",$50.00,251.00,jincka,313.50,1,Oct-31-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",255.75,bric75,294.00,3,Oct-31-2016
NBA $35K And-One,$1.00,"41,176","$2,000.00",255.25,EmileHeskey,319.75,50,Oct-31-2016
NBA GIANT $10 Double Up,$10.00,"4,022",$20.00,251.75,johnnycatnip,293.25,2,Oct-31-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",255.00,SaahilSud,306.00,75,Oct-31-2016
NBA $20K Pump Fake,$27.00,856,"$1,500.00",251.00,snowfighter,295.00,3,Oct-31-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,244.00,kurtiejax,313.50,1,Oct-31-2016
NBA $15K Hot Shot,$3.00,"5,882",$500.00,247.75,kurtiejax,313.50,3,Oct-31-2016
NBA Single Entry $25 Double Up,$25.00,689,$50.00,245.50,therealGaryDellAbate,294.75,1,Oct-31-2016
NBA $2 Double Up,$2.00,"8,620",$4.00,248.00,kurtiejax,313.50,5,Oct-31-2016
NBA $5K High Five,$5.00,"1,176",$500.00,256.75,marvo421,300.25,1,Oct-31-2016
