Date,Player,Pos,Salary,Predicted,Scored,Team,Iteration
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,10
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,10
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,11
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,11
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,11
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,11
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,11
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,11
Dec102016,Damian Lillard,PG,8400,47.47,51.75,POR,11
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,11
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,12
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,12
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,12
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,12
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,12
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,12
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,12
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,12
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,13
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,13
Dec102016,Mirza Teletovic,PF,3000,7.07,33.25,MIL,13
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,13
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,13
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,13
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,13
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,13
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,14
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,14
