"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Joel Anthony",3000,"SA@GS 10:30PM ET",3.829,"SA"
"PF","James Michael McAdoo",3000,"SA@GS 10:30PM ET",5.531,"GS"
"PF","Livio Jean-Charles",3000,"SA@GS 10:30PM ET",0,"SA"
"PF","Kevon Looney",3000,"SA@GS 10:30PM ET",4.300,"GS"
"C","Anderson Varejao",3000,"SA@GS 10:30PM ET",6.864,"GS"
"C","JaVale McGee",3000,"SA@GS 10:30PM ET",11.222,"GS"
"C","Damian Jones",3000,"SA@GS 10:30PM ET",0,"GS"
"PG","Mo Williams",3000,"NY@Cle 07:30PM ET",11.833,"Cle"
"PG","Chasson Randle",3000,"NY@Cle 07:30PM ET",0,"NY"
"SG/SF","Mike Dunleavy",3000,"NY@Cle 07:30PM ET",14.153,"Cle"
"SG/SF","Justin Holiday",3000,"NY@Cle 07:30PM ET",10.113,"NY"
"SG","Dahntay Jones",3000,"NY@Cle 07:30PM ET",3.844,"Cle"
"SG","James Jones",3000,"NY@Cle 07:30PM ET",5.550,"Cle"
"SG","Sasha Vujacic",3000,"NY@Cle 07:30PM ET",11.316,"NY"
"SG","John Holland",3000,"NY@Cle 07:30PM ET",0.000,"Cle"
"SG","DeAndre Liggins",3000,"NY@Cle 07:30PM ET",0,"Cle"
"SG","Markel Brown",3000,"NY@Cle 07:30PM ET",12.121,"Cle"
"SG","Ron Baker",3000,"NY@Cle 07:30PM ET",0,"NY"
"SF","Richard Jefferson",3000,"NY@Cle 07:30PM ET",10.658,"Cle"
"SF","Mindaugas Kuzminskas",3000,"NY@Cle 07:30PM ET",0,"NY"
"SF","J.P. Tokoto",3000,"NY@Cle 07:30PM ET",0,"NY"
"SF","Damien Inglis",3000,"NY@Cle 07:30PM ET",5.188,"NY"
"PF","Louis Amundson",3000,"NY@Cle 07:30PM ET",5.164,"NY"
"PF","Cory Jefferson",3000,"NY@Cle 07:30PM ET",7.333,"Cle"
"PF","Jonathan Holmes",3000,"NY@Cle 07:30PM ET",0,"Cle"
"PF","Maurice Ndour",3000,"NY@Cle 07:30PM ET",0,"NY"
"C","Chris Andersen",3000,"NY@Cle 07:30PM ET",11.766,"Cle"
"C","Marshall Plumlee",3000,"NY@Cle 07:30PM ET",0,"NY"
"C","Willy Hernangomez",3000,"NY@Cle 07:30PM ET",0,"NY"
"PG","Shelvin Mack",3000,"Uta@Por 10:00PM ET",17.717,"Uta"
"PG","Shabazz Napier",3000,"Uta@Por 10:00PM ET",8.350,"Por"
"PG","Raul Neto",3000,"Uta@Por 10:00PM ET",12.253,"Uta"
"PG","Tim Quarterman",3000,"Uta@Por 10:00PM ET",0,"Por"
"SF","Chris Johnson",3000,"Uta@Por 10:00PM ET",7.643,"Uta"
"SF","Pat Connaughton",3000,"Uta@Por 10:00PM ET",2.569,"Por"
"PF","Joel Bolomboy",3000,"Uta@Por 10:00PM ET",0,"Uta"
"PF","Grant Jerrett",3000,"Uta@Por 10:00PM ET",0,"Por"
"PF","Jake Layman",3000,"Uta@Por 10:00PM ET",0,"Por"
"PF","Noah Vonleh",3000,"Uta@Por 10:00PM ET",9.616,"Por"
"C","Greg Stiemsma",3000,"Uta@Por 10:00PM ET",0,"Por"
"C","Jeff Withey",3000,"Uta@Por 10:00PM ET",11.770,"Uta"
"C","Henry Sims",3000,"Uta@Por 10:00PM ET",16.750,"Uta"
