Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Russell Westbrook,Stephen Curry,E'Twaun Moore,Gerald Henderson,Eric Bledsoe,Karl-Anthony Towns,Nemanja Bjelica,Jerami Grant,OKC,GS,NO,PHI,PHO,MIN,MIN,OKC,PG,PG,SG,SG,PG,PF,SF,SF,451.281505933,238.5,32,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Jordan Clarkson,Ian Clark,Tobias Harris,Andre Drummond,Andrew Wiggins,P.J. Tucker,OKC,PHI,LAL,GS,DET,DET,MIN,PHO,PG,SG,PG,PG,SF,C,SF,SF,510.367833518,235.5,7,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Tyreke Evans,Andre Roberson,Eric Bledsoe,Karl-Anthony Towns,Amir Johnson,Domantas Sabonis,OKC,PHI,NO,OKC,PHO,MIN,BOS,OKC,PG,SG,SG,SG,PG,PF,PF,PF,503.30770631,235.25,36,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Darrun Hilliard,Timothe Luwawu-Cabarrot,Eric Bledsoe,Karl-Anthony Towns,Mindaugas Kuzminskas,OKC,GS,PHI,DET,PHI,PHO,MIN,NY,PG,PG,SG,SG,SG,PG,PF,SF,458.927029082,234.75,80,Dec112016,5,0.0
Russell Westbrook,Darrun Hilliard,Timothe Luwawu-Cabarrot,Brandon Rush,Eric Bledsoe,Karl-Anthony Towns,Lance Thomas,Andre Drummond,OKC,DET,PHI,MIN,PHO,MIN,NY,DET,PG,SG,SG,SG,PG,PF,SF,C,455.049823562,233.75,42,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Jonas Jerebko,Jordan Mickey,Marquese Chriss,Andre Roberson,Eric Bledsoe,Andre Drummond,OKC,GS,BOS,BOS,PHO,OKC,PHO,DET,PG,PG,PF,PF,PF,SG,PG,C,453.046452492,233.5,81,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Jonas Jerebko,Jordan Mickey,Hollis Thompson,Justin Holiday,Karl-Anthony Towns,Andre Drummond,OKC,GS,BOS,BOS,PHI,NY,MIN,DET,PG,PG,PF,PF,SG,PG,PF,C,459.160933092,232.5,15,Dec112016,5,0.0
Russell Westbrook,Andre Roberson,Leandro Barbosa,Ian Clark,Anthony Davis,Andre Drummond,Amir Johnson,Domantas Sabonis,OKC,OKC,PHO,GS,NO,DET,BOS,OKC,PG,SG,PG,PG,PF,C,PF,PF,480.584619377,231.0,23,Dec112016,5,0.0
Russell Westbrook,Brandon Knight,Julius Randle,Joffrey Lauvergne,Andrew Wiggins,P.J. Tucker,Andre Iguodala,Richaun Holmes,OKC,PHO,LAL,OKC,MIN,PHO,GS,PHI,PG,PG,PF,PF,SF,SF,SF,PF,472.69123224,230.5,21,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Ron Baker,Tobias Harris,Dario Saric,Luol Deng,Andre Drummond,OKC,GS,PHI,NY,DET,PHI,LAL,DET,PG,PG,SG,SG,SF,SF,SF,C,446.111435014,230.25,54,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Justin Holiday,Eric Bledsoe,Tobias Harris,Dario Saric,Larry Nance Jr.,Andre Drummond,OKC,PHI,NY,PHO,DET,PHI,LAL,DET,PG,SG,PG,PG,SF,SF,SF,C,447.080924299,230.0,66,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Justin Holiday,Eric Bledsoe,Tobias Harris,Dario Saric,Larry Nance Jr.,Andre Drummond,OKC,PHI,NY,PHO,DET,PHI,LAL,DET,PG,SG,PG,PG,SF,SF,SF,C,442.658015614,230.0,52,Dec112016,5,0.0
Stephen Curry,Justin Holiday,Anthony Davis,Andrew Wiggins,P.J. Tucker,Andre Iguodala,Amir Johnson,Domantas Sabonis,GS,NY,NO,MIN,PHO,GS,BOS,OKC,PG,PG,PF,SF,SF,SF,PF,PF,469.847441486,229.75,24,Dec112016,5,0.0
Russell Westbrook,Brandon Knight,Anthony Davis,Andrew Wiggins,P.J. Tucker,Andre Iguodala,Richaun Holmes,Domantas Sabonis,OKC,PHO,NO,MIN,PHO,GS,PHI,OKC,PG,PG,PF,SF,SF,SF,PF,PF,500.589254335,228.75,97,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Andre Roberson,Ian Clark,Julius Randle,Jahlil Okafor,Marcus Morris,OKC,GS,NY,OKC,GS,LAL,PHI,DET,PG,PG,SG,SG,PG,PF,PF,SF,466.036030927,228.25,5,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Andre Roberson,Ian Clark,Eric Bledsoe,Anthony Davis,Luol Deng,Lance Thomas,OKC,PHI,OKC,GS,PHO,NO,LAL,NY,PG,SG,SG,PG,PG,PF,SF,SF,509.684645433,227.0,11,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Ron Baker,Leandro Barbosa,Anthony Davis,Dario Saric,Luol Deng,OKC,GS,PHI,NY,PHO,NO,PHI,LAL,PG,PG,SG,SG,PG,PF,SF,SF,454.03437871,226.5,63,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Ron Baker,Leandro Barbosa,Anthony Davis,Dario Saric,Luol Deng,OKC,GS,PHI,NY,PHO,NO,PHI,LAL,PG,PG,SG,SG,PG,PF,SF,SF,436.223905023,226.5,61,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Andre Roberson,Ian Clark,Eric Bledsoe,Karl-Anthony Towns,Tobias Harris,Dario Saric,OKC,PHI,OKC,GS,PHO,MIN,DET,PHI,PG,SG,SG,PG,PG,PF,SF,SF,466.451208737,226.25,85,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Justin Holiday,Anthony Davis,P.J. Tucker,Andre Iguodala,Mindaugas Kuzminskas,Richaun Holmes,OKC,GS,NY,NO,PHO,GS,NY,PHI,PG,PG,PG,PF,SF,SF,SF,PF,466.812574767,224.5,86,Dec112016,5,0.0
Stephen Curry,Andre Roberson,Leandro Barbosa,Eric Bledsoe,Andre Drummond,Richaun Holmes,Amir Johnson,Domantas Sabonis,GS,OKC,PHO,PHO,DET,PHI,BOS,OKC,PG,SG,PG,PG,C,PF,PF,PF,446.369130379,223.25,40,Dec112016,5,0.0
Jordan Clarkson,Anthony Davis,Andre Drummond,Andrew Wiggins,P.J. Tucker,Andre Iguodala,Richaun Holmes,Domantas Sabonis,LAL,NO,DET,MIN,PHO,GS,PHI,OKC,PG,PF,C,SF,SF,SF,PF,PF,417.451260957,220.75,6,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Eric Bledsoe,Nemanja Bjelica,Jerami Grant,Dante Cunningham,Andre Drummond,OKC,GS,PHI,PHO,MIN,OKC,NO,DET,PG,PG,SG,PG,SF,SF,SF,C,382.02250062,218.0,41,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Eric Bledsoe,Nemanja Bjelica,Jerami Grant,Dante Cunningham,Andre Drummond,OKC,GS,PHI,PHO,MIN,OKC,NO,DET,PG,PG,SG,PG,SF,SF,SF,C,425.262526209,218.0,83,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Ian Clark,Eric Bledsoe,Tobias Harris,Dario Saric,Larry Nance Jr.,Andre Drummond,OKC,PHI,GS,PHO,DET,PHI,LAL,DET,PG,SG,PG,PG,SF,SF,SF,C,525.142970727,218.0,14,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Eric Bledsoe,Nemanja Bjelica,Jerami Grant,Dante Cunningham,Andre Drummond,OKC,GS,PHI,PHO,MIN,OKC,NO,DET,PG,PG,SG,PG,SF,SF,SF,C,407.019119354,218.0,72,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Eric Bledsoe,Nemanja Bjelica,Jerami Grant,Dante Cunningham,Andre Drummond,OKC,GS,PHI,PHO,MIN,OKC,NO,DET,PG,PG,SG,PG,SF,SF,SF,C,454.565776322,218.0,95,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Karl-Anthony Towns,Dario Saric,P.J. Tucker,Mindaugas Kuzminskas,Richaun Holmes,OKC,GS,PHI,MIN,PHI,PHO,NY,PHI,PG,PG,SG,PF,SF,SF,SF,PF,379.384803512,217.75,48,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Ian Clark,Anthony Davis,Larry Nance Jr.,Lance Thomas,P.J. Tucker,OKC,GS,PHI,GS,NO,LAL,NY,PHO,PG,PG,SG,PG,PF,SF,SF,SF,524.293378472,214.25,98,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Ron Baker,Ian Clark,Anthony Davis,Larry Nance Jr.,Luol Deng,OKC,GS,PHI,NY,GS,NO,LAL,LAL,PG,PG,SG,SG,PG,PF,SF,SF,543.60218234,214.0,10,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Tyreke Evans,Brandon Knight,Andre Drummond,Richaun Holmes,Amir Johnson,Domantas Sabonis,OKC,GS,NO,PHO,DET,PHI,BOS,OKC,PG,PG,SG,PG,C,PF,PF,PF,466.087789613,213.0,50,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Hollis Thompson,Anthony Davis,Omer Asik,Amir Johnson,Domantas Sabonis,OKC,GS,PHI,PHI,NO,NO,BOS,OKC,PG,PG,SG,SG,PF,C,PF,PF,406.159464456,212.75,9,Dec112016,5,0.0
Stephen Curry,Gerald Henderson,Andre Drummond,Andrew Wiggins,P.J. Tucker,Richaun Holmes,Amir Johnson,Domantas Sabonis,GS,PHI,DET,MIN,PHO,PHI,BOS,OKC,PG,SG,C,SF,SF,PF,PF,PF,437.25026858,212.75,18,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Karl-Anthony Towns,Nemanja Bjelica,Jerami Grant,Andre Drummond,Mindaugas Kuzminskas,OKC,GS,NY,MIN,MIN,OKC,DET,NY,PG,PG,SG,PF,SF,SF,C,SF,439.659684571,207.75,46,Dec112016,5,0.0
Russell Westbrook,Tyreke Evans,Andre Roberson,Leandro Barbosa,Eric Bledsoe,Gorgui Dieng,Kelly Olynyk,Richaun Holmes,OKC,NO,OKC,PHO,PHO,MIN,BOS,PHI,PG,SG,SG,PG,PG,PF,PF,PF,395.79316489,207.5,93,Dec112016,5,0.0
Russell Westbrook,Ron Baker,Andre Roberson,Leandro Barbosa,Anthony Davis,Andre Drummond,Richaun Holmes,Domantas Sabonis,OKC,NY,OKC,PHO,NO,DET,PHI,OKC,PG,SG,SG,PG,PF,C,PF,PF,456.650020505,207.5,77,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Eric Bledsoe,Nemanja Bjelica,Jerami Grant,Dante Cunningham,Andre Drummond,OKC,GS,NY,PHO,MIN,OKC,NO,DET,PG,PG,SG,PG,SF,SF,SF,C,464.612961323,207.0,16,Dec112016,5,0.0
