Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date,Date
Paul Millsap,Sam Dekker,Wilson Chandler,Giannis Antetokounmpo,Patrick Beverley,Iman Shumpert,Andre Drummond,Dwight Howard,ATL,HOU,DEN,MIL,HOU,CLE,DET,ATL,PF,SF,SF/PF,PG,PG,PG/SG,C,C,7100,3800,6300,9800,4500,3300,7500,6800,248.63,372.5,90,Dec72016,2016-12-07
Rodney McGruder,Bojan Bogdanovic,Wilson Chandler,Giannis Antetokounmpo,Jeff Teague,Patrick Beverley,Andre Drummond,Dwight Howard,MIA,BKN,DEN,MIL,IND,HOU,DET,ATL,SG,SG/SF,SF/PF,PG,PG,PG,C,C,3600,4300,6300,9800,6400,4500,7500,6800,266.54,372.5,88,Dec72016,2016-12-07
Marcus Smart,Wilson Chandler,Giannis Antetokounmpo,Jeff Teague,Patrick Beverley,Marcelo Huertas,Andre Drummond,Dwight Howard,BOS,DEN,MIL,IND,HOU,LAL,DET,ATL,SG/SF,SF/PF,PG,PG,PG,PG,C,C,4500,6300,9800,6400,4500,3000,7500,6800,261.39,372.5,87,Dec72016,2016-12-07
Rodney McGruder,Marcus Smart,Wilson Chandler,Giannis Antetokounmpo,Jeff Teague,Patrick Beverley,Andre Drummond,Dwight Howard,MIA,BOS,DEN,MIL,IND,HOU,DET,ATL,SG,SG/SF,SF/PF,PG,PG,PG,C,C,3600,4500,6300,9800,6400,4500,7500,6800,270.15,372.5,86,Dec72016,2016-12-07
Paul Millsap,Courtney Lee,Nicolas Batum,Wilson Chandler,Giannis Antetokounmpo,Tyler Johnson,Patrick Beverley,Dwight Howard,ATL,NY,CHA,DEN,MIL,MIA,HOU,ATL,PF,SG,SG/SF,SF/PF,PG,PG,PG,C,7100,3600,6600,6300,9800,5200,4500,6800,265.98,372.25,93,Dec72016,2016-12-07
Courtney Lee,Thabo Sefolosha,Wilson Chandler,Giannis Antetokounmpo,Jeff Teague,Patrick Beverley,Andre Drummond,Dwight Howard,NY,ATL,DEN,MIL,IND,HOU,DET,ATL,SG,SG/SF,SF/PF,PG,PG,PG,C,C,3600,4100,6300,9800,6400,4500,7500,6800,267.25,372.25,94,Dec72016,2016-12-07
Paul Millsap,Bojan Bogdanovic,Wilson Chandler,Giannis Antetokounmpo,Patrick Beverley,Isaiah Whitehead,Andre Drummond,Dwight Howard,ATL,BKN,DEN,MIL,HOU,BKN,DET,ATL,PF,SG/SF,SF/PF,PG,PG,PG,C,C,7100,4300,6300,9800,4500,3400,7500,6800,258.49,372.25,95,Dec72016,2016-12-07
Paul Millsap,Devin Booker,Wilson Chandler,Jeff Teague,Tyler Johnson,Patrick Beverley,Andre Drummond,Dwight Howard,ATL,PHO,DEN,IND,MIA,HOU,DET,ATL,PF,SG/SF,SF/PF,PG,PG,PG,C,C,7100,6100,6300,6400,5200,4500,7500,6800,254.3,372.25,96,Dec72016,2016-12-07
Paul Millsap,Andre Iguodala,Wilson Chandler,Giannis Antetokounmpo,Tyler Johnson,Isaiah Whitehead,Andre Drummond,Dwight Howard,ATL,GS,DEN,MIL,MIA,BKN,DET,ATL,PF,SF,SF/PF,PG,PG,PG,C,C,7100,3500,6300,9800,5200,3400,7500,6800,255.77,372.25,97,Dec72016,2016-12-07
Paul Millsap,Marcus Smart,Wilson Chandler,Giannis Antetokounmpo,Patrick Beverley,Isaiah Whitehead,Andre Drummond,Dwight Howard,ATL,BOS,DEN,MIL,HOU,BKN,DET,ATL,PF,SG/SF,SF/PF,PG,PG,PG,C,C,7100,4500,6300,9800,4500,3400,7500,6800,262.1,372.25,98,Dec72016,2016-12-07
Paul Millsap,Joe Harris,Wilson Chandler,Damian Lillard,Tyler Johnson,Patrick Beverley,Andre Drummond,Dwight Howard,ATL,BKN,DEN,POR,MIA,HOU,DET,ATL,PF,SF,SF/PF,PG,PG,PG,C,C,7100,3600,6300,8700,5200,4500,7500,6800,251.59,372.25,99,Dec72016,2016-12-07
