Name,Team,Position,Dropped,Added,Total,Date,Net
Maurice Harkless,POR , SF,624,3541,4169,2016-11-12,2917
Nick Young,LAL ," SG,SF",186,3709,3908,2016-11-12,3523
Ricky Rubio,MIN , PG,176,3646,3833,2016-11-12,3470
Al-Farouq Aminu,POR ," SF,PF",3503,64,3577,2016-11-12,-3439
Tyus Jones,MIN , PG,2042,1456,3499,2016-11-12,-586
Allen Crabbe,POR ," PG,SG",326,2692,3020,2016-11-12,2366
Joe Johnson,UTA ," SG,SF",2525,107,2642,2016-11-12,-2418
Wilson Chandler,DEN ," SG,SF,PF",316,2163,2483,2016-11-12,1847
Kris Dunn,MIN , PG,2340,113,2468,2016-11-12,-2227
Alex Len,PHO ," PF,C",255,2135,2397,2016-11-12,1880
C.J. Miles,IND ," SG,SF",1003,1357,2379,2016-11-12,354
Terrence Jones,NO ," SF,PF",2073,253,2331,2016-11-12,-1820
Lou Williams,LAL ," PG,SG",87,2033,2141,2016-11-12,1946
Domantas Sabonis,OKC , PF,344,1745,2089,2016-11-12,1401
Roy Hibbert,CHA , C,388,1654,2046,2016-11-12,1266
Jon Leuer,DET ," PF,C",1606,384,1994,2016-11-12,-1222
Tyler Johnson,MIA ," PG,SG",1194,705,1909,2016-11-12,-489
E'Twaun Moore,NO ," PG,SG",998,902,1903,2016-11-12,-96
J.J. Barea,DAL ," PG,SG",601,1183,1797,2016-11-12,582
Cody Zeller,CHA ," PF,C",572,1215,1789,2016-11-12,643
DeMarre Carroll,TOR ," SF,PF",1602,173,1784,2016-11-12,-1429
Josh Richardson,MIA ," SG,SF",244,1453,1699,2016-11-12,1209
Rondae Hollis-Jefferson,BKN ," SG,SF",512,1163,1679,2016-11-12,651
Thabo Sefolosha,ATL ," SG,SF",679,998,1678,2016-11-12,319
Tyson Chandler,PHO , C,993,555,1557,2016-11-12,-438
Bojan Bogdanovic,BKN ," SG,SF",1392,157,1554,2016-11-12,-1235
Will Barton,DEN ," SG,SF",674,856,1536,2016-11-12,182
Sean Kilpatrick,BKN ," PG,SG",961,528,1502,2016-11-12,-433
Deron Williams,DAL , PG,1331,158,1498,2016-11-12,-1173
Iman Shumpert,CLE ," SG,SF",119,1362,1483,2016-11-12,1243
Michael Kidd-Gilchrist,CHA , SF,1241,226,1480,2016-11-12,-1015
Jaylen Brown,BOS , SF,1447,26,1478,2016-11-12,-1421
JaMychal Green,MEM , PF,1421,44,1468,2016-11-12,-1377
Elfrid Payton,ORL , PG,1242,202,1463,2016-11-12,-1040
Matthew Dellavedova,MIL ," PG,SG",1165,277,1462,2016-11-12,-888
Ty Lawson,SAC , PG,1384,59,1446,2016-11-12,-1325
Sergio Rodriguez,PHI , PG,1155,278,1445,2016-11-12,-877
Bismack Biyombo,ORL ," PF,C",765,664,1440,2016-11-12,-101
Matt Barnes,SAC ," SG,SF",1340,87,1429,2016-11-12,-1253
Patty Mills,SA , PG,1024,378,1408,2016-11-12,-646
Ish Smith,DET , PG,1224,163,1400,2016-11-12,-1061
Luol Deng,LAL ," SF,PF",1206,155,1366,2016-11-12,-1051
Courtney Lee,NY ," SG,SF",1248,91,1346,2016-11-12,-1157
Larry Nance Jr.,LAL , PF,326,958,1286,2016-11-12,632
Ersan Ilyasova,PHI ," SF,PF",470,810,1283,2016-11-12,340
Andre Roberson,OKC ," SG,SF",122,1156,1279,2016-11-12,1034
Marcus Smart,BOS , PG,402,855,1264,2016-11-12,453
James Ennis III,MEM ," SG,SF",754,467,1223,2016-11-12,-287
Lucas Nogueira,TOR ," PF,C",303,9781,10086,2016-11-13,9478
Kelly Olynyk,BOS , C,207,5582,5792,2016-11-13,5375
Rondae Hollis-Jefferson,BKN ," SG,SF",211,4512,4727,2016-11-13,4301
Jared Dudley,PHO ," SG,SF,PF",255,3631,3886,2016-11-13,3376
Nick Young,LAL ," SG,SF",1001,2266,3276,2016-11-13,1265
Trevor Booker,BKN , PF,152,2716,2880,2016-11-13,2564
Al-Farouq Aminu,POR ," SF,PF",2755,100,2862,2016-11-13,-2655
Tyus Jones,MIN , PG,2629,184,2815,2016-11-13,-2445
Cody Zeller,CHA ," PF,C",1972,814,2793,2016-11-13,-1158
Maurice Harkless,POR , SF,775,1999,2782,2016-11-13,1224
Sean Kilpatrick,BKN ," PG,SG",313,2440,2760,2016-11-13,2127
Kris Dunn,MIN , PG,2634,93,2742,2016-11-13,-2541
Wilson Chandler,DEN ," SG,SF,PF",573,1949,2527,2016-11-13,1376
Ricky Rubio,MIN , PG,178,2328,2521,2016-11-13,2150
Alex Len,PHO ," PF,C",791,1686,2487,2016-11-13,895
Allen Crabbe,POR ," PG,SG",1080,1388,2478,2016-11-13,308
Tyson Chandler,PHO , C,1896,447,2354,2016-11-13,-1449
J.J. Barea,DAL ," PG,SG",339,1975,2320,2016-11-13,1636
Terrence Jones,NO ," SF,PF",2138,88,2229,2016-11-13,-2050
Lou Williams,LAL ," PG,SG",263,1899,2177,2016-11-13,1636
Seth Curry,DAL ," PG,SG",334,1839,2176,2016-11-13,1505
C.J. Miles,IND ," SG,SF",1028,1044,2090,2016-11-13,16
Jon Leuer,DET ," PF,C",645,1322,1969,2016-11-13,677
Domantas Sabonis,OKC , PF,996,964,1961,2016-11-13,-32
Tyler Johnson,MIA ," PG,SG",1473,420,1913,2016-11-13,-1053
Matthew Dellavedova,MIL ," PG,SG",1725,156,1893,2016-11-13,-1569
Josh Richardson,MIA ," SG,SF",234,1567,1808,2016-11-13,1333
Bojan Bogdanovic,BKN ," SG,SF",1575,209,1793,2016-11-13,-1366
DeMarre Carroll,TOR ," SF,PF",1590,144,1743,2016-11-13,-1446
Joakim Noah,NY ," PF,C",284,1404,1696,2016-11-13,1120
Danny Green,SA ," SG,SF",1551,127,1689,2016-11-13,-1424
Roy Hibbert,CHA , C,1168,509,1680,2016-11-13,-659
Will Barton,DEN ," SG,SF",829,835,1671,2016-11-13,6
Andre Roberson,OKC ," SG,SF",203,1401,1604,2016-11-13,1198
Brandon Knight,PHO ," PG,SG",1269,281,1567,2016-11-13,-988
Justin Hamilton,BKN ," PF,C",463,1054,1519,2016-11-13,591
E'Twaun Moore,NO ," PG,SG",880,595,1478,2016-11-13,-285
Deron Williams,DAL , PG,1314,138,1465,2016-11-13,-1176
Joe Johnson,UTA ," SG,SF",1047,403,1460,2016-11-13,-644
Larry Nance Jr.,LAL , PF,741,690,1437,2016-11-13,-51
JaMychal Green,MEM , PF,1360,51,1417,2016-11-13,-1309
Luol Deng,LAL ," SF,PF",1236,164,1404,2016-11-13,-1072
Kenneth Faried,DEN ," PF,C",386,982,1385,2016-11-13,596
Vince Carter,MEM ," SG,SF",69,1308,1378,2016-11-13,1239
Patty Mills,SA , PG,919,438,1361,2016-11-13,-481
Michael Kidd-Gilchrist,CHA , SF,758,579,1351,2016-11-13,-179
Sergio Rodriguez,PHI , PG,912,412,1335,2016-11-13,-500
Jusuf Nurkic,DEN , C,1253,45,1323,2016-11-13,-1208
Thabo Sefolosha,ATL ," SG,SF",668,639,1311,2016-11-13,-29
Bismack Biyombo,ORL ," PF,C",779,505,1297,2016-11-13,-274
Lucas Nogueira,TOR ," PF,C",249,11035,11287,2016-11-14,10786
Maurice Harkless,POR , SF,459,6360,6827,2016-11-14,5901
Kelly Olynyk,BOS , C,1105,4265,5371,2016-11-14,3160
Jared Dudley,PHO ," SG,SF,PF",662,4238,4900,2016-11-14,3576
John Henson,MIL ," PF,C",124,4490,4614,2016-11-14,4366
Andre Roberson,OKC ," SG,SF",795,3029,3824,2016-11-14,2234
Channing Frye,CLE ," PF,C",269,3233,3505,2016-11-14,2964
Sean Kilpatrick,BKN ," PG,SG",449,2986,3442,2016-11-14,2537
Wilson Chandler,DEN ," SG,SF,PF",493,2768,3269,2016-11-14,2275
Domantas Sabonis,OKC , PF,3058,145,3204,2016-11-14,-2913
Rondae Hollis-Jefferson,BKN ," SG,SF",370,2767,3144,2016-11-14,2397
Al-Farouq Aminu,POR ," SF,PF",2635,152,2795,2016-11-14,-2483
Cody Zeller,CHA ," PF,C",2376,412,2792,2016-11-14,-1964
Nick Young,LAL ," SG,SF",1586,1191,2790,2016-11-14,-395
Tyus Jones,MIN , PG,2639,68,2711,2016-11-14,-2571
Trevor Booker,BKN , PF,198,2477,2686,2016-11-14,2279
Lou Williams,LAL ," PG,SG",282,2376,2678,2016-11-14,2094
Kris Dunn,MIN , PG,2549,74,2628,2016-11-14,-2475
Seth Curry,DAL ," PG,SG",669,1933,2606,2016-11-14,1264
J.J. Barea,DAL ," PG,SG",608,1966,2585,2016-11-14,1358
Danny Green,SA ," SG,SF",2249,164,2421,2016-11-14,-2085
Tyson Chandler,PHO , C,1846,558,2418,2016-11-14,-1288
Michael Kidd-Gilchrist,CHA , SF,442,1962,2414,2016-11-14,1520
Thabo Sefolosha,ATL ," SG,SF",535,1860,2396,2016-11-14,1325
Nemanja Bjelica,MIN , PF,94,2286,2380,2016-11-14,2192
Alex Len,PHO ," PF,C",1962,407,2379,2016-11-14,-1555
Sergio Rodriguez,PHI , PG,1787,568,2370,2016-11-14,-1219
C.J. Miles,IND ," SG,SF",798,1504,2319,2016-11-14,706
Ricky Rubio,MIN , PG,169,2116,2296,2016-11-14,1947
Allen Crabbe,POR ," PG,SG",1746,541,2288,2016-11-14,-1205
E'Twaun Moore,NO ," PG,SG",1759,487,2253,2016-11-14,-1272
Justin Hamilton,BKN ," PF,C",513,1731,2246,2016-11-14,1218
Kenneth Faried,DEN ," PF,C",249,1954,2220,2016-11-14,1705
Jon Leuer,DET ," PF,C",755,1440,2201,2016-11-14,685
Jusuf Nurkic,DEN , C,2123,41,2186,2016-11-14,-2082
Joe Johnson,UTA ," SG,SF",1759,399,2168,2016-11-14,-1360
Joakim Noah,NY ," PF,C",885,1267,2167,2016-11-14,382
Vince Carter,MEM ," SG,SF",199,1793,1992,2016-11-14,1594
Tyler Johnson,MIA ," PG,SG",1246,729,1988,2016-11-14,-517
Brandon Knight,PHO ," PG,SG",1678,228,1933,2016-11-14,-1450
Josh Richardson,MIA ," SG,SF",392,1528,1927,2016-11-14,1136
Iman Shumpert,CLE ," SG,SF",348,1557,1905,2016-11-14,1209
Will Barton,DEN ," SG,SF",1055,832,1896,2016-11-14,-223
Terrence Jones,NO ," SF,PF",1485,354,1844,2016-11-14,-1131
DeMarre Carroll,TOR ," SF,PF",1454,347,1813,2016-11-14,-1107
Bojan Bogdanovic,BKN ," SG,SF",1325,462,1793,2016-11-14,-863
Emmanuel Mudiay,DEN , PG,1490,267,1789,2016-11-14,-1223
Nikola Jokic,DEN ," PF,C",1585,125,1745,2016-11-14,-1460
Gary Harris,DEN ," SG,SF",1673,57,1739,2016-11-14,-1616
Matthew Dellavedova,MIL ," PG,SG",1512,199,1725,2016-11-14,-1313
John Henson,MIL ," PF,C",257,9247,9504,2016-11-15,8990
Lucas Nogueira,TOR ," PF,C",3667,4307,7975,2016-11-15,640
Vince Carter,MEM ," SG,SF",179,7224,7404,2016-11-15,7045
Channing Frye,CLE ," PF,C",274,4743,5017,2016-11-15,4469
Gary Harris,DEN ," SG,SF",4493,49,4545,2016-11-15,-4444
Maurice Harkless,POR , SF,766,2632,3400,2016-11-15,1866
C.J. Miles,IND ," SG,SF",224,3159,3391,2016-11-15,2935
Will Barton,DEN ," SG,SF",555,2660,3219,2016-11-15,2105
Patrick Beverley,HOU ," PG,SG",187,2869,3057,2016-11-15,2682
Jared Dudley,PHO ," SG,SF,PF",314,2521,2835,2016-11-15,2207
Danny Green,SA ," SG,SF",2714,61,2785,2016-11-15,-2653
Trey Lyles,UTA , PF,213,2542,2756,2016-11-15,2329
Sean Kilpatrick,BKN ," PG,SG",1623,1110,2746,2016-11-15,-513
Rondae Hollis-Jefferson,BKN ," SG,SF",1768,861,2635,2016-11-15,-907
Sergio Rodriguez,PHI , PG,2301,295,2609,2016-11-15,-2006
Nick Young,LAL ," SG,SF",1679,801,2496,2016-11-15,-878
Jon Leuer,DET ," PF,C",523,1833,2365,2016-11-15,1310
Seth Curry,DAL ," PG,SG",700,1613,2314,2016-11-15,913
Mike Muscala,ATL ," PF,C",422,1874,2298,2016-11-15,1452
Kelly Olynyk,BOS , C,1709,523,2235,2016-11-15,-1186
Tyreke Evans,NO ," PG,SG,SF",192,2033,2227,2016-11-15,1841
Thabo Sefolosha,ATL ," SG,SF",738,1348,2091,2016-11-15,610
Michael Kidd-Gilchrist,CHA , SF,776,1304,2088,2016-11-15,528
J.J. Barea,DAL ," PG,SG",355,1693,2066,2016-11-15,1338
Joe Johnson,UTA ," SG,SF",1894,161,2058,2016-11-15,-1733
E'Twaun Moore,NO ," PG,SG",1873,149,2028,2016-11-15,-1724
Wilson Chandler,DEN ," SG,SF,PF",362,1526,1889,2016-11-15,1164
Justin Hamilton,BKN ," PF,C",1639,203,1844,2016-11-15,-1436
Domantas Sabonis,OKC , PF,1794,34,1832,2016-11-15,-1760
DeMarre Carroll,TOR ," SF,PF",1488,309,1803,2016-11-15,-1179
Josh Richardson,MIA ," SG,SF",719,1070,1794,2016-11-15,351
Tyson Chandler,PHO , C,673,1070,1759,2016-11-15,397
Dion Waiters,MIA ," SG,SF",292,1454,1749,2016-11-15,1162
Lou Williams,LAL ," PG,SG",509,1197,1719,2016-11-15,688
Justise Winslow,MIA ," SF,PF",1480,216,1707,2016-11-15,-1264
Tyler Johnson,MIA ," PG,SG",956,735,1706,2016-11-15,-221
Al-Farouq Aminu,POR ," SF,PF",1542,159,1703,2016-11-15,-1383
Kris Dunn,MIN , PG,1588,85,1679,2016-11-15,-1503
Nemanja Bjelica,MIN , PF,815,818,1633,2016-11-15,3
Cody Zeller,CHA ," PF,C",1103,487,1592,2016-11-15,-616
Marcus Smart,BOS , PG,197,1377,1582,2016-11-15,1180
Bojan Bogdanovic,BKN ," SG,SF",756,786,1550,2016-11-15,30
Joakim Noah,NY ," PF,C",1187,345,1546,2016-11-15,-842
Tim Frazier,NO ," PG,SG",1210,302,1537,2016-11-15,-908
K. Korver,CLE ," SG,SF",820,698,1535,2016-11-15,-122
James Ennis III,MEM ," SG,SF",1452,66,1518,2016-11-15,-1386
Clint Capela,HOU ," PF,C",149,1303,1465,2016-11-15,1154
Trevor Booker,BKN , PF,644,808,1461,2016-11-15,164
Jamal Crawford,LAC ," SG,SF",291,1111,1405,2016-11-15,820
Andre Roberson,OKC ," SG,SF",1114,267,1384,2016-11-15,-847
Lucas Nogueira,TOR ," PF,C",9653,300,9956,2016-11-16,-9353
Patrick Beverley,HOU ," PG,SG",190,7323,7515,2016-11-16,7133
Channing Frye,CLE ," PF,C",777,5847,6624,2016-11-16,5070
J.J. Barea,DAL ," PG,SG",3998,1018,5031,2016-11-16,-2980
Mike Muscala,ATL ," PF,C",346,4401,4753,2016-11-16,4055
Sean Kilpatrick,BKN ," PG,SG",4183,202,4393,2016-11-16,-3981
Wilson Chandler,DEN ," SG,SF,PF",341,3654,4000,2016-11-16,3313
Terrence Jones,NO ," SF,PF",238,3585,3826,2016-11-16,3347
John Henson,MIL ," PF,C",634,3002,3637,2016-11-16,2368
Nick Young,LAL ," SG,SF",3068,469,3549,2016-11-16,-2599
Vince Carter,MEM ," SG,SF",538,2709,3247,2016-11-16,2171
Maurice Harkless,POR , SF,1184,1947,3138,2016-11-16,763
Seth Curry,DAL ," PG,SG",1040,2058,3101,2016-11-16,1018
Gary Harris,DEN ," SG,SF",3030,52,3088,2016-11-16,-2978
Trey Lyles,UTA , PF,220,2838,3061,2016-11-16,2618
Ersan Ilyasova,PHI ," SF,PF",256,2640,2900,2016-11-16,2384
Josh Richardson,MIA ," SG,SF",205,2689,2900,2016-11-16,2484
Rondae Hollis-Jefferson,BKN ," SG,SF",2540,330,2877,2016-11-16,-2210
Tim Frazier,NO ," PG,SG",2577,260,2864,2016-11-16,-2317
Jared Dudley,PHO ," SG,SF,PF",1240,1594,2834,2016-11-16,354
Will Barton,DEN ," SG,SF",865,1920,2791,2016-11-16,1055
C.J. Miles,IND ," SG,SF",609,2142,2764,2016-11-16,1533
Deron Williams,DAL , PG,991,1516,2515,2016-11-16,525
Tyson Chandler,PHO , C,600,1870,2480,2016-11-16,1270
Bojan Bogdanovic,BKN ," SG,SF",312,2052,2374,2016-11-16,1740
Thabo Sefolosha,ATL ," SG,SF",1833,444,2282,2016-11-16,-1389
Tyler Johnson,MIA ," SF,PF",195,2044,2239,2016-11-16,1849
Justise Winslow,MIA ," SF,PF",2146,75,2235,2016-11-16,-2071
Clint Capela,HOU ," PF,C",105,2019,2142,2016-11-16,1914
Jon Leuer,DET ," PF,C",373,1602,1980,2016-11-16,1229
Tyler Johnson,MIA ," PG,SG",925,1016,1958,2016-11-16,91
Dion Waiters,MIA ," SG,SF",437,1384,1823,2016-11-16,947
Allen Crabbe,POR ," PG,SG",494,1314,1809,2016-11-16,820
Alex Len,PHO ," PF,C",1504,264,1782,2016-11-16,-1240
Jusuf Nurkic,DEN , C,1508,117,1644,2016-11-16,-1391
Michael Kidd-Gilchrist,CHA , SF,1096,505,1612,2016-11-16,-591
Lou Williams,LAL ," PG,SG",1059,524,1604,2016-11-16,-535
Sergio Rodriguez,PHI , PG,924,653,1590,2016-11-16,-271
Brandon Knight,PHO ," PG,SG",672,881,1581,2016-11-16,209
Kenneth Faried,DEN ," PF,C",117,1421,1559,2016-11-16,1304
Kelly Olynyk,BOS , C,1222,332,1556,2016-11-16,-890
DeMarre Carroll,TOR ," SF,PF",1120,424,1547,2016-11-16,-696
Norman Powell,TOR ," SG,SF",475,1071,1546,2016-11-16,596
Matthew Dellavedova,MIL ," PG,SG",720,698,1426,2016-11-16,-22
Robert Covington,PHI ," SF,PF",1125,293,1425,2016-11-16,-832
Joakim Noah,NY ," PF,C",381,983,1378,2016-11-16,602
Danny Green,SA ," SG,SF",1205,163,1374,2016-11-16,-1042
Cody Zeller,CHA ," PF,C",570,792,1369,2016-11-16,222
Dario Saric,PHI ," SF,PF",317,1044,1369,2016-11-16,727
Kris Dunn,MIN , PG,1259,75,1337,2016-11-16,-1184
J.J. Barea,DAL ," PG,SG",15051,167,15235,2016-11-17,-14884
Wilson Chandler,DEN ," SG,SF,PF",157,9692,9855,2016-11-17,9535
Seth Curry,DAL ," PG,SG",654,7016,7681,2016-11-17,6362
Lucas Nogueira,TOR ," PF,C",6510,151,6671,2016-11-17,-6359
Jon Leuer,DET ," PF,C",143,6148,6295,2016-11-17,6005
Terrence Jones,NO ," SF,PF",164,4180,4350,2016-11-17,4016
Patrick Beverley,HOU ," PG,SG",350,3809,4159,2016-11-17,3459
Channing Frye,CLE ," PF,C",870,3245,4118,2016-11-17,2375
Tim Frazier,NO ," PG,SG",3321,178,3527,2016-11-17,-3143
Mike Muscala,ATL ," PF,C",518,2987,3509,2016-11-17,2469
Vince Carter,MEM ," SG,SF",616,2672,3289,2016-11-17,2056
Trey Lyles,UTA , PF,640,2363,3007,2016-11-17,1723
Ersan Ilyasova,PHI ," SF,PF",729,2262,2998,2016-11-17,1533
Sergio Rodriguez,PHI , PG,2076,767,2855,2016-11-17,-1309
Robert Covington,PHI ," SF,PF",2643,163,2817,2016-11-17,-2480
Sean Kilpatrick,BKN ," PG,SG",2413,206,2635,2016-11-17,-2207
Nick Young,LAL ," SG,SF",2193,392,2606,2016-11-17,-1801
Tony Parker,SA , PG,190,2209,2403,2016-11-17,2019
Clint Capela,HOU ," PF,C",177,2135,2326,2016-11-17,1958
Tyson Chandler,PHO , C,800,1483,2289,2016-11-17,683
Ish Smith,DET , PG,407,1814,2238,2016-11-17,1407
Alex Len,PHO ," PF,C",2039,141,2193,2016-11-17,-1898
C.J. Miles,IND ," SG,SF",888,1201,2099,2016-11-17,313
Maurice Harkless,POR , SF,713,1372,2097,2016-11-17,659
John Henson,MIL ," PF,C",1160,911,2074,2016-11-17,-249
Bojan Bogdanovic,BKN ," SG,SF",202,1855,2069,2016-11-17,1653
Thabo Sefolosha,ATL ," SG,SF",1865,145,2018,2016-11-17,-1720
Jusuf Nurkic,DEN , C,1866,115,2016,2016-11-17,-1751
Kenneth Faried,DEN ," PF,C",56,1923,2006,2016-11-17,1867
Dion Waiters,MIA ," SG,SF",465,1536,2005,2016-11-17,1071
Greg Monroe,MIL ," PF,C",1754,163,1952,2016-11-17,-1591
Tyler Johnson,MIA ," PG,SG",1266,607,1890,2016-11-17,-659
Jared Dudley,PHO ," SG,SF,PF",1538,341,1884,2016-11-17,-1197
Deron Williams,DAL , PG,1390,437,1830,2016-11-17,-953
Joakim Noah,NY ," PF,C",687,1025,1723,2016-11-17,338
Will Barton,DEN ," SG,SF",766,929,1702,2016-11-17,163
Josh Richardson,MIA ," SG,SF",479,1215,1696,2016-11-17,736
Brandon Knight,PHO ," PG,SG",197,1458,1679,2016-11-17,1261
Matthew Dellavedova,MIL ," PG,SG",1061,599,1672,2016-11-17,-462
Allen Crabbe,POR ," PG,SG",838,802,1646,2016-11-17,-36
Justise Winslow,MIA ," SF,PF",1531,84,1635,2016-11-17,-1447
Cody Zeller,CHA ," PF,C",478,1145,1629,2016-11-17,667
Rondae Hollis-Jefferson,BKN ," SG,SF",1234,384,1627,2016-11-17,-850
Derrick Favors,UTA ," PF,C",1497,104,1622,2016-11-17,-1393
Courtney Lee,NY ," SG,SF",1370,202,1581,2016-11-17,-1168
Kelly Olynyk,BOS , C,1233,329,1571,2016-11-17,-904
Gary Harris,DEN ," SG,SF",1482,67,1559,2016-11-17,-1415
Marcus Morris,DET ," SF,PF",1360,167,1551,2016-11-17,-1193
Tyler Johnson,MIA ," SF,PF",549,997,1548,2016-11-17,448
Jameer Nelson,DEN , PG,94,1440,1534,2016-11-17,1346
J.J. Barea,DAL ," PG,SG",11153,91,11258,2016-11-18,-11062
Wilson Chandler,DEN ," SG,SF,PF",224,5523,5756,2016-11-18,5299
C.J. Miles,IND ," SG,SF",4306,724,5049,2016-11-18,-3582
Seth Curry,DAL ," PG,SG",567,4471,5048,2016-11-18,3904
Jon Leuer,DET ," PF,C",205,4714,4925,2016-11-18,4509
Channing Frye,CLE ," PF,C",2113,1829,3944,2016-11-18,-284
Cody Zeller,CHA ," PF,C",224,3572,3803,2016-11-18,3348
Vince Carter,MEM ," SG,SF",582,2949,3533,2016-11-18,2367
Lucas Nogueira,TOR ," PF,C",3162,187,3360,2016-11-18,-2975
Terrence Jones,NO ," SF,PF",146,2827,2974,2016-11-18,2681
Patrick Beverley,HOU ," PG,SG",567,2222,2797,2016-11-18,1655
Dion Waiters,MIA ," SG,SF",269,2499,2771,2016-11-18,2230
Sean Kilpatrick,BKN ," PG,SG",2351,264,2631,2016-11-18,-2087
Sergio Rodriguez,PHI , PG,2286,302,2607,2016-11-18,-1984
Nik Stauskas,PHI ," SG,SF",157,2421,2579,2016-11-18,2264
Maurice Harkless,POR , SF,753,1665,2430,2016-11-18,912
Tyson Chandler,PHO , C,1627,732,2368,2016-11-18,-895
Ish Smith,DET , PG,465,1619,2094,2016-11-18,1154
Robert Covington,PHI ," SF,PF",1931,96,2037,2016-11-18,-1835
Mike Muscala,ATL ," PF,C",474,1551,2029,2016-11-18,1077
Nick Young,LAL ," SG,SF",1383,515,1925,2016-11-18,-868
Josh Richardson,MIA ," SG,SF",317,1435,1759,2016-11-18,1118
Tyler Johnson,MIA ," SF,PF",286,1442,1729,2016-11-18,1156
Greg Monroe,MIL ," PF,C",1574,112,1714,2016-11-18,-1462
Tyler Johnson,MIA ," PG,SG",1199,504,1712,2016-11-18,-695
Clint Capela,HOU ," PF,C",154,1547,1712,2016-11-18,1393
Tony Parker,SA , PG,311,1391,1703,2016-11-18,1080
Ersan Ilyasova,PHI ," SF,PF",814,863,1680,2016-11-18,49
Tim Frazier,NO ," PG,SG",1277,351,1660,2016-11-18,-926
Allen Crabbe,POR ," PG,SG",1469,142,1618,2016-11-18,-1327
John Henson,MIL ," PF,C",428,1184,1613,2016-11-18,756
Jrue Holiday,NO , PG,37,1522,1582,2016-11-18,1485
Thabo Sefolosha,ATL ," SG,SF",1443,123,1574,2016-11-18,-1320
Bojan Bogdanovic,BKN ," SG,SF",291,1257,1561,2016-11-18,966
Kelly Olynyk,BOS , C,1198,334,1535,2016-11-18,-864
Will Barton,DEN ," SG,SF",379,1115,1503,2016-11-18,736
Brandon Knight,PHO ," PG,SG",147,1312,1483,2016-11-18,1165
Jared Dudley,PHO ," SG,SF,PF",332,1126,1459,2016-11-18,794
Trevor Booker,BKN , PF,651,767,1439,2016-11-18,116
Alex Len,PHO ," PF,C",561,810,1381,2016-11-18,249
Trey Lyles,UTA , PF,751,624,1379,2016-11-18,-127
Matthew Dellavedova,MIL ," PG,SG",1013,342,1368,2016-11-18,-671
Rondae Hollis-Jefferson,BKN ," SG,SF",739,593,1339,2016-11-18,-146
Deron Williams,DAL , PG,1015,290,1310,2016-11-18,-725
Jamal Crawford,LAC ," SG,SF",256,1007,1271,2016-11-18,751
Courtney Lee,NY ," SG,SF",1216,48,1269,2016-11-18,-1168
Michael Kidd-Gilchrist,CHA , SF,663,558,1249,2016-11-18,-105
Marcus Morris,DET ," SF,PF",1013,213,1247,2016-11-18,-800
Danny Green,SA ," SG,SF",337,879,1229,2016-11-18,542
Dario Saric,PHI ," SF,PF",369,834,1213,2016-11-18,465
Wilson Chandler,DEN ," SG,SF,PF",89,8076,8176,2016-11-19,7987
Matt Barnes,SAC ," SG,SF",214,6421,6635,2016-11-19,6207
C.J. Miles,IND ," SG,SF",6432,132,6580,2016-11-19,-6300
Cody Zeller,CHA ," PF,C",1255,3847,5111,2016-11-19,2592
Terrence Ross,TOR ," SG,SF",175,4706,4883,2016-11-19,4531
J.J. Barea,DAL ," PG,SG",4280,116,4412,2016-11-19,-4164
Terrence Jones,NO ," SF,PF",796,2782,3584,2016-11-19,1986
Jonathan Gibson,DAL ," PG,SG",49,3460,3509,2016-11-19,3411
Ty Lawson,SAC , PG,194,3302,3498,2016-11-19,3108
Mike Muscala,ATL ," PF,C",422,2828,3250,2016-11-19,2406
Jon Leuer,DET ," PF,C",1598,1603,3207,2016-11-19,5
Channing Frye,CLE ," PF,C",2715,367,3089,2016-11-19,-2348
Lucas Nogueira,TOR ," PF,C",2667,353,3036,2016-11-19,-2314
Sean Kilpatrick,BKN ," PG,SG",2584,375,2972,2016-11-19,-2209
Vince Carter,MEM ," SG,SF",2416,454,2872,2016-11-19,-1962
Nick Young,LAL ," SG,SF",325,2515,2858,2016-11-19,2190
Tyler Johnson,MIA ," PG,SG",2389,326,2735,2016-11-19,-2063
Jared Dudley,PHO ," SG,SF,PF",832,1842,2674,2016-11-19,1010
Kelly Olynyk,BOS , C,2545,68,2621,2016-11-19,-2477
Alan Williams,PHO , PF,197,2376,2573,2016-11-19,2179
Seth Curry,DAL ," PG,SG",1696,817,2516,2016-11-19,-879
Maurice Harkless,POR , SF,743,1566,2323,2016-11-19,823
Jrue Holiday,NO , PG,32,2249,2300,2016-11-19,2217
Tyson Chandler,PHO , C,1882,204,2098,2016-11-19,-1678
Greg Monroe,MIL ," PF,C",1740,201,1977,2016-11-19,-1539
Tony Parker,SA , PG,326,1602,1930,2016-11-19,1276
Will Barton,DEN ," SG,SF",302,1440,1747,2016-11-19,1138
Patrick Beverley,HOU ," PG,SG",766,929,1702,2016-11-19,163
E'Twaun Moore,NO ," PG,SG",1385,276,1663,2016-11-19,-1109
Robert Covington,PHI ," SF,PF",1552,86,1651,2016-11-19,-1466
Tyreke Evans,NO ," PG,SG,SF",115,1466,1586,2016-11-19,1351
Sergio Rodriguez,PHI , PG,1244,298,1562,2016-11-19,-946
Tim Frazier,NO ," PG,SG",626,906,1561,2016-11-19,280
Dion Waiters,MIA ," SG,SF",514,1039,1555,2016-11-19,525
Bojan Bogdanovic,BKN ," SG,SF",377,1158,1548,2016-11-19,781
