Name,Team,Position,Dropped,Added,Total,Date,Net
T.J. Warren,PHO , SF,319,8347,8667,2016-10-28,8028
Tim Hardaway Jr.,ATL ," SG,SF",119,7343,7462,2016-10-28,7224
Maurice Harkless,POR , SF,147,7169,7317,2016-10-28,7022
Jonathon Simmons,SA ," SG,SF",4787,1457,6245,2016-10-28,-3330
Joe Johnson,UTA ," SG,SF",1087,5114,6203,2016-10-28,4027
Sergio Rodriguez,PHI , PG,182,4748,4932,2016-10-28,4566
Dewayne Dedmon,SA , C,66,4803,4869,2016-10-28,4737
Michael Kidd-Gilchrist,CHA , SF,549,4154,4709,2016-10-28,3605
Justin Hamilton,BKN ," PF,C",388,3796,4184,2016-10-28,3408
J.J. Barea,DAL ," PG,SG",510,3061,3571,2016-10-28,2551
Allen Crabbe,POR ," PG,SG",680,2871,3554,2016-10-28,2191
Ty Lawson,SAC , PG,602,2809,3416,2016-10-28,2207
Evan Turner,POR ," SG,SF",3154,190,3352,2016-10-28,-2964
Cody Zeller,CHA ," PF,C",235,3062,3297,2016-10-28,2827
Thabo Sefolosha,ATL ," SG,SF",58,3163,3221,2016-10-28,3105
Willie Cauley-Stein,SAC ," PF,C",2981,194,3180,2016-10-28,-2787
Marcus Morris,DET ," SF,PF",178,2965,3153,2016-10-28,2787
Al-Farouq Aminu,POR ," SF,PF",2804,160,2975,2016-10-28,-2644
Tim Frazier,NO ," PG,SG",144,2799,2947,2016-10-28,2655
Alex Len,PHO ," PF,C",2488,157,2653,2016-10-28,-2331
Tony Parker,SA , PG,2046,423,2479,2016-10-28,-1623
Al Jefferson,IND ," PF,C",2199,258,2466,2016-10-28,-1941
Brandon Ingram,LAL ," SG,SF",2168,271,2458,2016-10-28,-1897
Terrence Jones,NO ," SF,PF",2287,164,2457,2016-10-28,-2123
Buddy Hield,NO , SG,2272,157,2449,2016-10-28,-2115
Bojan Bogdanovic,BKN ," SG,SF",988,1428,2420,2016-10-28,440
Will Barton,DEN ," SG,SF",208,2168,2391,2016-10-28,1960
Trevor Booker,BKN , PF,131,2235,2366,2016-10-28,2104
Rondae Hollis-Jefferson,BKN ," SG,SF",2140,184,2333,2016-10-28,-1956
Taj Gibson,CHI ," PF,C",212,1959,2175,2016-10-28,1747
Seth Curry,DAL ," PG,SG",1611,475,2092,2016-10-28,-1136
Wade Baldwin IV,MEM , PG,162,1905,2067,2016-10-28,1743
Tyler Johnson,MIA ," PG,SG",353,1708,2062,2016-10-28,1355
Lance Stephenson,NO ," SG,SF",68,1923,1992,2016-10-28,1855
Kentavious Caldwell-Pope,DET , SG,1795,144,1956,2016-10-28,-1651
Matt Barnes,SAC ," SG,SF",1447,489,1937,2016-10-28,-958
Timofey Mozgov,LAL , C,459,1332,1795,2016-10-28,873
JaMychal Green,MEM , PF,183,1556,1744,2016-10-28,1373
Bobby Portis,CHI ," PF,C",1707,24,1734,2016-10-28,-1683
Mirza Teletovic,MIL ," SF,PF",1443,269,1715,2016-10-28,-1174
Patty Mills,SA , PG,938,740,1682,2016-10-28,-198
Trey Lyles,UTA , PF,1612,54,1669,2016-10-28,-1558
Mason Plumlee,POR ," PF,C",280,1373,1661,2016-10-28,1093
Nerlens Noel,PHI ," PF,C",1364,275,1654,2016-10-28,-1089
Stanley Johnson,DET ," SG,SF",1586,41,1634,2016-10-28,-1545
Patrick Beverley,HOU ," PG,SG",1453,130,1584,2016-10-28,-1323
Courtney Lee,NY ," SG,SF",1402,144,1557,2016-10-28,-1258
Jamal Crawford,LAC ," SG,SF",658,879,1549,2016-10-28,221
James Ennis III,MEM ," SG,SF",71,1476,1547,2016-10-28,1405
T.J. Warren,PHO , SF,195,11696,11896,2016-10-29,11501
Lance Stephenson,NO ," SG,SF",707,7504,8211,2016-10-29,6797
Trevor Booker,BKN , PF,220,6673,6893,2016-10-29,6453
Roy Hibbert,CHA , C,6151,487,6641,2016-10-29,-5664
Andre Roberson,OKC ," SG,SF",94,4939,5033,2016-10-29,4845
Tim Hardaway Jr.,ATL ," SG,SF",1334,3096,4430,2016-10-29,1762
Terrence Jones,NO ," SF,PF",4298,104,4404,2016-10-29,-4194
Marcus Morris,DET ," SF,PF",142,4095,4244,2016-10-29,3953
Rondae Hollis-Jefferson,BKN ," SG,SF",3572,212,3793,2016-10-29,-3360
Sergio Rodriguez,PHI , PG,410,3299,3711,2016-10-29,2889
Dewayne Dedmon,SA , C,205,3491,3696,2016-10-29,3286
Michael Kidd-Gilchrist,CHA , SF,2465,1194,3664,2016-10-29,-1271
Tim Frazier,NO ," PG,SG",213,3302,3523,2016-10-29,3089
J.J. Barea,DAL ," PG,SG",454,2875,3331,2016-10-29,2421
Joe Johnson,UTA ," SG,SF",904,2342,3250,2016-10-29,1438
James Ennis III,MEM ," SG,SF",94,3152,3246,2016-10-29,3058
