Name,Scored
Jerami Grant,6.08004427663
Jeremy Lamb,13.6710079487
Jeremy Lin,14.887639115
Jerian Grant,8.94272739093
Jerryd Bayless,7.64760311034
Jimmy Butler,11.7750609633
Joakim Noah,11.9874674139
Jodie Meeks,8.88334656275
Joe Harris,6.86526889466
Joe Ingles,10.6580564207
Joe Johnson,8.93125364474
Joe Young,6.42504863795
Joel Anthony,
Joel Bolomboy,2.30389163518
Joel Embiid,18.6666369047
Joffrey Lauvergne,8.42096138097
John Henson,11.2888984958
John Holland,
John Jenkins,0.935191602472
John Lucas III,0.0
John Wall,16.841485164
Jon Leuer,7.03857503061
Jonas Jerebko,4.57723573312
Jonas Valanciunas,12.1501727712
Jonathan Gibson,11.6441976857
Jonathan Holmes,
Jonathon Simmons,6.89317426512
Jordan Clarkson,7.63504954021
Jordan Farmar,13.6953459248
Jordan Hill,1.37783798032
Jordan McRae,4.97696262056
Jordan Mickey,3.50580199739
Jose Calderon,8.57496895578
Josh Huestis,0.0
Josh McRoberts,8.8159656306
Josh Richardson,12.3115206886
Jrue Holiday,16.5448719687
Juancho Hernangomez,8.50712936307
Julius Randle,13.7880075581
Justin Anderson,7.44971062564
Justin Hamilton,9.46190614962
Justin Holiday,7.6457640778
Justise Winslow,13.8539780689
Jusuf Nurkic,11.0580852773
K.J. McDaniels,6.1683433874
Karl-Anthony Towns,11.7557754462
Kawhi Leonard,8.85194238899
Kay Felder,4.54010507726
Kelly Olynyk,11.172676095
Kelly Oubre Jr.,9.96422702261
Kemba Walker,9.49287013149
Kenneth Faried,12.1360945805
Kent Bazemore,11.7779985566
Kentavious Caldwell-Pope,11.6902161591
Kevin Durant,9.71339776566
Kevin Love,10.6234242529
Kevin Seraphin,8.32288511675
Kevon Looney,5.66657711091
Khris Middleton,0.0
Klay Thompson,11.0583243966
Kosta Koufos,7.3640879725
Kris Dunn,8.09141609935
Kris Humphries,7.82408141573
Kristaps Porzingis,10.563074442
Kyle Anderson,7.69827732235
Kyle Korver,8.65427399227
Kyle Lowry,8.43468484974
Kyle O'Quinn,11.7089442308
Kyle Singler,3.58285407142
Kyle Wiltjer,1.04642031279
Kyrie Irving,10.451961849
LaMarcus Aldridge,12.037814062
Lance Stephenson,13.7009949239
Lance Thomas,5.80646191755
Langston Galloway,10.3365901609
Larry Nance Jr.,10.2517196806
