Id,Name,Position,Team,Salary,Projected,Scored,Date
148985,Anthony Davis,PF/C,NO,11500,0.0,0.0,2016-12-10
148986,DeMarcus Cousins,PF/C,SAC,10300,57.53,39.0,2016-12-10
148987,Kevin Love,PF/C,CLE,7800,43.95,36.0,2016-12-10
148988,Draymond Green,PF/C,GS,7700,37.95,19.25,2016-12-10
148989,LaMarcus Aldridge,PF/C,SA,6200,32.65,29.25,2016-12-10
148990,Serge Ibaka,PF/C,ORL,6000,29.51,38.0,2016-12-10
148991,Zach Randolph,PF/C,MEM,5400,28.01,24.75,2016-12-10
148992,Taj Gibson,PF/C,CHI,5100,25.11,22.75,2016-12-10
148993,Dwight Powell,PF/C,DAL,5000,25.05,22.0,2016-12-10
148994,Kenneth Faried,PF/C,DEN,4600,14.84,33.5,2016-12-10
148995,Trey Lyles,PF/C,UTA,4200,16.72,25.25,2016-12-10
148996,Josh McRoberts,PF/C,MIA,4000,18.26,18.25,2016-12-10
148997,Boris Diaw,PF/C,UTA,3700,17.26,8.25,2016-12-10
148998,Marreese Speights,PF/C,LAC,3700,15.62,40.5,2016-12-10
148999,Jason Smith,PF/C,WAS,3000,8.0,3.5,2016-12-10
149000,Spencer Hawes,PF/C,CHA,3000,7.63,0.0,2016-12-10
149001,Brandon Bass,PF/C,LAC,3000,1.64,8.25,2016-12-10
149002,Luis Scola,PF/C,BKN,3000,5.21,31.25,2016-12-10
149003,James Harden,PG/SG,HOU,11300,52.63,57.75,2016-12-10
149004,C.J. McCollum,PG/SG,POR,6900,37.32,53.0,2016-12-10
149005,George Hill,PG/SG,UTA,6800,0.0,0.0,2016-12-10
149006,Darren Collison,PG/SG,SAC,4700,24.45,23.75,2016-12-10
149007,Jamal Murray,PG/SG,DEN,4400,20.04,9.75,2016-12-10
149008,Langston Galloway,PG/SG,NO,4400,19.74,17.5,2016-12-10
149009,Matthew Dellavedova,PG/SG,MIL,4000,21.52,15.0,2016-12-10
149010,Iman Shumpert,PG/SG,CLE,3500,16.44,28.75,2016-12-10
149011,Rodney Stuckey,PG/SG,IND,3500,18.98,11.25,2016-12-10
149012,Malcolm Brogdon,PG/SG,MIL,3200,17.06,17.0,2016-12-10
149013,Ian Clark,PG/SG,GS,3000,11.49,18.75,2016-12-10
149014,C.J. Watson,PG/SG,ORL,3000,4.29,0.0,2016-12-10
149015,Garrett Temple,PG/SG,SAC,3000,11.51,13.0,2016-12-10
149016,Randy Foye,PG/SG,BKN,3000,11.38,10.5,2016-12-10
149017,Giannis Antetokounmpo,PG,MIL,9900,51.19,53.25,2016-12-10
149018,John Wall,PG,WAS,9000,47.4,51.5,2016-12-10
149019,Chris Paul,PG,LAC,8800,48.77,65.25,2016-12-10
149020,Stephen Curry,PG,GS,8400,44.21,31.0,2016-12-10
149021,Damian Lillard,PG,POR,8400,47.47,51.75,2016-12-10
149022,Kemba Walker,PG,CHA,7500,38.17,35.25,2016-12-10
149023,Goran Dragic,PG,MIA,7300,36.46,42.75,2016-12-10
149024,Kyrie Irving,PG,CLE,7200,36.31,23.0,2016-12-10
149025,Mike Conley,PG,MEM,6900,0.0,0.0,2016-12-10
149026,Jeff Teague,PG,IND,6500,38.05,24.75,2016-12-10
149027,Deron Williams,PG,DAL,6000,31.24,22.25,2016-12-10
149028,Jrue Holiday,PG,NO,6000,0.0,0.0,2016-12-10
149029,Rajon Rondo,PG,CHI,5900,35.09,21.75,2016-12-10
149030,Tim Frazier,PG,NO,5700,23.78,38.25,2016-12-10
149031,Tyler Johnson,PG,MIA,5600,29.1,24.75,2016-12-10
149032,Jeremy Lin,PG,BKN,5500,0.0,0.0,2016-12-10
149033,Jameer Nelson,PG,DEN,5300,27.43,16.0,2016-12-10
149034,J.J. Barea,PG,DAL,5000,0.0,0.0,2016-12-10
149035,Shelvin Mack,PG,UTA,4900,24.24,19.0,2016-12-10
149036,Emmanuel Mudiay,PG,DEN,4800,12.08,10.25,2016-12-10
149037,Patrick Beverley,PG,HOU,4800,25.82,30.25,2016-12-10
149038,Patty Mills,PG,SA,4800,25.17,29.5,2016-12-10
149039,Andrew Harrison,PG,MEM,4600,21.42,26.0,2016-12-10
149040,Elfrid Payton,PG,ORL,4600,24.75,17.5,2016-12-10
149041,Tony Parker,PG,SA,4000,16.75,26.25,2016-12-10
149042,D.J. Augustin,PG,ORL,3700,18.7,24.75,2016-12-10
149043,Jerian Grant,PG,CHI,3600,2.99,1.25,2016-12-10
149044,Tomas Satoransky,PG,WAS,3500,2.33,0.0,2016-12-10
149045,Ty Lawson,PG,SAC,3400,12.46,12.75,2016-12-10
149046,Isaiah Whitehead,PG,BKN,3400,15.85,11.0,2016-12-10
149047,Ramon Sessions,PG,CHA,3300,9.4,13.0,2016-12-10
149048,Dante Exum,PG,UTA,3300,9.4,14.0,2016-12-10
149049,Shaun Livingston,PG,GS,3200,7.08,8.0,2016-12-10
149050,Wade Baldwin IV,PG,MEM,3200,12.86,-0.5,2016-12-10
149051,Austin Rivers,PG,LAC,3200,15.5,30.0,2016-12-10
149052,Michael Carter-Williams,PG,CHI,3000,0.0,0.0,2016-12-10
149053,Jason Terry,PG,MIL,3000,6.45,5.0,2016-12-10
149054,Trey Burke,PG,WAS,3000,9.04,8.5,2016-12-10
149055,Toney Douglas,PG,MEM,3000,8.44,17.25,2016-12-10
149056,Malik Beasley,PG,DEN,3000,0.0,0.0,2016-12-10
149057,Devin Harris,PG,DAL,3000,10.97,1.0,2016-12-10
149058,Tyler Ennis,PG,HOU,3000,0.23,0.0,2016-12-10
149059,Mo Williams,PG,CLE,3000,0.0,0.0,2016-12-10
149060,Brian Roberts,PG,CHA,3000,2.28,0.0,2016-12-10
149061,Aaron Harrison,PG,CHA,3000,0.0,0.0,2016-12-10
149062,Kay Felder,PG,CLE,3000,4.32,0.0,2016-12-10
149063,Raul Neto,PG,UTA,3000,2.2,20.0,2016-12-10
149064,Aaron Brooks,PG,IND,3000,6.32,12.0,2016-12-10
149065,Shabazz Napier,PG,POR,3000,0.0,0.0,2016-12-10
149066,Tim Quarterman,PG,POR,3000,0.0,0.0,2016-12-10
149067,Spencer Dinwiddie,PG,BKN,3000,0.0,13.75,2016-12-10
149068,Nicolas Laprovittola,PG,SA,3000,5.79,11.0,2016-12-10
149069,Bryn Forbes,PG,SA,3000,0.0,0.0,2016-12-10
149070,Dejounte Murray,PG,SA,3000,0.0,0.0,2016-12-10
149071,LeBron James,SF/PF,CLE,9400,52.55,79.75,2016-12-10
149072,Kevin Durant,SF/PF,GS,9300,51.05,37.25,2016-12-10
149073,Paul George,SF/PF,IND,8000,39.16,55.25,2016-12-10
149074,Rudy Gay,SF/PF,SAC,6500,31.16,34.25,2016-12-10
149075,Jabari Parker,SF/PF,MIL,6400,33.93,12.0,2016-12-10
149076,Wilson Chandler,SF/PF,DEN,6400,0.0,0.0,2016-12-10
149077,Harrison Barnes,SF/PF,DAL,6200,33.26,28.0,2016-12-10
149078,Otto Porter,SF/PF,WAS,6100,30.07,19.75,2016-12-10
149079,Trevor Ariza,SF/PF,HOU,5400,29.11,28.25,2016-12-10
149080,Markieff Morris,SF/PF,WAS,5200,25.26,38.25,2016-12-10
149081,Aaron Gordon,SF/PF,ORL,4000,18.52,25.5,2016-12-10
149082,Matt Barnes,SF/PF,SAC,4000,16.22,8.0,2016-12-10
149083,Nikola Mirotic,SF/PF,CHI,3900,19.46,18.75,2016-12-10
149084,Jeff Green,SF/PF,ORL,3700,17.81,24.0,2016-12-10
149085,Michael Beasley,SF/PF,MIL,3400,17.85,2.25,2016-12-10
149086,Luke Babbitt,SF/PF,MIA,3000,0.0,0.0,2016-12-10
149087,Dante Cunningham,SF/PF,NO,3000,0.0,0.0,2016-12-10
149088,Davis Bertans,SF/PF,SA,3000,1.24,20.5,2016-12-10
149089,Gordon Hayward,SF,UTA,8700,43.64,41.25,2016-12-10
149090,Kawhi Leonard,SF,SA,8300,39.79,48.0,2016-12-10
149091,Danilo Gallinari,SF,DEN,5500,25.35,33.5,2016-12-10
149092,Maurice Harkless,SF,POR,5000,25.32,10.25,2016-12-10
149093,Justise Winslow,SF,MIA,4900,0.0,0.0,2016-12-10
149094,Wayne Ellington,SF,MIA,4700,21.95,14.25,2016-12-10
149095,Michael Kidd-Gilchrist,SF,CHA,4400,25.53,6.0,2016-12-10
149096,Joe Ingles,SF,UTA,4400,22.84,26.5,2016-12-10
149097,Troy Williams,SF,MEM,3900,18.15,21.0,2016-12-10
149098,Sam Dekker,SF,HOU,3900,18.35,16.0,2016-12-10
149099,Chandler Parsons,SF,MEM,3800,0.0,0.0,2016-12-10
149100,Solomon Hill,SF,NO,3800,14.71,23.75,2016-12-10
149101,Glenn Robinson III,SF,IND,3700,7.81,6.25,2016-12-10
149102,Joe Harris,SF,BKN,3600,16.48,15.0,2016-12-10
149103,Rondae Hollis-Jefferson,SF,BKN,3500,16.91,21.75,2016-12-10
149104,Andre Iguodala,SF,GS,3400,0.0,0.0,2016-12-10
149105,Doug McDermott,SF,CHI,3300,15.08,10.75,2016-12-10
149106,Luc Richard Mbah a Moute,SF,LAC,3200,12.62,10.75,2016-12-10
149107,Derrick Williams,SF,MIA,3000,11.92,21.0,2016-12-10
149108,Denzel Valentine,SF,CHI,3000,2.04,3.25,2016-12-10
149109,Paul Zipser,SF,CHI,3000,0.61,0.0,2016-12-10
149110,Steve Novak,SF,MIL,3000,0.0,0.0,2016-12-10
149111,Alonzo Gee,SF,DEN,3000,0.0,0.0,2016-12-10
149112,Damjan Rudez,SF,ORL,3000,4.66,5.5,2016-12-10
149113,Mario Hezonja,SF,ORL,3000,4.74,4.0,2016-12-10
149114,K.J. McDaniels,SF,HOU,3000,1.58,0.0,2016-12-10
149115,Dorian Finney-Smith,SF,DAL,3000,12.41,22.5,2016-12-10
149116,Richard Jefferson,SF,CLE,3000,8.12,12.5,2016-12-10
149117,Treveon Graham,SF,CHA,3000,3.02,0.0,2016-12-10
149118,Omri Casspi,SF,SAC,3000,15.69,25.75,2016-12-10
149119,Pat Connaughton,SF,POR,3000,0.0,0.0,2016-12-10
149120,Paul Pierce,SF,LAC,3000,5.13,2.0,2016-12-10
149121,Wesley Johnson,SF,LAC,3000,4.43,20.5,2016-12-10
149122,Quincy Pondexter,SF,NO,3000,0.0,0.0,2016-12-10
149123,Anthony Brown,SF,NO,3000,0.0,0.0,2016-12-10
149124,Anthony Bennett,SF,BKN,3000,7.25,12.75,2016-12-10
149125,Hassan Whiteside,C,MIA,8600,50.27,40.5,2016-12-10
149126,Marc Gasol,C,MEM,7900,42.41,44.0,2016-12-10
149127,Rudy Gobert,C,UTA,7000,40.41,47.0,2016-12-10
149128,Brook Lopez,C,BKN,6400,38.0,29.75,2016-12-10
149129,DeAndre Jordan,C,LAC,6300,31.31,31.25,2016-12-10
149130,Nikola Vucevic,C,ORL,5900,0.0,0.0,2016-12-10
149131,Marcin Gortat,C,WAS,5800,32.13,30.5,2016-12-10
149132,Myles Turner,C,IND,5800,31.15,34.0,2016-12-10
149133,Clint Capela,C,HOU,5400,26.24,31.0,2016-12-10
149134,Pau Gasol,C,SA,5400,31.15,29.5,2016-12-10
149135,Mason Plumlee,C,POR,5300,29.28,20.25,2016-12-10
149136,Nikola Jokic,C,DEN,5200,32.32,36.0,2016-12-10
149137,Tristan Thompson,C,CLE,4900,24.15,30.0,2016-12-10
149138,Bismack Biyombo,C,ORL,4800,23.16,29.5,2016-12-10
149139,Robin Lopez,C,CHI,4600,28.2,24.0,2016-12-10
149140,Greg Monroe,C,MIL,4400,26.23,21.25,2016-12-10
149141,John Henson,C,MIL,4400,25.46,23.0,2016-12-10
149142,Jusuf Nurkic,C,DEN,4200,22.65,27.0,2016-12-10
149143,Cody Zeller,C,CHA,4100,21.43,32.75,2016-12-10
149144,Andrew Bogut,C,DAL,4000,0.0,0.0,2016-12-10
149145,Justin Hamilton,C,BKN,3800,0.0,0.0,2016-12-10
149146,Willie Reed,C,MIA,3600,11.36,20.25,2016-12-10
149147,Salah Mejri,C,DAL,3600,18.38,7.25,2016-12-10
149148,Ed Davis,C,POR,3500,15.11,26.5,2016-12-10
149149,Zaza Pachulia,C,GS,3300,14.9,0.0,2016-12-10
149150,Montrezl Harrell,C,HOU,3300,11.64,18.5,2016-12-10
149151,Al Jefferson,C,IND,3300,14.64,23.5,2016-12-10
149152,Dewayne Dedmon,C,SA,3100,13.37,15.5,2016-12-10
149153,Cristiano Felicio,C,CHI,3000,9.53,16.75,2016-12-10
149154,Ian Mahinmi,C,WAS,3000,0.0,0.0,2016-12-10
149155,Miles Plumlee,C,MIL,3000,0.0,0.0,2016-12-10
149156,Daniel Ochefu,C,WAS,3000,0.0,0.0,2016-12-10
149157,Anderson Varejao,C,GS,3000,1.52,10.25,2016-12-10
149158,JaVale McGee,C,GS,3000,9.88,12.5,2016-12-10
149159,Damian Jones,C,GS,3000,0.0,-1.0,2016-12-10
149160,Deyonta Davis,C,MEM,3000,3.98,1.25,2016-12-10
149161,Nene Hilario,C,HOU,3000,14.3,0.0,2016-12-10
149162,A.J. Hammons,C,DAL,3000,2.1,1.25,2016-12-10
149163,Chinanu Onuaku,C,HOU,3000,0.0,0.0,2016-12-10
149164,Chris Andersen,C,CLE,3000,7.52,0.0,2016-12-10
149165,Roy Hibbert,C,CHA,3000,12.46,9.0,2016-12-10
149166,Kosta Koufos,C,SAC,3000,10.77,7.25,2016-12-10
149167,Jeff Withey,C,UTA,3000,5.88,18.75,2016-12-10
149168,Willie Cauley-Stein,C,SAC,3000,9.75,6.5,2016-12-10
149169,Georgios Papagiannis,C,SAC,3000,0.0,0.0,2016-12-10
149170,Festus Ezeli,C,POR,3000,0.0,0.0,2016-12-10
149171,Kevin Seraphin,C,IND,3000,2.75,0.0,2016-12-10
149172,Alexis Ajinca,C,NO,3000,16.63,12.0,2016-12-10
149173,Omer Asik,C,NO,3000,11.37,8.0,2016-12-10
149174,Diamond Stone,C,LAC,3000,0.0,0.0,2016-12-10
149175,Blake Griffin,PF,LAC,8500,0.0,0.0,2016-12-10
149176,JaMychal Green,PF,MEM,5900,31.88,33.0,2016-12-10
149177,Derrick Favors,PF,UTA,5800,0.0,0.0,2016-12-10
149178,Trevor Booker,PF,BKN,5700,33.25,16.0,2016-12-10
149179,Dirk Nowitzki,PF,DAL,5000,0.0,0.0,2016-12-10
149180,Ryan Anderson,PF,HOU,4800,25.73,13.75,2016-12-10
149181,Thaddeus Young,PF,IND,4700,20.19,49.75,2016-12-10
149182,Terrence Jones,PF,NO,4600,23.03,23.75,2016-12-10
149183,James Johnson,PF,MIA,4500,0.0,0.0,2016-12-10
149184,Marvin Williams,PF,CHA,4300,24.23,19.25,2016-12-10
149185,Frank Kaminsky,PF,CHA,4000,21.27,21.0,2016-12-10
149186,Al-Farouq Aminu,PF,POR,4000,14.63,0.0,2016-12-10
149187,Channing Frye,PF,CLE,3500,0.0,0.0,2016-12-10
149188,David Lee,PF,SA,3500,10.26,21.0,2016-12-10
149189,Darrell Arthur,PF,DEN,3200,16.57,11.5,2016-12-10
149190,Chris Bosh,PF,MIA,3000,0.0,0.0,2016-12-10
149191,Udonis Haslem,PF,MIA,3000,0.77,0.0,2016-12-10
149192,Bobby Portis,PF,CHI,3000,4.26,0.0,2016-12-10
149193,Andrew Nicholson,PF,WAS,3000,1.25,4.75,2016-12-10
149194,Mirza Teletovic,PF,MIL,3000,7.07,33.25,2016-12-10
149195,Thon Maker,PF,MIL,3000,0.0,0.0,2016-12-10
149196,David West,PF,GS,3000,10.68,24.25,2016-12-10
149197,Brandan Wright,PF,MEM,3000,0.0,0.0,2016-12-10
149198,James Michael McAdoo,PF,GS,3000,1.62,2.0,2016-12-10
149199,Jarell Martin,PF,MEM,3000,8.5,25.75,2016-12-10
149200,Kevon Looney,PF,GS,3000,0.0,0.0,2016-12-10
149201,Arinze Onuaku,PF,ORL,3000,0.0,0.0,2016-12-10
149202,Stephen Zimmerman Jr.,PF,ORL,3000,0.0,3.25,2016-12-10
149203,Juancho Hernangomez,PF,DEN,3000,3.87,24.0,2016-12-10
149204,Kyle Wiltjer,PF,HOU,3000,0.0,0.0,2016-12-10
149205,Christian Wood,PF,CHA,3000,0.0,0.0,2016-12-10
149206,Anthony Tolliver,PF,SAC,3000,5.6,3.75,2016-12-10
149207,Joel Bolomboy,PF,UTA,3000,0.0,0.0,2016-12-10
149208,Skal Labissiere,PF,SAC,3000,0.0,0.0,2016-12-10
149209,Lavoy Allen,PF,IND,3000,2.76,0.0,2016-12-10
149210,Meyers Leonard,PF,POR,3000,13.85,8.0,2016-12-10
149211,Rakeem Christmas,PF,IND,3000,0.0,0.0,2016-12-10
149212,Georges Niang,PF,IND,3000,0.0,0.0,2016-12-10
149213,Jake Layman,PF,POR,3000,4.14,0.0,2016-12-10
149214,Noah Vonleh,PF,POR,3000,2.29,8.5,2016-12-10
149215,Brice Johnson,PF,LAC,3000,0.0,0.0,2016-12-10
149216,Cheick Diallo,PF,NO,3000,0.0,38.0,2016-12-10
149217,Chris McCullough,PF,BKN,3000,0.0,0.0,2016-12-10
149218,Jimmy Butler,SG/SF,CHI,8200,45.55,52.25,2016-12-10
149219,Will Barton,SG/SF,DEN,6700,34.1,23.5,2016-12-10
149220,Nicolas Batum,SG/SF,CHA,6600,39.59,23.0,2016-12-10
149221,Tyreke Evans,SG/SF,NO,6000,0.0,0.0,2016-12-10
149222,Joe Johnson,SG/SF,UTA,4900,19.3,21.0,2016-12-10
149223,Josh Richardson,SG/SF,MIA,4800,0.0,22.25,2016-12-10
149224,Evan Turner,SG/SF,POR,4800,26.64,15.25,2016-12-10
149225,C.J. Miles,SG/SF,IND,4000,21.39,9.5,2016-12-10
149226,Bojan Bogdanovic,SG/SF,BKN,4000,23.18,29.0,2016-12-10
149227,Allen Crabbe,SG/SF,POR,3800,15.42,21.25,2016-12-10
149228,James Ennis,SG/SF,MEM,3600,0.0,0.0,2016-12-10
149229,Jeremy Lamb,SG/SF,CHA,3600,17.05,19.75,2016-12-10
149230,Tony Snell,SG/SF,MIL,3300,13.51,12.0,2016-12-10
149231,Justin Anderson,SG/SF,DAL,3200,9.88,9.75,2016-12-10
149232,Raymond Felton,SG/SF,LAC,3200,0.0,0.0,2016-12-10
149233,Kelly Oubre Jr.,SG/SF,WAS,3000,14.31,39.25,2016-12-10
149234,Patrick McCaw,SG/SF,GS,3000,15.33,11.5,2016-12-10
149235,Corey Brewer,SG/SF,HOU,3000,6.66,9.25,2016-12-10
149236,Mike Dunleavy,SG/SF,CLE,3000,6.2,0.0,2016-12-10
149237,Jonathon Simmons,SG/SF,SA,3000,12.13,20.5,2016-12-10
149238,Bradley Beal,SG,WAS,6900,38.03,29.0,2016-12-10
149239,Dwyane Wade,SG,CHI,6500,35.71,40.75,2016-12-10
149240,Klay Thompson,SG,GS,6400,36.18,11.25,2016-12-10
149241,Dion Waiters,SG,MIA,5600,0.0,0.0,2016-12-10
149242,Sean Kilpatrick,SG,BKN,5600,35.11,6.25,2016-12-10
149243,Eric Gordon,SG,HOU,5400,29.1,25.75,2016-12-10
149244,Rodney Hood,SG,UTA,5400,0.0,0.0,2016-12-10
149245,Evan Fournier,SG,ORL,5300,28.73,41.0,2016-12-10
149246,Wesley Matthews,SG,DAL,5300,30.89,37.25,2016-12-10
149247,Tony Allen,SG,MEM,4600,24.73,28.5,2016-12-10
149248,Seth Curry,SG,DAL,4500,18.02,17.75,2016-12-10
149249,Troy Daniels,SG,MEM,4400,22.1,12.75,2016-12-10
149250,J.J. Redick,SG,LAC,4400,22.88,17.75,2016-12-10
149251,Jamal Crawford,SG,LAC,4200,22.45,27.0,2016-12-10
149252,Monta Ellis,SG,IND,4100,16.03,17.5,2016-12-10
149253,Gary Harris,SG,DEN,4000,0.0,0.0,2016-12-10
149254,Rodney McGruder,SG,MIA,3900,21.44,5.25,2016-12-10
149255,Vince Carter,SG,MEM,3700,0.0,0.0,2016-12-10
149256,E'Twaun Moore,SG,NO,3700,0.0,0.0,2016-12-10
149257,J.R. Smith,SG,CLE,3600,12.94,12.5,2016-12-10
149258,Marco Belinelli,SG,CHA,3600,16.71,18.75,2016-12-10
149259,Manu Ginobili,SG,SA,3600,15.88,12.25,2016-12-10
149260,Danny Green,SG,SA,3600,12.23,15.75,2016-12-10
149261,Buddy Hield,SG,NO,3500,14.3,26.25,2016-12-10
149262,Kyle Anderson,SG,SA,3200,8.22,7.25,2016-12-10
149263,Isaiah Canaan,SG,CHI,3000,10.99,0.0,2016-12-10
149264,R.J. Hunter,SG,CHI,3000,0.0,0.0,2016-12-10
149265,Marcus Thornton,SG,WAS,3000,15.41,7.5,2016-12-10
149266,Khris Middleton,SG,MIL,3000,0.0,0.0,2016-12-10
149267,Sheldon McClellan,SG,WAS,3000,0.0,0.0,2016-12-10
149268,Danuel House,SG,WAS,3000,0.0,0.0,2016-12-10
149269,Rashad Vaughn,SG,MIL,3000,2.17,0.0,2016-12-10
149270,Mike Miller,SG,DEN,3000,0.0,0.0,2016-12-10
149271,Jodie Meeks,SG,ORL,3000,14.14,6.25,2016-12-10
149272,C.J. Wilcox,SG,ORL,3000,3.47,0.0,2016-12-10
149273,Jonathan Gibson,SG,DAL,3000,10.93,2.5,2016-12-10
149274,Nicolas Brussino,SG,DAL,3000,5.52,3.5,2016-12-10
149275,James Jones,SG,CLE,3000,6.16,0.0,2016-12-10
149276,DeAndre Liggins,SG,CLE,3000,5.39,2.0,2016-12-10
149277,Jordan McRae,SG,CLE,3000,6.41,0.0,2016-12-10
149278,Arron Afflalo,SG,SAC,3000,5.63,0.0,2016-12-10
149279,Alec Burks,SG,UTA,3000,0.0,0.0,2016-12-10
149280,Ben McLemore,SG,SAC,3000,14.17,7.0,2016-12-10
149281,Malachi Richardson,SG,SAC,3000,0.0,0.0,2016-12-10
149282,Joe Young,SG,IND,3000,1.5,0.0,2016-12-10
149283,Alan Anderson,SG,LAC,3000,2.95,11.25,2016-12-10
149284,Caris LeVert,SG,BKN,3000,5.86,7.25,2016-12-10
149886,Russell Westbrook,PG,OKC,12400,70.02,64.0,2016-12-11
149887,Stephen Curry,PG,GS,8400,48.84,43.5,2016-12-11
149888,Eric Bledsoe,PG,PHO,7800,41.84,51.25,2016-12-11
149889,Isaiah Thomas,PG,BOS,7200,0.0,0.0,2016-12-11
149890,D'Angelo Russell,PG,LAL,6300,30.58,13.0,2016-12-11
149891,Derrick Rose,PG,NY,6100,28.83,32.75,2016-12-11
149892,Jrue Holiday,PG,NO,6000,31.74,35.25,2016-12-11
149893,Tim Frazier,PG,NO,5700,13.68,60.25,2016-12-11
149894,Brandon Jennings,PG,NY,5500,18.68,29.75,2016-12-11
149895,Sergio Rodriguez,PG,PHI,5100,0.0,0.0,2016-12-11
149896,Reggie Jackson,PG,DET,5100,24.58,19.25,2016-12-11
149897,Ricky Rubio,PG,MIN,4800,21.02,23.75,2016-12-11
149898,Terry Rozier,PG,BOS,4100,21.1,15.25,2016-12-11
149899,Jerryd Bayless,PG,PHI,4000,0.0,0.0,2016-12-11
149900,Ish Smith,PG,DET,3900,19.92,9.0,2016-12-11
149901,Marcelo Huertas,PG,LAL,3600,13.51,0.0,2016-12-11
149902,Shaun Livingston,PG,GS,3200,9.2,17.5,2016-12-11
149903,Beno Udrih,PG,DET,3000,5.05,0.0,2016-12-11
149904,T.J. McConnell,PG,PHI,3000,12.59,44.0,2016-12-11
149905,John Lucas III,PG,MIN,3000,0.0,0.0,2016-12-11
149906,Kris Dunn,PG,MIN,3000,13.17,9.0,2016-12-11
149907,Tyus Jones,PG,MIN,3000,3.23,0.0,2016-12-11
149908,Semaj Christon,PG,OKC,3000,9.27,16.5,2016-12-11
149909,Demetrius Jackson,PG,BOS,3000,1.24,0.0,2016-12-11
149910,Cameron Payne,PG,OKC,3000,0.0,0.0,2016-12-11
149911,Tyler Ulis,PG,PHO,3000,3.57,2.0,2016-12-11
149912,Jose Calderon,PG,LAL,3000,0.0,0.0,2016-12-11
149913,Anthony Davis,PF/C,NO,11200,62.17,41.0,2016-12-11
149914,Karl-Anthony Towns,PF/C,MIN,8100,43.62,52.0,2016-12-11
149915,Draymond Green,PF/C,GS,7700,37.73,37.75,2016-12-11
149916,Julius Randle,PF/C,LAL,6200,35.14,36.5,2016-12-11
149917,Gorgui Dieng,PF/C,MIN,5300,26.18,25.0,2016-12-11
149918,Jahlil Okafor,PF/C,PHI,5000,26.9,30.25,2016-12-11
149919,Kyle O'Quinn,PF/C,NY,4200,0.0,0.0,2016-12-11
149920,Kelly Olynyk,PF/C,BOS,3600,17.38,25.0,2016-12-11
149921,Joffrey Lauvergne,PF/C,OKC,3000,9.91,21.5,2016-12-11
149922,Kevin Durant,SF/PF,GS,9300,50.13,39.5,2016-12-11
149923,Tobias Harris,SF/PF,DET,5800,30.28,21.0,2016-12-11
149924,Marcus Morris,SF/PF,DET,5000,26.37,35.5,2016-12-11
149925,Dario Saric,SF/PF,PHI,4900,22.1,8.5,2016-12-11
149926,Larry Nance Jr.,SF/PF,LAL,4100,18.62,14.5,2016-12-11
149927,Luol Deng,SF/PF,LAL,3400,17.28,37.25,2016-12-11
149928,Nemanja Bjelica,SF/PF,MIN,3000,9.88,0.0,2016-12-11
149929,Jerami Grant,SF/PF,OKC,3000,13.68,3.25,2016-12-11
149930,Dante Cunningham,SF/PF,NO,3000,0.0,0.0,2016-12-11
149931,Lance Thomas,SF/PF,NY,3000,11.05,4.0,2016-12-11
149932,Andre Drummond,C,DET,8000,44.81,45.0,2016-12-11
149933,Joel Embiid,C,PHI,7500,0.0,0.0,2016-12-11
149934,Al Horford,C,BOS,6900,35.58,36.0,2016-12-11
149935,Nerlens Noel,C,PHI,5000,0.0,10.0,2016-12-11
149936,Steven Adams,C,OKC,5000,25.7,33.0,2016-12-11
149937,Tyson Chandler,C,PHO,4500,21.6,40.75,2016-12-11
149938,Alex Len,C,PHO,4300,21.37,14.5,2016-12-11
149939,Enes Kanter,C,OKC,4100,20.88,28.5,2016-12-11
149940,Cole Aldrich,C,MIN,3900,15.19,0.0,2016-12-11
149941,Aron Baynes,C,DET,3800,8.83,7.0,2016-12-11
149942,Joakim Noah,C,NY,3600,18.57,15.25,2016-12-11
149943,Zaza Pachulia,C,GS,3300,0.0,0.0,2016-12-11
149944,Timofey Mozgov,C,LAL,3200,15.51,12.0,2016-12-11
149945,Guillermo Hernangomez,C,NY,3200,10.29,28.0,2016-12-11
149946,Boban Marjanovic,C,DET,3000,5.01,0.0,2016-12-11
149947,Anderson Varejao,C,GS,3000,12.15,0.0,2016-12-11
149948,JaVale McGee,C,GS,3000,11.29,4.0,2016-12-11
149949,Nikola Pekovic,C,MIN,3000,0.0,0.0,2016-12-11
149950,Damian Jones,C,GS,3000,0.0,0.0,2016-12-11
149951,Nick Collison,C,OKC,3000,0.0,0.0,2016-12-11
149952,Tyler Zeller,C,BOS,3000,4.02,0.0,2016-12-11
149953,Alexis Ajinca,C,NO,3000,13.7,16.75,2016-12-11
149954,Omer Asik,C,NO,3000,9.81,0.0,2016-12-11
149955,Alan Williams,C,PHO,3000,3.4,0.0,2016-12-11
149956,Tarik Black,C,LAL,3000,0.0,0.0,2016-12-11
149957,Marshall Plumlee,C,NY,3000,0.0,0.0,2016-12-11
149958,Ivica Zubac,C,LAL,3000,0.64,0.0,2016-12-11
149959,Carmelo Anthony,SF,NY,7600,38.67,38.0,2016-12-11
149960,Andrew Wiggins,SF,MIN,6000,29.51,33.25,2016-12-11
149961,Jae Crowder,SF,BOS,5700,27.37,29.0,2016-12-11
149962,T.J. Warren,SF,PHO,5400,0.0,0.0,2016-12-11
149963,Robert Covington,SF,PHI,4400,20.83,33.25,2016-12-11
149964,Brandon Ingram,SF,LAL,4400,18.01,9.0,2016-12-11
