Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161030;4880;SF;Huestis Josh;;0;$3000;okc;H;lal;113;96;NA;
20161030;4285;SF;Hayward Gordon;;0;$6800;uta;A;lac;75;88;NA;
20161030;3521;PF;Bosh Chris;;0;$3000;mia;H;sas;99;106;NA;
20161030;4489;C;Drummond Andre;1;61.75;$7900;det;H;mil;98;83;36.80;20pt 23rb 1as 2st 3bl 8-16fg 4-8ft
20161030;4324;C;Whiteside Hassan;1;58.25;$8000;mia;H;sas;99;106;34.93;27pt 15rb 1as 1st 4bl 1to 10-15fg 7-10ft
20161030;3308;C;Gasol Pau;1;44.25;$6100;sas;A;mia;106;99;31.13;20pt 11rb 3as 2bl 1trey 9-18fg 1-2ft
20161030;4574;C;Adams Steven;1;42.5;$5800;okc;H;lal;113;96;29.57;14pt 12rb 2as 3st 2bl 2to 6-12fg 2-2ft
20161030;3990;C;Gasol Marc;1;41.5;$5600;mem;H;was;112;103;29.02;20pt 10rb 1as 1st 1bl 4trey 6-14fg 4-6ft
20161030;4504;PF/C;Green Draymond;1;39.75;$7500;gsw;A;pho;106;100;37.78;5pt 13rb 9as 3bl 2to 2-9fg 1-2ft
20161030;3756;C;Gortat Marcin;1;32;$5500;was;A;mem;103;112;37.78;14pt 12rb 1as 2-3fg 10-10ft
20161030;3307;C;Chandler Tyson;1;31;$4300;pho;H;gsw;100;106;28.25;8pt 18rb 1as 2to 3-5fg 2-4ft
20161030;4107;C;Jordan DeAndre;1;28.5;$7300;lac;H;uta;88;75;28.10;7pt 16rb 1bl 1to 3-10fg 1-2ft
20161030;3736;C;Bogut Andrew;1;27;$4300;dal;A;hou;92;93;27.95;6pt 14rb 3as 2to 3-7fg 0-2ft
20161030;4620;C;Gobert Rudy;1;25.75;$7600;uta;A;lac;75;88;26.12;8pt 9rb 3as 2bl 4to 3-4fg 2-2ft
20161030;4591;C;Len Alex;;25.5;$4000;pho;H;gsw;100;106;18.47;6pt 8rb 1as 1st 3bl 2-7fg 2-2ft
20161030;4766;PF/C;Capela Clint;1;24;$5700;hou;H;dal;93;92;26.43;4pt 10rb 1as 1st 2bl 2-7fg 0-4ft
20161030;4442;C;Kanter Enes;;22.5;$5600;okc;H;lal;113;96;21.93;16pt 6rb 2to 8-11fg
20161030;3553;C;Pachulia Zaza;1;22;$3900;gsw;A;pho;106;100;22.22;5pt 10rb 4as 3to 1-5fg 3-3ft
20161030;4298;C;Monroe Greg;;20.75;$5700;mil;A;det;83;98;17.77;11pt 5rb 2st 1to 4-9fg 3-3ft
20161030;4572;C;Dedmon Dewayne;;20.5;$3300;sas;A;mia;106;99;16.42;9pt 8rb 1as 2-5fg 5-6ft
20161030;4542;C;Plumlee Miles;1;19.75;$3000;mil;A;det;83;98;17.08;8pt 5rb 3as 1st 2to 4-6fg
20161030;4858;C;Mejri Salah;;17;$3000;dal;A;hou;92;93;16.73;6pt 6rb 2bl 1to 3-3fg
20161030;4299;C;Mozgov Timofey;1;16.25;$4400;lal;A;okc;96;113;23.72;8pt 5rb 1as 1bl 3to 4-5fg
20161030;4556;C;Baynes Aron;;14.75;$3000;det;H;mil;98;83;11.20;7pt 7rb 2to 2-4fg 3-4ft
20161030;4806;PF/C;Lyles Trey;;14.75;$3700;uta;A;lac;75;88;18.88;7pt 5rb 1as 1to 1trey 3-8fg
20161030;3408;C;Hilario Nene;;14.5;$3700;hou;H;dal;93;92;21.57;11pt 2rb 1as 1to 5-6fg 1-1ft
20161030;4674;PF/C;Powell Dwight;;13.5;$3600;dal;A;hou;92;93;12.22;7pt 2rb 1as 1st 1trey 3-7fg
20161030;4122;C;Speights Marreese;;11.5;$3200;lac;H;uta;88;75;17.00;4pt 4rb 1bl 1trey 1-8fg 1-2ft
20161030;4768;PF/C;Lauvergne Joffrey;;10;$3000;okc;H;lal;113;96; 7.92;2pt 2rb 1as 2st 1-2fg
20161030;4850;PF/C;Martin Jarell;1;9.25;$3000;mem;H;was;112;103;19.12;4pt 5rb 2to 1-4fg 2-2ft
20161030;4579;C;Reed Willie;;9;$3400;mia;H;sas;99;106;12.62;2pt 4rb 1st 1-3fg
20161030;4691;C;Black Tarik;;6.5;$3000;lal;A;okc;96;113;11.03;2pt 4rb 1to 1-2fg
20161030;4525;C;Henson John;;4.25;$3000;mil;A;det;83;98;11.57;0pt 3rb 1as 2to 0-3fg
20161030;4023;PF/C;Smith Jason;;1.5;$3100;was;A;mem;103;112; 4.83;2pt 1to 1-1fg
20161030;4987;C;Stone Diamond;;1.25;$3000;lac;H;uta;88;75; 2.40;0pt 1rb
20161030;3733;PF/C;Bass Brandon;;0;$3000;lac;H;uta;88;75; 2.40;0pt
20161030;3523;C;Collison Nick;;0;$3000;okc;H;lal;113;96;DNP;
20161030;4007;C;McRoberts Josh;;0;$3200;mia;H;sas;99;106;DNP;
20161030;4893;C;Marjanovic Boban;;0;$3000;det;H;mil;98;83;DNP;
20161030;4973;C;Ochefu Daniel;;0;$3000;was;A;mem;103;112;DNP;
20161030;3679;C;Varejao Anderson;;0;$3000;gsw;A;pho;106;100;DNP;
20161030;4114;C;McGee JaVale;;0;$3000;gsw;A;pho;106;100;DNP;
20161030;4565;C;Withey Jeff;;0;$3000;uta;A;lac;75;88;DNP;
20161030;4897;C;Williams Alan;;0;$3000;pho;H;gsw;100;106;DNP;
20161030;4034;C;Wright Brandan;;0;$3000;mem;H;was;112;103;NA;
20161030;3777;C;Mahinmi Ian;;0;$3000;was;A;mem;103;112;NA;
20161030;5010;C;Onuaku Chinanu;;0;$3000;hou;H;dal;93;92;NA;
20161030;4933;C;Jones Damian;;0;$3000;gsw;A;pho;106;100;NA;
20161030;4944;C;Hammons A.J.;;0;$3000;dal;A;hou;92;93;NA;
20161030;4924;C;Zubac Ivica;;0;$3000;lal;A;okc;96;113;NA;
20161030;3860;PF/C;Aldridge LaMarcus;;0;$7100;sas;A;mia;106;99;NA;
20161030;3527;PF/C;Diaw Boris;1;-0.75;$3300;uta;A;lac;75;88;18.75;0pt 1rb 4to 0-2fg
