Id,Name,Position,Team,Salary,Projected,Scored,Override
128929,Mindaugas Kuzminskas,SF,NY,3000,12.9975,9.5,0
128930,Paul Pierce,SF,LAC,3000,0.1,0.0,0
128931,Alan Anderson,SF,LAC,3000,3.945,0.0,0
128932,Luc Richard Mbah a Moute,SF,LAC,3000,7.32,20.5,0
128933,Wesley Johnson,SF,LAC,3000,8.71,13.75,0
128934,Kyle Singler,SF,OKC,3000,3.9,0.0,0
128935,Josh Huestis,SF,OKC,3000,0.1,0.0,0
128936,Richard Jefferson,SF,CLE,3000,7.42,2.75,0
128937,Bruno Caboclo,SF,TOR,3000,1.4475,0.0,0
128938,Joe Ingles,SF,UTA,3000,14.91,4.75,0
128939,Damjan Rudez,SF,ORL,3000,0.1,10.0,0
128940,Georges Niang,SF,IND,3000,3.5675,0.0,0
128941,Glenn Robinson III,SF,IND,3000,11.705,0.0,0
128942,Ben Simmons,SF,PHI,3000,0.1,0.0,0
128943,Pat Connaughton,SF,POR,3000,5.16,0.0,0
128944,Michael Gbinije,SF,DET,3000,0.1,0.0,0
128945,Stanley Johnson,SF,DET,3000,7.105,8.5,0
128946,Blake Griffin,PF,LAC,8500,41.57,39.5,0
128947,Kristaps Porzingis,PF,NY,7300,36.29,28.5,0
128948,Derrick Favors,PF,UTA,6200,32.13,39.75,0
128949,Thaddeus Young,PF,IND,5400,24.85,24.75,0
128950,Marvin Williams,PF,CHA,4800,30.45,32.25,0
128951,Al-Farouq Aminu,PF,POR,4700,3.875,0.0,0
128952,Patrick Patterson,PF,TOR,4400,21.18,20.25,0
128953,Jon Leuer,PF,DET,4300,19.215,13.25,0
128954,Domantas Sabonis,PF,OKC,4200,16.92,16.75,0
128955,Ersan Ilyasova,PF,PHI,4100,26.23,35.75,0
128956,Frank Kaminsky,PF,CHA,3900,24.645,17.5,0
128957,Richaun Holmes,PF,PHI,3700,28.04,26.5,0
128958,David Lee,PF,SA,3600,7.895,8.0,0
128959,Kelly Olynyk,PF,BOS,3300,10.285,34.25,0
128960,Channing Frye,PF,CLE,3300,21.1,12.0,0
128961,Pascal Siakam,PF,TOR,3200,12.19,1.25,0
128962,Noah Vonleh,PF,POR,3100,19.115,0.0,0
128963,Jonas Jerebko,PF,BOS,3000,8.835,16.75,0
128964,Jordan Mickey,PF,BOS,3000,2.695,5.75,0
128965,Maurice Ndour,PF,NY,3000,10.145,0.0,0
128966,Brice Johnson,PF,LAC,3000,0.1,0.0,0
128967,Andrew Nicholson,PF,WAS,3000,4.57,0.0,0
128968,Christian Wood,PF,CHA,3000,1.255,0.0,0
128969,Arinze Onuaku,PF,ORL,3000,0.1,0.0,0
128970,Joel Bolomboy,PF,UTA,3000,0.1,0.0,0
128971,Stephen Zimmerman Jr.,PF,ORL,3000,0.1,0.0,0
128972,Lavoy Allen,PF,IND,3000,8.26,12.5,0
128973,Rakeem Christmas,PF,IND,3000,0.1,0.0,0
128974,Omri Casspi,PF,SAC,3000,9.4925,6.75,0
128975,Meyers Leonard,PF,POR,3000,17.21,20.0,0
128976,Jake Layman,PF,POR,3000,12.055,10.5,0
128977,Skal Labissiere,PF,SAC,3000,2.535,0.0,0
128978,Davis Bertans,PF,SA,3000,0.1,1.25,0
128979,Henry Ellenson,PF,DET,3000,0.1,0.0,0
128980,DeMar DeRozan,SG,TOR,8200,45.97,45.75,0
128981,Avery Bradley,SG,BOS,7000,35.91,39.5,0
128982,Rodney Hood,SG,UTA,5800,27.935,22.5,0
128983,Bradley Beal,SG,WAS,5500,4.705,0.0,0
128984,Monta Ellis,SG,IND,5100,13.4775,41.0,0
128985,Evan Fournier,SG,ORL,5000,22.28,37.5,0
128986,Kentavious Caldwell-Pope,SG,DET,5000,22.6,25.25,0
128987,J.R. Smith,SG,CLE,4200,24.61,26.5,0
128988,Marcus Thornton,SG,WAS,4200,30.465,6.25,0
128989,Danny Green,SG,SA,4000,0.1,0.0,0
128990,Courtney Lee,SG,NY,3800,21.18,5.25,0
128991,Jamal Crawford,SG,LAC,3800,10.365,26.25,0
128992,J.J. Redick,SG,LAC,3800,13.775,24.75,0
128993,Marco Belinelli,SG,CHA,3800,11.98,15.0,0
128994,Gerald Henderson,SG,PHI,3500,22.635,21.5,0
128995,Manu Ginobili,SG,SA,3500,11.4,14.75,0
128996,Arron Afflalo,SG,SAC,3400,15.46,17.5,0
128997,Sasha Vujacic,SG,NY,3000,6.01,1.25,0
128998,Ron Baker,SG,NY,3000,0.1,6.0,0
128999,James Young,SG,BOS,3000,0.1,4.5,0
129000,Anthony Morrow,SG,OKC,3000,0.1,0.0,0
129001,Alex Abrines,SG,OKC,3000,5.495,3.75,0
129002,James Jones,SG,CLE,3000,3.155,1.25,0
129003,DeAndre Liggins,SG,CLE,3000,3.185,0.0,0
129004,Jordan McRae,SG,CLE,3000,2.975,0.0,0
129005,Sheldon McClellan,SG,WAS,3000,5.27,3.25,0
129006,Danuel House,SG,WAS,3000,0.18,1.25,0
129007,Treveon Graham,SG,CHA,3000,6.155,8.75,0
129008,Jodie Meeks,SG,ORL,3000,0.1,0.0,0
129009,C.J. Wilcox,SG,ORL,3000,2.095,0.0,0
129010,Alec Burks,SG,UTA,3000,0.1,0.0,0
129011,Joe Young,SG,IND,3000,0.77,0.0,0
129012,Nik Stauskas,SG,PHI,3000,14.755,18.0,0
129013,Timothe Luwawu-Cabarrot,SG,PHI,3000,2.815,0.0,0
129014,Ben McLemore,SG,SAC,3000,6.05,2.0,0
129015,Malachi Richardson,SG,SAC,3000,0.1,0.0,0
129016,Reggie Bullock,SG,DET,3000,0.1,0.0,0
129017,Darrun Hilliard,SG,DET,3000,0.1,0.0,0
129018,Andre Drummond,C,DET,7400,38.25,44.25,0
129019,DeAndre Jordan,C,LAC,6600,30.47,31.75,0
129020,Marcin Gortat,C,WAS,6400,32.1,25.25,0
129021,Jonas Valanciunas,C,TOR,6400,25.9,28.0,0
129022,Rudy Gobert,C,UTA,6300,31.85,39.75,0
129023,Al Horford,C,BOS,6100,0.0,0.0,0
129024,Nikola Vucevic,C,ORL,6100,32.35,17.25,0
129025,Joel Embiid,C,PHI,5900,44.345,36.75,0
129026,Steven Adams,C,OKC,5600,22.73,13.25,0
129027,Pau Gasol,C,SA,5200,16.085,47.25,0
129028,Nerlens Noel,C,PHI,5000,1.44,0.0,0
129029,Mason Plumlee,C,POR,5000,21.8275,34.25,0
129030,Tristan Thompson,C,CLE,4900,30.18,19.75,0
129031,Enes Kanter,C,OKC,4700,19.06,30.25,0
