Id,Name,Position,Team,Salary,Projected,Scored,Override
143242,James Harden,PG/SG,HOU,11900,59.83,40.0,0
143243,Jordan Clarkson,PG/SG,LAL,6000,30.0475247701,21.75,0
143244,Darren Collison,PG/SG,SAC,5400,14.3472901659,21.5,0
143245,Jamal Murray,PG/SG,DEN,4300,14.8592465175,6.25,0
143246,Tim Hardaway Jr.,PG/SG,ATL,3500,17.690392296,18.5,0
143247,Garrett Temple,PG/SG,SAC,3000,8.58955623401,11.25,0
143248,Iman Shumpert,PG/SG,CLE,3000,9.23,18.75,0
143249,C.J. Watson,PG/SG,ORL,3000,4.113992035,0.0,0
143250,Anthony Davis,PF/C,NO,11700,58.06,37.5,0
143251,DeMarcus Cousins,PF/C,SAC,10700,58.74,53.75,0
143252,Kevin Love,PF/C,CLE,8000,42.56,32.75,0
143253,LaMarcus Aldridge,PF/C,SA,6300,35.93,27.75,0
143254,Serge Ibaka,PF/C,ORL,6200,31.32,27.0,0
143255,Gorgui Dieng,PF/C,MIN,5900,23.9836160368,7.25,0
143256,Taj Gibson,PF/C,CHI,5700,26.1763461521,47.25,0
143257,Nikola Jokic,PF/C,DEN,5200,0.1,0.0,0
143258,Jahlil Okafor,PF/C,PHI,4900,16.4,36.25,0
143259,Kelly Olynyk,PF/C,BOS,4000,25.9563380475,9.75,0
143260,Kyle O'Quinn,PF/C,NY,3800,18.83,43.75,0
143261,Marreese Speights,PF/C,LAC,3800,7.12446248199,19.75,0
143262,Montrezl Harrell,PF/C,HOU,3300,3.79254726805,15.75,0
143263,Kris Humphries,PF/C,ATL,3000,2.45795929213,16.75,0
143264,Juancho Hernangomez,PF/C,DEN,3000,1.8296529777,5.0,0
143265,Brandon Bass,PF/C,LAC,3000,0.1,4.75,0
143266,Jason Smith,PF/C,WAS,3000,6.08661831018,9.25,0
143267,LeBron James,SF/PF,CLE,9400,46.4,50.75,0
143268,Rudy Gay,SF/PF,SAC,6900,35.04,27.0,0
143269,Otto Porter,SF/PF,WAS,6000,20.8802864583,41.5,0
143270,Tobias Harris,SF/PF,DET,5900,33.05,33.75,0
143271,Trevor Ariza,SF/PF,HOU,5500,22.9880202764,41.25,0
143272,Markieff Morris,SF/PF,WAS,5000,17.9091169047,21.5,0
143273,Larry Nance Jr.,SF/PF,LAL,4800,24.17,13.5,0
143274,Nikola Mirotic,SF/PF,CHI,4600,12.0963700234,20.0,0
143275,DeMarre Carroll,SF/PF,TOR,4400,0.1,0.0,0
143276,Aaron Gordon,SF/PF,ORL,4300,22.511276772,25.0,0
143277,Matt Barnes,SF/PF,SAC,4100,23.9009765077,46.5,0
143278,Dario Saric,SF/PF,PHI,4000,22.546947824,1.0,0
143279,Luol Deng,SF/PF,LAL,3800,16.91,13.25,0
143280,Jeff Green,SF/PF,ORL,3100,18.4082877671,28.0,0
143281,Lance Thomas,SF/PF,NY,3000,0.1,5.0,0
143282,Dante Cunningham,SF/PF,NO,3000,0.1,0.0,0
143283,Davis Bertans,SF/PF,SA,3000,8.84,0.0,0
143284,Karl-Anthony Towns,C,MIN,8900,49.92,37.0,0
143285,Andre Drummond,C,DET,7700,42.02,38.5,0
143286,Dwight Howard,C,ATL,7300,37.6,12.5,0
