Id,Name,Position,Team,Salary,Projected,Scored,Override
138130,LeBron James,SF/PF,CLE,9400,52.92,44.25,0
138131,Harrison Barnes,SF/PF,DAL,6000,21.7275399882,18.25,0
138132,Tobias Harris,SF/PF,DET,5500,16.4231823376,23.75,0
138133,Markieff Morris,SF/PF,WAS,5300,31.2908830953,24.75,0
138134,Nikola Mirotic,SF/PF,CHI,4800,28.6136299766,16.25,0
138135,Aaron Gordon,SF/PF,ORL,4600,17.35,18.75,0
138136,Dario Saric,SF/PF,PHI,4300,24.126947824,15.75,0
138137,Jeff Green,SF/PF,ORL,3400,16.25,10.25,0
138138,Davis Bertans,SF/PF,SA,3000,11.6005566394,21.0,0
138139,Lance Thomas,SF/PF,NY,3000,4.35484643816,0.0,0
138140,Jimmy Butler,SG/SF,CHI,9300,49.51,38.0,0
138141,Nicolas Batum,SG/SF,CHA,6600,31.78,44.25,0
138142,Marcus Smart,SG/SF,BOS,5200,19.2772028083,30.5,0
138143,Raymond Felton,SG/SF,LAC,3600,5.4888634601,6.75,0
138144,Kelly Oubre Jr.,SG/SF,WAS,3500,4.38788648869,5.75,0
138145,Justin Anderson,SG/SF,DAL,3300,18.9548553128,17.25,0
138146,Justin Holiday,SG/SF,NY,3300,16.17,13.75,0
138147,Kyle Anderson,SG/SF,SA,3000,2.46,0.0,0
138148,Stanley Johnson,SG/SF,DET,3000,0.1,0.0,0
138149,Mario Hezonja,SG/SF,ORL,3000,6.15749372087,2.25,0
138150,Mike Dunleavy,SG/SF,CLE,3000,5.11,7.0,0
138151,Jeremy Lamb,SG/SF,CHA,3000,2.92449602565,0.0,0
138152,Hollis Thompson,SG/SF,PHI,3000,8.72680201548,25.75,0
138153,John Wall,PG,WAS,8800,49.22,55.75,0
138154,Chris Paul,PG,LAC,8300,44.83,34.25,0
138155,Kemba Walker,PG,CHA,7900,46.31,34.25,0
138156,Kyrie Irving,PG,CLE,7600,38.47,30.75,0
138157,Isaiah Thomas,PG,BOS,7400,40.02,37.75,0
138158,Rajon Rondo,PG,CHI,6300,34.58,34.5,0
138159,Reggie Jackson,PG,DET,6000,0.1,0.0,0
138160,Elfrid Payton,PG,ORL,5800,17.7986728712,27.75,0
138161,Derrick Rose,PG,NY,5800,26.99,29.75,0
138162,J.J. Barea,PG,DAL,5000,11.5931338096,0.0,0
138163,Ish Smith,PG,DET,4900,24.7521693936,32.0,0
138164,Deron Williams,PG,DAL,4900,11.3220265631,13.5,0
138165,Tony Parker,PG,SA,4200,16.2653849788,16.5,0
138166,Sergio Rodriguez,PG,PHI,4000,15.41,6.75,0
138167,Patty Mills,PG,SA,3900,12.4859008105,22.75,0
138168,Brandon Jennings,PG,NY,3900,23.45,10.75,0
138169,Tomas Satoransky,PG,WAS,3800,17.9555484615,5.25,0
138170,Jerryd Bayless,PG,PHI,3800,23.03,18.5,0
138171,Jerian Grant,PG,CHI,3600,0.1,0.75,0
138172,D.J. Augustin,PG,ORL,3500,12.7341645169,13.5,0
138173,Ramon Sessions,PG,CHA,3400,10.7908690683,18.25,0
138174,Austin Rivers,PG,LAC,3300,17.6656641178,4.25,0
138175,Isaiah Canaan,PG,CHI,3200,8.31402536896,17.75,0
138176,Nicolas Laprovittola,PG,SA,3000,0.1,0.0,0
138177,Bryn Forbes,PG,SA,3000,0.1,0.0,0
138178,Demetrius Jackson,PG,BOS,3000,0.1,0.0,0
138179,Terry Rozier,PG,BOS,3000,12.9572915483,9.0,0
138180,Dejounte Murray,PG,SA,3000,0.1,0.0,0
138181,Beno Udrih,PG,DET,3000,10.938379265,6.5,0
138182,C.J. Watson,PG,ORL,3000,6.683992035,0.0,0
138183,Trey Burke,PG,WAS,3000,5.44783554195,0.0,0
138184,Devin Harris,PG,DAL,3000,4.05724995211,0.0,0
138185,Mo Williams,PG,CLE,3000,0.1,0.0,0
138186,Kay Felder,PG,CLE,3000,0.1,13.25,0
