Id,Name,Position,Team,Salary,Projected,Scored,Override
150332,James Harden,PG/SG,HOU,11400,58.98,68.0,0
150333,C.J. McCollum,PG/SG,POR,7300,36.52,34.75,0
150334,Jordan Clarkson,PG/SG,LAL,5400,23.06,25.5,0
150335,Jamal Murray,PG/SG,DEN,4100,13.645,30.5,0
150336,Matthew Dellavedova,PG/SG,MIL,4000,26.82,17.0,0
150337,Rodney Stuckey,PG/SG,IND,3500,17.77,24.5,0
150338,Malcolm Brogdon,PG/SG,MIL,3400,22.72,12.5,0
150339,Randy Foye,PG/SG,BKN,3000,4.2825,0.0,0
150340,Garrett Temple,PG/SG,SAC,3000,7.425,21.25,0
150341,DeMarcus Cousins,PF/C,SAC,10900,58.54,67.0,0
150342,Julius Randle,PF/C,LAL,6300,30.74,13.0,0
150343,Kenneth Faried,PF/C,DEN,4900,14.0375,2.0,0
150344,Dwight Powell,PF/C,DAL,4800,17.73,10.25,0
150345,Marreese Speights,PF/C,LAC,4000,27.215,16.0,0
150346,Josh McRoberts,PF/C,MIA,3900,21.63,24.5,0
150347,Ed Davis,PF/C,POR,3600,14.455,14.75,0
150348,Luis Scola,PF/C,BKN,3000,2.0675,2.0,0
150349,Jason Smith,PF/C,WAS,3000,3.56,8.5,0
150350,Spencer Hawes,PF/C,CHA,3000,10.6875,0.0,0
150351,Brandon Bass,PF/C,LAC,3000,10.7275,0.0,0
150352,Giannis Antetokounmpo,PG,MIL,9800,53.39,53.5,0
150353,John Wall,PG,WAS,9000,51.89,52.0,0
150354,Chris Paul,PG,LAC,8900,44.59,54.25,0
150355,Damian Lillard,PG,POR,8600,44.75,47.25,0
150356,Kyle Lowry,PG,TOR,8100,45.43,33.75,0
150357,Kemba Walker,PG,CHA,7500,33.21,25.0,0
150358,Goran Dragic,PG,MIA,7200,37.85,49.25,0
150359,D'Angelo Russell,PG,LAL,6300,26.65,25.5,0
150360,Jeff Teague,PG,IND,6200,31.26,41.75,0
150361,Deron Williams,PG,DAL,5700,39.025,35.5,0
150362,Jeremy Lin,PG,BKN,5500,12.005,28.25,0
150363,Tyler Johnson,PG,MIA,5500,21.96,22.75,0
150364,J.J. Barea,PG,DAL,5000,6.0,0.0,0
150365,Patrick Beverley,PG,HOU,4900,34.6375,29.75,0
150366,Darren Collison,PG,SAC,4900,22.55,30.25,0
150367,Jameer Nelson,PG,DEN,4900,19.17,5.75,0
150368,Emmanuel Mudiay,PG,DEN,4400,18.58,29.0,0
150369,Marcelo Huertas,PG,LAL,3700,6.71,0.0,0
150370,Ramon Sessions,PG,CHA,3700,15.875,11.5,0
150371,Cory Joseph,PG,TOR,3600,13.1225,24.0,0
150372,Tomas Satoransky,PG,WAS,3500,0.1,0.0,0
150373,Austin Rivers,PG,LAC,3500,0.1,0.0,0
150374,Isaiah Whitehead,PG,BKN,3400,9.2,21.5,0
150375,Ty Lawson,PG,SAC,3300,7.81,29.0,0
150376,Spencer Dinwiddie,PG,BKN,3000,0.1,4.5,0
150377,Tyler Ennis,PG,HOU,3000,4.1075,0.0,0
150378,Trey Burke,PG,WAS,3000,5.885,6.25,0
150379,Jose Calderon,PG,LAL,3000,0.1,0.0,0
150380,Devin Harris,PG,DAL,3000,12.995,2.25,0
150381,Jonathan Gibson,PG,DAL,3000,22.405,1.5,0
150382,Malik Beasley,PG,DEN,3000,0.1,0.0,0
150383,Jason Terry,PG,MIL,3000,9.73,2.0,0
150384,Fred VanVleet,PG,TOR,3000,0.1,1.5,0
150385,Delon Wright,PG,TOR,3000,0.1,0.0,0
150386,Aaron Brooks,PG,IND,3000,8.19,10.75,0
150387,Brian Roberts,PG,CHA,3000,1.715,0.0,0
150388,Aaron Harrison,PG,CHA,3000,0.635,0.0,0
150389,Shabazz Napier,PG,POR,3000,0.1,0.0,0
150390,Tim Quarterman,PG,POR,3000,0.1,0.0,0
150391,Blake Griffin,PF,LAC,8500,45.9,51.5,0
150392,Trevor Booker,PF,BKN,5600,20.665,35.75,0
150393,Dirk Nowitzki,PF,DAL,5000,0.1,0.0,0
150394,Thaddeus Young,PF,IND,4900,23.68,18.75,0
150395,Ryan Anderson,PF,HOU,4700,31.63,31.0,0
150396,James Johnson,PF,MIA,4500,5.21,23.75,0
150397,Marvin Williams,PF,CHA,4200,29.095,23.5,0
150398,Patrick Patterson,PF,TOR,4000,24.785,14.0,0
150399,Frank Kaminsky,PF,CHA,4000,26.8375,13.0,0
150400,Al-Farouq Aminu,PF,POR,4000,6.435,18.0,0
150401,Darrell Arthur,PF,DEN,3200,9.735,4.25,0
150402,Mirza Teletovic,PF,MIL,3200,16.235,14.5,0
150403,Kyle Wiltjer,PF,HOU,3000,1.7475,0.0,0
150404,Chris McCullough,PF,BKN,3000,0.1,0.0,0
150405,Chris Bosh,PF,MIA,3000,0.1,0.0,0
150406,Udonis Haslem,PF,MIA,3000,2.28,0.0,0
150407,Andrew Nicholson,PF,WAS,3000,0.1,0.0,0
150408,Anthony Tolliver,PF,SAC,3000,0.95,7.25,0
150409,Thomas Robinson,PF,LAL,3000,14.285,22.0,0
150410,Skal Labissiere,PF,SAC,3000,0.1,0.0,0
150411,Juancho Hernangomez,PF,DEN,3000,4.59,13.25,0
150412,Pascal Siakam,PF,TOR,3000,16.495,7.25,0
150413,Thon Maker,PF,MIL,3000,5.345,8.25,0
150414,Lavoy Allen,PF,IND,3000,2.09,6.5,0
150415,Rakeem Christmas,PF,IND,3000,0.1,0.0,0
150416,Georges Niang,PF,IND,3000,0.1,0.0,0
150417,Christian Wood,PF,CHA,3000,0.9675,0.0,0
150418,Meyers Leonard,PF,POR,3000,3.61,0.0,0
150419,Brice Johnson,PF,LAC,3000,0.1,0.0,0
150420,Jake Layman,PF,POR,3000,0.1,0.0,0
150421,Noah Vonleh,PF,POR,3000,1.745,10.5,0
150422,Hassan Whiteside,C,MIA,8400,47.32,44.5,0
150423,Brook Lopez,C,BKN,6600,36.81,34.25,0
150424,DeAndre Jordan,C,LAC,6500,31.61,37.0,0
150425,Marcin Gortat,C,WAS,6000,41.78,24.5,0
150426,Nikola Jokic,C,DEN,5800,33.22,49.75,0
150427,Myles Turner,C,IND,5700,37.2975,42.75,0
150428,Mason Plumlee,C,POR,5500,23.585,47.25,0
150429,Clint Capela,C,HOU,5300,34.745,18.5,0
150430,Jonas Valanciunas,C,TOR,5100,23.27,29.75,0
150431,Greg Monroe,C,MIL,4600,14.2875,15.0,0
150432,John Henson,C,MIL,4400,17.7325,15.5,0
150433,Jusuf Nurkic,C,DEN,4300,22.94,15.0,0
